id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,keyPass,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/15/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2538841279,1,34,16,0,0,2tk2l9sgktwc9jhzqdd4mpdtb,1,0,0,2023-04-24T17:44:47.443Z,2023-04-24T18:54:07Z,4218031449,30,"7gu0t0g8nej405k918fwsf8id, 1pkymw7biivk760rxhubin1ed, du4ciqofpkn3nei5q3huwlnje, ab4kuqa33849h6z77ksuqhdk9, 9ao7l82r1xd2rjnvv5u6plcr9, 6fttn5mk6n1lstqt0dl5xzn4l, 4cu8rbv55v6f6jiq50c4xatqs, 1ftejgsl4hho40cceqne1hcyd, 363nsa82dww242zeo09wpcslx, 57bin6he6kbdo2bs4i78z2k0l, 54c43p8ykqxjtbmy2z5nakijt, c5a7z6vphv9tp9ddid5jnrnx1, 97mmzzi3dwdos6jtj2m05w4ph, z0nxnl93yjtz8mty3qi5542x, 93i0gcndi2m8giqqcm4knduxh, cddggachzf198p1yhq9owtofd, 9ka7y81b5kst146mhq7mom5ed, bh9jia8qgkhpm5xn82bx0hhck, b0b0xalrak7k5pnfnum53umtw, d2itdjj8bx0aztqggfgv7amay, a1iz91ed6hus61yhhk2r0vkd1, el58uxf7oaqu95yx1vbgmr7it",4218031459,194,57bin6he6kbdo2bs4i78z2k0l,4218031457,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4218031461,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4218031451,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4218174675,197,8380,4218031455,130,17,4218031453,59,"1, 19, 59, 3, 14, 23, 52, 4, 9, 7, 18, 8, 11, 20, 21, 24, 37, 62, 63, 68, 92, 99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538843271,1,34,16,0,0,e75syeuawg3ql8nwpi3vr2btz,1,0,0,2023-04-24T17:50:49.814Z,2023-04-24T19:04:07Z,4218042531,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4218042527,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4218042529,194,cm6iy4b06qv9y6ww0hthqlwb9,4218042523,59,"57, 3, 77, 42, 19, 2, 13, 7, 91, 88, 15, 1, 6, 9, 10, 17, 28, 31, 43, 44, 93",4218174747,197,548,4218042525,130,16,4218042519,30,"3ww5879aay1xf2a20nl9ihwid, 6lfje6glfgycun47flgmc9jvt, a69r2pf2w8da4dl0zl4k5vil1, 4cejhrr3ji36591xf54jue3ca, 2idy9ngk2rojseoxxw9n98c7p, cm6iy4b06qv9y6ww0hthqlwb9, 4aqkgskbra4wsoo7a8uw7xl9l, 2ugzqrpaooto1r24a6kvqf2ll, 30gsjr0xlmjulnz227zfxga8l, 2fsgc0b4mvwpenawmit0q0bmd, 9q01y4w4dwpaqf8lmpv9wnmc5, 7drgir9lcwfst8vxz07jboe6t, 45ubqc5i6yn2l5kdtlt8tbw7p, ds719g843vjs279iine5otgid, 2fqlri41xq6p924kine7pjr2t, d364lpc0km51psy3zwc4a6zca, n62gu1fztuvojijr41hyetw5, 9sdrd6flk2jene11v193nm1n9, 63tj5b59b7en3tnd4sjff8woa, d628vftgks12ww31sy4hwxq1g, 30oup47g0i12cvub12r7kmxd6",4218042521,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538867783,2,32,1,0,0,2tk2l9sgktwc9jhzqdd4mpdtb,1,0,0,2023-04-24T18:45:10.039Z,2023-04-24T18:45:10Z,4218184851,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538867787,2,32,1,0,0,e75syeuawg3ql8nwpi3vr2btz,1,0,0,2023-04-24T18:45:10.039Z,2023-04-25T01:14:46Z,4218184877,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538867833,3,1,1,0,0,2tk2l9sgktwc9jhzqdd4mpdtb,1,49.8,49.9,2023-04-24T18:45:10.178Z,2023-04-25T02:04:55Z,4218185105,213,3.5,4218185101,141,40.9,4218656989,178,,4218185103,212,19.8,4218185099,140,31.9,4218185097,56,Back,4218185107,279,S,,,,57bin6he6kbdo2bs4i78z2k0l,L. Pellegrini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538867859,4,1,1,0,2,2tk2l9sgktwc9jhzqdd4mpdtb,1,33,41.5,2023-04-24T18:45:12.479Z,2023-04-25T02:05:05Z,4218185255,1,,4218185243,155,,4218185251,212,51.2,4218185253,213,0.7,4218657191,178,,4218185245,56,Left,4218185247,140,71.7,4218185249,141,87.3,1ftejgsl4hho40cceqne1hcyd,B. Cristante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538867869,5,44,1,0,5,2tk2l9sgktwc9jhzqdd4mpdtb,1,73.2,86.7,2023-04-24T18:45:15.660Z,2023-04-25T05:30:48Z,4218185365,233,3,4218185301,56,Left,4218185303,286,,,,,,,,,,,,,,,,,363nsa82dww242zeo09wpcslx,T. Abraham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538867875,3,44,1,0,5,e75syeuawg3ql8nwpi3vr2btz,0,26.8,13.3,2023-04-24T18:45:15.661Z,2023-04-25T02:05:09Z,4218185405,233,5,4218185321,56,Back,4218185323,285,,,,,,,,,,,,,,,,,6lfje6glfgycun47flgmc9jvt,J. Mæhle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538867877,6,1,1,0,5,2tk2l9sgktwc9jhzqdd4mpdtb,0,71.7,87.3,2023-04-24T18:45:15.679Z,2023-04-25T05:30:48Z,4218185325,3,,4218657379,388,,4218185333,212,7.3,4218185327,56,Center,4218185335,213,4.9,4218185329,140,72.9,4218185331,141,76.7,,,,363nsa82dww242zeo09wpcslx,T. Abraham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538867899,4,49,1,0,6,e75syeuawg3ql8nwpi3vr2btz,1,26.2,26.3,2023-04-24T18:45:16.661Z,2023-04-25T02:05:22Z,,,,,,,,,,,,,,,,,,,,,,,,,9q01y4w4dwpaqf8lmpv9wnmc5,M. de Roon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
