id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/8/value,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,keyPass,qualifier/11/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/14/value,qualifier/15/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/16/value,assist,qualifier/17/value
2509432027,1,34,16,0,0,dxq76zcvnokq07cszdx0i6kve,1,0,0,2023-02-18T18:43:46.431Z,2023-02-18T19:43:48Z,4041263691,194,b881arnahhahg0iaix4mx266t,4041263681,59,"1, 19, 13, 23, 29, 50, 37, 4, 9, 26, 11, 2, 3, 5, 7, 14, 15, 20, 24, 80, 99",4041263687,130,12,4041263689,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4041263679,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4041263677,30,"93237ztqyi3r4hu3rmgzrgudx, dfckk0xst90yjlep74tvups5x, c33x61zuxixolkkalsigc3q0a, e2xiayt8k5tv4dw5hjop71fqh, ah0f7tonnst92d8q91j1wll62, dkx1rfzizskaplpex70i3q0o9, b881arnahhahg0iaix4mx266t, 13o5eskqs8b88yerwltk0tivp, 6z3a27dxffwacyxof0imvcfvu, 8shwa0k28rt5duyrhuqza1hhx, 18jovwk0ysx6ajb8y75179j9x, 96d5il3afakek9qvsbtldu162, 6gzi8qf8szxn99dnwh3h6gkb9, 8zyg5zuzyr6t0idi5od2ypvbp, 5152de1kfmrihdzbdotpeo8ut, 8e4wkgb71btkez592um5vts0k, ar0g6o07dm7nwcf2dyzux8ay2, al3t9fzj4ab55yux0zkd1jkr9, bl76cebhta912vfi9z7ky32p6, bf4gvp8pzp50lhtb2fc35zeok, hhv3h90gifzevkeqh97cb504",4041263693,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4041534045,197,8396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509434841,1,34,16,0,0,3vo5mpj7catp66nrwwqiuhuup,1,0,0,2023-02-18T18:46:48.808Z,2023-02-18T19:45:38Z,4041278217,30,"c9lu69xk59a75bnpzgalh1kut, 2r6hs8npijvt4wekd059t6tx, 19856wqwrmzmvfw9thf0tzrv9, q6ns1fyw7w10xkkubh8etfc9, ujb2hkujcnwnyrbsgk3ilmtx, asyzhp3qu95vmzdbau6nmoic5, ahgd3on22t4h7gg9ipnj1itw5, 1xscywgyfqisqexmpfvbf9g45, 8qgbxff7xlg0zjtyees7ljljp, a5eki9p236y4zxmp9qz202pcl, 3ddsnnhxo0mem95lcph71ix1x, ci37qg2uu0z3nppxvn0z9034l, by2gxuixij1eciu56k8mb3cgl, 9qow77e16pvlb3860yjpydryt, 7r2tgpdrr4v6n9d2gkzwmlazt, aripnzu9yo2wlr8ud93ufdhih, can2l9ha4ufsxdjxdkb739fkk, botfgp0oq4wqlwtcs9m90kded, 84so0uovope0pkt6cz2iisbth, 8kttsnok9bbh7kpy3zz3j2xg5, 6zcok1vbaitp91a9nrac20t05, 4j1oq24pfi728zyl2zkpptpsl, 6vz9qzgtbh3iqzv73xw2xaiok, 7agtkarul2qlsc20avvj45w8a",4041278219,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4041542585,197,568,4041278229,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4041278227,194,c9lu69xk59a75bnpzgalh1kut,4041278221,59,"1, 2, 32, 95, 15, 36, 23, 22, 90, 9, 77, 5, 6, 8, 10, 12, 14, 20, 21, 24, 33, 37, 45, 46",4041278223,130,12,4041278225,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509484875,2,32,1,0,0,3vo5mpj7catp66nrwwqiuhuup,1,0,0,2023-02-18T19:46:07.800Z,2023-02-19T02:37:45Z,4041544963,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509484861,2,32,1,0,0,dxq76zcvnokq07cszdx0i6kve,1,0,0,2023-02-18T19:46:07.800Z,2023-02-18T19:46:07Z,4041544893,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509484939,3,1,1,0,0,dxq76zcvnokq07cszdx0i6kve,1,50.2,50,2023-02-18T19:46:07.820Z,2023-02-19T03:23:30Z,4041545289,212,10.6,4041545287,141,50.4,4042535707,178,,4041545291,213,3.1,4041545283,56,Back,4041545285,140,40.1,4041545293,279,S,,,,6z3a27dxffwacyxof0imvcfvu,Beto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509484973,4,1,1,0,2,dxq76zcvnokq07cszdx0i6kve,1,40.8,49,2023-02-18T19:46:09.828Z,2023-02-19T03:23:38Z,4041545497,140,45.4,4041545501,212,27.5,4041545499,141,9.2,4041545495,56,Back,4041545503,213,4.9,4042535837,178,,,,,,,,18jovwk0ysx6ajb8y75179j9x,Walace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509484981,5,1,1,0,4,dxq76zcvnokq07cszdx0i6kve,0,45.1,8.9,2023-02-18T19:46:12.450Z,2023-02-19T03:23:43Z,4041545549,212,5.3,4041545551,213,6.2,4041545547,141,7.9,4041545543,56,Right,4042535993,178,,4041545545,140,50.1,,,,,,,b881arnahhahg0iaix4mx266t,R. Pereyra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509484993,3,61,1,0,4,3vo5mpj7catp66nrwwqiuhuup,1,51.6,87.1,2023-02-18T19:46:12.551Z,2023-02-19T03:24:29Z,4042536991,178,,4041545651,56,Left,,,,,,,,,,,,,,,,,,,1xscywgyfqisqexmpfvbf9g45,H. Mkhitaryan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509485009,4,49,1,0,6,3vo5mpj7catp66nrwwqiuhuup,1,32.5,88,2023-02-18T19:46:14.257Z,2023-02-19T03:24:27Z,,,,,,,,,,,,,,,,,,,,,,,,,q6ns1fyw7w10xkkubh8etfc9,A. Bastoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509485027,5,1,1,0,6,3vo5mpj7catp66nrwwqiuhuup,1,32.5,88,2023-02-18T19:46:14.301Z,2023-02-19T03:24:35Z,4041545811,141,92.9,4041545807,56,Back,4042537097,178,,4041545813,212,8.7,4041545815,213,0.4,4041545809,140,40.2,,,,,,,q6ns1fyw7w10xkkubh8etfc9,A. Bastoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
