id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/8/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/9/value,qualifier/17/value,qualifier/16/value,qualifier/14/value
2502126403,1,34,16,0,0,btcy9nra9ak4m22ovr2ia6m5v,1,0,0,2023-01-29T16:04:39.637Z,2023-01-29T17:04:49Z,4002816567,194,dkifo6kxxxsv1hr0rzk1q8afp,4002816559,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4002816565,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4002816557,30,"8n4rruxbnzvjgdomxslnmcno5, a22hb1s02edsj7t38out5r3rp, 62uaf4amxdyz6j2fuvadp0no5, 6hlutndh6zstrpi5i0u0mxyvp, 1x10v3yh4e3f1p2ndhtxcck4p, 7nwh5uoczypmuiigzi8ylsd1, dkifo6kxxxsv1hr0rzk1q8afp, 3v6az10hxcowqkewd809cri6t, bj2ymzuyq3zxbfjs3xrt3ss7p, d02p1ldr57bkxcpmq12vtvhsl, cfzvplhlvlfvau521u6b86xud, 71p9z7bqvgzb5t115fmos6fop, 3l76cgequy3tjhhudqnrejglx, 9462218yklkts6mod3cbfryz9, 5e13xwlorl1gjrnjjtfnzawa1, ho87m362sey4msdjp4n180oa, 5o80hrbyw554cetm1rbbns0k5, 6eb3jpi6t6z2ergmgzcpckdpm, 8w2rfa3vnu6t1a37510374nv9, b62gjcajugddud630e9b7ptjp, 5gond4ss348863bc1768s4q, 3a60l8v1wpr9qpapsjcu4bztg, 7y5qwgl0xu7btfd7yxgeb2gut, aaokzl1u7cev2dbn7p09cfx05",4002816569,197,572,4002816561,59,"94, 77, 23, 32, 15, 13, 21, 10, 7, 9, 20, 1, 4, 5, 6, 11, 17, 18, 29, 31, 34, 50, 88, 96",4002816571,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4002816563,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502127181,1,34,16,0,0,4raiad4l2j5lkfaz92pk4osb,1,0,0,2023-01-29T16:05:44.132Z,2023-01-29T17:04:00Z,4002820661,194,66at96kfhvigkny465lkmrnbp,4002820655,59,"1, 2, 3, 34, 4, 16, 5, 72, 7, 22, 99, 56, 8, 9, 11, 15, 23, 28, 31, 32, 38, 41, 98",4002820653,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4002820659,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4002820663,197,18187,4002820657,130,4,4002820651,30,"2udciji4n7tr07ft7twe2r9w5, 9e3t2wyjqzxsn690aysao8cfd, 66at96kfhvigkny465lkmrnbp, 4kfx8fzf54bli2a2o0i3fvhed, bhi4ivjgojkot4d7za72gu2nd, 476nfumr6aadvufrqk72tq5be, euibd75fsyggns1w3xerzzrh1, 963czsr3yecwk4s3p1wby5x3p, 21pztrby95djexvw3m9hhzgt1, eh1ul4duphy1iz4odwx9tkjjd, 6gjn7pt0i34q45g4porckuj8p, 8ud1kq9mdgukhlbda5vcn0s0l, 6gab9bfl0kj0hy1z0u75pl42d, 4mk6bbc9a8rhtmk8f4jj6onvt, b5cqy1xamdj38bh87gvz4iac5, 3jtsqwoi9w0dxxneld0mt5rs9, i4yzdkusjs6qn4v06oxj6qxh, eq7q971ebxu7ipqbyvj5n4c15, f8kcf2l4h2qzdww1vof5x9t5, 6mit9txkiacrr2dq1i27rm76d, dpnp9rguhhs04of6vmlw5spg5, da3j7qp7ed6h7nh3ppcklt5hw, acg898oezqn7590ue8x8aik89",4002820665,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502166671,2,32,1,0,0,4raiad4l2j5lkfaz92pk4osb,1,0,0,2023-01-29T17:03:17.429Z,2023-01-29T17:03:18Z,4003027081,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502166661,2,32,1,0,0,btcy9nra9ak4m22ovr2ia6m5v,1,0,0,2023-01-29T17:03:17.429Z,2023-01-30T01:20:07Z,4003027035,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502166691,3,1,1,0,0,btcy9nra9ak4m22ovr2ia6m5v,1,50.2,50.3,2023-01-29T17:03:17.460Z,2023-01-30T01:54:28Z,4003027211,140,35.3,4003027207,56,Back,4003027223,213,3.3,4003948489,178,,4003027219,212,15.8,4003027215,141,47.3,4003027225,279,S,,,,3v6az10hxcowqkewd809cri6t,Luis Alberto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502166703,4,1,1,0,1,btcy9nra9ak4m22ovr2ia6m5v,1,30.8,49.1,2023-01-29T17:03:18.637Z,2023-01-30T01:54:37Z,4003027293,213,1.2,4003027285,56,Back,4003027289,141,52.0,4003027291,212,2.1,4003948675,178,,4003027287,140,31.5,,,,,,,1x10v3yh4e3f1p2ndhtxcck4p,N. Casale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502166729,5,1,1,0,2,btcy9nra9ak4m22ovr2ia6m5v,0,32.9,52,2023-01-29T17:03:20.413Z,2023-01-30T01:54:40Z,4003028155,157,,4003027443,140,100.0,4003948703,178,,4003027451,1,,4003027441,56,Center,4003027445,141,26.2,4003027449,213,6.0,4003027447,212,73.7,7nwh5uoczypmuiigzi8ylsd1,A. Romagnoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502166725,3,5,1,0,8,4raiad4l2j5lkfaz92pk4osb,1,-1.2,74.9,2023-01-29T17:03:26.010Z,2023-01-30T01:54:44Z,4003027431,56,Back,4003027481,233,6,4003027433,346,,,,,,,,,,,,,,,,,21pztrby95djexvw3m9hhzgt1,L. Jović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502166733,6,5,1,0,8,btcy9nra9ak4m22ovr2ia6m5v,0,101.2,25.1,2023-01-29T17:03:26.010Z,2023-01-30T01:54:43Z,4003027467,346,,4003027465,56,Center,4003027485,233,3,,,,,,,,,,,,,,,,7nwh5uoczypmuiigzi8ylsd1,A. Romagnoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502166909,4,1,1,0,17,4raiad4l2j5lkfaz92pk4osb,1,4.9,49,2023-01-29T17:03:35.046Z,2023-01-30T01:54:47Z,4003028523,213,5.1,4003028513,124,,4003028521,212,28.9,4003028515,56,Back,4003028519,141,9.3,4003028517,140,14.8,4003028527,237,,,,,2udciji4n7tr07ft7twe2r9w5,P. Terracciano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
