id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,keyPass,qualifier/12/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/13/value,qualifier/15/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,assist
2476524843,1,34,16,0,0,2tk2l9sgktwc9jhzqdd4mpdtb,1,0,0,2022-10-23T17:42:21.724Z,2022-10-23T18:46:44Z,3867971889,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3867971891,59,"1, 2, 37, 3, 6, 23, 4, 20, 9, 22, 7, 8, 11, 14, 17, 24, 52, 62, 63, 65, 68, 92, 99",3867971895,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3867971899,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3867971897,194,57bin6he6kbdo2bs4i78z2k0l,3868169635,197,8380,3867971893,130,12,3867971887,30,"7gu0t0g8nej405k918fwsf8id, 8lgsqmwavspz4fv7t11rb6j9, 9ka7y81b5kst146mhq7mom5ed, ab4kuqa33849h6z77ksuqhdk9, 7o9bkf7no8wz167ingslfimdx, 6fttn5mk6n1lstqt0dl5xzn4l, 1ftejgsl4hho40cceqne1hcyd, z0nxnl93yjtz8mty3qi5542x, 363nsa82dww242zeo09wpcslx, eu4xivu8i6yla9fcnuncx1ucp, 57bin6he6kbdo2bs4i78z2k0l, c5a7z6vphv9tp9ddid5jnrnx1, 97mmzzi3dwdos6jtj2m05w4ph, a21winmltx1h9oiwqtfditkut, 8u46wgn2upd99tmmchxuw1gbt, cddggachzf198p1yhq9owtofd, 4cu8rbv55v6f6jiq50c4xatqs, bh9jia8qgkhpm5xn82bx0hhck, b0b0xalrak7k5pnfnum53umtw, bqokrpmzy2l5xyn2rgzxotzpw, d2itdjj8bx0aztqggfgv7amay, a1iz91ed6hus61yhhk2r0vkd1, el58uxf7oaqu95yx1vbgmr7it",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476526687,1,34,16,0,0,gi0l1habji5hpgar77dl5jqe,1,0,0,2022-10-23T17:44:58.136Z,2022-10-23T18:45:37Z,3867982415,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3867982407,59,"1, 22, 17, 68, 3, 5, 91, 20, 9, 11, 77, 4, 6, 7, 12, 16, 18, 21, 23, 31, 55, 59, 70, 81",3867982403,30,"af58rhtg8ck7c8g7nwfs67d91, 5d9i8ubibyiecxecr9jjvxexh, 896uaqjrz22q6fqjfzuwf77jd, 9y8fnvazj02vy31ljx3du0d79, 2p1pns6j6id4nx3nbi7fv0wrt, 8n0c5t5wzfkoauryyzy8be0gl, bcqutyzafpahp2ni41u2xt4gl, dpcws493fepch23sk26m1a8yd, 1wynwp4x95o9w5tt4cdog6i1, cen5nxf8sb8binjr7apt9nb2t, 4zy4d60v2qmaplm9xbe51y1gp, cv0p6dzx3res3affivdwcpolx, ypfascbq81vkjbe57108cpn9, 72im0m7d8rqpsclo4f5crqmsp, copo8qsmvy2fhpi1aev6f46i1, 1i23wphi202aguaeexba0le22, cp13vthbds3tl1wtfelfx2evp, 9bba1hgnx5mzpkzeazsoikn9x, 7knk2xsg4690hgq9us9us8ull, 9c9g2havtsf29fpt5582y8ne2, 40msbo4o5bwx0oeuz4743w161, 7kbn6vt37rfgd9yszzvx9idm2, 1ct0gujao4wvj1ff3aebqgqnd, abq67eup8kd31w8da2i0eftgp",3867982411,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3867982413,194,5d9i8ubibyiecxecr9jjvxexh,3867982409,130,4,3868183681,197,14196,3867982405,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476565391,2,32,1,0,0,2tk2l9sgktwc9jhzqdd4mpdtb,1,0,0,2022-10-23T18:45:06.038Z,2022-10-24T00:59:38Z,3868200675,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476565383,2,32,1,0,0,gi0l1habji5hpgar77dl5jqe,1,0,0,2022-10-23T18:45:06.038Z,2022-10-23T18:45:06Z,3868200631,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476565419,3,1,1,0,0,gi0l1habji5hpgar77dl5jqe,1,50,50,2022-10-23T18:45:06.266Z,2022-10-24T01:09:28Z,3868200875,212,2.6,3868200879,279,S,3869061093,178,,3868200871,140,51.8,3868200873,141,52.7,3868200869,56,Center,3868200877,213,0.8,,,,1wynwp4x95o9w5tt4cdog6i1,V. Osimhen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476565457,4,1,1,0,3,gi0l1habji5hpgar77dl5jqe,1,56,62.1,2022-10-23T18:45:09.989Z,2022-10-24T01:09:32Z,3868201079,141,66.1,3868201075,56,Back,3869061161,178,,3868201081,212,18.5,3868201083,213,3.0,3868201077,140,38.6,,,,,,,9y8fnvazj02vy31ljx3du0d79,S. Lobotka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476565485,5,1,1,0,5,gi0l1habji5hpgar77dl5jqe,1,41.7,62.5,2022-10-23T18:45:11.886Z,2022-10-24T01:09:35Z,3868201221,212,34.6,3868201225,1,,3868201219,141,11.6,3868201215,56,Back,3868201217,140,42.5,3869061247,178,,3868201223,213,4.7,,,,8n0c5t5wzfkoauryyzy8be0gl,Juan Jesus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476565495,6,1,1,0,9,gi0l1habji5hpgar77dl5jqe,1,44.7,10.7,2022-10-23T18:45:15.212Z,2022-10-24T01:09:39Z,3868201285,213,0.9,3868201279,140,53.3,3868201281,141,27.7,3868201283,212,14.7,3869061367,178,,3868201277,56,Center,,,,,,,5d9i8ubibyiecxecr9jjvxexh,G. Di Lorenzo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476565513,7,1,1,0,10,gi0l1habji5hpgar77dl5jqe,1,53.3,27.7,2022-10-23T18:45:16.109Z,2022-10-24T01:09:43Z,3868201369,140,32.6,3868201373,212,21.7,3869061425,178,,3868201371,141,27.6,3868201375,213,3.1,3868201367,56,Back,3868201389,156,,,,,bcqutyzafpahp2ni41u2xt4gl,T. Ndombélé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476565537,8,1,1,0,12,gi0l1habji5hpgar77dl5jqe,1,33.7,26.8,2022-10-23T18:45:18.397Z,2022-10-24T01:09:47Z,3868201513,141,9.7,3868201515,212,16.9,3868201517,213,5.5,3868201511,140,45.4,3869061475,178,,3868201509,56,Back,,,,,,,2p1pns6j6id4nx3nbi7fv0wrt,Kim Min-Jae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476565553,9,1,1,0,16,gi0l1habji5hpgar77dl5jqe,1,53.5,7.6,2022-10-23T18:45:22.047Z,2022-10-24T01:09:54Z,3869061583,178,,3868201603,141,19.4,3868201599,56,Right,3868201607,213,1.5,3868201605,212,8.0,3868201601,140,54.1,,,,,,,5d9i8ubibyiecxecr9jjvxexh,G. Di Lorenzo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
