id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,keyPass,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2446325479,1,34,16,0,0,4klvxyeh3xcus4ongu7c00mgc,1,0,0,2022-08-14T17:51:00.780Z,2022-08-14T18:41:37Z,3707498337,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3707498329,59,"69, 11, 13, 43, 14, 29, 33, 20, 18, 10, 6, 1, 2, 7, 8, 15, 17, 19, 23, 28, 30, 40, 44, 77",3707498333,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3707498331,130,12,3707498327,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3707498335,194,8lta4w1nytggiwnaqv4e5cc0l,3707498325,30,"4g0d51pqr4grzoe9cx7do6pxx, 8lta4w1nytggiwnaqv4e5cc0l, 545o5sllzb34kosvbw3fxhc5x, 89z0ym1zvwp7rikmd0kvpcq8l, 8585juruxxi6z8ih6kfqvrj6x, 6sejjyqssbr3olctm9nkq2v9x, 72sbeqsrvv64vwiec51r9g1k9, yau2ry4oz8da3etdtf5td0id, 8zltxvt0rcrcv96x1wmdhlrrp, e4cwx5r9hrvip371egldkc6ol, 6ehsdxl74v0qtlbjjjbu0r0t1, bmqg7owjivu1f3grdigkid0b9, awf3x41nsz8m73bhte5wlz6ui, 4ypa8ma678embtagi427eg4id, 6n7sw8r0fhcoa8hfuxrtm96tx, 399j815r2akyfreynjrouwbmx, 7mog0f7cncmy6airdy3akurfu, gbeebtmqq3qerrs4u7ikq0ru, 18endjtdloeh4vge1w9yd8yc5, 7u9bpiajlgr3zibj89pub7wbu, 1fsum47fkh62rer9xxe3smctm, q86iuo0cn7dlhvgwz6ix1mqy, eprihatu8znb0vq6kuaj38z1m, 8kioh2rzit592d4zwjoqsftas",3707619601,197,8669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446326113,1,34,16,0,0,8le3orkfz6iix3jns6g9ojqjg,1,0,0,2022-08-14T17:52:47.311Z,2022-08-14T18:46:01Z,3707501837,194,1lota2za1imhl3oydwa89u5l,3707501829,130,23,3707501823,30,"h12c7ocq35slzrop3ltnrsnp, dmza22ad3iars2svmghrwhfit, 8dgh4fzut8khpt32d6dsrljsa, 9cy6lgb0e0cq4a7ht389qaklx, 54mmovmx3osoxgbloe9rzmx9l, cnk07o3823zl5gd7qr2bdks7p, 2l87vg4m0glbbdvnrg4zud51x, 3sehm4zmy7141wm4ecfqqoxd5, ewwo2c7kw1b1okrngjl4j4dm1, anr1wukl3xezz39fwogjzatw5, 1lota2za1imhl3oydwa89u5l, 9jx56wcoj1htd69i749wfwkx5, an5eip4p2zmw49hh9eqksigo9, evkgrslmleq311byixv6qbydx, c68syh6axbkqmcmvrpumqb8mi, 5yq6tl0qvxwespxl0npuonyzt, 4az5n8aekw6ipzu7fagqhkys4, 39504a9fwi439uhqbwc809ene, 6e9fu9o226zn6jzx02jutvi3u, d5m5q6dlc7vnbs634dinbsuwa, bk1gdyxtfp4drwb0yotwerbsa, 5vyszdd8h7l79tlwy40lgimfo, 82570ti7mvi1ikpc3l7oz52w9, doc2gnbp9db0101sf1lictono, 24e80lry11vpvswxmxfxyz7dg",3707501833,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3707501827,59,"13, 30, 65, 18, 34, 33, 8, 10, 7, 23, 25, 1, 3, 5, 9, 15, 17, 20, 21, 28, 35, 36, 68, 31, 38",3707613433,197,11835,3707501841,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3707501825,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446348055,2,32,1,0,0,4klvxyeh3xcus4ongu7c00mgc,1,0,0,2022-08-14T18:45:21.463Z,2022-08-15T01:38:05Z,3707629751,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446348039,2,32,1,0,0,8le3orkfz6iix3jns6g9ojqjg,1,0,0,2022-08-14T18:45:21.463Z,2022-08-14T18:45:24Z,3707629683,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446348065,3,1,1,0,0,8le3orkfz6iix3jns6g9ojqjg,1,49.7,49.6,2022-08-14T18:45:21.562Z,2022-08-15T01:55:10Z,3707629807,56,Back,3707629809,140,33.9,3707629813,212,16.7,3707629811,141,46.9,3707629817,279,S,3707629815,213,3.3,3708811767,178,,,,,3sehm4zmy7141wm4ecfqqoxd5,N. Bajrami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446348097,4,1,1,0,2,8le3orkfz6iix3jns6g9ojqjg,1,32.1,43.1,2022-08-14T18:45:24.011Z,2022-08-15T01:55:14Z,3707630027,212,26.8,3707630029,213,5.0,3708811855,178,,3707630023,140,39.2,3707630021,56,Back,3707630025,141,5.3,,,,,,,9cy6lgb0e0cq4a7ht389qaklx,R. Marin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446348135,5,1,1,0,5,8le3orkfz6iix3jns6g9ojqjg,1,39.1,11.9,2022-08-14T18:45:26.926Z,2022-08-15T01:55:18Z,3707630255,141,58.1,3708811941,178,,3707630261,1,,3707630257,212,34.3,3707630259,213,2.0,3707630251,56,Back,3707630253,140,26.0,,,,dmza22ad3iars2svmghrwhfit,P. Stojanović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446348185,6,1,1,0,10,8le3orkfz6iix3jns6g9ojqjg,1,25.7,60.6,2022-08-14T18:45:31.522Z,2022-08-15T01:55:21Z,3707630545,213,4.9,3707630531,56,Back,3708811997,178,,3707630535,140,28.9,3707630541,141,28.7,3707630543,212,22.0,,,,,,,cnk07o3823zl5gd7qr2bdks7p,S. Luperto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446348221,7,1,1,0,14,8le3orkfz6iix3jns6g9ojqjg,1,30.6,23,2022-08-14T18:45:35.739Z,2022-08-15T01:55:25Z,3707630725,141,3.2,3708812095,178,,3707630727,212,14.2,3707630729,213,5.0,3707630723,140,35.0,3707630721,56,Back,,,,,,,54mmovmx3osoxgbloe9rzmx9l,A. Ismajli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446348305,8,1,1,0,17,8le3orkfz6iix3jns6g9ojqjg,1,39.5,4.4,2022-08-14T18:45:39.226Z,2022-08-15T01:55:29Z,3708812159,178,,3707631087,141,18.5,3707631093,213,2.6,3707631091,212,17.5,3707631081,56,Back,3707631083,140,25.6,,,,,,,dmza22ad3iars2svmghrwhfit,P. Stojanović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
