id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/14/value,qualifier/19/id,qualifier/19/qualifierId
2460932183,1,34,16,0,0,ej5er0oyngdw138yuumwqbyqt,1,0,0,2022-09-17T12:07:06.939Z,2022-09-17T12:56:27Z,3785195609,30,"4hrmzpx1nt5ze55fpby71mcb9, 3cbwh4pfwae5xw072cy14gb85, 7ohgxs03szerp6mwiiv58ryay, 5lvdnoyknuoyr6kdruposgctl, 1po7tmdv73zfjentt0p20wdlh, 3l0mj1zzhytxvm9tryvqv8kix, 1cu7fg8sf90isf9gp21e5fqh, 4zn8zufrd17h9d5xl7qhahbyt, dccxma9p13p00n0gi1cxk1nf9, 8wh3u8b2hz7rcygnfng8khh3p, a46kdc4sdf7e6520s8gm9glm2, 56bidwsegakrtx3z1qbbpnc6i, 46twjsjrm4ljb7bhobbpwx5h, 6xt6fnmwrs7btha4d2t7wkktm, 6eqqtmbg35rg2stk10ic7q8k5, 38de1wbyp2ruksgffna791n8p, 7e11kdi7wh9tleor9w5o2fdn9, bdb6j168crcrwje9k0titxv55, bpfg11qh1q0zj2x6sqd3srvmx, a2n9op95qyb3rkye5pxqjb7bp, x8runqzjfkym8r7kdy3a8t0, b94d67jluhh4076wp2se5fqsq, d6vg86aml1ttoyks4vvvk0smh",3785195615,130,8,3785195617,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3785195613,59,"28, 29, 50, 30, 3, 26, 7, 17, 9, 21, 99, 11, 1, 4, 6, 8, 14, 19, 20, 22, 23, 33, 55",3785195621,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3785195619,194,8wh3u8b2hz7rcygnfng8khh3p,3785195611,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3785427781,197,551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460932917,1,34,16,0,0,8le3orkfz6iix3jns6g9ojqjg,1,0,0,2022-09-17T12:07:49.987Z,2022-09-17T12:56:29Z,3785199443,130,23,3785199447,194,1lota2za1imhl3oydwa89u5l,3785199445,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3785199437,30,"h12c7ocq35slzrop3ltnrsnp, dmza22ad3iars2svmghrwhfit, 8dgh4fzut8khpt32d6dsrljsa, 9cy6lgb0e0cq4a7ht389qaklx, 54mmovmx3osoxgbloe9rzmx9l, cnk07o3823zl5gd7qr2bdks7p, d7xfjvw4kun7fx4j9ldr6cb11, 3sehm4zmy7141wm4ecfqqoxd5, c68syh6axbkqmcmvrpumqb8mi, ewwo2c7kw1b1okrngjl4j4dm1, 1lota2za1imhl3oydwa89u5l, 9jx56wcoj1htd69i749wfwkx5, an5eip4p2zmw49hh9eqksigo9, dnk24js88d4ie661mwo7jkq95, 1fdgli7rrzvlhcs1exckc0r11, 95r0jtkw03vjohzwc8os8ielm, 2l87vg4m0glbbdvnrg4zud51x, 2hbduprkyabq8g1nhe6b4g3bp, 4az5n8aekw6ipzu7fagqhkys4, 39504a9fwi439uhqbwc809ene, 6e9fu9o226zn6jzx02jutvi3u, 4494989zl7g13nw17wan5adp1, d5m5q6dlc7vnbs634dinbsuwa",3785199439,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3785199449,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3785199441,59,"13, 30, 65, 18, 34, 33, 32, 10, 9, 7, 25, 1, 3, 4, 5, 6, 8, 14, 17, 20, 21, 22, 28",3785427911,197,2195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460980755,2,32,1,0,0,ej5er0oyngdw138yuumwqbyqt,1,0,0,2022-09-17T13:01:10.811Z,2022-09-17T17:31:13Z,3785438041,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460980735,2,32,1,0,0,8le3orkfz6iix3jns6g9ojqjg,1,0,0,2022-09-17T13:01:10.811Z,2022-09-17T13:01:10Z,3785437957,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460980765,3,1,1,0,0,8le3orkfz6iix3jns6g9ojqjg,1,49.9,50.3,2022-09-17T13:01:10.989Z,2022-09-17T17:37:58Z,3785438077,212,17.3,3785438073,140,33.5,3785438081,279,S,3787374961,178,,3785438075,141,48.8,3785438079,213,3.2,3785438071,56,Back,,,,3sehm4zmy7141wm4ecfqqoxd5,N. Bajrami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460980789,4,1,1,0,3,8le3orkfz6iix3jns6g9ojqjg,1,33.3,49.7,2022-09-17T13:01:13.831Z,2022-09-17T17:38:03Z,3785438199,213,2.1,3785438191,56,Back,3785438197,212,8.6,3785438193,140,29.3,3787375467,178,,3785438195,141,60.8,,,,,,,9cy6lgb0e0cq4a7ht389qaklx,R. Marin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460980901,5,1,1,0,5,8le3orkfz6iix3jns6g9ojqjg,1,29.3,61.5,2022-09-17T13:01:16.173Z,2022-09-17T17:38:08Z,3785438823,141,29.9,3785438817,140,27.7,3785438813,56,Back,3785438825,212,21.6,3787375783,178,,3785438829,213,4.6,,,,,,,cnk07o3823zl5gd7qr2bdks7p,S. Luperto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460980931,6,1,1,0,13,8le3orkfz6iix3jns6g9ojqjg,0,53.2,20.2,2022-09-17T13:01:24.238Z,2022-09-17T17:38:22Z,3785439013,213,0.2,3787377343,178,,3785439015,1,,3785439009,141,31.4,3785439007,140,88.0,3785439003,155,,3785439011,212,37.3,3785439005,56,Center,54mmovmx3osoxgbloe9rzmx9l,A. Ismajli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460980955,3,52,1,0,16,ej5er0oyngdw138yuumwqbyqt,1,9.1,56.1,2022-09-17T13:01:27.132Z,2022-09-17T17:38:31Z,3786572905,377,,3787378107,178,,,,,,,,,,,,,,,,,,,,4hrmzpx1nt5ze55fpby71mcb9,Ł. Skorupski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460981089,4,1,1,0,21,ej5er0oyngdw138yuumwqbyqt,1,13.9,49.6,2022-09-17T13:01:31.834Z,2022-09-17T17:38:36Z,3785439725,141,18.3,3787378475,178,,3785439723,140,22.1,3785439727,212,23.0,3785439729,213,5.1,3785439721,56,Back,3785439719,123,,,,,4hrmzpx1nt5ze55fpby71mcb9,Ł. Skorupski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
