id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/9/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId
2519871719,1,34,16,0,0,9dntj5dioj5ex52yrgwzxrq9l,1,0,0,2023-03-13T18:37:55.049Z,2023-03-13T19:44:59Z,4096487351,59,"16, 56, 19, 23, 28, 20, 4, 33, 9, 10, 17, 1, 2, 5, 7, 8, 11, 12, 24, 25, 27, 32, 40, 46, 83, 90",4096487353,130,17,4096633897,197,578,4096487357,194,3tpmw6tlijytn0ahwztvedkut,4096487349,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4096487355,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4096487347,30,"3fpnfgoy4lbpapv2th6g60cet, 9vnr9uog5fmggich2i4vjxwbt, 3tpmw6tlijytn0ahwztvedkut, 3sezchmdtivxl4kusvgc6j7x1, cfpaejad8i9p2r1fj0wx0g222, b33rlpjo3kx4477alx82si5wq, cknjube5flk1r5ppqthj82c5, 3v1fnp5e9pxfzgou5ebrgprrp, 5awkzgwwh48prwgvxwewuc5hx, 3jln1gzc0859ymphvq83i0mp5, 11o903vztwpnmvgrinn208qnd, 7kph61hobc93t2c2tl8l5j105, e2vtm1318mm61db2wtj4m5p79, dmrj53hcw8vcffxx0lfudbob9, 9ncagt0ezp4f41hz3b64af1t5, 9sxg58hszjq17avxgumftdu22, 9sbx7dlressy910i8uuztf93p, eyra5urhrm92240e7qbll736d, ehztjmhg6fsddm1fqb00547o5, ad1n9czqhmfe1saleourqmzth, 1dwwsz1i6v8zwh802ujwf7emt, ch5rw8dgb6wh99wyhd8o3t1pl, 72vim7cq99zdjjwivwtr773vu, enqcaecpt5hy0qv9x5pzmkjc9, 68cu39v9m8pykapkh2b97ltqt, 7ox43isyywsnrfcd56nm65be",4096487359,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519872545,1,34,16,0,0,49rkyo4do8uwj06geomw0xr4i,1,0,0,2023-03-13T18:40:30.506Z,2023-03-13T20:29:09Z,4096492115,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4096492107,30,"2luxnwcabb7msig7odfq5p5g5, etryzuxz65dmn5ewmocse66l1, b0e6d3zgwzbzysmt9b2ycvf56, 3coml6cxqa86px9up8yy3oz1m, 2mloh2yrhs60s1uwrfycc2i8l, 4u281v53ges3kimtgac0tidm2, d6sstsibcsfxporots5k9cicp, 7pg1pu4ptby6hi0rp29hv4jxl, 3mqhkh4iz4kesvmqui3hupgmi, drljavudmjvyj9mvyzq7gz2s5, c9shobonlrg7guoyb3iwnwdsl, 68jk3onf54kl1mdfz8zuicvkl, ezpkmoz1z08da3o3g45m12lzp, 19gglji6ai70jiu7iqpkaxbyt, 7j0c36u6kk97eur4virjoka8l, 53dvtfms2uxd500y87x5jf2eh, bhu3hiq2ln2cso48ndqe17bvt, 2zgjwhl5i4lya4hh7xed1jefp, q281ehu1acmc9v96sv9g8bmx, d1e3dsz9lf7g69g2l6zfurpp1, a6lo3s66xv87llkhwveoq1vqh, 4b7yhrh526hzn4vj8bh395v8q, 240qnsj5nj6l6s3cc618691at",4096492119,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4096492113,130,17,4096499535,197,9006,4096492111,59,"13, 30, 3, 98, 23, 5, 8, 18, 29, 20, 87, 1, 6, 9, 10, 11, 14, 22, 25, 33, 41, 66, 99",4096492109,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4096492117,194,etryzuxz65dmn5ewmocse66l1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519900433,2,32,1,0,0,9dntj5dioj5ex52yrgwzxrq9l,1,0,0,2023-03-13T19:48:38.501Z,2023-03-14T02:04:03Z,4096644591,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519900441,2,32,1,0,0,49rkyo4do8uwj06geomw0xr4i,1,0,0,2023-03-13T19:48:38.501Z,2023-03-13T19:48:41Z,4096644635,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519900453,3,1,1,0,0,9dntj5dioj5ex52yrgwzxrq9l,1,49.9,50.1,2023-03-13T19:48:38.540Z,2023-03-14T02:07:20Z,4096644697,212,4.0,4096644701,279,S,4096644691,56,Center,4096644693,140,52.0,4096644699,213,1.0,4097113335,178,,4096644695,141,55.0,,,,3v1fnp5e9pxfzgou5ebrgprrp,R. Krunić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519900467,4,1,1,0,1,9dntj5dioj5ex52yrgwzxrq9l,1,53.6,52,2023-03-13T19:48:40.134Z,2023-03-14T02:07:25Z,4096644785,56,Center,4096644789,141,66.8,4097113357,178,,4096644791,212,10.5,4096644793,213,1.3,4096644787,140,56.4,,,,,,,3jln1gzc0859ymphvq83i0mp5,Brahim Díaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519900475,5,50,1,0,3,9dntj5dioj5ex52yrgwzxrq9l,1,54.3,64.3,2023-03-13T19:48:42.006Z,2023-03-14T02:07:31Z,4096644817,56,Center,4096644967,233,3,4096644819,286,,,,,,,,,,,,,,,,,11o903vztwpnmvgrinn208qnd,Rafael Leão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519900495,3,7,1,0,3,49rkyo4do8uwj06geomw0xr4i,1,45.7,35.7,2023-03-13T19:48:42.132Z,2023-03-14T02:07:36Z,4096644955,56,Back,4096899721,384,,4097113415,178,,4096644957,285,,4096644961,233,5,,,,,,,,,,drljavudmjvyj9mvyzq7gz2s5,G. Kastanos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519900497,4,49,1,0,4,49rkyo4do8uwj06geomw0xr4i,1,54.1,44.1,2023-03-13T19:48:43.317Z,2023-03-14T02:07:39Z,,,,,,,,,,,,,,,,,,,,,,,,,3mqhkh4iz4kesvmqui3hupgmi,B. Dia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519900509,5,50,1,0,8,49rkyo4do8uwj06geomw0xr4i,1,73,32.4,2023-03-13T19:48:47.095Z,2023-03-14T02:07:46Z,4096644991,286,,4096644989,56,Center,4096645227,233,7,,,,,,,,,,,,,,,,3mqhkh4iz4kesvmqui3hupgmi,B. Dia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519900547,7,7,1,0,8,9dntj5dioj5ex52yrgwzxrq9l,1,27,67.6,2023-03-13T19:48:47.379Z,2023-03-14T02:07:50Z,4096645171,56,Back,4096899889,384,,4096645173,285,,4096645203,233,5,4097113493,178,,,,,,,,,,,3v1fnp5e9pxfzgou5ebrgprrp,R. Krunić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519900519,6,43,1,0,8,9dntj5dioj5ex52yrgwzxrq9l,1,0,0,2023-03-13T19:48:47.490Z,2023-03-13T19:48:57Z,4096645053,213,0,4096645045,141,60.8,4096645321,144,1,4096645049,212,0,4096645041,56,Back,4096645039,3,0,4096645043,140,31.8,,,,11o903vztwpnmvgrinn208qnd,Rafael Leão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519900549,8,4,1,0,9,9dntj5dioj5ex52yrgwzxrq9l,1,23,68.7,2023-03-13T19:48:47.911Z,2023-03-14T02:07:58Z,4096645175,13,,4096645181,265,,4096645183,285,,4096645179,152,,4096645393,233,6,4096645177,56,Back,,,,,,,3v1fnp5e9pxfzgou5ebrgprrp,R. Krunić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519900583,6,4,1,0,9,49rkyo4do8uwj06geomw0xr4i,0,77,31.3,2023-03-13T19:48:47.912Z,2023-03-14T02:07:58Z,4096645369,13,,4096645409,233,8,4096645381,265,,4097113527,178,,4096645373,56,Center,4096645377,152,,4096645385,286,,,,,3mqhkh4iz4kesvmqui3hupgmi,B. Dia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519900615,9,1,1,0,22,9dntj5dioj5ex52yrgwzxrq9l,1,25,62.9,2023-03-13T19:49:00.593Z,2023-03-14T02:08:06Z,4096645593,141,39.4,4096645587,152,,4096900045,189,,4096645585,5,,4096645589,56,Back,4096645591,140,29.1,4096645597,213,5.0,4096645595,212,16.5,cfpaejad8i9p2r1fj0wx0g222,M. Thiaw,4097113587,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519900631,10,1,1,0,24,9dntj5dioj5ex52yrgwzxrq9l,1,29.3,39.4,2023-03-13T19:49:02.582Z,2023-03-14T02:08:10Z,4096645707,140,32.3,4096645709,141,6.0,4096645711,212,22.9,4096645713,213,4.9,4097113599,178,,4096645705,56,Back,,,,,,,cknjube5flk1r5ppqthj82c5,I. Bennacer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519900645,11,1,1,0,26,9dntj5dioj5ex52yrgwzxrq9l,1,31.9,11.8,2023-03-13T19:49:05.449Z,2023-03-14T02:08:13Z,4096645773,140,20.8,4096645771,56,Back,4097113619,178,,4096645777,212,13.1,4096645775,141,20.5,4096645779,213,2.7,,,,,,,9vnr9uog5fmggich2i4vjxwbt,A. Saelemaekers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
