id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value
2515772231,1,34,16,0,0,4klvxyeh3xcus4ongu7c00mgc,1,0,0,2023-03-05T10:38:58.050Z,2023-03-05T11:31:31Z,4074728713,130,4,4074728707,30,"4g0d51pqr4grzoe9cx7do6pxx, 2s9ko6yxyi95jybzguru8g3bp, 545o5sllzb34kosvbw3fxhc5x, 6n7sw8r0fhcoa8hfuxrtm96tx, f1ma05bi3t1hfbflylx5d9tyh, 89z0ym1zvwp7rikmd0kvpcq8l, 6ehsdxl74v0qtlbjjjbu0r0t1, 72sbeqsrvv64vwiec51r9g1k9, 8zltxvt0rcrcv96x1wmdhlrrp, e4cwx5r9hrvip371egldkc6ol, 8lta4w1nytggiwnaqv4e5cc0l, 4ypa8ma678embtagi427eg4id, a21winmltx1h9oiwqtfditkut, 9n2nm6smh0txgv2482qbwhixg, azph2f84zhlvg4wd8tleydkdm, 9casrbyhvk5woencvp365fnmy, 2rdh9ggkr9iu50esnyv464dsl, 1s7qbrynbcv9uw9r5f29oyc5, cbymienvjkbbvi1rbky74vj3e, 6sejjyqssbr3olctm9nkq2v9x, 1fsum47fkh62rer9xxe3smctm, q86iuo0cn7dlhvgwz6ix1mqy, e05kmeeuc7x55gwhjmxl9ry3u, 1kafgt90durzi0trgasa35nqi, 1i47csjlvcikfs4wixzserend",4074728717,194,8lta4w1nytggiwnaqv4e5cc0l,4074728709,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4074728719,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4074728711,59,"69, 27, 13, 8, 4, 43, 6, 33, 18, 10, 11, 7, 14, 16, 19, 21, 22, 24, 25, 29, 30, 40, 55, 72, 77",4074728715,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4074845339,197,14656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515773189,1,34,16,0,0,ap6blbxhq9elm62vw6tutzlwg,1,0,0,2023-03-05T10:41:19.737Z,2023-03-05T11:32:34Z,4074733523,194,68etig279gs3btjb7fv6rvfth,4074733527,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4074733499,30,"c2ezyc2fftje7rcm5ybbuytp1, 68etig279gs3btjb7fv6rvfth, 2q0bx5wsc6b68vpps79hosnah, 8o8o4rxbdhv002pj0q21l0f84, 130pg17ru5fzq4igokx0k73e1, m7fe173js8on94ag3htziy8l, 9sjt5rv156hr2llfu241r6cph, g64b8x11ndowv2zj29r9i311, bo98qzo4gu0npm4pewc25ovyt, a9z0jsjwfteq974bxwucvc4ix, 83kdacraf2mcnbg038ld68ne2, 5uro3xukpb1lsnwepj06lgzit, 7uf7y7xa6hy3gieetcte3td2i, c39nv7jn5c3qzglosgzigif2t, e5ccnxgbz5jmqwy6fza3gdsl, co1vwppy1870xm5iymj3wmp5h, 20f5apcbciifqyln8hp3cziwa, 6mybntbgl188coqd2dl6ulhm2, 3tuxipzf6pqvga0a12422gatx, kc4qkj63uqu3wnkydxtvmwh5, 448dubo3a0ty03v6ajxpw2k2c, 5054kfjkrimomrhilbe5j3xbe",4074733509,59,"34, 5, 29, 42, 6, 23, 61, 33, 8, 26, 38, 2, 3, 7, 11, 22, 24, 25, 27, 28, 30, 32",4074733517,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4074733513,130,18,4074733503,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4074844607,197,17194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515795793,2,32,1,0,0,ap6blbxhq9elm62vw6tutzlwg,1,0,0,2023-03-05T11:32:01.747Z,2023-03-05T11:32:04Z,4074855045,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515795781,2,32,1,0,0,4klvxyeh3xcus4ongu7c00mgc,1,0,0,2023-03-05T11:32:01.747Z,2023-03-05T17:40:42Z,4074854989,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515795813,3,1,1,0,0,ap6blbxhq9elm62vw6tutzlwg,1,50.6,49.5,2023-03-05T11:32:01.899Z,2023-03-05T18:03:02Z,4074855129,141,41.5,4074855131,212,11.5,4074855127,140,40.9,4074855133,213,3.6,4074855135,279,S,4074855125,56,Back,4076710127,178,,,,,bo98qzo4gu0npm4pewc25ovyt,D. Lazović,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515795909,4,1,1,0,3,ap6blbxhq9elm62vw6tutzlwg,1,33.3,43,2023-03-05T11:32:05.489Z,2023-03-05T18:03:09Z,4074855567,213,5.2,4074855565,212,12.1,4074855561,141,27.0,4074855557,56,Back,4076710403,178,,4074855559,140,38.4,,,,,,,130pg17ru5fzq4igokx0k73e1,I. Hien,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515795935,5,1,1,0,5,ap6blbxhq9elm62vw6tutzlwg,1,36.8,28,2023-03-05T11:32:07.738Z,2023-03-05T18:03:15Z,4074855677,140,30.5,4074855679,141,49.6,4074855681,212,16.1,4076710739,178,,4074855675,56,Back,4074855683,213,2.0,,,,,,,m7fe173js8on94ag3htziy8l,G. Magnani,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515795943,6,1,1,0,8,ap6blbxhq9elm62vw6tutzlwg,1,29.4,51.5,2023-03-05T11:32:10.406Z,2023-03-05T18:03:22Z,4074855743,212,15.8,4076711055,178,,4074855737,56,Back,4074855739,140,29.6,4074855741,141,74.7,4074855745,213,1.6,,,,,,,130pg17ru5fzq4igokx0k73e1,I. Hien,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515795973,7,1,1,0,10,ap6blbxhq9elm62vw6tutzlwg,1,29.4,76.4,2023-03-05T11:32:12.196Z,2023-03-05T18:03:26Z,4074855895,56,Back,4074855901,212,15.5,4076711273,178,,4074855899,141,96.0,4074855897,140,36.9,4074855903,213,1.0,,,,,,,8o8o4rxbdhv002pj0q21l0f84,D. Coppola,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515795985,8,1,1,0,12,ap6blbxhq9elm62vw6tutzlwg,0,41.1,95,2023-03-05T11:32:14.693Z,2023-03-05T18:03:30Z,4074855977,212,21.3,4074855973,140,61.0,4074855979,213,0.2,4074855969,56,Left,4074855975,141,100.0,4076711513,178,,,,,,,,2q0bx5wsc6b68vpps79hosnah,F. Depaoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,
