id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,keyPass,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2536955033,1,34,16,0,0,6tuibxq39fdryu8ou06wcm0q3,1,0,0,2023-04-22T11:51:53.081Z,2023-04-22T13:02:02Z,4207929909,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4208193981,197,17280,4207929913,130,4,4207929907,30,"1r5gn4osgwz2b2b4sefncbhed, 5oge5fhmna0oduqvjisoa1djp, 4vis4wltntxil2m9z16mi6j8p, ef4thhub6bsd2gtmltknkz8b9, cxxxfvmrslyjyi9wz9m8kwne2, 9rzl0j9m9i30a62o1yofzvaad, 4qejyummzkrfllds8ord642qx, bqer8ajqm2vibthgumtuycbu1, f2p5457ilcfrtzhe343whhkut, 3sehm4zmy7141wm4ecfqqoxd5, 27xj7me8icr5ptta7kwx0kfs9, 37kr5th62ugmy4j55i3n45k2d, 74o97lnqpku6m9svks66qbend, 153ljvbov0n176vm9fdaizoix, 14xoy6tg51xbydm69d5ybyfis, 9k1ytj3z42ggp14vkn39hiymt, 4xnll2f9tb69wrezm04ayg76y, 61c395xuimpxo2439p8mt3y6t, 42m78ny1ggvmzmjtka7exyzqi, 6k790p49tjwkhlwf9afll9jo5, e5fnoxb8f2hycjx4gnmce2wvd, cc04mat3snly9oe4bt7xaeooa, bpt2fdnjjpb6a5ehdepyedxt6",4207929915,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4207929919,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4207929911,59,"47, 22, 6, 27, 44, 13, 16, 7, 92, 20, 45, 3, 8, 9, 11, 14, 15, 19, 21, 25, 28, 42, 64",4207929917,194,9rzl0j9m9i30a62o1yofzvaad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536956277,1,34,16,0,0,49rkyo4do8uwj06geomw0xr4i,1,0,0,2023-04-22T11:55:06.627Z,2023-04-22T14:29:42Z,4207936569,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4207936573,130,17,4208192453,197,3166,4207936567,30,"2luxnwcabb7msig7odfq5p5g5, drljavudmjvyj9mvyzq7gz2s5, b0e6d3zgwzbzysmt9b2ycvf56, 3coml6cxqa86px9up8yy3oz1m, 2mloh2yrhs60s1uwrfycc2i8l, 4b7yhrh526hzn4vj8bh395v8q, 7j0c36u6kk97eur4virjoka8l, 7pg1pu4ptby6hi0rp29hv4jxl, 3mqhkh4iz4kesvmqui3hupgmi, c9shobonlrg7guoyb3iwnwdsl, 53dvtfms2uxd500y87x5jf2eh, 68jk3onf54kl1mdfz8zuicvkl, blo3zmhar2mujyp9z7kjnsut, 4u281v53ges3kimtgac0tidm2, ezpkmoz1z08da3o3g45m12lzp, d6sstsibcsfxporots5k9cicp, 19gglji6ai70jiu7iqpkaxbyt, 6l046k4t48abc079efzg2oic5, etryzuxz65dmn5ewmocse66l1, d1e3dsz9lf7g69g2l6zfurpp1, a6lo3s66xv87llkhwveoq1vqh, 240qnsj5nj6l6s3cc618691at",4207936575,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4207936579,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4207936571,59,"13, 20, 3, 98, 23, 66, 10, 18, 29, 87, 11, 1, 2, 5, 6, 8, 9, 15, 30, 33, 41, 99",4207936577,194,c9shobonlrg7guoyb3iwnwdsl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537006865,2,32,1,0,0,49rkyo4do8uwj06geomw0xr4i,1,0,0,2023-04-22T13:00:20.078Z,2023-04-22T19:27:43Z,4208197839,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537006887,2,32,1,0,0,6tuibxq39fdryu8ou06wcm0q3,1,0,0,2023-04-22T13:00:20.078Z,2023-04-22T13:00:22Z,4208197967,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537006893,3,1,1,0,0,49rkyo4do8uwj06geomw0xr4i,1,50,50,2023-04-22T13:00:20.178Z,2023-04-22T19:33:02Z,4208197989,140,32.5,4208197995,213,2.9,4208197991,141,57.5,4208197997,279,S,4208197987,56,Back,4210602927,178,,4208197993,212,19.1,,,,3mqhkh4iz4kesvmqui3hupgmi,B. Dia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537006917,4,1,1,0,2,49rkyo4do8uwj06geomw0xr4i,1,30.2,50.9,2023-04-22T13:00:22.457Z,2023-04-22T19:33:05Z,4208198109,56,Back,4208198113,141,19.2,4210603191,178,,4208198115,212,21.6,4208198117,213,4.7,4208198111,140,29.1,,,,,,,7pg1pu4ptby6hi0rp29hv4jxl,L. Coulibaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537006939,5,1,1,0,6,49rkyo4do8uwj06geomw0xr4i,1,35.1,24.9,2023-04-22T13:00:26.099Z,2023-04-22T19:33:06Z,4208198233,141,46.6,4210603269,178,,4208198227,56,Back,4208198237,212,17.6,4208198239,213,2.1,4208198229,140,26.0,,,,,,,4b7yhrh526hzn4vj8bh395v8q,M. Lovato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537006981,6,1,1,0,9,49rkyo4do8uwj06geomw0xr4i,1,15.2,50.4,2023-04-22T13:00:29.422Z,2023-04-22T19:33:08Z,4208198429,213,1.2,4210603431,178,,4208198425,141,80.5,4208198421,56,Back,4208198427,212,21.7,4208198423,140,22.1,,,,,,,2mloh2yrhs60s1uwrfycc2i8l,N. Gyömbér,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537006993,7,1,1,0,12,49rkyo4do8uwj06geomw0xr4i,1,25.9,71.8,2023-04-22T13:00:33.047Z,2023-04-22T19:33:12Z,4208198493,141,73.2,4208198497,213,0.1,4210603759,178,,4208198487,56,Back,4208198489,140,38.2,4208198495,212,13.0,,,,,,,3coml6cxqa86px9up8yy3oz1m,L. Pirola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537007001,8,1,1,0,15,49rkyo4do8uwj06geomw0xr4i,1,37.8,81.4,2023-04-22T13:00:35.577Z,2023-04-22T19:33:26Z,4208198537,56,Back,4208198541,141,91.8,4208198545,213,2.4,4208198539,140,30.5,4208198543,212,10.4,4210604801,178,,,,,,,,53dvtfms2uxd500y87x5jf2eh,E. Botheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
