id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/12/value,qualifier/9/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,assist,qualifier/20/id,qualifier/20/qualifierId
2458560229,1,34,16,0,0,e75syeuawg3ql8nwpi3vr2btz,1,0,0,2022-09-11T09:39:30.456Z,2022-09-11T10:31:39Z,3772613977,30,"7drgir9lcwfst8vxz07jboe6t, 1oflzbi4gq8wdjlmpa865jj6d, 30oup47g0i12cvub12r7kmxd6, cm6iy4b06qv9y6ww0hthqlwb9, n62gu1fztuvojijr41hyetw5, e5nv028chtw0955vhnh74ukbu, 9q01y4w4dwpaqf8lmpv9wnmc5, 2ugzqrpaooto1r24a6kvqf2ll, ds719g843vjs279iine5otgid, 4euxcqawlks4c56pqj8xvwbf9, 8d04q3yp2kouwog0lj0s7ew2x, 6lfje6glfgycun47flgmc9jvt, 2fqlri41xq6p924kine7pjr2t, 4aqkgskbra4wsoo7a8uw7xl9l, d364lpc0km51psy3zwc4a6zca, 42m78ny1ggvmzmjtka7exyzqi, 7mvqysbmyf6uj3jny3qpqw2ga, 9sdrd6flk2jene11v193nm1n9, 4cejhrr3ji36591xf54jue3ca, 3ww5879aay1xf2a20nl9ihwid, 2fsgc0b4mvwpenawmit0q0bmd",3772613987,194,cm6iy4b06qv9y6ww0hthqlwb9,3772613989,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3772691723,197,548,3772613979,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3772613983,130,17,3772613985,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3772613981,59,"1, 33, 93, 2, 28, 5, 15, 7, 9, 18, 11, 3, 10, 13, 17, 21, 22, 31, 42, 57, 88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458560589,1,34,16,0,0,af91jdcs6x0bqkmdb78rokod2,1,0,0,2022-09-11T09:41:28.934Z,2022-09-11T10:31:35Z,3772616203,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3772616201,194,360knvg4k1yywxnb8o1mlyggl,3772691639,197,16721,3772616197,130,13,3772616199,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3772616195,59,"97, 17, 3, 44, 21, 4, 32, 28, 90, 6, 77, 2, 5, 7, 8, 9, 10, 13, 19, 20, 22, 23, 33, 62, 74, 98",3772616191,30,"6wplm29z7qxxmujyc2ml19gix, 913rgsi93o890wc2cbuwlbqp5, d9bg5jjv8pz0f8u55x3hg0962, 3jruai7zu28e8f0ooj4t16l05, 360knvg4k1yywxnb8o1mlyggl, ay6tmp6zkxtjzse2gel3rgnl6, bmmahw4ww36w4tokk3xhvvvmd, 9qrewt049r6yq88c715ymau39, 86603cyr3osksy73el0ncy7yt, a8ez7qv4n62b8s45pdo8u07o5, 1gnc1tbpmomiqt1sty2lktt5, 9ajh8tm9rl0i2sa09c9dfu0h5, 7ojvhhfvbtbn60sc50y4l2ctm, 6ldly9c02sbh2ray6u6j6jro5, 5m5qyz18o5hmta6mh4zk57sh5, 1t1kgb0r5ca32f54emsscfob9, 319knuftqo071luold2fqluqd, g324scl7t7h6j05g973me82y, a7gi41760sk45wbkpbps3njdh, 74g3ef24ctcgw1kee77d3acr8, bmkqom7q02uqg75yfh7wzdg5w, 33erk8bdhefx5xnkjad2fvy8k, 1r35ds2obqkw03f7hfpfsqqui, euv7d22ahrbpa8cs1gemtc178, enopqyya6qq64lvliw7lw0s4q, 82bv9aeqvp712ut0n0kwkpskp",3772616193,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458579009,2,32,1,0,0,e75syeuawg3ql8nwpi3vr2btz,1,0,0,2022-09-11T10:30:21.265Z,2022-09-11T16:49:45Z,3772696723,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458579029,2,32,1,0,0,af91jdcs6x0bqkmdb78rokod2,1,0,0,2022-09-11T10:30:21.265Z,2022-09-11T10:30:23Z,3772696807,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458579031,3,1,1,0,0,e75syeuawg3ql8nwpi3vr2btz,1,49.8,50.3,2022-09-11T10:30:21.366Z,2022-09-11T17:00:16Z,3772696817,140,35.0,3772696819,141,63.6,3772696821,212,18.0,3772696823,213,2.6,3772696825,279,S,3772696815,56,Back,3774181523,178,,,,,ds719g843vjs279iine5otgid,L. Muriel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458579059,4,1,1,0,2,e75syeuawg3ql8nwpi3vr2btz,0,35.3,59.7,2022-09-11T10:30:23.700Z,2022-09-11T17:00:22Z,3774181803,178,,3772696943,141,39.4,3772696945,212,38.8,3772696941,140,69.8,3772696937,157,,3772696947,213,5.9,3772696939,56,Center,3772696949,1,,cm6iy4b06qv9y6ww0hthqlwb9,R. Tolói,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458579067,3,44,1,0,5,af91jdcs6x0bqkmdb78rokod2,1,30.4,69.6,2022-09-11T10:30:26.835Z,2022-09-11T18:54:11Z,3772696973,56,Back,3772696975,285,,3772696977,233,5,,,,,,,,,,,,,,,,3jruai7zu28e8f0ooj4t16l05,L. Lochoshvili,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458579063,5,44,1,0,5,e75syeuawg3ql8nwpi3vr2btz,0,69.6,30.4,2022-09-11T10:30:26.836Z,2022-09-11T17:00:28Z,3772696957,56,Center,3772696959,286,,3772696983,233,3,,,,,,,,,,,,,,,,4euxcqawlks4c56pqj8xvwbf9,R. Malinovskyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458579069,4,1,1,0,5,af91jdcs6x0bqkmdb78rokod2,0,30.8,78.5,2022-09-11T10:30:26.877Z,2022-09-11T18:54:11Z,3772696987,56,Back,3772696989,140,32.1,3774182393,388,,3772696995,213,4.8,3772696993,212,12.1,3772696991,141,60.8,3772696985,3,,,,,3jruai7zu28e8f0ooj4t16l05,L. Lochoshvili,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458579103,6,1,1,0,11,e75syeuawg3ql8nwpi3vr2btz,1,65.2,45.1,2022-09-11T10:30:32.756Z,2022-09-11T17:00:43Z,3772697177,140,69.9,3772697179,141,24.5,3772697181,212,14.9,3772697183,213,5.1,3772697175,56,Center,3774182907,178,,,,,,,,8d04q3yp2kouwog0lj0s7ew2x,A. Lookman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
