id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,assist,qualifier/9/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/14/value,qualifier/15/value,qualifier/17/value,qualifier/10/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2499836005,1,34,16,0,0,bqbbqm98ud8obe45ds9ohgyrd,1,0,0,2023-01-22T18:47:33.606Z,2023-01-22T19:39:43Z,3990915087,194,8yv9xuzriaecvvssfm8dlmz85,3990915085,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3990915079,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3991049821,197,71,3990915083,130,16,3990915077,30,"6ofu6yc2qwp5ii9cerdq1tk9h, 288nn7pbq5ewriiyb9o7da86h, 555z9bynvux7oruirg67r8i51, 2raf0uw5y2kajde0v60l4g1qt, d196vatyvq6ycn1q7d477d2i1, 8yv9xuzriaecvvssfm8dlmz85, 418gw0hpjoy8dt0ywaxjgm5pm, 2nddcty9qris2mmeldon0ogd1, 35r56n0i4sbdh7n5arbt7db6d, 7glxasv2ed6ey82dknto1y66t, ahz2npxe4geixkaz25f2pc82d, c6nl81c1q4unq5js94s6s942x, pconfrmsdy9aikioqz9s9lg5, cv46mxj5i98p4hgtbomxlxs7o, 3zqpvn7r1c779l9vwwh7yukfd, bjob8tftnxojnytcj7juo0ga2, 8rlf5vjyddkcid5ysa3yo7hlh, bh3b7e2qzh41dltd6h2obpln9, erwh25hbq259kqdirfufnbcb8, apdtqouzo9b02ozdxk8mx4zbp, 3o573dblmfc1o3wkkt2nva8k5, 9p621hq50jdkujzy4309sagkq",3990915089,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3990915081,59,"1, 8, 17, 12, 3, 6, 44, 25, 14, 22, 5, 7, 11, 15, 18, 20, 23, 24, 30, 32, 36, 43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499837275,1,34,16,0,0,e75syeuawg3ql8nwpi3vr2btz,1,0,0,2023-01-22T18:49:32.238Z,2023-01-22T19:46:22Z,3990921749,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3990921759,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3990921751,59,"1, 33, 3, 42, 6, 2, 13, 15, 17, 11, 10, 5, 9, 19, 21, 22, 23, 28, 31, 57, 88, 93",3990921747,30,"7drgir9lcwfst8vxz07jboe6t, 1oflzbi4gq8wdjlmpa865jj6d, 6lfje6glfgycun47flgmc9jvt, 4cejhrr3ji36591xf54jue3ca, 45ubqc5i6yn2l5kdtlt8tbw7p, cm6iy4b06qv9y6ww0hthqlwb9, 4aqkgskbra4wsoo7a8uw7xl9l, 9q01y4w4dwpaqf8lmpv9wnmc5, d364lpc0km51psy3zwc4a6zca, 8d04q3yp2kouwog0lj0s7ew2x, 2fqlri41xq6p924kine7pjr2t, e5nv028chtw0955vhnh74ukbu, ds719g843vjs279iine5otgid, 2idy9ngk2rojseoxxw9n98c7p, 42m78ny1ggvmzmjtka7exyzqi, 7mvqysbmyf6uj3jny3qpqw2ga, 46qb4onowewc5f2euc159lz6y, n62gu1fztuvojijr41hyetw5, 9sdrd6flk2jene11v193nm1n9, 3ww5879aay1xf2a20nl9ihwid, 2fsgc0b4mvwpenawmit0q0bmd, 30oup47g0i12cvub12r7kmxd6",3990921753,130,17,3990921757,194,cm6iy4b06qv9y6ww0hthqlwb9,3990921755,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3991051783,197,548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499861635,2,32,1,0,0,bqbbqm98ud8obe45ds9ohgyrd,1,0,0,2023-01-22T19:45:07.336Z,2023-01-23T01:25:32Z,3991057665,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499861641,2,32,1,0,0,e75syeuawg3ql8nwpi3vr2btz,1,0,0,2023-01-22T19:45:07.336Z,2023-01-22T19:45:11Z,3991057693,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499861669,3,1,1,0,0,e75syeuawg3ql8nwpi3vr2btz,1,50,50,2023-01-22T19:45:07.351Z,2023-01-23T01:34:54Z,3991057829,141,61.1,3991057831,212,17.8,3991057825,56,Back,3991057827,140,34.6,3991057835,279,S,3991487133,178,,3991057833,213,2.7,,,,8d04q3yp2kouwog0lj0s7ew2x,A. Lookman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499861683,4,1,1,0,2,e75syeuawg3ql8nwpi3vr2btz,0,34.6,61.1,2023-01-22T19:45:10.054Z,2023-01-23T01:34:58Z,3991057929,212,63.7,3991057931,213,5.5,3991057919,196,,3991057921,56,Right,3991057915,155,,3991057927,141,0.0,3991057925,140,79.6,3991487203,178,,4cejhrr3ji36591xf54jue3ca,G. Scalvini,3991057933,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499861731,3,5,1,0,7,bqbbqm98ud8obe45ds9ohgyrd,1,18.8,101.6,2023-01-22T19:45:14.675Z,2023-01-23T01:34:59Z,3991058161,233,5,3991058147,347,,3991058145,56,Back,,,,,,,,,,,,,,,,7glxasv2ed6ey82dknto1y66t,Á. Di María,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499861685,5,5,1,0,7,e75syeuawg3ql8nwpi3vr2btz,0,81.2,-1.6,2023-01-22T19:45:14.675Z,2023-01-23T01:35:00Z,3991057935,56,Right,3991057937,347,,3991058169,233,3,,,,,,,,,,,,,,,,9q01y4w4dwpaqf8lmpv9wnmc5,M. de Roon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499861741,4,1,1,0,25,bqbbqm98ud8obe45ds9ohgyrd,0,26.2,100,2023-01-22T19:45:32.953Z,2023-01-23T01:35:05Z,3991058209,213,5.6,3991058201,56,Back,3991058199,107,,3991058207,212,14.3,3991058205,141,88.4,3991058203,140,36.6,,,,,,,2raf0uw5y2kajde0v60l4g1qt,Alex Sandro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499861739,6,8,1,0,27,e75syeuawg3ql8nwpi3vr2btz,1,69.4,21.2,2023-01-22T19:45:34.391Z,2023-01-23T01:35:10Z,3991058197,56,Center,3991315417,385,,3991487377,178,,,,,,,,,,,,,,,,,45ubqc5i6yn2l5kdtlt8tbw7p,J. Palomino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
