id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2515863381,1,34,16,0,0,4plikfte18rv8v4l89z803d4y,1,0,0,2023-03-05T13:08:33.383Z,2023-03-05T13:59:51Z,4075202353,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4075202343,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4075202341,30,"e2dn4s6p2f6xnbaje17wd3jyt, 6u6mobmk6lpvwebo76ddxr3s9, 14vhrqvqomi57x5mtsawm44b9, e8c2o47zyuqa07lcrgzusn97u, 7wjzrrcy3fp8nq6dlanfxvqhh, 7kbn6vt37rfgd9yszzvx9idm2, 5qfa3h4gut5jlnfkexq5m1djp, eqggzoepu1d4t13fw6ybebtn9, x1qsrbva1nlv7nvmk2an19ed, rktyecx75c47pgwyt4vm3i7d, 3yl0m3n14kek9pwkp7catyh9l, acss55nkdwdtvt9zl6p1ry09h, ceq2btvla862pon3xhcxogdlh, dvvtx09hkl46bnq5fqjqbd8tl, 34fm990bf5wm1xkdig1pjon6y, bgpoqigjsb92lt6n5vrmshwwl, 151jcsoydef86be6b7rpt4bv8, 6l8t99gerta358od16upuhqz9, awpcf5w245iug4znjqctuebpx, crqk7tlewkn3ayk042yo1bfv8, bllfrubt6iz8m2rq7m1nbg8ic, 5enlho0lp6pftf8pc2q2xewpg",4075202355,194,e2dn4s6p2f6xnbaje17wd3jyt,4075202349,130,17,4075202345,59,"1, 37, 3, 2, 17, 59, 20, 8, 99, 80, 11, 4, 5, 9, 22, 27, 28, 29, 30, 31, 34, 36",4075202359,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4075462153,197,587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515867935,1,34,16,0,0,49rkyo4do8uwj06geomw0xr4i,1,0,0,2023-03-05T13:12:52.767Z,2023-03-05T13:59:37Z,4075224977,194,c9shobonlrg7guoyb3iwnwdsl,4075461499,197,9007,4075224973,130,17,4075224967,30,"2luxnwcabb7msig7odfq5p5g5, ezpkmoz1z08da3o3g45m12lzp, b0e6d3zgwzbzysmt9b2ycvf56, 3coml6cxqa86px9up8yy3oz1m, 2mloh2yrhs60s1uwrfycc2i8l, 4u281v53ges3kimtgac0tidm2, 2zgjwhl5i4lya4hh7xed1jefp, 7pg1pu4ptby6hi0rp29hv4jxl, 240qnsj5nj6l6s3cc618691at, drljavudmjvyj9mvyzq7gz2s5, c9shobonlrg7guoyb3iwnwdsl, 68jk3onf54kl1mdfz8zuicvkl, blo3zmhar2mujyp9z7kjnsut, d6sstsibcsfxporots5k9cicp, 19gglji6ai70jiu7iqpkaxbyt, 7j0c36u6kk97eur4virjoka8l, 53dvtfms2uxd500y87x5jf2eh, bhu3hiq2ln2cso48ndqe17bvt, q281ehu1acmc9v96sv9g8bmx, 3mqhkh4iz4kesvmqui3hupgmi, etryzuxz65dmn5ewmocse66l1, 488q58xm2ahxuvpeyfpgwfklw, a6lo3s66xv87llkhwveoq1vqh, 4b7yhrh526hzn4vj8bh395v8q, bdifdtqh2ri7uw0l3tbwupxxw",4075224971,59,"13, 6, 3, 98, 23, 5, 22, 18, 99, 20, 87, 1, 2, 8, 9, 10, 11, 14, 25, 29, 30, 39, 41, 66, 72",4075224969,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4075224975,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4075224979,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515913909,2,32,1,0,0,4plikfte18rv8v4l89z803d4y,1,0,0,2023-03-05T14:00:28.452Z,2023-03-05T21:33:47Z,4075464309,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515913929,2,32,1,0,0,49rkyo4do8uwj06geomw0xr4i,1,0,0,2023-03-05T14:00:28.452Z,2023-03-05T14:00:29Z,4075464405,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515913979,3,1,1,0,0,4plikfte18rv8v4l89z803d4y,1,50,50,2023-03-05T14:00:28.616Z,2023-03-05T21:40:06Z,4075464615,213,3.1,4075464607,56,Back,4077333923,178,,4075464617,279,S,4075464609,140,34.3,4075464613,212,16.6,4075464611,141,52.2,,,,eqggzoepu1d4t13fw6ybebtn9,T. Rincón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515914057,4,1,1,0,2,4plikfte18rv8v4l89z803d4y,1,34.3,52.2,2023-03-05T14:00:31.212Z,2023-03-05T21:40:09Z,4075464947,155,,4075464957,213,5.5,4075464953,141,3.5,4075464951,140,69.1,4077333997,178,,4075464949,56,Right,4075464955,212,49.3,4075464959,1,,7wjzrrcy3fp8nq6dlanfxvqhh,B. Nuytinck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515914073,5,1,1,0,5,4plikfte18rv8v4l89z803d4y,1,69.1,3.5,2023-03-05T14:00:34.054Z,2023-03-05T21:40:14Z,4075465047,56,Right,4077334227,388,,4075465051,141,18.2,4075465053,212,16.3,4075465055,213,2.5,4075465049,140,56.8,4075465045,3,,,,,6u6mobmk6lpvwebo76ddxr3s9,M. Léris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515914093,6,1,1,0,8,4plikfte18rv8v4l89z803d4y,1,56.8,18.2,2023-03-05T14:00:36.530Z,2023-03-05T21:40:17Z,4075465169,212,8.7,4075465165,140,54.6,4077334303,178,,4075465163,56,Center,4075465167,141,30.6,4075465171,213,1.8,,,,,,,5qfa3h4gut5jlnfkexq5m1djp,H. Winks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515914139,7,1,1,0,9,4plikfte18rv8v4l89z803d4y,1,54.6,30.6,2023-03-05T14:00:37.976Z,2023-03-05T21:40:20Z,4075465415,212,24.4,4075465407,56,Back,4077334493,178,,4075465411,140,34.9,4075465413,141,11.7,4075465417,213,3.7,,,,,,,eqggzoepu1d4t13fw6ybebtn9,T. Rincón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515914187,8,1,1,0,11,4plikfte18rv8v4l89z803d4y,1,34.9,11.7,2023-03-05T14:00:40.294Z,2023-03-05T21:40:24Z,4075465595,212,25.2,4075465589,56,Back,4075465593,141,48.2,4075465591,140,30.5,4077334577,178,,4075465597,213,1.8,,,,,,,7kbn6vt37rfgd9yszzvx9idm2,A. Zanoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
