id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/8/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/11/value,qualifier/10/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/15/value
2516059551,1,34,16,0,0,3vo5mpj7catp66nrwwqiuhuup,1,0,0,2023-03-05T15:58:40.275Z,2023-03-05T16:59:55Z,4076234627,30,"8kttsnok9bbh7kpy3zz3j2xg5, 2r6hs8npijvt4wekd059t6tx, 9qow77e16pvlb3860yjpydryt, q6ns1fyw7w10xkkubh8etfc9, ujb2hkujcnwnyrbsgk3ilmtx, asyzhp3qu95vmzdbau6nmoic5, ahgd3on22t4h7gg9ipnj1itw5, 1xscywgyfqisqexmpfvbf9g45, 7r2tgpdrr4v6n9d2gkzwmlazt, a5eki9p236y4zxmp9qz202pcl, botfgp0oq4wqlwtcs9m90kded, c9lu69xk59a75bnpzgalh1kut, ci37qg2uu0z3nppxvn0z9034l, by2gxuixij1eciu56k8mb3cgl, aripnzu9yo2wlr8ud93ufdhih, can2l9ha4ufsxdjxdkb739fkk, 84so0uovope0pkt6cz2iisbth, 6zcok1vbaitp91a9nrac20t05, 6vz9qzgtbh3iqzv73xw2xaiok, 7agtkarul2qlsc20avvj45w8a, 3ddsnnhxo0mem95lcph71ix1x, 8qgbxff7xlg0zjtyees7ljljp",4076234635,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4076234639,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4076234631,59,"24, 2, 8, 95, 15, 36, 23, 22, 10, 9, 20, 1, 5, 6, 12, 14, 21, 33, 45, 46, 77, 90",4076234633,130,12,4076234629,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4076468433,197,17993,4076234637,194,7r2tgpdrr4v6n9d2gkzwmlazt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516061185,1,34,16,0,0,bi1fxjrncd0ram0oi7ja1jyuo,1,0,0,2023-03-05T16:01:54.576Z,2023-03-05T16:59:46Z,4076243275,130,4,4076243279,194,4x1tm440b5cshi5gxkx5k9m95,4076243271,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4076243281,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4076243277,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4076243273,59,"30, 17, 97, 42, 13, 93, 16, 32, 77, 27, 11, 1, 4, 7, 9, 14, 18, 21, 22, 25, 28, 29, 83, 84",4076243269,30,"3nfxhugbxid6o0r92txslivh1, a9jc36ub52lh0jgq2ya56wyui, 90pjbz2aq8vz4qapqu1yt2ynd, 4x1tm440b5cshi5gxkx5k9m95, 44g3gj1lpougjwjpq9houab4l, 8mlps3xgwbxa7svajxfk2exud, dd7i0ps16hldpriliccyvxct0, d9sakxlp96siw0z1jltszdlgp, cv8wgka2bmkeqajg3eo9lb4k5, 44f0q2ucrld1rwcwx63vgs7hl, 6gjr3yxp34gj52xx8xfm9nt91, 3iveuhunq47tg8lg0lm3d31sl, 9h01w81t6g5f5owrtipn9ybpx, 5cjx2i2perp5vr62en4cyer1m, 46yp8iqh0qm7i75d98tfrsbxm, 3ail949zww61xhkymcg66bca1, 9tsvcw4xthhtoqgdowmhef7bp, 9t753r5hnyq6qe5o7csuurw15, cntcffa67r95rbcf1154r92zu, 1oszv53od5pulbhx566ht984q, 9ik51limpi4f3blp1r60hb27d, 6e4y15kfry8fzixh99zpala6t, 40g1jre7l8d2efvx9961kyqga, e3o8o5b5sxbjd2s17w14rmga",4076487127,197,16732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516107671,2,32,1,0,0,bi1fxjrncd0ram0oi7ja1jyuo,1,0,0,2023-03-05T17:00:27.408Z,2023-03-05T17:00:27Z,4076488937,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516107673,2,32,1,0,0,3vo5mpj7catp66nrwwqiuhuup,1,0,0,2023-03-05T17:00:27.408Z,2023-03-06T00:52:20Z,4076488939,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516107707,3,1,1,0,0,bi1fxjrncd0ram0oi7ja1jyuo,1,49.9,49.7,2023-03-05T17:00:27.492Z,2023-03-06T01:20:01Z,4077627675,178,,4076489061,141,47.2,4076489065,213,3.2,4076489057,56,Back,4076489067,279,S,4076489059,140,32.0,4076489063,212,18.9,,,,dd7i0ps16hldpriliccyvxct0,JoanGonzàlez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516107763,4,1,1,0,3,bi1fxjrncd0ram0oi7ja1jyuo,0,34.3,46.4,2023-03-05T17:00:31.018Z,2023-03-06T01:20:05Z,4076489365,56,Left,4076489373,213,0.6,4076489369,141,100.0,4076489371,212,65.3,4076489375,1,,4076956021,157,,4077627807,178,,4076489367,140,85.6,44g3gj1lpougjwjpq9houab4l,A. Tuia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516107853,3,5,1,0,7,3vo5mpj7catp66nrwwqiuhuup,1,18.2,-1.4,2023-03-05T17:00:35.328Z,2023-03-06T01:20:08Z,4076489849,347,,4076489853,233,5,4076489847,56,Back,,,,,,,,,,,,,,,,7r2tgpdrr4v6n9d2gkzwmlazt,Lautaro Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516107765,5,5,1,0,7,bi1fxjrncd0ram0oi7ja1jyuo,0,81.8,101.4,2023-03-05T17:00:35.328Z,2023-03-06T01:20:09Z,4076489861,233,3,4076489379,347,,4076489377,56,Left,,,,,,,,,,,,,,,,44g3gj1lpougjwjpq9houab4l,A. Tuia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516107871,4,1,1,0,22,3vo5mpj7catp66nrwwqiuhuup,1,29.5,0,2023-03-05T17:00:50.274Z,2023-03-06T01:20:11Z,4076489977,1,,4076489965,107,,4076489969,140,41.8,4076489973,212,26.5,4076489971,141,32.7,4076489975,213,1.1,4076489967,56,Back,,,,2r6hs8npijvt4wekd059t6tx,D. Dumfries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516107883,5,1,1,0,24,3vo5mpj7catp66nrwwqiuhuup,1,41.5,29.5,2023-03-05T17:00:51.948Z,2023-03-06T01:20:15Z,4076490063,212,14.3,4076490059,140,36.0,4077627999,178,,4076490097,156,,4076490065,213,2.0,4076490057,56,Back,4076490061,141,48.7,,,,a5eki9p236y4zxmp9qz202pcl,E. Džeko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
