id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/11/value,qualifier/12/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/8/value,qualifier/15/value,qualifier/13/value,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/19/value
2473034143,1,34,16,0,0,gi0l1habji5hpgar77dl5jqe,1,0,0,2022-10-16T15:09:30.418Z,2022-10-16T15:58:04Z,3849590313,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3849590299,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3849590303,130,4,3849590307,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3849838477,197,17288,3849590301,59,"1, 22, 6, 68, 3, 5, 91, 20, 81, 21, 77, 4, 7, 9, 11, 12, 17, 18, 23, 30, 31, 55, 59, 70",3849590309,194,5d9i8ubibyiecxecr9jjvxexh,3849590297,30,"af58rhtg8ck7c8g7nwfs67d91, 5d9i8ubibyiecxecr9jjvxexh, ypfascbq81vkjbe57108cpn9, 9y8fnvazj02vy31ljx3du0d79, 2p1pns6j6id4nx3nbi7fv0wrt, 8n0c5t5wzfkoauryyzy8be0gl, bcqutyzafpahp2ni41u2xt4gl, dpcws493fepch23sk26m1a8yd, abq67eup8kd31w8da2i0eftgp, 9bba1hgnx5mzpkzeazsoikn9x, 4zy4d60v2qmaplm9xbe51y1gp, cv0p6dzx3res3affivdwcpolx, 72im0m7d8rqpsclo4f5crqmsp, 1wynwp4x95o9w5tt4cdog6i1, cen5nxf8sb8binjr7apt9nb2t, copo8qsmvy2fhpi1aev6f46i1, 896uaqjrz22q6fqjfzuwf77jd, cp13vthbds3tl1wtfelfx2evp, 7knk2xsg4690hgq9us9us8ull, 8ud1kq9mdgukhlbda5vcn0s0l, 9c9g2havtsf29fpt5582y8ne2, 40msbo4o5bwx0oeuz4743w161, 7kbn6vt37rfgd9yszzvx9idm2, 1ct0gujao4wvj1ff3aebqgqnd",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473038117,1,34,16,0,0,ej5er0oyngdw138yuumwqbyqt,1,0,0,2022-10-16T15:13:06.558Z,2022-10-17T04:36:19Z,3849611411,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3849611389,30,"4hrmzpx1nt5ze55fpby71mcb9, 1po7tmdv73zfjentt0p20wdlh, 7ohgxs03szerp6mwiiv58ryay, 4zn8zufrd17h9d5xl7qhahbyt, 7e11kdi7wh9tleor9w5o2fdn9, 3l0mj1zzhytxvm9tryvqv8kix, bdb6j168crcrwje9k0titxv55, 38de1wbyp2ruksgffna791n8p, 56bidwsegakrtx3z1qbbpnc6i, bpfg11qh1q0zj2x6sqd3srvmx, a46kdc4sdf7e6520s8gm9glm2, 46twjsjrm4ljb7bhobbpwx5h, 6xt6fnmwrs7btha4d2t7wkktm, 4gmki0xpn2e9o9p7wnm0k8p1x, 6eqqtmbg35rg2stk10ic7q8k5, 1cu7fg8sf90isf9gp21e5fqh, 5j7hbe94ewys7hkd04ay5bpw5, gwvkwrniek35ag79q0a18rh0, ct2t62s5gte4o5hodlfz9hkb8, 8wh3u8b2hz7rcygnfng8khh3p, a2n9op95qyb3rkye5pxqjb7bp, 3cbwh4pfwae5xw072cy14gb85",3849611403,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3849611407,194,4zn8zufrd17h9d5xl7qhahbyt,3849828581,197,17289,3849611393,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3849611395,59,"28, 3, 50, 17, 14, 26, 19, 8, 11, 20, 99, 1, 4, 5, 6, 7, 10, 12, 18, 21, 22, 29",3849611399,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473081895,2,32,1,0,0,gi0l1habji5hpgar77dl5jqe,1,0,0,2022-10-16T16:00:15.238Z,2022-10-17T00:12:38Z,3849845691,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473081903,2,32,1,0,0,ej5er0oyngdw138yuumwqbyqt,1,0,0,2022-10-16T16:00:15.238Z,2022-10-16T16:00:18Z,3849845731,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473081915,3,1,1,0,0,ej5er0oyngdw138yuumwqbyqt,1,49.9,49.7,2022-10-16T16:00:15.384Z,2022-10-17T00:53:55Z,3849845807,140,37.6,3851371647,178,,3849845809,141,50.1,3849845805,56,Back,3849845811,212,12.9,3849845813,213,3.1,3849845817,279,S,,,,56bidwsegakrtx3z1qbbpnc6i,J. Zirkzee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473081945,4,1,1,0,1,ej5er0oyngdw138yuumwqbyqt,1,36.5,54.2,2022-10-16T16:00:17.161Z,2022-10-17T00:53:55Z,3849845963,56,Back,3849845967,141,74.4,3851371657,178,,3849845965,140,25.7,3849845969,212,17.8,3849845971,213,2.3,,,,,,,4zn8zufrd17h9d5xl7qhahbyt,G. Medel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473081953,5,1,1,0,3,ej5er0oyngdw138yuumwqbyqt,1,25.7,74.4,2022-10-16T16:00:18.569Z,2022-10-17T00:53:56Z,3849846013,212,10.7,3849846015,213,1.3,3849846011,141,89.7,3851371735,178,,3849846009,140,28.1,3849846007,56,Back,,,,,,,3l0mj1zzhytxvm9tryvqv8kix,J. Lucumí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473081985,6,1,1,0,5,ej5er0oyngdw138yuumwqbyqt,1,28.1,89.7,2022-10-16T16:00:21.150Z,2022-10-17T00:54:08Z,3851372097,178,,3849846153,140,21.3,3849846157,212,12.0,3849846155,141,75.6,3849846159,213,4.1,3849846151,56,Back,,,,,,,7ohgxs03szerp6mwiiv58ryay,A. Cambiaso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473082015,7,1,1,0,8,ej5er0oyngdw138yuumwqbyqt,1,17.1,71.6,2022-10-16T16:00:23.836Z,2022-10-17T00:54:17Z,3849846291,213,3.9,3849846283,56,Back,3849846287,141,53.3,3849846285,140,4.6,3849846289,212,18.1,3851372343,178,,,,,,,,3l0mj1zzhytxvm9tryvqv8kix,J. Lucumí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473082037,8,1,1,0,10,ej5er0oyngdw138yuumwqbyqt,0,4.7,55.7,2022-10-16T16:00:25.905Z,2022-10-17T00:54:22Z,3851372433,178,,3849846447,213,0.1,3849846443,141,63.3,3849846449,1,,3849846441,140,45.6,3849846445,212,43.3,3850760505,157,,3849846439,56,Back,4hrmzpx1nt5ze55fpby71mcb9,Ł. Skorupski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
