id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/14/value,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/19/value
2459291931,1,34,16,0,0,8le3orkfz6iix3jns6g9ojqjg,1,0,0,2022-09-12T17:56:33.885Z,2022-09-12T19:11:14Z,3776454533,194,1lota2za1imhl3oydwa89u5l,3776454523,30,"h12c7ocq35slzrop3ltnrsnp, dmza22ad3iars2svmghrwhfit, 8dgh4fzut8khpt32d6dsrljsa, 9cy6lgb0e0cq4a7ht389qaklx, 54mmovmx3osoxgbloe9rzmx9l, cnk07o3823zl5gd7qr2bdks7p, d7xfjvw4kun7fx4j9ldr6cb11, 2hbduprkyabq8g1nhe6b4g3bp, c68syh6axbkqmcmvrpumqb8mi, ewwo2c7kw1b1okrngjl4j4dm1, 1lota2za1imhl3oydwa89u5l, 9jx56wcoj1htd69i749wfwkx5, an5eip4p2zmw49hh9eqksigo9, dnk24js88d4ie661mwo7jkq95, 1fdgli7rrzvlhcs1exckc0r11, 95r0jtkw03vjohzwc8os8ielm, 2l87vg4m0glbbdvnrg4zud51x, 3sehm4zmy7141wm4ecfqqoxd5, cxjuod6b1ro67656dxwhpqqc5, 4az5n8aekw6ipzu7fagqhkys4, 39504a9fwi439uhqbwc809ene, 6e9fu9o226zn6jzx02jutvi3u, 4494989zl7g13nw17wan5adp1, d5m5q6dlc7vnbs634dinbsuwa",3776642195,197,2194,3776454529,130,23,3776454535,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3776454525,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3776454531,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3776454527,59,"13, 30, 65, 18, 34, 33, 32, 14, 9, 7, 25, 1, 3, 4, 5, 6, 8, 10, 11, 17, 20, 21, 22, 28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459292677,1,34,16,0,0,2tk2l9sgktwc9jhzqdd4mpdtb,1,0,0,2022-09-12T18:02:28.027Z,2022-09-12T18:38:51Z,3776459151,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3776459155,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3776459141,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3776459149,130,17,3776459153,194,57bin6he6kbdo2bs4i78z2k0l,3776567669,197,8380,3776459147,59,"1, 19, 37, 3, 6, 23, 4, 8, 9, 21, 7, 17, 11, 14, 20, 22, 52, 62, 63, 65, 99",3776459139,30,"7gu0t0g8nej405k918fwsf8id, 1pkymw7biivk760rxhubin1ed, 9ka7y81b5kst146mhq7mom5ed, ab4kuqa33849h6z77ksuqhdk9, 7o9bkf7no8wz167ingslfimdx, 6fttn5mk6n1lstqt0dl5xzn4l, 1ftejgsl4hho40cceqne1hcyd, c5a7z6vphv9tp9ddid5jnrnx1, 363nsa82dww242zeo09wpcslx, 93i0gcndi2m8giqqcm4knduxh, 57bin6he6kbdo2bs4i78z2k0l, 8u46wgn2upd99tmmchxuw1gbt, 97mmzzi3dwdos6jtj2m05w4ph, a21winmltx1h9oiwqtfditkut, z0nxnl93yjtz8mty3qi5542x, eu4xivu8i6yla9fcnuncx1ucp, 4cu8rbv55v6f6jiq50c4xatqs, bh9jia8qgkhpm5xn82bx0hhck, b0b0xalrak7k5pnfnum53umtw, bqokrpmzy2l5xyn2rgzxotzpw, el58uxf7oaqu95yx1vbgmr7it",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459315397,2,32,1,0,0,8le3orkfz6iix3jns6g9ojqjg,1,0,0,2022-09-12T18:45:10.625Z,2022-09-12T23:33:19Z,3776587195,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459315387,2,32,1,0,0,2tk2l9sgktwc9jhzqdd4mpdtb,1,0,0,2022-09-12T18:45:10.625Z,2022-09-12T18:45:10Z,3776587147,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459315401,3,1,1,0,0,2tk2l9sgktwc9jhzqdd4mpdtb,1,50.1,49.9,2022-09-12T18:45:10.867Z,2022-09-13T00:07:31Z,3776587211,213,3.4,3776587209,212,9.7,3776587205,140,41.2,3776587213,279,S,3776587203,56,Back,3776918341,178,,3776587207,141,46.2,,,,363nsa82dww242zeo09wpcslx,T. Abraham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459315437,4,1,1,0,1,2tk2l9sgktwc9jhzqdd4mpdtb,1,40,43.6,2022-09-12T18:45:12.127Z,2022-09-13T00:07:35Z,3776587395,140,42.8,3776587401,213,4.8,3776587399,212,24.9,3776918387,178,,3776587393,56,Back,3776587397,141,7.3,,,,,,,1ftejgsl4hho40cceqne1hcyd,B. Cristante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459315455,5,1,1,0,3,2tk2l9sgktwc9jhzqdd4mpdtb,1,41.9,7.3,2022-09-12T18:45:13.989Z,2022-09-13T00:07:40Z,3776587489,56,Back,3776587497,212,30.0,3776918453,178,,3776587501,213,2.8,3776587491,140,15.4,3776587495,141,23.7,,,,,,,1pkymw7biivk760rxhubin1ed,Z. Çelik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459315493,6,1,1,0,6,2tk2l9sgktwc9jhzqdd4mpdtb,1,15.1,23.7,2022-09-12T18:45:17.189Z,2022-09-13T00:07:44Z,3776587699,140,4.1,3776587705,213,2.3,3776587701,141,43.0,3776587703,212,17.5,3776587697,56,Back,3776918519,178,,,,,,,,6fttn5mk6n1lstqt0dl5xzn4l,G. Mancini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459315541,7,1,1,0,10,2tk2l9sgktwc9jhzqdd4mpdtb,1,4.3,48.4,2022-09-12T18:45:20.714Z,2022-09-13T00:07:47Z,3776918539,178,,3776587989,56,Back,3776587997,213,1.1,3776587991,140,15.4,3776587995,212,26.8,3776587993,141,83.9,,,,,,,7gu0t0g8nej405k918fwsf8id,Rui Patrício,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459315559,8,1,1,0,15,2tk2l9sgktwc9jhzqdd4mpdtb,0,29.3,92.5,2022-09-12T18:45:26.019Z,2022-09-13T00:07:50Z,3776588089,212,23.4,3776588085,140,51.3,3776588083,56,Left,3776918565,178,,3776588087,141,86.7,3776588091,213,6.1,,,,,,,ab4kuqa33849h6z77ksuqhdk9,Ibañez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
