id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/12/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/15/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2458628063,1,34,16,0,0,6tuibxq39fdryu8ou06wcm0q3,1,0,0,2022-09-11T12:01:19.110Z,2022-09-11T12:56:49Z,3772935097,130,4,3772935095,59,"47, 22, 6, 27, 44, 13, 16, 7, 9, 45, 77, 3, 5, 8, 11, 14, 15, 18, 25, 42, 64",3772935093,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3772935103,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3773148833,194,9rzl0j9m9i30a62o1yofzvaad,3772935099,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3772935091,30,"1r5gn4osgwz2b2b4sefncbhed, 5oge5fhmna0oduqvjisoa1djp, 4vis4wltntxil2m9z16mi6j8p, ef4thhub6bsd2gtmltknkz8b9, cxxxfvmrslyjyi9wz9m8kwne2, 9rzl0j9m9i30a62o1yofzvaad, 4qejyummzkrfllds8ord642qx, bqer8ajqm2vibthgumtuycbu1, 153ljvbov0n176vm9fdaizoix, 27xj7me8icr5ptta7kwx0kfs9, 83hpavqn7r5bzcgxvjbcso3px, 37kr5th62ugmy4j55i3n45k2d, 7km4xkzmx7pytxxzcu7ugm0np, 74o97lnqpku6m9svks66qbend, 14xoy6tg51xbydm69d5ybyfis, 9k1ytj3z42ggp14vkn39hiymt, 4xnll2f9tb69wrezm04ayg76y, elnhkklafq2cwl0hit66b5vmy, 6k790p49tjwkhlwf9afll9jo5, cc04mat3snly9oe4bt7xaeooa, bpt2fdnjjpb6a5ehdepyedxt6",3772935101,197,590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458630923,1,34,16,0,0,dxq76zcvnokq07cszdx0i6kve,1,0,0,2022-09-11T12:04:23.803Z,2022-09-11T13:04:32Z,3772948127,30,"93237ztqyi3r4hu3rmgzrgudx, b881arnahhahg0iaix4mx266t, c33x61zuxixolkkalsigc3q0a, e2xiayt8k5tv4dw5hjop71fqh, dkx1rfzizskaplpex70i3q0o9, 4h1jj93i0v1pfemnjydnoc0dl, 13o5eskqs8b88yerwltk0tivp, 8zyg5zuzyr6t0idi5od2ypvbp, cjm9hrspcnmjhqttuiz5fkgr9, 5152de1kfmrihdzbdotpeo8ut, 18jovwk0ysx6ajb8y75179j9x, 96d5il3afakek9qvsbtldu162, 60no437awq8i5th7nlffh3dn9, 22pxty2g6hhtifl32avf4mxud, 6z3a27dxffwacyxof0imvcfvu, 8e4wkgb71btkez592um5vts0k, 7wjzrrcy3fp8nq6dlanfxvqhh, dfckk0xst90yjlep74tvups5x, al3t9fzj4ab55yux0zkd1jkr9, bl76cebhta912vfi9z7ky32p6, ewt8nxg2m27fj0n7dr9hbul05, hhv3h90gifzevkeqh97cb504",3772948131,59,"1, 37, 13, 23, 50, 18, 4, 5, 10, 7, 11, 2, 6, 8, 9, 14, 17, 19, 20, 24, 30, 99",3773146559,194,b881arnahhahg0iaix4mx266t,3772948133,130,12,3772948135,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3773146561,197,16667,3772948137,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3772948129,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458673907,2,32,1,0,0,dxq76zcvnokq07cszdx0i6kve,1,0,0,2022-09-11T13:00:41.535Z,2022-09-11T13:00:41Z,3773160745,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458673919,2,32,1,0,0,6tuibxq39fdryu8ou06wcm0q3,1,0,0,2022-09-11T13:00:41.535Z,2022-09-11T21:08:47Z,3773160801,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458673979,3,1,1,0,0,dxq76zcvnokq07cszdx0i6kve,1,50.1,49.9,2022-09-11T13:00:41.594Z,2022-09-11T21:33:16Z,3773161113,140,34.6,3773161111,56,Back,3773161119,213,3.0,3773161117,212,16.4,3775107425,178,,3773161121,279,S,3773161115,141,53.1,,,,cjm9hrspcnmjhqttuiz5fkgr9,Deulofeu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458673983,4,1,1,0,2,dxq76zcvnokq07cszdx0i6kve,0,34.6,53.1,2022-09-11T13:00:44.238Z,2022-09-11T21:33:25Z,3773161139,141,30.9,3773161141,212,46.4,3773161133,155,,3773161143,213,6.0,3773161145,1,,3773161135,56,Center,3775107637,178,,3773161137,140,76.4,e2xiayt8k5tv4dw5hjop71fqh,E. Ebosse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458674027,3,1,1,0,5,6tuibxq39fdryu8ou06wcm0q3,1,19.6,69.1,2022-09-11T13:00:46.744Z,2022-09-11T21:33:34Z,3775107921,21,,3773161379,56,Back,3773161385,212,13.6,3773161387,213,3.4,3773161381,140,7.2,3775107919,178,,3773161383,141,63.3,,,,9rzl0j9m9i30a62o1yofzvaad,G. Ferrari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458674035,4,52,1,0,7,6tuibxq39fdryu8ou06wcm0q3,1,7.2,63.3,2022-09-11T13:00:49.184Z,2022-09-11T21:33:38Z,3775108069,178,,3773883197,376,,,,,,,,,,,,,,,,,,,,1r5gn4osgwz2b2b4sefncbhed,A. Consigli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458674109,5,1,1,0,9,6tuibxq39fdryu8ou06wcm0q3,1,7.8,59.6,2022-09-11T13:00:50.850Z,2022-09-11T21:33:43Z,3773161785,140,14.7,3773161787,141,39.4,3775108179,178,,3773161781,123,,3773161789,212,15.5,3773161791,213,5.2,3773161783,56,Back,,,,1r5gn4osgwz2b2b4sefncbhed,A. Consigli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458674125,6,1,1,0,15,6tuibxq39fdryu8ou06wcm0q3,1,23.6,17.7,2022-09-11T13:00:56.969Z,2022-09-11T21:33:48Z,3773161899,141,6.5,3775108317,178,,3773161903,213,5.6,3773161895,56,Back,3773161897,140,33.3,3773161901,212,12.7,,,,,,,cxxxfvmrslyjyi9wz9m8kwne2,Ruan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
