id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/12/value,keyPass,qualifier/13/value,qualifier/15/value,assist,qualifier/14/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/18/value,qualifier/19/value
2466692201,1,34,16,0,0,bqbbqm98ud8obe45ds9ohgyrd,1,0,0,2022-10-02T17:44:22.254Z,2022-10-02T18:46:42Z,3815784335,194,3nnjep6bxxb6xwhanvqvjt39x,3815784327,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3815784333,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3815784329,59,"1, 6, 12, 5, 3, 19, 8, 25, 9, 14, 17, 2, 11, 15, 18, 20, 23, 24, 30, 32, 36, 44",3815941839,197,16867,3815784337,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3815784331,130,2,3815784325,30,"6ofu6yc2qwp5ii9cerdq1tk9h, 8yv9xuzriaecvvssfm8dlmz85, 2raf0uw5y2kajde0v60l4g1qt, ahz2npxe4geixkaz25f2pc82d, d196vatyvq6ycn1q7d477d2i1, 3nnjep6bxxb6xwhanvqvjt39x, 288nn7pbq5ewriiyb9o7da86h, 2nddcty9qris2mmeldon0ogd1, 3ua8gs8tzx1dkdi9z88kjk9nt, 35r56n0i4sbdh7n5arbt7db6d, 555z9bynvux7oruirg67r8i51, 9pe3yqjsmcjtxdx7bdne3d4ut, pconfrmsdy9aikioqz9s9lg5, cv46mxj5i98p4hgtbomxlxs7o, 3zqpvn7r1c779l9vwwh7yukfd, bjob8tftnxojnytcj7juo0ga2, 8rlf5vjyddkcid5ysa3yo7hlh, bh3b7e2qzh41dltd6h2obpln9, erwh25hbq259kqdirfufnbcb8, apdtqouzo9b02ozdxk8mx4zbp, 3o573dblmfc1o3wkkt2nva8k5, 418gw0hpjoy8dt0ywaxjgm5pm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466698109,1,34,16,0,0,ej5er0oyngdw138yuumwqbyqt,1,0,0,2022-10-02T17:55:30.072Z,2022-10-02T18:46:42Z,3815818781,30,"4hrmzpx1nt5ze55fpby71mcb9, 3cbwh4pfwae5xw072cy14gb85, a2n9op95qyb3rkye5pxqjb7bp, 38de1wbyp2ruksgffna791n8p, 7e11kdi7wh9tleor9w5o2fdn9, 6xt6fnmwrs7btha4d2t7wkktm, 1cu7fg8sf90isf9gp21e5fqh, 5lvdnoyknuoyr6kdruposgctl, dccxma9p13p00n0gi1cxk1nf9, 8wh3u8b2hz7rcygnfng8khh3p, 5j7hbe94ewys7hkd04ay5bpw5, 46twjsjrm4ljb7bhobbpwx5h, 1po7tmdv73zfjentt0p20wdlh, 4gmki0xpn2e9o9p7wnm0k8p1x, 6eqqtmbg35rg2stk10ic7q8k5, 56bidwsegakrtx3z1qbbpnc6i, 4zn8zufrd17h9d5xl7qhahbyt, bdb6j168crcrwje9k0titxv55, bpfg11qh1q0zj2x6sqd3srvmx, x8runqzjfkym8r7kdy3a8t0, 3l0mj1zzhytxvm9tryvqv8kix, b94d67jluhh4076wp2se5fqsq, 7ohgxs03szerp6mwiiv58ryay, d6vg86aml1ttoyks4vvvk0smh",3815818787,130,8,3815819135,194,8wh3u8b2hz7rcygnfng8khh3p,3815818783,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3815818791,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3815947701,197,16336,3815818789,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3815818785,59,"28, 29, 22, 8, 14, 4, 7, 30, 9, 21, 10, 1, 3, 5, 6, 11, 17, 19, 20, 23, 26, 33, 50, 55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466721213,2,32,1,0,0,ej5er0oyngdw138yuumwqbyqt,1,0,0,2022-10-02T18:45:41.248Z,2022-10-02T18:46:04Z,3815946117,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466721207,2,32,1,0,0,bqbbqm98ud8obe45ds9ohgyrd,1,0,0,2022-10-02T18:45:41.248Z,2022-10-03T00:32:27Z,3815946103,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466721241,3,1,1,0,0,bqbbqm98ud8obe45ds9ohgyrd,1,49.9,50.1,2022-10-02T18:45:41.274Z,2022-10-03T01:01:09Z,3815946259,141,51.2,3815946263,213,3.1,3815946255,56,Back,3815946261,212,22.1,3816664021,178,,3815946257,140,28.9,3815946265,279,S,,,,35r56n0i4sbdh7n5arbt7db6d,A. Milik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466721273,4,1,1,0,3,bqbbqm98ud8obe45ds9ohgyrd,0,29.1,51.2,2022-10-02T18:45:44.496Z,2022-10-03T01:01:10Z,3815946469,1,,3815946465,212,65.2,3815946457,155,,3815946467,213,0,3816664031,178,,3815946461,140,91.2,3815946463,141,51.2,3815946459,56,Center,3nnjep6bxxb6xwhanvqvjt39x,L. Bonucci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466721275,3,52,1,0,8,ej5er0oyngdw138yuumwqbyqt,1,9.3,48.7,2022-10-02T18:45:49.348Z,2022-10-03T01:01:10Z,3816664039,178,,3816405003,377,,,,,,,,,,,,,,,,,,,,4hrmzpx1nt5ze55fpby71mcb9,Ł. Skorupski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466721347,4,1,1,0,10,ej5er0oyngdw138yuumwqbyqt,1,10.3,56.6,2022-10-02T18:45:51.540Z,2022-10-03T01:01:11Z,3815946863,123,,3815946867,140,26.8,3815946871,212,29.7,3815946865,56,Back,3816664047,178,,3815946869,141,92.0,3815946873,213,0.9,,,,4hrmzpx1nt5ze55fpby71mcb9,Ł. Skorupski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466721373,5,1,1,0,14,ej5er0oyngdw138yuumwqbyqt,0,27.3,95.8,2022-10-02T18:45:55.870Z,2022-10-03T01:01:11Z,3815947043,212,70.7,3816664071,178,,3815947037,56,Center,3815947041,141,35.3,3815947047,1,,3815947039,140,82.1,3815947045,213,5.7,3816405369,196,,a2n9op95qyb3rkye5pxqjb7bp,C. Lykogiannis,3815947035,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466721397,5,49,1,0,19,bqbbqm98ud8obe45ds9ohgyrd,1,19.6,70.2,2022-10-02T18:46:01.035Z,2022-10-03T01:01:11Z,,,,,,,,,,,,,,,,,,,,,,,,,6ofu6yc2qwp5ii9cerdq1tk9h,W. Szczęsny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
