id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/15/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/17/value,qualifier/18/value
2479032379,1,34,16,0,0,3vo5mpj7catp66nrwwqiuhuup,1,0,0,2022-10-29T17:50:33.280Z,2022-10-29T18:44:34Z,3881328181,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3881463339,197,568,3881328179,194,4j1oq24pfi728zyl2zkpptpsl,3881328169,30,"8kttsnok9bbh7kpy3zz3j2xg5, 2r6hs8npijvt4wekd059t6tx, 19856wqwrmzmvfw9thf0tzrv9, q6ns1fyw7w10xkkubh8etfc9, by2gxuixij1eciu56k8mb3cgl, 4j1oq24pfi728zyl2zkpptpsl, ahgd3on22t4h7gg9ipnj1itw5, 1xscywgyfqisqexmpfvbf9g45, a5eki9p236y4zxmp9qz202pcl, 7r2tgpdrr4v6n9d2gkzwmlazt, botfgp0oq4wqlwtcs9m90kded, c9lu69xk59a75bnpzgalh1kut, ci37qg2uu0z3nppxvn0z9034l, 9qow77e16pvlb3860yjpydryt, 6d7rip50yu2j7vyk76zokeehh, aripnzu9yo2wlr8ud93ufdhih, can2l9ha4ufsxdjxdkb739fkk, ujb2hkujcnwnyrbsgk3ilmtx, 84so0uovope0pkt6cz2iisbth, 6zcok1vbaitp91a9nrac20t05, asyzhp3qu95vmzdbau6nmoic5, 8qgbxff7xlg0zjtyees7ljljp",3881328177,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3881328173,59,"24, 2, 32, 95, 6, 37, 23, 22, 9, 10, 20, 1, 5, 8, 11, 12, 14, 15, 21, 33, 36, 90",3881328171,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3881328175,130,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479033115,1,34,16,0,0,4plikfte18rv8v4l89z803d4y,1,0,0,2022-10-29T17:51:42.618Z,2022-10-29T18:41:47Z,3881332155,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3881332153,30,"e2dn4s6p2f6xnbaje17wd3jyt, jk8n72zhngmdw2ek47zx7f11, e8c2o47zyuqa07lcrgzusn97u, 151jcsoydef86be6b7rpt4bv8, 5sxy1z2pz5bhlp767lyjte76d, 2bitk8s7gg2o7sjnjmolnw9ud, 1wnzwoisg4ctvcxsh2xnrkj4l, bh4a2zneilpvi1t7etuhkfl61, mh8eevw5lj4i9c7ue5n9j845, c87f30rukjnu7v3f3iqxpkxqt, 6u6mobmk6lpvwebo76ddxr3s9, 14vhrqvqomi57x5mtsawm44b9, bg7t6yere90otrlaxeu636q51, eqggzoepu1d4t13fw6ybebtn9, 3yl0m3n14kek9pwkp7catyh9l, bfjtj20rbx8bqszi5a3wayaqd, cxb8ue6jhyzcnacu7k4jy2ne1, 4cwu3yf14da7zglzpthg28j4l, bf67gbxjr8fkha0e59fs6qok5, dz33ybo9w22154xeaiteuca8l, 6l8t99gerta358od16upuhqz9, bllfrubt6iz8m2rq7m1nbg8ic, 888tdbsmzpau9eixoty8slpwq",3881332157,59,"1, 24, 2, 28, 25, 15, 23, 4, 10, 7, 37, 3, 5, 8, 11, 13, 14, 18, 21, 22, 29, 34, 70",3881332161,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3881332165,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3881332163,194,jk8n72zhngmdw2ek47zx7f11,3881332159,130,6,3881457233,197,8484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479055965,2,32,1,0,0,4plikfte18rv8v4l89z803d4y,1,0,0,2022-10-29T18:45:12.178Z,2022-10-29T18:45:12Z,3881464985,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479055967,2,32,1,0,0,3vo5mpj7catp66nrwwqiuhuup,1,0,0,2022-10-29T18:45:12.178Z,2022-10-29T23:49:17Z,3881465007,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479055985,3,1,1,0,0,4plikfte18rv8v4l89z803d4y,1,50,50,2022-10-29T18:45:12.252Z,2022-10-30T00:16:36Z,3882230373,178,,3881465099,141,51.2,3881465103,213,3.1,3881465105,279,S,3881465101,212,16.4,3881465095,56,Back,3881465097,140,34.4,,,,c87f30rukjnu7v3f3iqxpkxqt,F. Đuričić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479055987,4,61,1,0,1,4plikfte18rv8v4l89z803d4y,1,34.4,51.2,2022-10-29T18:45:13.516Z,2022-10-30T00:16:43Z,3882230555,178,,3881465111,56,Back,,,,,,,,,,,,,,,,,,,5sxy1z2pz5bhlp767lyjte76d,A. Ferrari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479056021,5,1,1,0,2,4plikfte18rv8v4l89z803d4y,1,33.7,52.5,2022-10-29T18:45:15.028Z,2022-10-30T00:16:48Z,3881465273,213,5.6,3881465263,157,,3881465267,140,70.7,3881465275,1,,3881465271,212,48.4,3881465265,56,Right,3881465269,141,10.1,3882230711,178,,2bitk8s7gg2o7sjnjmolnw9ud,O. Colley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479056023,6,44,1,0,5,4plikfte18rv8v4l89z803d4y,1,73.6,13.6,2022-10-29T18:45:17.913Z,2022-10-30T04:33:55Z,3881465297,233,3,3881465285,56,Right,3881465287,286,,,,,,,,,,,,,,,,,1wnzwoisg4ctvcxsh2xnrkj4l,M. Gabbiadini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479056015,3,44,1,0,5,3vo5mpj7catp66nrwwqiuhuup,0,26.4,86.4,2022-10-29T18:45:17.914Z,2022-10-30T00:17:00Z,3881465253,285,,3881465251,56,Back,3881465305,233,6,,,,,,,,,,,,,,,,q6ns1fyw7w10xkkubh8etfc9,A. Bastoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479056029,7,1,1,0,5,4plikfte18rv8v4l89z803d4y,0,70.7,10.1,2022-10-29T18:45:18.005Z,2022-10-30T04:33:55Z,3881465329,213,0.5,3881465327,212,20.0,3881465323,140,87.0,3881465321,56,Center,3881465325,141,25.2,3882232111,388,,3881465319,3,,,,,1wnzwoisg4ctvcxsh2xnrkj4l,M. Gabbiadini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
