id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/8/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/14/value
2452505533,1,34,16,0,0,e75syeuawg3ql8nwpi3vr2btz,1,0,0,2022-08-28T15:39:17.896Z,2022-08-28T16:25:57Z,3740320703,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3740320705,194,cm6iy4b06qv9y6ww0hthqlwb9,3740320701,130,17,3740320707,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3740544201,197,549,3740320695,30,"7drgir9lcwfst8vxz07jboe6t, 1oflzbi4gq8wdjlmpa865jj6d, 30oup47g0i12cvub12r7kmxd6, cm6iy4b06qv9y6ww0hthqlwb9, n62gu1fztuvojijr41hyetw5, e5nv028chtw0955vhnh74ukbu, 9q01y4w4dwpaqf8lmpv9wnmc5, 2ugzqrpaooto1r24a6kvqf2ll, 30gsjr0xlmjulnz227zfxga8l, 4euxcqawlks4c56pqj8xvwbf9, 8d04q3yp2kouwog0lj0s7ew2x, d364lpc0km51psy3zwc4a6zca, 6lfje6glfgycun47flgmc9jvt, ds719g843vjs279iine5otgid, 2fqlri41xq6p924kine7pjr2t, 4aqkgskbra4wsoo7a8uw7xl9l, 42m78ny1ggvmzmjtka7exyzqi, 7mvqysbmyf6uj3jny3qpqw2ga, 9sdrd6flk2jene11v193nm1n9, 4cejhrr3ji36591xf54jue3ca, 3ww5879aay1xf2a20nl9ihwid, 2fsgc0b4mvwpenawmit0q0bmd",3740320697,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3740320699,59,"1, 33, 93, 2, 28, 5, 15, 7, 91, 18, 11, 17, 3, 9, 10, 13, 21, 22, 31, 42, 57, 88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452505859,1,34,16,0,0,ap6blbxhq9elm62vw6tutzlwg,1,0,0,2022-08-28T15:39:44.200Z,2022-08-28T16:49:39Z,3740322521,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3740322523,59,"1, 24, 8, 17, 21, 42, 14, 61, 9, 11, 4, 30, 32, 6, 2, 3, 18, 19, 22, 27, 28, 34, 45, 72, 77",3740322525,130,12,3740544637,197,16329,3740322527,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3740322519,30,"c7fky0h6gi7wmibnv2tzf6mz9, 20f5apcbciifqyln8hp3cziwa, bo98qzo4gu0npm4pewc25ovyt, 9mldc318nq0tli73wjh6ueket, acss55nkdwdtvt9zl6p1ry09h, 8o8o4rxbdhv002pj0q21l0f84, 7hwj9pf9roe74jifvuhiu6n6x, 9sjt5rv156hr2llfu241r6cph, 4mab6p97p5t3w0fipzp22nxsl, e5ccnxgbz5jmqwy6fza3gdsl, 9l2tdbf7p325xez7wz7wzxzh1, 448dubo3a0ty03v6ajxpw2k2c, 5054kfjkrimomrhilbe5j3xbe, 130pg17ru5fzq4igokx0k73e1, e8c2o47zyuqa07lcrgzusn97u, 7uf7y7xa6hy3gieetcte3td2i, bsi12817nc1ul082qn48d4rft, dp1y9x5r6z1q120hj3sgyhxat, co1vwppy1870xm5iymj3wmp5h, 3tuxipzf6pqvga0a12422gatx, ea4l6vjonhtvjmq1nyfec2fvt, c2ezyc2fftje7rcm5ybbuytp1, cu7dqkhlo7kms52cdes451bdh, bp1q4oept06hp1xgq7flotyzu, 8kdamc6zz4bskby51c59uuntg",3740322531,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3740322529,194,9l2tdbf7p325xez7wz7wzxzh1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452549419,2,32,1,0,0,ap6blbxhq9elm62vw6tutzlwg,1,0,0,2022-08-28T16:30:09.378Z,2022-08-28T23:53:21Z,3740559785,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452549647,2,32,1,0,0,e75syeuawg3ql8nwpi3vr2btz,1,0,0,2022-08-28T16:30:09.378Z,2022-08-28T16:30:26Z,3740560919,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452549479,3,1,1,0,0,ap6blbxhq9elm62vw6tutzlwg,1,50.1,49.7,2022-08-28T16:30:09.464Z,2022-08-29T00:30:50Z,3740560111,213,0.6,3740560113,279,S,3742218831,178,,3740560103,56,Center,3741725057,278,,3740560105,140,52.1,3740560107,141,52.0,3740560109,212,2.6,7hwj9pf9roe74jifvuhiu6n6x,I. Ilić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452549579,4,1,1,0,4,ap6blbxhq9elm62vw6tutzlwg,1,60.7,34.3,2022-08-28T16:30:13.858Z,2022-08-29T00:30:56Z,3740560605,141,8.0,3740560603,140,62.8,3740560601,56,Right,3740560609,213,4.8,3742218947,178,,3740560607,212,18.0,,,,,,,9l2tdbf7p325xez7wz7wzxzh1,Miguel Veloso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452549613,5,1,1,0,9,ap6blbxhq9elm62vw6tutzlwg,1,59.5,6.5,2022-08-28T16:30:19.316Z,2022-08-29T00:31:00Z,3742219073,178,,3741726223,155,,3740560781,56,Right,3740560783,140,75.2,3740560785,141,7.0,3740560787,212,16.5,3740560789,213,0.0,,,,9sjt5rv156hr2llfu241r6cph,A. Tamèze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452549615,6,61,1,0,11,ap6blbxhq9elm62vw6tutzlwg,0,75.2,6.8,2022-08-28T16:30:20.807Z,2022-08-29T00:31:25Z,3742219663,178,,3740560793,56,Right,,,,,,,,,,,,,,,,,,,e5ccnxgbz5jmqwy6fza3gdsl,K. Lasagna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452549663,3,4,1,0,11,e75syeuawg3ql8nwpi3vr2btz,1,25.8,91.6,2022-08-28T16:30:20.905Z,2022-08-29T00:31:35Z,3740560977,56,Back,3740560981,285,,3740560979,152,,3740613289,233,7,3740560975,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452549641,7,4,1,0,11,ap6blbxhq9elm62vw6tutzlwg,0,74.2,8.4,2022-08-28T16:30:20.906Z,2022-08-29T00:31:34Z,3740560889,152,,3740560887,56,Right,3740560891,286,,3740560885,10,,3742220065,178,,3740613313,233,3,,,,,,,e5ccnxgbz5jmqwy6fza3gdsl,K. Lasagna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
