id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,qualifier/10/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/16/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,assist
2480103297,1,34,16,0,0,67z1gqyiuzpmmb15q5fy7ntc4,1,0,0,2022-10-31T18:59:29.880Z,2022-10-31T20:08:27Z,3887030041,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3887030039,30,"b3hr4q25jvqr7565z5ydqylt5, 721e4tx2wrwb4kd9w80fcq19l, 18yip8wsirmu6s0idhvapnaad, 4d17grk2qflzake218uz76uei, ejgtltbsu0djglqw98gywgu6t, annamxplmbyakvo2akw63xxw5, 79e6khfyg3rdauul0yjlixv8q, 64z85woxiowxzod5e0g0x77x1, 2qdgfxqyh0bjn3alkz97py8k5, 91sgvwun5559mwe9bszj4xql1, 2zk88fh1e5js1g2jmfkrjmxka, 4vonqsqrzoyye4vs6n7dud2p5, 1muwnu7rq4feejspx7no203px, 61phh511ju65h6coren0pbkd1, 9noq0ogmqc2cwj3nowoadcdlh, 6ck9f1ppvl65nui0x71q80jx1, 1b8uwkohkevu6ltjex0liklpl, duqiler25n63ksi0fxreo50mi, aqihfinmho5z4o2r2umpddsyd, 98x5xrku2jffo0in2u2htazca, chjjcy789cuwlsik2ibmubtyi, dq037w5t3ht5zgd75mue4p1pl, rblijalj0qnu455jtjoi3pjo, bcqsti42fhzap385lnfe4auhh, 6jwy293owzzhldv4i9wxntjv9, ahrgnlsku8ghrj2qc0s6p1rhm",3887030049,194,2qdgfxqyh0bjn3alkz97py8k5,3887030051,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3887030047,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3887101191,197,16793,3887030045,130,18,3887030043,59,"16, 19, 77, 30, 4, 2, 6, 12, 32, 37, 22, 7, 8, 9, 10, 17, 26, 28, 34, 38, 44, 47, 80, 84, 89, 91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480103647,1,34,16,0,0,ej5er0oyngdw138yuumwqbyqt,1,0,0,2022-10-31T19:01:21.837Z,2022-10-31T20:40:25Z,3887031967,30,"4hrmzpx1nt5ze55fpby71mcb9, bpfg11qh1q0zj2x6sqd3srvmx, 7ohgxs03szerp6mwiiv58ryay, 3l0mj1zzhytxvm9tryvqv8kix, 4gmki0xpn2e9o9p7wnm0k8p1x, 1po7tmdv73zfjentt0p20wdlh, 4zn8zufrd17h9d5xl7qhahbyt, 38de1wbyp2ruksgffna791n8p, 56bidwsegakrtx3z1qbbpnc6i, bdb6j168crcrwje9k0titxv55, a46kdc4sdf7e6520s8gm9glm2, 46twjsjrm4ljb7bhobbpwx5h, 6xt6fnmwrs7btha4d2t7wkktm, 6eqqtmbg35rg2stk10ic7q8k5, 1cu7fg8sf90isf9gp21e5fqh, 5j7hbe94ewys7hkd04ay5bpw5, 8wh3u8b2hz7rcygnfng8khh3p, a2n9op95qyb3rkye5pxqjb7bp, x8runqzjfkym8r7kdy3a8t0, 3cbwh4pfwae5xw072cy14gb85, d6vg86aml1ttoyks4vvvk0smh",3887031979,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3887101009,197,551,3887031971,59,"28, 20, 50, 26, 5, 3, 17, 8, 11, 19, 99, 1, 4, 6, 7, 10, 21, 22, 23, 29, 55",3887031973,130,17,3887031975,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3887031977,194,4zn8zufrd17h9d5xl7qhahbyt,3887031969,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480117625,2,32,1,0,0,67z1gqyiuzpmmb15q5fy7ntc4,1,0,0,2022-10-31T19:48:06.859Z,2022-11-01T03:39:08Z,3887107259,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480117633,2,32,1,0,0,ej5er0oyngdw138yuumwqbyqt,1,0,0,2022-10-31T19:48:06.859Z,2022-10-31T19:48:08Z,3887107301,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480117637,3,1,1,0,0,67z1gqyiuzpmmb15q5fy7ntc4,1,50.1,50,2022-10-31T19:48:06.926Z,2022-11-01T03:57:13Z,3887107327,56,Back,3887107331,141,51.5,3887392057,178,,3887107337,279,S,3887107335,213,3.1,3887107329,140,37.2,3887107333,212,13.6,,,,91sgvwun5559mwe9bszj4xql1,A. Petagna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480117645,4,1,1,0,1,67z1gqyiuzpmmb15q5fy7ntc4,1,37.7,52.2,2022-10-31T19:48:08.562Z,2022-11-01T03:57:21Z,3887107405,141,83.6,3887107403,140,42.5,3887107407,212,21.9,3887107409,213,1.3,3887107401,56,Back,3887392103,178,,,,,,,,64z85woxiowxzod5e0g0x77x1,S. Sensi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480117655,5,1,1,0,5,67z1gqyiuzpmmb15q5fy7ntc4,1,48.2,88.4,2022-10-31T19:48:12.452Z,2022-11-01T03:57:25Z,3887107451,56,Back,3887107459,213,2.1,3887107457,212,7.0,3887392131,178,,3887107453,140,44.7,3887107455,141,97.1,,,,,,,2zk88fh1e5js1g2jmfkrjmxka,F. Ranocchia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480117663,6,1,1,0,7,67z1gqyiuzpmmb15q5fy7ntc4,1,44.1,96,2022-10-31T19:48:14.333Z,2022-11-01T03:57:32Z,3887107515,56,Back,3887392183,178,,3887107521,212,12.0,3887107517,140,33.0,3887107523,213,3.4,3887107519,141,92.1,,,,,,,18yip8wsirmu6s0idhvapnaad,M. D'Alessandro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480117679,7,1,1,0,10,67z1gqyiuzpmmb15q5fy7ntc4,1,31.3,87.3,2022-10-31T19:48:17.068Z,2022-11-01T03:57:36Z,3887107575,141,51.8,3887107573,140,22.0,3887392211,178,,3887107577,212,26.0,3887107579,213,4.3,3887107571,56,Back,,,,,,,4d17grk2qflzake218uz76uei,Carlos Augusto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480117697,8,1,1,0,14,67z1gqyiuzpmmb15q5fy7ntc4,1,24,48.2,2022-10-31T19:48:21.195Z,2022-11-01T03:57:40Z,3887107657,141,77.6,3887107661,213,1.4,3887392237,178,,3887107653,56,Back,3887107655,140,26.6,3887107659,212,20.2,,,,,,,ejgtltbsu0djglqw98gywgu6t,Marlon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
