id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/10/value,qualifier/13/value,qualifier/15/value,qualifier/16/value,qualifier/9/value,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2512313783,1,34,16,0,0,bi1fxjrncd0ram0oi7ja1jyuo,1,0,0,2023-02-25T18:55:18.366Z,2023-02-25T19:48:25Z,4056444833,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4056444837,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4056444831,130,4,4056444827,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4056444835,194,4x1tm440b5cshi5gxkx5k9m95,4056682481,197,5190,4056444825,30,"3nfxhugbxid6o0r92txslivh1, a9jc36ub52lh0jgq2ya56wyui, 1oszv53od5pulbhx566ht984q, 4x1tm440b5cshi5gxkx5k9m95, 44g3gj1lpougjwjpq9houab4l, bkz9b4cqf8f970myv8r49f561, 6e4y15kfry8fzixh99zpala6t, d9sakxlp96siw0z1jltszdlgp, cv8wgka2bmkeqajg3eo9lb4k5, 44f0q2ucrld1rwcwx63vgs7hl, cntcffa67r95rbcf1154r92zu, 3iveuhunq47tg8lg0lm3d31sl, 9h01w81t6g5f5owrtipn9ybpx, 5cjx2i2perp5vr62en4cyer1m, 46yp8iqh0qm7i75d98tfrsbxm, 3ail949zww61xhkymcg66bca1, dd7i0ps16hldpriliccyvxct0, 9tsvcw4xthhtoqgdowmhef7bp, 9t753r5hnyq6qe5o7csuurw15, 9ik51limpi4f3blp1r60hb27d, a6jwnrv86cly1ti085c9dnn6c, 40g1jre7l8d2efvx9961kyqga, e3o8o5b5sxbjd2s17w14rmga, 8mlps3xgwbxa7svajxfk2exud, 90pjbz2aq8vz4qapqu1yt2ynd",4056444829,59,"30, 17, 25, 42, 13, 6, 29, 32, 77, 27, 22, 1, 4, 7, 9, 14, 16, 18, 21, 28, 31, 83, 84, 93, 97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512314117,1,34,16,0,0,6tuibxq39fdryu8ou06wcm0q3,1,0,0,2023-02-25T18:55:59.810Z,2023-02-25T19:45:48Z,4056446691,130,4,4056668635,197,17280,4056446693,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4056446995,194,1r5gn4osgwz2b2b4sefncbhed,4056446695,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4056446687,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4056446689,59,"47, 21, 6, 14, 28, 44, 16, 7, 92, 10, 20, 3, 8, 9, 11, 13, 15, 25, 27, 35, 42, 64",4056446685,30,"1r5gn4osgwz2b2b4sefncbhed, 42m78ny1ggvmzmjtka7exyzqi, 4vis4wltntxil2m9z16mi6j8p, 9k1ytj3z42ggp14vkn39hiymt, e5fnoxb8f2hycjx4gnmce2wvd, cxxxfvmrslyjyi9wz9m8kwne2, 4qejyummzkrfllds8ord642qx, bqer8ajqm2vibthgumtuycbu1, f2p5457ilcfrtzhe343whhkut, m030tubgf3zpgf0axzm7z26t, 3sehm4zmy7141wm4ecfqqoxd5, 37kr5th62ugmy4j55i3n45k2d, 74o97lnqpku6m9svks66qbend, 153ljvbov0n176vm9fdaizoix, 14xoy6tg51xbydm69d5ybyfis, 9rzl0j9m9i30a62o1yofzvaad, 4xnll2f9tb69wrezm04ayg76y, 6k790p49tjwkhlwf9afll9jo5, ef4thhub6bsd2gtmltknkz8b9, 9tah9hvep4bqppokmuw720qvo, cc04mat3snly9oe4bt7xaeooa, bpt2fdnjjpb6a5ehdepyedxt6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512354795,2,32,1,0,0,bi1fxjrncd0ram0oi7ja1jyuo,1,0,0,2023-02-25T19:46:20.214Z,2023-02-26T01:54:41Z,4056671823,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512354779,2,32,1,0,0,6tuibxq39fdryu8ou06wcm0q3,1,0,0,2023-02-25T19:46:20.214Z,2023-02-25T19:46:22Z,4056671723,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512354811,3,1,1,0,0,6tuibxq39fdryu8ou06wcm0q3,1,49.6,50.1,2023-02-25T19:46:20.243Z,2023-02-26T02:58:19Z,4056671915,279,S,4056671901,56,Back,4056671903,140,43.2,4056671907,212,7.7,4056671905,141,44.7,4056671909,213,3.6,4057789453,178,,,,,f2p5457ilcfrtzhe343whhkut,G. Defrel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512354887,4,1,1,0,2,6tuibxq39fdryu8ou06wcm0q3,1,45.7,49.4,2023-02-25T19:46:22.322Z,2023-02-26T02:58:22Z,4056672407,140,39.3,4057789511,178,,4056672411,212,31.3,4056672409,141,94.4,4056672405,56,Back,4056672413,213,1.8,,,,,,,4qejyummzkrfllds8ord642qx,D. Frattesi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512354959,5,1,1,0,5,6tuibxq39fdryu8ou06wcm0q3,0,39.3,94.4,2023-02-25T19:46:26.194Z,2023-02-26T02:58:26Z,4057789569,178,,4056672755,1,,4056672751,212,64.5,4056672753,213,6.2,4056672745,56,Left,4056672749,141,86.7,4056672747,140,100.0,4056672743,155,,4vis4wltntxil2m9z16mi6j8p,Rogério,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512354941,3,5,1,0,10,bi1fxjrncd0ram0oi7ja1jyuo,1,-0.3,10.3,2023-02-25T19:46:30.613Z,2023-02-26T02:58:30Z,4056672681,346,,4056672833,233,6,4056672679,56,Back,,,,,,,,,,,,,,,,cv8wgka2bmkeqajg3eo9lb4k5,A. Ceesay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512354965,6,5,1,0,10,6tuibxq39fdryu8ou06wcm0q3,0,100.3,89.7,2023-02-25T19:46:30.613Z,2023-02-26T02:58:30Z,4056672855,233,3,4056672787,346,,4056672785,56,Left,,,,,,,,,,,,,,,,4vis4wltntxil2m9z16mi6j8p,Rogério,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512355359,4,1,1,0,30,bi1fxjrncd0ram0oi7ja1jyuo,0,5.2,43.5,2023-02-25T19:46:51.118Z,2023-02-26T02:58:35Z,4056675031,74,,4056675007,155,,4056675009,56,Right,4056675005,124,,4056675027,1,,4056675011,140,78.8,4056675023,213,6.0,4056675013,141,16.0,3nfxhugbxid6o0r92txslivh1,W. Falcone,4056675017,212,79.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
