id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/14/value,qualifier/16/value
2466409739,1,34,16,0,0,bi1fxjrncd0ram0oi7ja1jyuo,1,0,0,2022-10-02T12:27:13.360Z,2022-10-02T13:08:31Z,3814237245,130,7,3814237247,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3814374275,197,5190,3814237239,30,"3nfxhugbxid6o0r92txslivh1, a9jc36ub52lh0jgq2ya56wyui, 1oszv53od5pulbhx566ht984q, 4x1tm440b5cshi5gxkx5k9m95, 8j498fkairlyk82v1qprc13op, bkz9b4cqf8f970myv8r49f561, 44f0q2ucrld1rwcwx63vgs7hl, dd7i0ps16hldpriliccyvxct0, 46yp8iqh0qm7i75d98tfrsbxm, 5cjx2i2perp5vr62en4cyer1m, cntcffa67r95rbcf1154r92zu, 90pjbz2aq8vz4qapqu1yt2ynd, 8mlps3xgwbxa7svajxfk2exud, 3iveuhunq47tg8lg0lm3d31sl, ec54xqrudky37k619x2anhrkl, b3x2ne9udyi7aguwu5sw97rop, cnexf6pdh1piheuuqzrbb1t61, 6gjr3yxp34gj52xx8xfm9nt91, 44g3gj1lpougjwjpq9houab4l, 3ail949zww61xhkymcg66bca1, almqs7iwjgmimcpmegdkoh3o5, 9ik51limpi4f3blp1r60hb27d, 6e4y15kfry8fzixh99zpala6t, a6jwnrv86cly1ti085c9dnn6c, cv8wgka2bmkeqajg3eo9lb4k5, 6dioxrahqm3l316lwtvqstnxm",3814237251,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3814237249,194,4x1tm440b5cshi5gxkx5k9m95,3814237243,59,"30, 17, 25, 42, 5, 6, 27, 16, 9, 7, 22, 97, 93, 1, 3, 4, 8, 11, 13, 14, 19, 28, 29, 31, 77, 99",3814237241,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466411729,1,34,16,0,0,af91jdcs6x0bqkmdb78rokod2,1,0,0,2022-10-02T12:29:44.791Z,2022-10-02T13:09:54Z,3814248203,30,"6wplm29z7qxxmujyc2ml19gix, 913rgsi93o890wc2cbuwlbqp5, d9bg5jjv8pz0f8u55x3hg0962, a7gi41760sk45wbkpbps3njdh, ckzn72wo51pmw475t9tl6vr2t, 3jruai7zu28e8f0ooj4t16l05, 82bv9aeqvp712ut0n0kwkpskp, 5m5qyz18o5hmta6mh4zk57sh5, 1t1kgb0r5ca32f54emsscfob9, a8ez7qv4n62b8s45pdo8u07o5, 1gnc1tbpmomiqt1sty2lktt5, ay6tmp6zkxtjzse2gel3rgnl6, 7ojvhhfvbtbn60sc50y4l2ctm, 6ldly9c02sbh2ray6u6j6jro5, 319knuftqo071luold2fqluqd, eu9b86opw6n66vftu1r5alfqh, g324scl7t7h6j05g973me82y, 86nwv5baekm00h4d3z0suwhyh, 74g3ef24ctcgw1kee77d3acr8, 33erk8bdhefx5xnkjad2fvy8k, 9qrewt049r6yq88c715ymau39, bmmahw4ww36w4tokk3xhvvvmd, 1r35ds2obqkw03f7hfpfsqqui, euv7d22ahrbpa8cs1gemtc178, enopqyya6qq64lvliw7lw0s4q, 86603cyr3osksy73el0ncy7yt",3814248215,59,"97, 17, 3, 19, 15, 44, 98, 8, 9, 6, 77, 4, 5, 7, 10, 12, 13, 18, 20, 23, 28, 32, 33, 62, 74, 90",3814248217,130,8,3814248219,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3814374619,197,16721,3814248213,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3814248221,194,1t1kgb0r5ca32f54emsscfob9,3814248223,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466435891,2,32,1,0,0,af91jdcs6x0bqkmdb78rokod2,1,0,0,2022-10-02T13:00:12.995Z,2022-10-02T13:00:13Z,3814381465,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466435895,2,32,1,0,0,bi1fxjrncd0ram0oi7ja1jyuo,1,0,0,2022-10-02T13:00:12.995Z,2022-10-20T15:18:24Z,3814381489,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466435947,3,1,1,0,0,af91jdcs6x0bqkmdb78rokod2,1,49.8,49.9,2022-10-02T13:00:13.255Z,2022-10-02T21:08:43Z,3814381701,56,Back,3814381709,213,2.5,3814381703,140,39.2,3814381707,212,13.6,3814381705,141,61.5,3816319487,178,,3814381711,279,S,,,,82bv9aeqvp712ut0n0kwkpskp,L. Zanimacchia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466435951,4,1,1,0,2,af91jdcs6x0bqkmdb78rokod2,1,40.9,59.9,2022-10-02T13:00:15.527Z,2022-10-02T21:08:47Z,3814381725,213,5.7,3814381717,56,Center,3814381719,140,50.7,3814381723,212,12.0,3816319581,178,,3814381721,141,50.7,,,,,,,5m5qyz18o5hmta6mh4zk57sh5,S. Ascacíbar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466435979,5,1,1,0,3,af91jdcs6x0bqkmdb78rokod2,1,50.7,50.7,2022-10-02T13:00:16.342Z,2022-10-02T21:08:51Z,3814381875,213,3.9,3814381865,140,46.0,3814381873,212,7.0,3814381863,56,Back,3814381869,141,43.4,3816319819,178,,,,,,,,82bv9aeqvp712ut0n0kwkpskp,L. Zanimacchia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466435983,6,1,1,0,4,af91jdcs6x0bqkmdb78rokod2,0,47.1,44.2,2022-10-02T13:00:17.084Z,2022-10-02T21:08:55Z,3814381919,1,,3814381911,141,62.6,3816320023,178,,3814381899,155,,3814381907,140,76.7,3814381903,56,Center,3814381917,213,0.4,3814381915,212,33.5,a7gi41760sk45wbkpbps3njdh,M. Castagnetti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466436021,3,1,1,0,6,bi1fxjrncd0ram0oi7ja1jyuo,1,24.6,39.8,2022-10-02T13:00:19.002Z,2022-10-02T21:08:59Z,3814382137,212,14.2,3814382135,141,57.9,3816320099,388,,3814382133,140,31.3,3814382139,213,1.1,3814382129,3,,3814382131,56,Back,,,,8j498fkairlyk82v1qprc13op,M. Pongračić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466436027,4,1,1,0,8,bi1fxjrncd0ram0oi7ja1jyuo,0,26.8,57.9,2022-10-02T13:00:21.109Z,2022-10-02T21:09:08Z,3814382177,212,10.3,3814382175,141,56.1,3816320467,388,,3814382173,140,36.5,3814382179,213,6.2,3814382169,3,,3814382171,56,Back,,,,5cjx2i2perp5vr62en4cyer1m,K. Askildsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
