id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/13/value,qualifier/15/value,qualifier/14/value,assist,qualifier/19/id,qualifier/19/qualifierId
2458031067,1,34,16,0,0,3vo5mpj7catp66nrwwqiuhuup,1,0,0,2022-09-10T15:13:22.859Z,2022-09-10T16:01:46Z,3769732771,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3769732767,59,"1, 2, 36, 32, 6, 37, 23, 20, 9, 10, 77, 5, 8, 11, 12, 14, 15, 21, 22, 24, 33, 45, 95",3769732765,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3769732769,130,12,3769732763,30,"c9lu69xk59a75bnpzgalh1kut, 2r6hs8npijvt4wekd059t6tx, asyzhp3qu95vmzdbau6nmoic5, 19856wqwrmzmvfw9thf0tzrv9, by2gxuixij1eciu56k8mb3cgl, 4j1oq24pfi728zyl2zkpptpsl, ahgd3on22t4h7gg9ipnj1itw5, botfgp0oq4wqlwtcs9m90kded, a5eki9p236y4zxmp9qz202pcl, 7r2tgpdrr4v6n9d2gkzwmlazt, 3ddsnnhxo0mem95lcph71ix1x, ci37qg2uu0z3nppxvn0z9034l, 9qow77e16pvlb3860yjpydryt, 6d7rip50yu2j7vyk76zokeehh, aripnzu9yo2wlr8ud93ufdhih, can2l9ha4ufsxdjxdkb739fkk, ujb2hkujcnwnyrbsgk3ilmtx, 84so0uovope0pkt6cz2iisbth, 1xscywgyfqisqexmpfvbf9g45, 8kttsnok9bbh7kpy3zz3j2xg5, 6zcok1vbaitp91a9nrac20t05, 6vz9qzgtbh3iqzv73xw2xaiok, q6ns1fyw7w10xkkubh8etfc9",3769732775,197,568,3769732777,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3769732773,194,c9lu69xk59a75bnpzgalh1kut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458032049,1,34,16,0,0,7gnly6999wao1xarwct4p8fe9,1,0,0,2022-09-10T15:14:29.660Z,2022-09-10T16:09:03Z,3769737701,30,"5syage212151fcixahbq3k8ut, 866f0f7taqhae91o3cjnnx0ph, 16kv5p8we3pwqpt5ktwrb7mj9, 9ak3zczupeken1itsmkherbh1, 22x1ucwwak58wi6r5x1j6ohk9, 8z1ukxgc8mxiyw9udbpwr4ct1, cdrzpuj49ploquvdolgh5c3bp, 6ol411t0mogw6m83heiqd0m39, e7tz6hxliohn3gkj4cgl3j1ed, a2rjxibqk9d2yatzz2dx04nx0, ebgkv548xih19m8uza7bgrvmd, 21p37y6mra4u9kcg35z5dm4q2, 2j09251upkf2aid3lfyyos0dl, 7oz324ar8tp6nkd934y096q22, ez8vzwaf7iuiv2ceetiwg6ymt, ds0ka65ypjubtgp60kupc7dnt, 8vom3bt6es2kp5sdl98az6gwk, f065kc6qn2cpxjxcm6i08rz3e, 43rid94d7jz7u5ba4xzb8bbe2, 7zokstl625tj96c64ow4uvjyt, cjff8fu812lennnunqljgddnu, 1tztnrv51q99ewl193qk526z9, dnqd5s61ssjofdtgrcfiii8lw, 7p19t0mn8cq7xum09nv2u2lt5",3769737711,194,9ak3zczupeken1itsmkherbh1,3769737705,59,"32, 19, 27, 13, 4, 26, 10, 77, 9, 23, 16, 2, 3, 6, 7, 11, 14, 17, 21, 34, 36, 49, 73, 89",3769737713,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3769737707,130,17,3769737709,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3769921695,197,594,3769737703,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458060459,2,32,1,0,0,3vo5mpj7catp66nrwwqiuhuup,1,0,0,2022-09-10T16:00:27.397Z,2022-09-11T00:01:09Z,3769891813,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458060451,3,32,1,0,0,7gnly6999wao1xarwct4p8fe9,1,0,0,2022-09-10T16:00:27.397Z,2022-09-10T16:00:27Z,3769891779,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458060471,4,1,1,0,0,7gnly6999wao1xarwct4p8fe9,1,50,50,2022-09-10T16:00:27.414Z,2022-09-11T00:13:52Z,3771641307,178,,3769891881,56,Back,3769891891,279,S,3769891889,213,3.3,3769891883,140,37.3,3769891887,212,13.5,3769891885,141,47.3,,,,e7tz6hxliohn3gkj4cgl3j1ed,A. Sanabria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458060485,5,1,1,0,1,7gnly6999wao1xarwct4p8fe9,1,37.3,47.3,2022-09-10T16:00:29.244Z,2022-09-11T00:14:00Z,3769891961,56,Back,3769891967,141,73.9,3771641769,178,,3769891971,213,2.0,3769891963,140,29.0,3769891969,212,20.1,,,,,,,cdrzpuj49ploquvdolgh5c3bp,S. Lukić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458060505,6,1,1,0,4,7gnly6999wao1xarwct4p8fe9,1,29,74.4,2022-09-10T16:00:32.112Z,2022-09-11T00:14:04Z,3771642049,178,,3769892071,56,Back,3769892079,213,1.2,3769892073,140,33.6,3769892077,212,12.2,3769892075,141,90.9,,,,,,,9ak3zczupeken1itsmkherbh1,R. Rodríguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458060511,7,1,1,0,5,7gnly6999wao1xarwct4p8fe9,1,33.6,91.1,2022-09-10T16:00:33.054Z,2022-09-11T00:14:09Z,3769892103,140,29.9,3769892109,213,4.2,3769892105,141,79.7,3769892107,212,8.7,3771642317,178,,3769892101,56,Back,,,,,,,16kv5p8we3pwqpt5ktwrb7mj9,M. Vojvoda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458060535,8,1,1,0,8,7gnly6999wao1xarwct4p8fe9,1,29.4,79.1,2022-09-10T16:00:35.584Z,2022-09-11T00:14:14Z,3771642583,178,,3769892207,141,56.1,3769892205,140,24.7,3769892209,212,16.4,3769892203,56,Back,3769892211,213,4.4,,,,,,,9ak3zczupeken1itsmkherbh1,R. Rodríguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458060585,9,1,1,0,12,7gnly6999wao1xarwct4p8fe9,1,24.7,56.1,2022-09-10T16:00:39.819Z,2022-09-11T00:14:19Z,3769892453,140,24.5,3769892459,213,1.6,3769892455,141,77.3,3769892457,212,14.4,3771642861,178,,3769892449,56,Back,,,,,,,22x1ucwwak58wi6r5x1j6ohk9,A. Buongiorno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
