id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,qualifier/10/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/8/value,keyPass,qualifier/14/value,qualifier/11/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/17/value
2456325603,1,34,16,0,0,67z1gqyiuzpmmb15q5fy7ntc4,1,0,0,2022-09-05T15:37:04.356Z,2022-09-05T16:31:37Z,3760677763,130,12,3760677765,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3760677757,30,"b3hr4q25jvqr7565z5ydqylt5, 721e4tx2wrwb4kd9w80fcq19l, 4d17grk2qflzake218uz76uei, av8588qp8e5wz3s7cg1n2qgnp, erdqr6vrr5tlfypbks3og0dlh, ejgtltbsu0djglqw98gywgu6t, 2qdgfxqyh0bjn3alkz97py8k5, 64z85woxiowxzod5e0g0x77x1, 6ck9f1ppvl65nui0x71q80jx1, dq037w5t3ht5zgd75mue4p1pl, 79e6khfyg3rdauul0yjlixv8q, 4vonqsqrzoyye4vs6n7dud2p5, 1muwnu7rq4feejspx7no203px, 61phh511ju65h6coren0pbkd1, 9noq0ogmqc2cwj3nowoadcdlh, 2zk88fh1e5js1g2jmfkrjmxka, 1b8uwkohkevu6ltjex0liklpl, duqiler25n63ksi0fxreo50mi, aqihfinmho5z4o2r2umpddsyd, 91sgvwun5559mwe9bszj4xql1, 98x5xrku2jffo0in2u2htazca, thnje2i2s96fcbuscj57053p, 42kcyb3d0nlrld251epht6lsl, rblijalj0qnu455jtjoi3pjo, bcqsti42fhzap385lnfe4auhh, 6jwy293owzzhldv4i9wxntjv9",3760741217,197,16793,3760677767,194,2qdgfxqyh0bjn3alkz97py8k5,3760677761,59,"16, 19, 30, 5, 3, 4, 32, 12, 17, 47, 6, 7, 8, 9, 10, 22, 26, 28, 34, 37, 38, 55, 79, 80, 84, 89",3760677769,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3760677759,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456325939,1,34,16,0,0,e75syeuawg3ql8nwpi3vr2btz,1,0,0,2022-09-05T15:38:22.783Z,2022-09-05T17:32:33Z,3760679575,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3760679567,59,"1, 33, 77, 15, 2, 28, 11, 7, 17, 13, 18, 3, 5, 10, 21, 22, 31, 42, 57, 88, 93",3760679573,194,cm6iy4b06qv9y6ww0hthqlwb9,3760679565,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3760679563,30,"7drgir9lcwfst8vxz07jboe6t, 1oflzbi4gq8wdjlmpa865jj6d, a69r2pf2w8da4dl0zl4k5vil1, 9q01y4w4dwpaqf8lmpv9wnmc5, cm6iy4b06qv9y6ww0hthqlwb9, n62gu1fztuvojijr41hyetw5, 8d04q3yp2kouwog0lj0s7ew2x, 2ugzqrpaooto1r24a6kvqf2ll, d364lpc0km51psy3zwc4a6zca, 4aqkgskbra4wsoo7a8uw7xl9l, 4euxcqawlks4c56pqj8xvwbf9, 6lfje6glfgycun47flgmc9jvt, e5nv028chtw0955vhnh74ukbu, 2fqlri41xq6p924kine7pjr2t, 42m78ny1ggvmzmjtka7exyzqi, 7mvqysbmyf6uj3jny3qpqw2ga, 9sdrd6flk2jene11v193nm1n9, 4cejhrr3ji36591xf54jue3ca, 3ww5879aay1xf2a20nl9ihwid, 2fsgc0b4mvwpenawmit0q0bmd, 30oup47g0i12cvub12r7kmxd6",3760679571,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3760679569,130,8,3760738495,197,548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456337497,2,32,1,0,0,e75syeuawg3ql8nwpi3vr2btz,1,0,0,2022-09-05T16:31:44.543Z,2022-09-05T16:31:44Z,3760746935,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456337557,2,32,1,0,0,67z1gqyiuzpmmb15q5fy7ntc4,1,0,0,2022-09-05T16:31:44.543Z,2022-09-05T21:24:22Z,3760747257,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456337901,15,43,1,0,0,e75syeuawg3ql8nwpi3vr2btz,1,0,0,2022-09-05T16:31:44.552Z,2022-09-05T19:04:10Z,3761097627,144,61,3760749269,56,Back,,,,,,,,,,,,,,,,,,,cm6iy4b06qv9y6ww0hthqlwb9,R. Tolói,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456337519,3,1,1,0,0,e75syeuawg3ql8nwpi3vr2btz,1,49.9,50,2022-09-05T16:31:44.563Z,2022-09-05T21:30:48Z,3760747063,56,Back,3760747065,140,32.4,3760747073,279,S,3760747067,141,61.1,3761317295,178,,3760747069,212,19.9,3760747071,213,2.8,,,,4aqkgskbra4wsoo7a8uw7xl9l,Éderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456337535,4,1,1,0,3,e75syeuawg3ql8nwpi3vr2btz,0,31,54.9,2022-09-05T16:31:47.706Z,2022-09-05T21:30:55Z,3760747151,141,35.5,3760747149,140,71.1,3760747153,212,44.1,3760747155,213,6.0,3760747145,155,,3760747147,56,Center,3761317347,178,,3760747157,1,,n62gu1fztuvojijr41hyetw5,M. Demiral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456338005,23,1,1,0,5,67z1gqyiuzpmmb15q5fy7ntc4,0,25.4,54.4,2022-09-05T16:31:50.404Z,2022-09-05T21:31:25Z,3760752207,212,14.8,3760752199,3,,3761317639,388,,3760752205,141,58.8,3760752203,140,39.2,3760752209,213,0.2,3760752201,56,Back,,,,erdqr6vrr5tlfypbks3og0dlh,Pablo Marí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456337547,5,44,1,0,7,e75syeuawg3ql8nwpi3vr2btz,1,66.9,37.2,2022-09-05T16:31:52.490Z,2022-09-06T00:45:28Z,3760751707,233,22,3760747213,286,,3760747211,56,Center,,,,,,,,,,,,,,,,2ugzqrpaooto1r24a6kvqf2ll,T. Koopmeiners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456338003,22,44,1,0,7,67z1gqyiuzpmmb15q5fy7ntc4,0,33.1,62.8,2022-09-05T16:31:52.491Z,2022-09-05T21:31:33Z,3760751347,56,Back,3760752381,233,5,3760751349,285,,,,,,,,,,,,,,,,,erdqr6vrr5tlfypbks3og0dlh,Pablo Marí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
