id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/11/value,qualifier/13/value,qualifier/14/value,qualifier/15/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2501978253,1,34,16,0,0,bqbbqm98ud8obe45ds9ohgyrd,1,0,0,2023-01-29T13:18:47.820Z,2023-01-29T14:18:14Z,4002055961,59,"1, 2, 17, 6, 3, 15, 44, 25, 18, 22, 32, 5, 9, 10, 12, 14, 20, 23, 24, 30, 36, 43",4002055967,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4002055963,130,12,4002055965,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4002203347,197,71,4002055957,30,"6ofu6yc2qwp5ii9cerdq1tk9h, 9pe3yqjsmcjtxdx7bdne3d4ut, 555z9bynvux7oruirg67r8i51, 8yv9xuzriaecvvssfm8dlmz85, d196vatyvq6ycn1q7d477d2i1, cv46mxj5i98p4hgtbomxlxs7o, 418gw0hpjoy8dt0ywaxjgm5pm, 2nddcty9qris2mmeldon0ogd1, 3zqpvn7r1c779l9vwwh7yukfd, 7glxasv2ed6ey82dknto1y66t, apdtqouzo9b02ozdxk8mx4zbp, ahz2npxe4geixkaz25f2pc82d, 3ua8gs8tzx1dkdi9z88kjk9nt, f482w50k80zbyb2ykh84yijf9, 2raf0uw5y2kajde0v60l4g1qt, 35r56n0i4sbdh7n5arbt7db6d, bjob8tftnxojnytcj7juo0ga2, 8rlf5vjyddkcid5ysa3yo7hlh, bh3b7e2qzh41dltd6h2obpln9, erwh25hbq259kqdirfufnbcb8, 3o573dblmfc1o3wkkt2nva8k5, 9p621hq50jdkujzy4309sagkq",4002070857,194,8yv9xuzriaecvvssfm8dlmz85,4002055959,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501980969,1,34,16,0,0,67z1gqyiuzpmmb15q5fy7ntc4,1,0,0,2023-01-29T13:22:13.182Z,2023-01-29T14:19:02Z,4002068967,30,"b3hr4q25jvqr7565z5ydqylt5, bcqsti42fhzap385lnfe4auhh, 4d17grk2qflzake218uz76uei, av8588qp8e5wz3s7cg1n2qgnp, erdqr6vrr5tlfypbks3og0dlh, thnje2i2s96fcbuscj57053p, 4vonqsqrzoyye4vs6n7dud2p5, 79e6khfyg3rdauul0yjlixv8q, dq037w5t3ht5zgd75mue4p1pl, 2qdgfxqyh0bjn3alkz97py8k5, 6ck9f1ppvl65nui0x71q80jx1, annamxplmbyakvo2akw63xxw5, ejgtltbsu0djglqw98gywgu6t, 1muwnu7rq4feejspx7no203px, 61phh511ju65h6coren0pbkd1, 9noq0ogmqc2cwj3nowoadcdlh, 64z85woxiowxzod5e0g0x77x1, 721e4tx2wrwb4kd9w80fcq19l, 2zk88fh1e5js1g2jmfkrjmxka, 1b8uwkohkevu6ltjex0liklpl, duqiler25n63ksi0fxreo50mi, 91sgvwun5559mwe9bszj4xql1, chjjcy789cuwlsik2ibmubtyi, 18yip8wsirmu6s0idhvapnaad, 6jwy293owzzhldv4i9wxntjv9, ahrgnlsku8ghrj2qc0s6p1rhm",4002068969,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4002206309,197,17370,4002068977,194,2qdgfxqyh0bjn3alkz97py8k5,4002068973,130,17,4002068971,59,"16, 84, 30, 5, 3, 55, 7, 6, 47, 32, 17, 2, 4, 8, 9, 10, 12, 19, 22, 26, 28, 37, 44, 77, 89, 91",4002068975,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4002068979,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502013845,2,32,1,0,0,67z1gqyiuzpmmb15q5fy7ntc4,1,0,0,2023-01-29T14:02:27.250Z,2023-01-29T14:02:27Z,4002227543,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502013861,2,32,1,0,0,bqbbqm98ud8obe45ds9ohgyrd,1,0,0,2023-01-29T14:02:27.250Z,2023-01-29T19:42:28Z,4002227635,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502013951,3,1,1,0,0,67z1gqyiuzpmmb15q5fy7ntc4,1,49.9,50.1,2023-01-29T14:02:27.251Z,2023-01-29T20:03:11Z,4002228063,56,Back,4002228069,141,43.6,4002228065,140,43.8,4002228073,212,7.8,4002228077,279,S,4002228075,213,3.7,4003503793,178,,,,,2qdgfxqyh0bjn3alkz97py8k5,M. Pessina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502013953,4,1,1,0,1,67z1gqyiuzpmmb15q5fy7ntc4,1,43.8,43.6,2023-01-29T14:02:29.061Z,2023-01-29T20:03:14Z,4002228091,212,16.3,4002228093,213,4.1,4003503899,178,,4002228087,140,35.2,4002228089,141,23.6,4002228085,56,Back,,,,,,,79e6khfyg3rdauul0yjlixv8q,N. Rovella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502014027,5,1,1,0,3,67z1gqyiuzpmmb15q5fy7ntc4,1,35.4,23.5,2023-01-29T14:02:31.205Z,2023-01-29T20:03:19Z,4003504015,178,,4002228385,141,3.5,4002228389,213,4.7,4002228381,56,Back,4002228387,212,13.6,4002228383,140,34.6,,,,,,,thnje2i2s96fcbuscj57053p,A. Izzo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502014131,6,1,1,0,6,67z1gqyiuzpmmb15q5fy7ntc4,1,32.2,3.4,2023-01-29T14:02:33.637Z,2023-01-29T20:03:21Z,4002228881,141,27.2,4002228877,56,Back,4002228887,212,30.5,4002228879,140,7.6,4002228889,213,2.6,4003504089,178,,,,,,,,bcqsti42fhzap385lnfe4auhh,P. Ciurria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502014189,7,1,1,0,11,67z1gqyiuzpmmb15q5fy7ntc4,0,8.9,30.2,2023-01-29T14:02:38.354Z,2023-01-29T20:03:25Z,4003504187,178,,4002229107,141,35.5,4002229103,140,44.2,4002229101,56,Back,4002229099,155,,4002229109,212,37.2,4002229113,213,0.1,4002229117,1,,b3hr4q25jvqr7565z5ydqylt5,M. Di Gregorio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502014173,3,44,1,0,13,bqbbqm98ud8obe45ds9ohgyrd,1,55.7,65.1,2023-01-29T14:02:40.553Z,2023-01-30T01:31:59Z,4002229045,56,Center,4002229047,286,,4002229219,233,8,,,,,,,,,,,,,,,,8yv9xuzriaecvvssfm8dlmz85,Danilo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
