id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/8/value,keyPass,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/15/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,assist,qualifier/16/value
2516564327,1,34,16,0,0,ej5er0oyngdw138yuumwqbyqt,1,0,0,2023-03-06T18:56:06.865Z,2023-03-06T19:47:35Z,4078953929,30,"4hrmzpx1nt5ze55fpby71mcb9, 1po7tmdv73zfjentt0p20wdlh, 7ohgxs03szerp6mwiiv58ryay, 5lvdnoyknuoyr6kdruposgctl, 3l0mj1zzhytxvm9tryvqv8kix, 6xt6fnmwrs7btha4d2t7wkktm, 1cu7fg8sf90isf9gp21e5fqh, 6eqqtmbg35rg2stk10ic7q8k5, a46kdc4sdf7e6520s8gm9glm2, bdb6j168crcrwje9k0titxv55, 8wh3u8b2hz7rcygnfng8khh3p, 46twjsjrm4ljb7bhobbpwx5h, 4gmki0xpn2e9o9p7wnm0k8p1x, dccxma9p13p00n0gi1cxk1nf9, 5j7hbe94ewys7hkd04ay5bpw5, 56bidwsegakrtx3z1qbbpnc6i, 7e11kdi7wh9tleor9w5o2fdn9, 4zn8zufrd17h9d5xl7qhahbyt, bpfg11qh1q0zj2x6sqd3srvmx, a2n9op95qyb3rkye5pxqjb7bp, 2yijk5l991mdyjprmuudq7qzu, 3cbwh4pfwae5xw072cy14gb85, 9m6yva52cmdq7uu31qrwdrund, 83hpavqn7r5bzcgxvjbcso3px",4079074171,197,16336,4078953935,130,8,4078953941,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4078953933,59,"28, 3, 50, 30, 26, 4, 7, 6, 99, 19, 21, 1, 5, 9, 10, 11, 14, 17, 20, 22, 25, 29, 34, 77",4078953931,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4078953939,194,8wh3u8b2hz7rcygnfng8khh3p,4078953937,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516564551,1,34,16,0,0,7gnly6999wao1xarwct4p8fe9,1,0,0,2023-03-06T18:57:10.275Z,2023-03-06T19:45:31Z,4078955429,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4078955427,30,"5syage212151fcixahbq3k8ut, f065kc6qn2cpxjxcm6i08rz3e, 9ak3zczupeken1itsmkherbh1, 22x1ucwwak58wi6r5x1j6ohk9, 2j09251upkf2aid3lfyyos0dl, 8z1ukxgc8mxiyw9udbpwr4ct1, 6ol411t0mogw6m83heiqd0m39, 7hwj9pf9roe74jifvuhiu6n6x, e7tz6hxliohn3gkj4cgl3j1ed, 5wdqva17qr5j2kqbmfi9o91x, ez8vzwaf7iuiv2ceetiwg6ymt, 21p37y6mra4u9kcg35z5dm4q2, 9p5jc07qnxrzpcmnh1cp6b3l5, 43rid94d7jz7u5ba4xzb8bbe2, a2rjxibqk9d2yatzz2dx04nx0, 16kv5p8we3pwqpt5ktwrb7mj9, 7zokstl625tj96c64ow4uvjyt, 1tztnrv51q99ewl193qk526z9, 6egg2gwvxxqv2i9hrr0zg4yz8, dnqd5s61ssjofdtgrcfiii8lw, 7p19t0mn8cq7xum09nv2u2lt5, 71bvjduiimaomxmjznjxwdfys",4078955435,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4079080229,197,593,4078955437,194,9ak3zczupeken1itsmkherbh1,4078955439,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4078955431,59,"32, 17, 13, 4, 3, 26, 77, 8, 9, 59, 7, 2, 5, 21, 23, 27, 34, 49, 66, 73, 89, 94",4078955433,130,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516587309,2,32,1,0,0,7gnly6999wao1xarwct4p8fe9,1,0,0,2023-03-06T19:45:57.974Z,2023-03-07T00:34:30Z,4079081349,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516587331,2,32,1,0,0,ej5er0oyngdw138yuumwqbyqt,1,0,0,2023-03-06T19:45:57.974Z,2023-03-06T19:45:59Z,4079081457,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516587367,3,1,1,0,0,7gnly6999wao1xarwct4p8fe9,1,50,50,2023-03-06T19:45:58.144Z,2023-03-07T00:45:19Z,4079532565,178,,4079081645,212,12.6,4079081641,140,39.5,4079081635,56,Back,4079081643,141,59.1,4079081649,279,S,4079081647,213,2.6,,,,e7tz6hxliohn3gkj4cgl3j1ed,A. Sanabria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516587415,4,1,1,0,1,7gnly6999wao1xarwct4p8fe9,1,39.3,59.1,2023-03-06T19:45:59.715Z,2023-03-07T00:45:23Z,4079081875,212,12.7,4079081877,213,3.6,4079081871,140,28.2,4079081873,141,51.6,4079081869,56,Back,4079532605,178,,,,,,,,7hwj9pf9roe74jifvuhiu6n6x,I. Ilić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516587457,5,1,1,0,6,7gnly6999wao1xarwct4p8fe9,1,29.8,44.5,2023-03-06T19:46:04.514Z,2023-03-07T00:45:28Z,4079082061,56,Back,4079082063,140,30.4,4079082069,213,4.7,4079082067,212,17.1,4079082065,141,19.3,4079532677,178,,,,,,,,2j09251upkf2aid3lfyyos0dl,P. Schuurs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516587477,6,1,1,0,10,7gnly6999wao1xarwct4p8fe9,1,33.3,18.5,2023-03-06T19:46:08.021Z,2023-03-07T00:45:31Z,4079082165,140,36.3,4079082171,213,5.0,4079082167,141,4.9,4079082169,212,9.8,4079082163,56,Back,4079532741,178,,,,,,,,8z1ukxgc8mxiyw9udbpwr4ct1,K. Djidji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516587503,7,1,1,0,12,7gnly6999wao1xarwct4p8fe9,0,35.1,3.5,2023-03-06T19:46:10.235Z,2023-03-07T00:45:34Z,4079082287,212,3.7,4079082289,213,0.0,4079082279,155,,4079082281,56,Back,4079082283,140,38.6,4079532787,178,,4079082285,141,3.7,,,,f065kc6qn2cpxjxcm6i08rz3e,W. Singo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516587517,3,61,1,0,12,ej5er0oyngdw138yuumwqbyqt,1,60.9,95.1,2023-03-06T19:46:10.405Z,2023-03-07T00:46:34Z,4079082333,56,Left,4079533387,21,,4079533389,178,,,,,,,,,,,,,,,,,8wh3u8b2hz7rcygnfng8khh3p,R. Soriano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
