id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/8/value,assist,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,keyPass,qualifier/12/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2495057607,1,34,16,0,0,dxq76zcvnokq07cszdx0i6kve,1,0,0,2023-01-04T18:49:12.851Z,2023-01-04T19:48:17Z,3965823141,197,8396,3965747865,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3965747867,59,"1, 37, 13, 23, 50, 18, 4, 5, 7, 9, 11, 2, 6, 8, 14, 15, 19, 20, 24, 29, 30, 39, 67, 80, 99",3965747863,30,"93237ztqyi3r4hu3rmgzrgudx, b881arnahhahg0iaix4mx266t, c33x61zuxixolkkalsigc3q0a, e2xiayt8k5tv4dw5hjop71fqh, dkx1rfzizskaplpex70i3q0o9, 4h1jj93i0v1pfemnjydnoc0dl, 13o5eskqs8b88yerwltk0tivp, 8zyg5zuzyr6t0idi5od2ypvbp, 5152de1kfmrihdzbdotpeo8ut, 6z3a27dxffwacyxof0imvcfvu, 18jovwk0ysx6ajb8y75179j9x, 96d5il3afakek9qvsbtldu162, 60no437awq8i5th7nlffh3dn9, 22pxty2g6hhtifl32avf4mxud, 8e4wkgb71btkez592um5vts0k, ar0g6o07dm7nwcf2dyzux8ay2, dfckk0xst90yjlep74tvups5x, al3t9fzj4ab55yux0zkd1jkr9, bl76cebhta912vfi9z7ky32p6, ah0f7tonnst92d8q91j1wll62, ewt8nxg2m27fj0n7dr9hbul05, 3z0aknj901kdnvsp4sld6ejv8, dn00381nbniepgi4qj7yjkv84, bf4gvp8pzp50lhtb2fc35zeok, hhv3h90gifzevkeqh97cb504",3965747873,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3965747869,130,12,3965747875,194,b881arnahhahg0iaix4mx266t,3965747877,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495061089,1,34,16,0,0,8le3orkfz6iix3jns6g9ojqjg,1,0,0,2023-01-04T19:04:33.996Z,2023-01-04T19:58:20Z,3965763761,194,cnk07o3823zl5gd7qr2bdks7p,3965763763,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3965763759,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3965763755,59,"13, 30, 65, 5, 34, 33, 18, 35, 19, 9, 11, 1, 3, 4, 6, 8, 10, 14, 17, 20, 21, 22, 24, 25, 28",3965763757,130,23,3965763751,30,"h12c7ocq35slzrop3ltnrsnp, dmza22ad3iars2svmghrwhfit, 8dgh4fzut8khpt32d6dsrljsa, 1fdgli7rrzvlhcs1exckc0r11, 54mmovmx3osoxgbloe9rzmx9l, cnk07o3823zl5gd7qr2bdks7p, 9cy6lgb0e0cq4a7ht389qaklx, bk1gdyxtfp4drwb0yotwerbsa, mh8eevw5lj4i9c7ue5n9j845, c68syh6axbkqmcmvrpumqb8mi, cxjuod6b1ro67656dxwhpqqc5, 9jx56wcoj1htd69i749wfwkx5, an5eip4p2zmw49hh9eqksigo9, dnk24js88d4ie661mwo7jkq95, 95r0jtkw03vjohzwc8os8ielm, 2l87vg4m0glbbdvnrg4zud51x, 3sehm4zmy7141wm4ecfqqoxd5, 2hbduprkyabq8g1nhe6b4g3bp, 4az5n8aekw6ipzu7fagqhkys4, 39504a9fwi439uhqbwc809ene, 6e9fu9o226zn6jzx02jutvi3u, 4494989zl7g13nw17wan5adp1, f0o0jfa9hp54otpnwe09d591, 1lota2za1imhl3oydwa89u5l, d5m5q6dlc7vnbs634dinbsuwa",3965835915,197,11835,3965763753,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495072589,2,32,1,0,0,8le3orkfz6iix3jns6g9ojqjg,1,0,0,2023-01-04T19:46:58.022Z,2023-01-04T19:46:58Z,3965821293,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495072593,2,32,1,0,0,dxq76zcvnokq07cszdx0i6kve,1,0,0,2023-01-04T19:46:58.022Z,2023-01-05T03:42:48Z,3965821307,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495072603,3,1,1,0,0,dxq76zcvnokq07cszdx0i6kve,1,50,50.7,2023-01-04T19:46:58.060Z,2023-01-05T04:13:05Z,3965821361,279,S,3965821349,56,Back,3965821359,213,4.3,3965821357,212,13.3,3965821355,141,32.8,3965821353,140,44.9,3966104567,178,,,,,6z3a27dxffwacyxof0imvcfvu,Beto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495072635,4,1,1,0,2,dxq76zcvnokq07cszdx0i6kve,1,41,26.3,2023-01-04T19:47:00.366Z,2023-01-05T04:13:17Z,3965821547,56,Back,3966104719,178,,3965821555,213,5.2,3965821551,141,7.0,3965821553,212,14.8,3965821549,140,47.6,,,,,,,4h1jj93i0v1pfemnjydnoc0dl,N. Pérez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495072663,5,1,1,0,6,dxq76zcvnokq07cszdx0i6kve,1,47.7,5.8,2023-01-04T19:47:04.213Z,2023-01-05T04:13:24Z,3966104795,178,,3965821719,213,6.3,3965821717,212,17.3,3965821715,141,5.5,3965821713,140,64.2,3965821711,56,Right,,,,,,,b881arnahhahg0iaix4mx266t,R. Pereyra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495072669,6,4,1,0,8,dxq76zcvnokq07cszdx0i6kve,1,71,4.9,2023-01-04T19:47:06.119Z,2023-01-05T04:13:48Z,3965821749,295,,3965821753,152,,3965821751,56,Right,3965821755,286,,3965821757,233,3,3965821747,13,,,,,,,,5152de1kfmrihdzbdotpeo8ut,I. Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495072661,3,4,1,0,8,8le3orkfz6iix3jns6g9ojqjg,0,29,95.1,2023-01-04T19:47:06.120Z,2023-01-05T04:13:48Z,3965821763,233,6,3965821709,285,,3965821705,56,Back,3966104999,178,,3965821707,152,,3965821703,295,,3965821701,13,,,,,8dgh4fzut8khpt32d6dsrljsa,F. Parisi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495072757,7,1,1,0,47,dxq76zcvnokq07cszdx0i6kve,0,66.7,5,2023-01-04T19:47:45.578Z,2023-01-05T04:13:54Z,3965822335,213,0.7,3965822337,1,,3965822331,141,38.2,3965822333,212,35.3,3965822319,2,,3966105091,178,,3965822325,152,,3965822327,56,Center,13o5eskqs8b88yerwltk0tivp,S. Lovrić,3965822321,5,3965822323,155,3966024039,224,3965822329,140,92.6,3966024041,20,,,,,,,,,,,,,,,,,,,,,,,
