id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/12/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2499747255,1,34,16,0,0,4klvxyeh3xcus4ongu7c00mgc,1,0,0,2023-01-22T16:00:32.201Z,2023-01-22T17:09:08Z,3990440997,194,8lta4w1nytggiwnaqv4e5cc0l,3990440999,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3990625235,197,14656,3990440991,59,"69, 2, 13, 27, 29, 15, 6, 4, 33, 10, 11, 19, 72, 5, 7, 16, 21, 22, 24, 25, 30, 40, 44, 77",3990440989,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3990440987,30,"4g0d51pqr4grzoe9cx7do6pxx, awf3x41nsz8m73bhte5wlz6ui, 545o5sllzb34kosvbw3fxhc5x, 2s9ko6yxyi95jybzguru8g3bp, 6sejjyqssbr3olctm9nkq2v9x, 399j815r2akyfreynjrouwbmx, 6ehsdxl74v0qtlbjjjbu0r0t1, f1ma05bi3t1hfbflylx5d9tyh, 72sbeqsrvv64vwiec51r9g1k9, e4cwx5r9hrvip371egldkc6ol, 8lta4w1nytggiwnaqv4e5cc0l, azph2f84zhlvg4wd8tleydkdm, 1kafgt90durzi0trgasa35nqi, 2gyzpo4amzw3ibxq47dyzvmx, 4ypa8ma678embtagi427eg4id, 9n2nm6smh0txgv2482qbwhixg, 9casrbyhvk5woencvp365fnmy, 2rdh9ggkr9iu50esnyv464dsl, 1s7qbrynbcv9uw9r5f29oyc5, cbymienvjkbbvi1rbky74vj3e, 1fsum47fkh62rer9xxe3smctm, q86iuo0cn7dlhvgwz6ix1mqy, eprihatu8znb0vq6kuaj38z1m, 1i47csjlvcikfs4wixzserend",3990440993,130,17,3990440995,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499748365,1,34,16,0,0,2tk2l9sgktwc9jhzqdd4mpdtb,1,0,0,2023-01-22T16:03:03.929Z,2023-01-22T16:50:09Z,3990447245,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3990447243,194,6fttn5mk6n1lstqt0dl5xzn4l,3990447233,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3990447241,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3990447237,59,"1, 19, 59, 3, 6, 23, 4, 8, 9, 21, 92, 7, 11, 14, 17, 18, 20, 24, 37, 52, 62, 63, 68, 99",3990602459,197,8380,3990447229,30,"7gu0t0g8nej405k918fwsf8id, 1pkymw7biivk760rxhubin1ed, du4ciqofpkn3nei5q3huwlnje, ab4kuqa33849h6z77ksuqhdk9, 7o9bkf7no8wz167ingslfimdx, 6fttn5mk6n1lstqt0dl5xzn4l, 1ftejgsl4hho40cceqne1hcyd, c5a7z6vphv9tp9ddid5jnrnx1, 363nsa82dww242zeo09wpcslx, 93i0gcndi2m8giqqcm4knduxh, a1iz91ed6hus61yhhk2r0vkd1, 57bin6he6kbdo2bs4i78z2k0l, 97mmzzi3dwdos6jtj2m05w4ph, a21winmltx1h9oiwqtfditkut, 8u46wgn2upd99tmmchxuw1gbt, 54c43p8ykqxjtbmy2z5nakijt, z0nxnl93yjtz8mty3qi5542x, cddggachzf198p1yhq9owtofd, 9ka7y81b5kst146mhq7mom5ed, 4cu8rbv55v6f6jiq50c4xatqs, bh9jia8qgkhpm5xn82bx0hhck, b0b0xalrak7k5pnfnum53umtw, d2itdjj8bx0aztqggfgv7amay, el58uxf7oaqu95yx1vbgmr7it",3990447239,130,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499783723,2,32,1,0,0,2tk2l9sgktwc9jhzqdd4mpdtb,1,0,0,2023-01-22T17:01:04.009Z,2023-01-22T17:01:04Z,3990635635,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499783729,2,32,1,0,0,4klvxyeh3xcus4ongu7c00mgc,1,0,0,2023-01-22T17:01:04.009Z,2023-01-23T01:06:45Z,3990635655,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499783733,3,1,1,0,0,2tk2l9sgktwc9jhzqdd4mpdtb,1,49.9,49.9,2023-01-22T17:01:04.313Z,2023-01-23T01:39:43Z,3990635671,279,S,3991491161,178,,3990635667,212,11.6,3990635669,213,3.8,3990635663,140,41.0,3990635665,141,39.8,3990635661,56,Back,,,,363nsa82dww242zeo09wpcslx,T. Abraham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499783749,4,1,1,0,1,2tk2l9sgktwc9jhzqdd4mpdtb,1,41,39.8,2023-01-22T17:01:05.396Z,2023-01-23T01:39:48Z,3991491243,178,,3990635751,213,4.2,3990635747,141,13.3,3990635749,212,20.2,3990635743,56,Back,3990635745,140,32.4,,,,,,,1ftejgsl4hho40cceqne1hcyd,B. Cristante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499783769,5,1,1,0,4,2tk2l9sgktwc9jhzqdd4mpdtb,1,32.4,13.3,2023-01-22T17:01:08.074Z,2023-01-23T01:39:53Z,3990635921,140,24.7,3990635919,56,Back,3990635923,141,35.6,3990635925,212,17.2,3991491301,178,,3990635927,213,2.1,,,,,,,6fttn5mk6n1lstqt0dl5xzn4l,G. Mancini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499783779,6,1,1,0,7,2tk2l9sgktwc9jhzqdd4mpdtb,1,27.8,35.3,2023-01-22T17:01:11.991Z,2023-01-23T01:39:56Z,3990635967,56,Back,3990635975,213,5.2,3990635973,212,21.9,3990635969,140,37.7,3990635971,141,7.0,3991491313,178,,,,,,,,7o9bkf7no8wz167ingslfimdx,C. Smalling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499783791,7,1,1,0,9,2tk2l9sgktwc9jhzqdd4mpdtb,1,37.7,7,2023-01-22T17:01:13.680Z,2023-01-23T01:40:01Z,3990636035,212,14.3,3991491365,178,,3990636033,141,19.3,3990636031,140,26.7,3990636029,56,Back,3990636037,213,2.5,,,,,,,1pkymw7biivk760rxhubin1ed,Z. Çelik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499783833,8,1,1,0,12,2tk2l9sgktwc9jhzqdd4mpdtb,1,26.7,21.5,2023-01-22T17:01:16.761Z,2023-01-23T01:40:09Z,3991491453,178,,3990636249,213,1.9,3990636247,212,11.9,3990636241,56,Back,3990636245,141,37.9,3990636243,140,22.7,,,,,,,6fttn5mk6n1lstqt0dl5xzn4l,G. Mancini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499783863,9,1,1,0,18,2tk2l9sgktwc9jhzqdd4mpdtb,1,29.6,45.7,2023-01-22T17:01:22.616Z,2023-01-23T01:40:15Z,3990636397,56,Back,3990636413,213,1.6,3990636407,212,17.5,3990636403,141,71.4,3991491551,178,,3990636401,140,28.8,,,,,,,7o9bkf7no8wz167ingslfimdx,C. Smalling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499783887,10,1,1,0,21,2tk2l9sgktwc9jhzqdd4mpdtb,1,26.3,65.9,2023-01-22T17:01:25.888Z,2023-01-23T01:40:18Z,3990636555,213,3.9,3990636549,140,8.8,3991491591,178,,3990636553,212,25.0,3990636547,56,Back,3990636551,141,40.9,,,,,,,ab4kuqa33849h6z77ksuqhdk9,Ibañez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499783913,11,1,1,0,24,2tk2l9sgktwc9jhzqdd4mpdtb,1,8.8,40.7,2023-01-22T17:01:28.732Z,2023-01-23T01:40:22Z,3990636705,56,Back,3991491653,178,,3990636713,213,4.8,3990636711,212,22.1,3990636709,141,8.5,3990636707,140,11.3,,,,,,,7gu0t0g8nej405k918fwsf8id,Rui Patrício,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499783929,12,1,1,0,27,2tk2l9sgktwc9jhzqdd4mpdtb,1,11.3,8.5,2023-01-22T17:01:31.301Z,2023-01-23T01:40:31Z,3990636799,56,Back,3990636803,141,5.2,3990636805,212,17.3,3990636801,140,27.6,3991491709,178,,3990636807,213,6.2,,,,,,,6fttn5mk6n1lstqt0dl5xzn4l,G. Mancini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499783987,13,1,1,0,28,2tk2l9sgktwc9jhzqdd4mpdtb,1,27.6,5.2,2023-01-22T17:01:32.514Z,2023-01-23T01:40:38Z,3990637071,140,33.9,3990637075,212,7.5,3991491899,178,,3990637069,56,Back,3990637073,141,10.3,3990637077,213,0.5,,,,,,,1pkymw7biivk760rxhubin1ed,Z. Çelik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499783991,14,4,1,0,31,2tk2l9sgktwc9jhzqdd4mpdtb,1,32.8,8.8,2023-01-22T17:01:35.843Z,2023-01-23T01:40:46Z,3990637223,233,4,3990637099,265,,3990637097,152,,3990637095,56,Back,3990637093,13,,3990637227,285,,,,,,,,93i0gcndi2m8giqqcm4knduxh,P. Dybala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
