id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,keyPass,qualifier/12/value,assist,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/11/value,qualifier/14/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value,qualifier/18/value
2461856371,1,34,16,0,0,af91jdcs6x0bqkmdb78rokod2,1,0,0,2022-09-18T12:06:20.002Z,2022-09-18T13:17:25Z,3790075227,30,"6wplm29z7qxxmujyc2ml19gix, 913rgsi93o890wc2cbuwlbqp5, d9bg5jjv8pz0f8u55x3hg0962, 3jruai7zu28e8f0ooj4t16l05, 360knvg4k1yywxnb8o1mlyggl, ay6tmp6zkxtjzse2gel3rgnl6, bmmahw4ww36w4tokk3xhvvvmd, 9qrewt049r6yq88c715ymau39, 82bv9aeqvp712ut0n0kwkpskp, 86603cyr3osksy73el0ncy7yt, 1gnc1tbpmomiqt1sty2lktt5, 9ajh8tm9rl0i2sa09c9dfu0h5, 7ojvhhfvbtbn60sc50y4l2ctm, a8ez7qv4n62b8s45pdo8u07o5, 6ldly9c02sbh2ray6u6j6jro5, 5m5qyz18o5hmta6mh4zk57sh5, 1t1kgb0r5ca32f54emsscfob9, 319knuftqo071luold2fqluqd, g324scl7t7h6j05g973me82y, ckzn72wo51pmw475t9tl6vr2t, 86nwv5baekm00h4d3z0suwhyh, 74g3ef24ctcgw1kee77d3acr8, bmkqom7q02uqg75yfh7wzdg5w, 1r35ds2obqkw03f7hfpfsqqui, euv7d22ahrbpa8cs1gemtc178, enopqyya6qq64lvliw7lw0s4q",3790310375,197,3464,3790075229,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3790075235,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3790075233,130,18,3790075231,59,"97, 17, 3, 44, 21, 4, 32, 28, 98, 90, 77, 2, 5, 6, 7, 8, 9, 10, 13, 15, 18, 20, 22, 33, 62, 74",3790075239,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3790075237,194,360knvg4k1yywxnb8o1mlyggl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461858701,1,34,16,0,0,btcy9nra9ak4m22ovr2ia6m5v,1,0,0,2022-09-18T12:08:31.538Z,2022-09-18T13:02:06Z,3790087419,30,"8n4rruxbnzvjgdomxslnmcno5, 62uaf4amxdyz6j2fuvadp0no5, a22hb1s02edsj7t38out5r3rp, 6hlutndh6zstrpi5i0u0mxyvp, 1x10v3yh4e3f1p2ndhtxcck4p, 3l76cgequy3tjhhudqnrejglx, dkifo6kxxxsv1hr0rzk1q8afp, 9462218yklkts6mod3cbfryz9, 5o80hrbyw554cetm1rbbns0k5, bj2ymzuyq3zxbfjs3xrt3ss7p, cfzvplhlvlfvau521u6b86xud, 71p9z7bqvgzb5t115fmos6fop, 5e13xwlorl1gjrnjjtfnzawa1, d02p1ldr57bkxcpmq12vtvhsl, 3v6az10hxcowqkewd809cri6t, ho87m362sey4msdjp4n180oa, 7nwh5uoczypmuiigzi8ylsd1, dteca2exact4dfn48iwxwjk6h, 6eb3jpi6t6z2ergmgzcpckdpm, bpzzhdpqxmp8bef77m7pr2r4l, b62gjcajugddud630e9b7ptjp, 5gond4ss348863bc1768s4q, 3a60l8v1wpr9qpapsjcu4bztg, 7y5qwgl0xu7btfd7yxgeb2gut",3790317931,197,11876,3790087431,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3790087429,194,5o80hrbyw554cetm1rbbns0k5,3790087423,59,"94, 23, 77, 32, 15, 4, 21, 5, 17, 7, 20, 1, 6, 9, 10, 11, 13, 16, 18, 26, 31, 34, 50, 88",3790087421,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3790087427,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3790087425,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461907267,2,32,1,0,0,af91jdcs6x0bqkmdb78rokod2,1,0,0,2022-09-18T13:01:07.404Z,2022-09-18T20:37:10Z,3790334517,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461907273,2,32,1,0,0,btcy9nra9ak4m22ovr2ia6m5v,1,0,0,2022-09-18T13:01:07.404Z,2022-09-18T13:01:10Z,3790334551,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461907283,3,1,1,0,0,btcy9nra9ak4m22ovr2ia6m5v,1,50,50,2022-09-18T13:01:07.442Z,2022-09-18T21:02:35Z,3790334607,279,S,3792476103,178,,3790334599,140,33.9,3790334597,56,Back,3790334605,213,3.2,3790334601,141,48.4,3790334603,212,16.9,,,,5o80hrbyw554cetm1rbbns0k5,C. Immobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461907309,3,43,1,0,0,af91jdcs6x0bqkmdb78rokod2,1,0,0,2022-09-18T13:01:07.504Z,2022-09-18T13:01:31Z,3790334735,140,65.4,3790334733,56,Center,3790334737,141,44.9,3790334743,279,S,3790334741,213,6.1,3790334739,212,16.4,3790336031,144,1,,,,913rgsi93o890wc2cbuwlbqp5,L. Sernicola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461907319,4,1,1,0,1,btcy9nra9ak4m22ovr2ia6m5v,1,34,48.4,2022-09-18T13:01:08.788Z,2022-09-18T21:02:40Z,3792476263,178,,3790334775,56,Back,3790334779,141,55.2,3790334783,213,1.0,3790334781,212,5.4,3790334777,140,36.6,,,,,,,1x10v3yh4e3f1p2ndhtxcck4p,N. Casale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461907331,5,1,1,0,2,btcy9nra9ak4m22ovr2ia6m5v,0,36.6,55.2,2022-09-18T13:01:09.849Z,2022-09-18T21:02:44Z,3790334887,213,5.7,3790334889,1,,3792476397,178,,3790334885,212,50.6,3790334881,140,76.1,3790334883,141,12.5,3790334879,56,Right,3790334877,155,,3l76cgequy3tjhhudqnrejglx,Patric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461907311,4,43,1,0,2,af91jdcs6x0bqkmdb78rokod2,1,0,0,2022-09-18T13:01:09.874Z,2022-09-18T13:01:30Z,3790336005,144,1,3790334747,56,Center,3790334749,140,65.2,3790334755,213,4.7,3790334753,212,4.3,3790334751,141,38.6,,,,,,,360knvg4k1yywxnb8o1mlyggl,V. Chiricheș,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461907375,5,43,1,0,3,af91jdcs6x0bqkmdb78rokod2,1,0,0,2022-09-18T13:01:10.931Z,2022-09-18T13:01:29Z,3790335075,157,0,3790335087,1,0,3790335941,144,1,3790335077,56,Back,3790335081,141,87.8,3790335083,212,55.3,3790335079,140,23.3,3790335085,213,2.5,3jruai7zu28e8f0ooj4t16l05,L. Lochoshvili,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
