id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/9/value,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2472276665,6,1,1,0,10,7gnly6999wao1xarwct4p8fe9,1,38.2,36.1,2022-10-15T16:01:40.911Z,2022-10-16T00:11:44Z,3845569305,212,7.7,3845569303,141,30.9,3845569301,140,44.7,3845569307,213,5.8,3845569299,56,Back,3847227959,178,,,,,,,,6ol411t0mogw6m83heiqd0m39,K. Linetty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472613913,1234,83,1,0,12,bqbbqm98ud8obe45ds9ohgyrd,1,54.9,71.9,2022-10-15T16:01:42.748Z,2022-10-16T01:23:17Z,3847430185,399,160174,,,,,,,,,,,,,,,,,,,,,,2raf0uw5y2kajde0v60l4g1qt,Alex Sandro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472276693,7,1,1,0,12,7gnly6999wao1xarwct4p8fe9,1,43.4,26.4,2022-10-15T16:01:42.750Z,2022-10-16T00:11:49Z,3845569537,212,13.9,3845569533,140,39.3,3847228225,178,,3845569535,141,7.0,3845569539,213,4.4,3845569529,56,Back,,,,,,,5wdqva17qr5j2kqbmfi9o91x,A. Miranchuk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472276711,8,1,1,0,13,7gnly6999wao1xarwct4p8fe9,1,41.8,7.3,2022-10-15T16:01:43.971Z,2022-10-16T00:11:53Z,3845569613,212,20.0,3845569611,141,10.1,3845569615,213,0.1,3845569607,56,Right,3847228381,178,,3845569605,155,,3845569609,140,60.8,,,,7zokstl625tj96c64ow4uvjyt,O. Aina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472276723,9,1,1,0,15,7gnly6999wao1xarwct4p8fe9,0,61.1,9.1,2022-10-15T16:01:45.900Z,2022-10-16T00:12:00Z,3845569725,236,,3845569667,213,2.1,3845569665,212,1.0,3845569659,56,Right,3845569661,140,60.6,3845569663,141,10.4,3847228743,178,,3845569731,233,6,6ol411t0mogw6m83heiqd0m39,K. Linetty,3845569735,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472276733,6,74,1,0,15,bqbbqm98ud8obe45ds9ohgyrd,1,33.5,89.3,2022-10-15T16:01:45.970Z,2022-10-16T00:12:03Z,3845569695,56,Back,3847228957,178,,3845569697,285,,3845569793,233,9,,,,,,,,,,,,,d196vatyvq6ycn1q7d477d2i1,Bremer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472276779,8,49,1,0,17,bqbbqm98ud8obe45ds9ohgyrd,1,36,90.8,2022-10-15T16:01:47.859Z,2022-10-16T00:12:08Z,,,,,,,,,,,,,,,,,,,,,,,,,555z9bynvux7oruirg67r8i51,F. Kostić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472276763,7,50,1,0,17,bqbbqm98ud8obe45ds9ohgyrd,1,39,92.5,2022-10-15T16:01:47.954Z,2022-10-16T00:12:16Z,3845569867,56,Back,3845748945,286,,3845748989,233,10,,,,,,,,,,,,,,,,555z9bynvux7oruirg67r8i51,F. Kostić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472276777,10,7,1,0,18,7gnly6999wao1xarwct4p8fe9,1,61,7.5,2022-10-15T16:01:48.695Z,2022-10-16T00:12:19Z,3845570007,233,7,3845569949,56,Right,3846676489,383,,3847229809,178,,3845569953,285,,,,,,,,,,,6ol411t0mogw6m83heiqd0m39,K. Linetty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472276785,11,49,1,0,19,7gnly6999wao1xarwct4p8fe9,1,56.6,7.3,2022-10-15T16:01:49.785Z,2022-10-16T00:12:22Z,,,,,,,,,,,,,,,,,,,,,,,,,7zokstl625tj96c64ow4uvjyt,O. Aina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472276819,12,1,1,0,19,7gnly6999wao1xarwct4p8fe9,1,56.6,7.3,2022-10-15T16:01:49.920Z,2022-10-16T00:12:26Z,3845570193,212,3.4,3845570195,213,1.7,3845570189,141,12.3,3845570185,140,56.3,3845570183,56,Right,3847230219,178,,,,,,,,7zokstl625tj96c64ow4uvjyt,O. Aina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472276825,13,50,1,0,20,7gnly6999wao1xarwct4p8fe9,1,59.4,4.6,2022-10-15T16:01:51.534Z,2022-10-16T00:13:19Z,3845570305,233,9,3845570223,286,,3845570221,56,Right,,,,,,,,,,,,,,,,cdrzpuj49ploquvdolgh5c3bp,S. Lukić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472276827,9,7,1,0,21,bqbbqm98ud8obe45ds9ohgyrd,0,40.6,95.4,2022-10-15T16:01:52.096Z,2022-10-16T00:13:12Z,3845570231,285,,3845570229,56,Back,3845570285,233,13,3847231123,178,,3846677001,383,,,,,,,,,,,2raf0uw5y2kajde0v60l4g1qt,Alex Sandro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472323621,419,61,1,0,21,7gnly6999wao1xarwct4p8fe9,1,59.5,7,2022-10-15T16:01:52.232Z,2022-10-16T00:13:03Z,3845810577,56,Right,3847231455,178,,,,,,,,,,,,,,,,,,,,cdrzpuj49ploquvdolgh5c3bp,S. Lukić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
