id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/13/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId
2500088675,1,34,16,0,0,8le3orkfz6iix3jns6g9ojqjg,1,0,0,2023-01-23T18:53:53.813Z,2023-01-23T19:53:10Z,3992234727,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3992234729,194,1lota2za1imhl3oydwa89u5l,3992305165,197,2195,3992234731,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3992234719,30,"h12c7ocq35slzrop3ltnrsnp, f0o0jfa9hp54otpnwe09d591, 8dgh4fzut8khpt32d6dsrljsa, 2l87vg4m0glbbdvnrg4zud51x, 95r0jtkw03vjohzwc8os8ielm, cnk07o3823zl5gd7qr2bdks7p, cxjuod6b1ro67656dxwhpqqc5, 3sehm4zmy7141wm4ecfqqoxd5, d5m5q6dlc7vnbs634dinbsuwa, mh8eevw5lj4i9c7ue5n9j845, 1lota2za1imhl3oydwa89u5l, 9jx56wcoj1htd69i749wfwkx5, an5eip4p2zmw49hh9eqksigo9, dnk24js88d4ie661mwo7jkq95, c68syh6axbkqmcmvrpumqb8mi, 39504a9fwi439uhqbwc809ene, 6e9fu9o226zn6jzx02jutvi3u, 4494989zl7g13nw17wan5adp1, dmza22ad3iars2svmghrwhfit, d7xfjvw4kun7fx4j9ldr6cb11, bk1gdyxtfp4drwb0yotwerbsa, 5vyszdd8h7l79tlwy40lgimfo, 79naqsq6larc4nkiquenkuqne",3992234723,59,"13, 24, 65, 8, 6, 33, 11, 10, 28, 19, 25, 1, 3, 4, 9, 20, 21, 22, 30, 32, 35, 36, 87",3992234721,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3992234725,130,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500091777,1,34,16,0,0,3vo5mpj7catp66nrwwqiuhuup,1,0,0,2023-01-23T19:08:08.905Z,2023-01-23T19:45:00Z,3992254941,59,"24, 36, 32, 95, 6, 37, 23, 22, 10, 11, 20, 2, 5, 8, 9, 12, 14, 15, 21, 31, 33, 42, 45, 46, 90",3992254945,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3992254943,130,12,3992254947,194,4j1oq24pfi728zyl2zkpptpsl,3992254949,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3992254939,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3992254937,30,"8kttsnok9bbh7kpy3zz3j2xg5, asyzhp3qu95vmzdbau6nmoic5, 19856wqwrmzmvfw9thf0tzrv9, q6ns1fyw7w10xkkubh8etfc9, by2gxuixij1eciu56k8mb3cgl, 4j1oq24pfi728zyl2zkpptpsl, ahgd3on22t4h7gg9ipnj1itw5, 1xscywgyfqisqexmpfvbf9g45, 7r2tgpdrr4v6n9d2gkzwmlazt, 6d7rip50yu2j7vyk76zokeehh, botfgp0oq4wqlwtcs9m90kded, 2r6hs8npijvt4wekd059t6tx, ci37qg2uu0z3nppxvn0z9034l, 9qow77e16pvlb3860yjpydryt, a5eki9p236y4zxmp9qz202pcl, aripnzu9yo2wlr8ud93ufdhih, can2l9ha4ufsxdjxdkb739fkk, ujb2hkujcnwnyrbsgk3ilmtx, 84so0uovope0pkt6cz2iisbth, 1xby8xmlvh1g5j4sw2eorcl49, 6zcok1vbaitp91a9nrac20t05, 5tbrcvo8oo264o7iksi3t0opg, 6vz9qzgtbh3iqzv73xw2xaiok, 7agtkarul2qlsc20avvj45w8a, 8qgbxff7xlg0zjtyees7ljljp",3992305139,197,568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500100491,2,32,1,0,0,3vo5mpj7catp66nrwwqiuhuup,1,0,0,2023-01-23T19:45:30.719Z,2023-01-24T01:57:30Z,3992305749,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500100485,2,32,1,0,0,8le3orkfz6iix3jns6g9ojqjg,1,0,0,2023-01-23T19:45:30.719Z,2023-01-23T19:45:30Z,3992305711,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500100501,3,1,1,0,0,8le3orkfz6iix3jns6g9ojqjg,1,50,50,2023-01-23T19:45:30.722Z,2023-01-24T03:00:39Z,3992305803,212,19.5,3992305801,141,54.6,3992305805,213,3.0,3992635677,178,,3992305797,56,Back,3992305799,140,31.7,3992305807,279,S,,,,3sehm4zmy7141wm4ecfqqoxd5,N. Bajrami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500100515,4,1,1,0,3,8le3orkfz6iix3jns6g9ojqjg,0,31.7,61.2,2023-01-23T19:45:33.762Z,2023-01-24T03:00:57Z,3992305859,213,5.8,3992305857,212,46.4,3992305849,155,,3992305855,141,27.7,3992305851,56,Center,3992305861,1,,3992305853,140,70.2,3992635685,178,,cnk07o3823zl5gd7qr2bdks7p,S. Luperto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500100521,3,1,1,0,6,3vo5mpj7catp66nrwwqiuhuup,0,24.9,83,2023-01-23T19:45:36.931Z,2023-01-24T03:03:14Z,3992305907,141,83.0,3992305909,212,16.9,3992305911,213,0.0,3992635777,178,,3992305901,3,,3992305905,140,41.0,3992305903,56,Back,,,,q6ns1fyw7w10xkkubh8etfc9,A. Bastoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500100529,5,1,1,0,8,8le3orkfz6iix3jns6g9ojqjg,0,59.2,17.3,2023-01-23T19:45:39.284Z,2023-01-24T03:03:21Z,3992305923,56,Right,3992305925,140,59.4,3992305931,213,4.7,3992635785,178,,3992635787,21,,3992305929,212,5.8,3992305927,141,8.8,,,,2l87vg4m0glbbdvnrg4zud51x,L. Henderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500100545,4,49,1,0,9,3vo5mpj7catp66nrwwqiuhuup,1,42.4,95.4,2023-01-23T19:45:40.506Z,2023-01-24T03:03:26Z,,,,,,,,,,,,,,,,,,,,,,,,,6d7rip50yu2j7vyk76zokeehh,J. Correa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500100561,5,1,1,0,9,3vo5mpj7catp66nrwwqiuhuup,1,41.7,93.5,2023-01-23T19:45:40.574Z,2023-01-24T03:03:35Z,3992306081,212,8.4,3992306083,213,3.1,3992635805,178,,3992306073,56,Back,3992306079,141,94.1,3992306077,140,33.7,,,,,,,6d7rip50yu2j7vyk76zokeehh,J. Correa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
