id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,assist,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/18/value,keyPass,qualifier/9/value,qualifier/11/value,qualifier/12/value,qualifier/15/value
2465446245,1,34,16,0,0,gi0l1habji5hpgar77dl5jqe,1,0,0,2022-10-01T12:12:09.772Z,2022-10-01T12:56:39Z,3809114905,59,"1, 22, 6, 68, 13, 3, 99, 20, 81, 21, 77, 4, 5, 7, 11, 12, 17, 18, 23, 30, 31, 55, 59, 91",3809114903,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3809288919,197,14196,3809114911,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3809114907,130,4,3809114909,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3809114899,30,"af58rhtg8ck7c8g7nwfs67d91, 5d9i8ubibyiecxecr9jjvxexh, ypfascbq81vkjbe57108cpn9, 9y8fnvazj02vy31ljx3du0d79, 2kfkjjqh7vrfcfbgr4aa85dqt, 2p1pns6j6id4nx3nbi7fv0wrt, 3bhy6x04rbwzk0nh1fm59dmnd, dpcws493fepch23sk26m1a8yd, abq67eup8kd31w8da2i0eftgp, 9bba1hgnx5mzpkzeazsoikn9x, 4zy4d60v2qmaplm9xbe51y1gp, cv0p6dzx3res3affivdwcpolx, 8n0c5t5wzfkoauryyzy8be0gl, 72im0m7d8rqpsclo4f5crqmsp, cen5nxf8sb8binjr7apt9nb2t, copo8qsmvy2fhpi1aev6f46i1, 896uaqjrz22q6fqjfzuwf77jd, cp13vthbds3tl1wtfelfx2evp, 7knk2xsg4690hgq9us9us8ull, 8ud1kq9mdgukhlbda5vcn0s0l, 9c9g2havtsf29fpt5582y8ne2, 40msbo4o5bwx0oeuz4743w161, 7kbn6vt37rfgd9yszzvx9idm2, bcqutyzafpahp2ni41u2xt4gl",3809269017,194,5d9i8ubibyiecxecr9jjvxexh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465448559,1,34,16,0,0,7gnly6999wao1xarwct4p8fe9,1,0,0,2022-10-01T12:14:44.756Z,2022-10-01T12:56:37Z,3809126691,130,17,3809288871,194,9ak3zczupeken1itsmkherbh1,3809126687,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3809288873,197,594,3809126695,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3809126689,59,"32, 17, 19, 13, 4, 26, 10, 77, 9, 59, 16, 1, 2, 3, 6, 7, 14, 20, 21, 34, 36, 49, 89",3809126693,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3809126685,30,"5syage212151fcixahbq3k8ut, f065kc6qn2cpxjxcm6i08rz3e, 866f0f7taqhae91o3cjnnx0ph, 9ak3zczupeken1itsmkherbh1, 22x1ucwwak58wi6r5x1j6ohk9, 8z1ukxgc8mxiyw9udbpwr4ct1, cdrzpuj49ploquvdolgh5c3bp, 6ol411t0mogw6m83heiqd0m39, e7tz6hxliohn3gkj4cgl3j1ed, 5wdqva17qr5j2kqbmfi9o91x, ebgkv548xih19m8uza7bgrvmd, 42p4op3tm9umpwxyxde5xjefp, 21p37y6mra4u9kcg35z5dm4q2, 2j09251upkf2aid3lfyyos0dl, 7oz324ar8tp6nkd934y096q22, ez8vzwaf7iuiv2ceetiwg6ymt, 8vom3bt6es2kp5sdl98az6gwk, e2w8qlrfmunsg7oq4733cu6l1, 43rid94d7jz7u5ba4xzb8bbe2, 7zokstl625tj96c64ow4uvjyt, cjff8fu812lennnunqljgddnu, 1tztnrv51q99ewl193qk526z9, 7p19t0mn8cq7xum09nv2u2lt5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465481299,2,32,1,0,0,gi0l1habji5hpgar77dl5jqe,1,0,0,2022-10-01T13:00:27.366Z,2022-10-01T17:45:26Z,3809295829,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465481293,2,32,1,0,0,7gnly6999wao1xarwct4p8fe9,1,0,0,2022-10-01T13:00:27.366Z,2022-10-01T13:00:27Z,3809295803,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465481305,3,1,1,0,0,gi0l1habji5hpgar77dl5jqe,1,50.1,50.1,2022-10-01T13:00:27.545Z,2022-10-01T17:50:56Z,3809295849,279,S,3809295841,140,45.0,3809295839,56,Back,3809295845,212,5.7,3809295843,141,47.4,3811451445,178,,3809295847,213,3.5,,,,abq67eup8kd31w8da2i0eftgp,G. Raspadori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465481355,4,1,1,0,0,gi0l1habji5hpgar77dl5jqe,1,47.1,47,2022-10-01T13:00:27.901Z,2022-10-01T17:51:02Z,3809296145,213,0.3,3809296139,212,7.7,3811452437,178,,3809296131,140,54.1,3809296135,141,50.4,3809296129,56,Center,,,,,,,9y8fnvazj02vy31ljx3du0d79,S. Lobotka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465481363,5,1,1,0,1,gi0l1habji5hpgar77dl5jqe,1,54.1,50.4,2022-10-01T13:00:29.009Z,2022-10-01T17:51:05Z,3809296183,212,20.4,3809296185,213,1.9,3809296177,56,Back,3811452771,178,,3809296181,141,79.0,3809296179,140,48.2,,,,,,,abq67eup8kd31w8da2i0eftgp,G. Raspadori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465911429,855,43,1,0,3,gi0l1habji5hpgar77dl5jqe,1,0,0,2022-10-01T13:00:30.728Z,2022-10-01T18:18:39Z,3811587629,144,82,3811585887,178,0,,,,,,,,,,,,,,,,,,,ypfascbq81vkjbe57108cpn9,Mário Rui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465481367,6,1,1,0,4,gi0l1habji5hpgar77dl5jqe,1,51.3,81,2022-10-01T13:00:32.089Z,2022-10-01T17:51:08Z,3809296209,212,15.7,3811453001,178,,3809296211,213,5.5,3809296207,141,64.3,3809296205,140,61.6,3809296203,56,Center,,,,,,,ypfascbq81vkjbe57108cpn9,Mário Rui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465481369,7,1,1,0,6,gi0l1habji5hpgar77dl5jqe,1,61.6,64.3,2022-10-01T13:00:34.068Z,2022-10-01T17:51:12Z,3809296221,212,25.3,3811453203,178,,3809296219,141,37.4,3809296217,140,44.9,3809296223,213,3.9,3809296215,56,Back,,,,,,,abq67eup8kd31w8da2i0eftgp,G. Raspadori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
