id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/11/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,keyPass,qualifier/15/value,assist,qualifier/18/value
2541582097,1,34,16,0,0,8le3orkfz6iix3jns6g9ojqjg,1,0,0,2023-04-30T12:22:25.792Z,2023-04-30T13:03:47Z,4239506219,30,"h12c7ocq35slzrop3ltnrsnp, f0o0jfa9hp54otpnwe09d591, 8dgh4fzut8khpt32d6dsrljsa, 1fdgli7rrzvlhcs1exckc0r11, dnk24js88d4ie661mwo7jkq95, cnk07o3823zl5gd7qr2bdks7p, 9cy6lgb0e0cq4a7ht389qaklx, bk1gdyxtfp4drwb0yotwerbsa, mh8eevw5lj4i9c7ue5n9j845, d5m5q6dlc7vnbs634dinbsuwa, 1lota2za1imhl3oydwa89u5l, 9jx56wcoj1htd69i749wfwkx5, an5eip4p2zmw49hh9eqksigo9, 2l87vg4m0glbbdvnrg4zud51x, c68syh6axbkqmcmvrpumqb8mi, cxjuod6b1ro67656dxwhpqqc5, 6e9fu9o226zn6jzx02jutvi3u, 4494989zl7g13nw17wan5adp1, anr1wukl3xezz39fwogjzatw5, 6gf25ng7surglurqkroozlfit, dmza22ad3iars2svmghrwhfit, d7xfjvw4kun7fx4j9ldr6cb11, d6vg86aml1ttoyks4vvvk0smh, 31b0dvddmki2b2zvumesyrx4a",4239506225,130,23,4239506221,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4239506227,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4239508389,197,2195,4239506231,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4239506223,59,"13, 24, 65, 5, 4, 33, 18, 35, 19, 28, 25, 1, 3, 8, 9, 11, 21, 22, 23, 26, 30, 32, 55, 91",4239506229,194,1lota2za1imhl3oydwa89u5l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541583285,1,34,16,0,0,6tuibxq39fdryu8ou06wcm0q3,1,0,0,2023-04-30T12:24:09.005Z,2023-04-30T12:57:15Z,4239512429,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4239626167,197,590,4239512423,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4239646641,194,1r5gn4osgwz2b2b4sefncbhed,4239512431,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4239512427,130,4,4239512421,30,"1r5gn4osgwz2b2b4sefncbhed, 5oge5fhmna0oduqvjisoa1djp, 37kr5th62ugmy4j55i3n45k2d, ef4thhub6bsd2gtmltknkz8b9, e5fnoxb8f2hycjx4gnmce2wvd, cxxxfvmrslyjyi9wz9m8kwne2, 4qejyummzkrfllds8ord642qx, 74o97lnqpku6m9svks66qbend, f2p5457ilcfrtzhe343whhkut, 3sehm4zmy7141wm4ecfqqoxd5, 27xj7me8icr5ptta7kwx0kfs9, 4vis4wltntxil2m9z16mi6j8p, bqer8ajqm2vibthgumtuycbu1, 153ljvbov0n176vm9fdaizoix, m030tubgf3zpgf0axzm7z26t, 14xoy6tg51xbydm69d5ybyfis, 9rzl0j9m9i30a62o1yofzvaad, 9k1ytj3z42ggp14vkn39hiymt, 4xnll2f9tb69wrezm04ayg76y, 61c395xuimpxo2439p8mt3y6t, 42m78ny1ggvmzmjtka7exyzqi, 6k790p49tjwkhlwf9afll9jo5, cc04mat3snly9oe4bt7xaeooa, bpt2fdnjjpb6a5ehdepyedxt6",4239512425,59,"47, 22, 3, 27, 28, 44, 16, 8, 92, 20, 45, 6, 7, 9, 10, 11, 13, 14, 15, 19, 21, 25, 42, 64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541612905,2,32,1,0,0,8le3orkfz6iix3jns6g9ojqjg,1,0,0,2023-04-30T13:01:16.584Z,2023-04-30T13:01:16Z,4239663889,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541612913,2,32,1,0,0,6tuibxq39fdryu8ou06wcm0q3,1,0,0,2023-04-30T13:01:16.584Z,2023-04-30T22:56:13Z,4239663945,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541613009,3,1,1,0,0,8le3orkfz6iix3jns6g9ojqjg,1,50.3,50.1,2023-04-30T13:01:16.631Z,2023-04-30T19:15:41Z,4239664401,56,Back,4239664407,141,47.8,4241274387,178,,4239664421,279,S,4239664417,213,3.2,4239664411,212,20.8,4239664403,140,30.5,,,,bk1gdyxtfp4drwb0yotwerbsa,T. Baldanzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541613045,4,1,1,0,3,8le3orkfz6iix3jns6g9ojqjg,0,35.2,43.9,2023-04-30T13:01:20.221Z,2023-04-30T19:15:44Z,4241274459,178,,4239664619,213,5.9,4239664613,140,70.5,4239664621,1,,4239664615,141,20.7,4239664617,212,40.3,4239664611,56,Right,4239664609,155,,9cy6lgb0e0cq4a7ht389qaklx,R. Marin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541613109,3,1,1,0,6,6tuibxq39fdryu8ou06wcm0q3,1,23.7,81.4,2023-04-30T13:01:22.972Z,2023-04-30T19:15:48Z,4239664891,213,4.7,4239664885,140,23.6,4239664881,3,,4239664887,141,68.8,4239664889,212,8.6,4239664883,56,Back,4241274581,388,,,,,cxxxfvmrslyjyi9wz9m8kwne2,Ruan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541613137,4,1,1,0,8,6tuibxq39fdryu8ou06wcm0q3,1,24.6,70.7,2023-04-30T13:01:25.240Z,2023-04-30T19:15:58Z,4239665017,56,Back,4239665023,212,6.6,4239665015,3,,4239665021,141,69.3,4241275017,388,,4239665019,140,30.8,4239665025,213,6.1,,,,ef4thhub6bsd2gtmltknkz8b9,M. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541613145,5,61,1,0,10,6tuibxq39fdryu8ou06wcm0q3,1,27.3,69.5,2023-04-30T13:01:27.043Z,2023-04-30T19:16:07Z,4241275429,178,,4239665051,56,Back,4241275427,21,,,,,,,,,,,,,,,,,74o97lnqpku6m9svks66qbend,A. Harroui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541613201,5,1,1,0,12,8le3orkfz6iix3jns6g9ojqjg,1,70.2,29.5,2023-04-30T13:01:28.701Z,2023-04-30T19:16:22Z,4239665367,56,Center,4239665373,141,29.7,4239665377,213,3.1,4239665371,140,64.7,4239665375,212,5.8,4241276355,178,,,,,,,,1fdgli7rrzvlhcs1exckc0r11,A. Grassi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
