id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/13/value,qualifier/17/value,qualifier/12/value,assist,qualifier/15/value
2537833265,1,34,16,0,0,8le3orkfz6iix3jns6g9ojqjg,1,0,0,2023-04-23T09:41:30.630Z,2023-04-23T10:30:50Z,4212620773,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4212620765,59,"1, 24, 65, 18, 34, 33, 32, 35, 28, 19, 25, 3, 5, 8, 9, 14, 20, 22, 23, 26, 30, 40, 55, 91",4212620771,194,1lota2za1imhl3oydwa89u5l,4212620767,130,23,4212620769,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4212620763,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4212703143,197,11835,4212620761,30,"9jx56wcoj1htd69i749wfwkx5, f0o0jfa9hp54otpnwe09d591, 8dgh4fzut8khpt32d6dsrljsa, 9cy6lgb0e0cq4a7ht389qaklx, 54mmovmx3osoxgbloe9rzmx9l, cnk07o3823zl5gd7qr2bdks7p, d7xfjvw4kun7fx4j9ldr6cb11, bk1gdyxtfp4drwb0yotwerbsa, d5m5q6dlc7vnbs634dinbsuwa, mh8eevw5lj4i9c7ue5n9j845, 1lota2za1imhl3oydwa89u5l, an5eip4p2zmw49hh9eqksigo9, 1fdgli7rrzvlhcs1exckc0r11, 2l87vg4m0glbbdvnrg4zud51x, c68syh6axbkqmcmvrpumqb8mi, 2hbduprkyabq8g1nhe6b4g3bp, 39504a9fwi439uhqbwc809ene, 4494989zl7g13nw17wan5adp1, anr1wukl3xezz39fwogjzatw5, 6gf25ng7surglurqkroozlfit, dmza22ad3iars2svmghrwhfit, 8git2dsc2u9h5ullcu50a6a22, d6vg86aml1ttoyks4vvvk0smh, 31b0dvddmki2b2zvumesyrx4a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537834745,1,34,16,0,0,3vo5mpj7catp66nrwwqiuhuup,1,0,0,2023-04-23T09:45:40.283Z,2023-04-23T10:26:41Z,4212627347,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4212627343,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4212627335,30,"c9lu69xk59a75bnpzgalh1kut, aripnzu9yo2wlr8ud93ufdhih, 9qow77e16pvlb3860yjpydryt, ujb2hkujcnwnyrbsgk3ilmtx, by2gxuixij1eciu56k8mb3cgl, 6zcok1vbaitp91a9nrac20t05, ci37qg2uu0z3nppxvn0z9034l, botfgp0oq4wqlwtcs9m90kded, 6d7rip50yu2j7vyk76zokeehh, 8qgbxff7xlg0zjtyees7ljljp, 3ddsnnhxo0mem95lcph71ix1x, 2r6hs8npijvt4wekd059t6tx, a5eki9p236y4zxmp9qz202pcl, 7r2tgpdrr4v6n9d2gkzwmlazt, can2l9ha4ufsxdjxdkb739fkk, 84so0uovope0pkt6cz2iisbth, ahgd3on22t4h7gg9ipnj1itw5, 8kttsnok9bbh7kpy3zz3j2xg5, 19856wqwrmzmvfw9thf0tzrv9, asyzhp3qu95vmzdbau6nmoic5, 6vz9qzgtbh3iqzv73xw2xaiok, 7agtkarul2qlsc20avvj45w8a, q6ns1fyw7w10xkkubh8etfc9",4212705499,197,17993,4212627339,59,"1, 12, 8, 15, 6, 33, 5, 20, 11, 90, 77, 2, 9, 10, 14, 21, 23, 24, 32, 36, 45, 46, 95",4212627341,130,12,4212627337,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4212627345,194,c9lu69xk59a75bnpzgalh1kut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537851411,2,32,1,0,0,3vo5mpj7catp66nrwwqiuhuup,1,0,0,2023-04-23T10:30:34.818Z,2023-04-23T10:30:35Z,4212713117,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537851421,2,32,1,0,0,8le3orkfz6iix3jns6g9ojqjg,1,0,0,2023-04-23T10:30:34.818Z,2023-04-23T21:37:50Z,4212713161,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537851439,3,1,1,0,0,3vo5mpj7catp66nrwwqiuhuup,1,50.1,50,2023-04-23T10:30:34.933Z,2023-04-23T22:20:31Z,4212713225,141,54.2,4212713231,279,S,4212713221,56,Back,4215946437,178,,4212713223,140,38.5,4212713229,213,2.9,4212713227,212,12.5,,,,8qgbxff7xlg0zjtyees7ljljp,R. Lukaku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537851463,4,1,1,0,2,3vo5mpj7catp66nrwwqiuhuup,1,38,54.3,2023-04-23T10:30:36.924Z,2023-04-23T22:20:36Z,4212713361,212,10.2,4212713363,213,3.8,4215946587,178,,4212713351,56,Back,4212713353,140,30.2,4212713357,141,45.4,,,,,,,botfgp0oq4wqlwtcs9m90kded,H. Çalhanoğlu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537851471,5,1,1,0,8,3vo5mpj7catp66nrwwqiuhuup,1,30.1,49.9,2023-04-23T10:30:43.030Z,2023-04-23T22:20:40Z,4212713445,212,25.8,4212713439,56,Back,4212713441,140,34.7,4215946761,178,,4212713447,213,1.4,4212713443,141,87.1,,,,,,,by2gxuixij1eciu56k8mb3cgl,S. de Vrij,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537851527,6,1,1,0,9,3vo5mpj7catp66nrwwqiuhuup,1,32.8,84.8,2023-04-23T10:30:44.634Z,2023-04-23T22:20:46Z,4212713691,212,21.6,4212713693,213,4.3,4215946935,178,,4212713685,56,Back,4212713689,141,56.3,4212713687,140,23.7,,,,,,,ujb2hkujcnwnyrbsgk3ilmtx,F. Acerbi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537851549,7,1,1,0,17,3vo5mpj7catp66nrwwqiuhuup,1,32.1,51.2,2023-04-23T10:30:52.093Z,2023-04-23T22:20:48Z,4212713795,140,34.8,4212713801,213,1.4,4215947041,178,,4212713797,141,83.0,4212713793,56,Back,4212713799,212,21.8,,,,,,,by2gxuixij1eciu56k8mb3cgl,S. de Vrij,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537851559,8,1,1,0,19,3vo5mpj7catp66nrwwqiuhuup,1,35.9,83.5,2023-04-23T10:30:54.750Z,2023-04-23T22:20:51Z,4212713867,213,0.9,4212713863,141,96.8,4212713861,140,42.9,4215947133,178,,4212713859,56,Back,4212713865,212,11.7,,,,,,,ujb2hkujcnwnyrbsgk3ilmtx,F. Acerbi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
