id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/11/value,qualifier/13/value,qualifier/15/value,qualifier/14/value,assist
2451029939,1,34,16,0,0,67z1gqyiuzpmmb15q5fy7ntc4,1,0,0,2022-08-26T15:28:33.798Z,2022-08-26T17:06:03Z,3732463725,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3732463721,59,"16, 19, 79, 30, 34, 5, 28, 10, 37, 17, 12, 7, 8, 9, 22, 26, 32, 38, 44, 80, 84, 89, 91",3732463727,194,4d17grk2qflzake218uz76uei,3732463719,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3732463729,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3732463717,30,"b3hr4q25jvqr7565z5ydqylt5, 721e4tx2wrwb4kd9w80fcq19l, 42kcyb3d0nlrld251epht6lsl, 4d17grk2qflzake218uz76uei, aqihfinmho5z4o2r2umpddsyd, av8588qp8e5wz3s7cg1n2qgnp, duqiler25n63ksi0fxreo50mi, 9noq0ogmqc2cwj3nowoadcdlh, 91sgvwun5559mwe9bszj4xql1, 6ck9f1ppvl65nui0x71q80jx1, 64z85woxiowxzod5e0g0x77x1, 4vonqsqrzoyye4vs6n7dud2p5, 1muwnu7rq4feejspx7no203px, 61phh511ju65h6coren0pbkd1, 2zk88fh1e5js1g2jmfkrjmxka, 1b8uwkohkevu6ltjex0liklpl, 2qdgfxqyh0bjn3alkz97py8k5, 98x5xrku2jffo0in2u2htazca, chjjcy789cuwlsik2ibmubtyi, rblijalj0qnu455jtjoi3pjo, bcqsti42fhzap385lnfe4auhh, 6jwy293owzzhldv4i9wxntjv9, ahrgnlsku8ghrj2qc0s6p1rhm",3732511387,197,8477,3732463723,130,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451030441,1,34,16,0,0,dxq76zcvnokq07cszdx0i6kve,1,0,0,2022-08-26T15:33:59.387Z,2022-08-26T16:31:53Z,3732466757,30,"93237ztqyi3r4hu3rmgzrgudx, b881arnahhahg0iaix4mx266t, c33x61zuxixolkkalsigc3q0a, 6gzi8qf8szxn99dnwh3h6gkb9, 7wjzrrcy3fp8nq6dlanfxvqhh, dkx1rfzizskaplpex70i3q0o9, 60no437awq8i5th7nlffh3dn9, 13o5eskqs8b88yerwltk0tivp, cjm9hrspcnmjhqttuiz5fkgr9, 6z3a27dxffwacyxof0imvcfvu, 18jovwk0ysx6ajb8y75179j9x, 96d5il3afakek9qvsbtldu162, 8zyg5zuzyr6t0idi5od2ypvbp, 5152de1kfmrihdzbdotpeo8ut, 22pxty2g6hhtifl32avf4mxud, 8e4wkgb71btkez592um5vts0k, al3t9fzj4ab55yux0zkd1jkr9, dgcngardsbyl2mme63dhqm5be, e2xiayt8k5tv4dw5hjop71fqh, bl76cebhta912vfi9z7ky32p6, eahcgnvlq1tkswvjuovyzxxw5, ah0f7tonnst92d8q91j1wll62, ewt8nxg2m27fj0n7dr9hbul05, dn00381nbniepgi4qj7yjkv84, hhv3h90gifzevkeqh97cb504",3732466763,130,12,3732466759,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3732466769,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3732466767,194,b881arnahhahg0iaix4mx266t,3732466765,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3732466761,59,"1, 37, 13, 3, 17, 50, 6, 4, 10, 9, 11, 2, 5, 7, 8, 14, 20, 21, 23, 24, 28, 29, 30, 67, 99",3732514191,197,16667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451038945,2,32,1,0,0,67z1gqyiuzpmmb15q5fy7ntc4,1,0,0,2022-08-26T16:32:34.279Z,2022-08-27T00:05:24Z,3732515865,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451038943,2,32,1,0,0,dxq76zcvnokq07cszdx0i6kve,1,0,0,2022-08-26T16:32:34.279Z,2022-08-26T16:32:34Z,3732515861,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451038963,3,1,1,0,0,dxq76zcvnokq07cszdx0i6kve,1,50,50,2022-08-26T16:32:34.350Z,2022-08-27T00:47:22Z,3732515933,279,S,3733568089,178,,3732515923,140,28.6,3732515927,212,23.7,3732515925,141,61.2,3732515921,56,Back,3732515931,213,2.8,,,,cjm9hrspcnmjhqttuiz5fkgr9,Deulofeu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451038987,4,1,1,0,3,dxq76zcvnokq07cszdx0i6kve,1,28.6,61.7,2022-08-26T16:32:37.450Z,2022-08-27T00:47:32Z,3732516033,140,71.9,3732516041,1,,3733568411,178,,3732516037,212,48.5,3732516029,155,,3732516039,213,5.9,3732516031,56,Center,3732516035,141,36.8,6gzi8qf8szxn99dnwh3h6gkb9,A. Masina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451038991,5,44,1,0,6,dxq76zcvnokq07cszdx0i6kve,1,73.8,38.2,2022-08-26T16:32:40.293Z,2022-08-27T04:23:55Z,3732516063,286,,3732516169,233,3,3732516061,56,Center,,,,,,,,,,,,,,,,6z3a27dxffwacyxof0imvcfvu,Beto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451039011,3,44,1,0,6,67z1gqyiuzpmmb15q5fy7ntc4,0,26.2,61.8,2022-08-26T16:32:40.294Z,2022-08-27T00:47:41Z,3732516177,233,5,3732516165,56,Back,3732516167,285,,,,,,,,,,,,,,,,,4d17grk2qflzake218uz76uei,Carlos Augusto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451038995,6,1,1,0,6,dxq76zcvnokq07cszdx0i6kve,0,71.9,36.8,2022-08-26T16:32:40.358Z,2022-08-27T04:23:55Z,3732516073,140,67.9,3733392223,156,,3732516077,212,4.5,3732516079,213,3.5,3732516069,3,,3733569541,388,,3732516071,56,Center,3732516075,141,34.4,6z3a27dxffwacyxof0imvcfvu,Beto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451039043,4,61,1,0,6,67z1gqyiuzpmmb15q5fy7ntc4,0,29.1,59.9,2022-08-26T16:32:41.065Z,2022-08-27T00:48:48Z,3733570415,21,,3732516301,56,Back,3733570417,178,,,,,,,,,,,,,,,,,9noq0ogmqc2cwj3nowoadcdlh,M. Valoti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
