id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId
2500955297,1,34,16,0,0,ej5er0oyngdw138yuumwqbyqt,1,0,0,2023-01-27T16:32:14.993Z,2023-01-27T17:26:41Z,3996745527,194,8wh3u8b2hz7rcygnfng8khh3p,3996745523,130,8,3996745519,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3996745531,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3996745517,30,"4hrmzpx1nt5ze55fpby71mcb9, 1po7tmdv73zfjentt0p20wdlh, 7ohgxs03szerp6mwiiv58ryay, 5lvdnoyknuoyr6kdruposgctl, 4gmki0xpn2e9o9p7wnm0k8p1x, 3l0mj1zzhytxvm9tryvqv8kix, 1cu7fg8sf90isf9gp21e5fqh, 6eqqtmbg35rg2stk10ic7q8k5, 56bidwsegakrtx3z1qbbpnc6i, bdb6j168crcrwje9k0titxv55, 8wh3u8b2hz7rcygnfng8khh3p, 46twjsjrm4ljb7bhobbpwx5h, 6xt6fnmwrs7btha4d2t7wkktm, 38de1wbyp2ruksgffna791n8p, bpfg11qh1q0zj2x6sqd3srvmx, a2n9op95qyb3rkye5pxqjb7bp, 2yijk5l991mdyjprmuudq7qzu, 9m6yva52cmdq7uu31qrwdrund, d6vg86aml1ttoyks4vvvk0smh, 5tfh0jvfxlw1aqfaiiok4pwr8, a46kdc4sdf7e6520s8gm9glm2",3996745525,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3996745521,59,"28, 3, 50, 30, 5, 26, 7, 6, 11, 19, 21, 1, 4, 8, 20, 22, 25, 34, 55, 66, 99",3996745529,197,551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500955907,1,34,16,0,0,4klvxyeh3xcus4ongu7c00mgc,1,0,0,2023-01-27T16:34:40.264Z,2023-01-27T17:33:17Z,3996748779,194,8lta4w1nytggiwnaqv4e5cc0l,3996748771,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3996748783,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3996748775,130,18,3996748773,59,"69, 2, 13, 43, 29, 27, 4, 6, 24, 33, 11, 5, 7, 10, 16, 21, 22, 25, 30, 40, 44, 55, 72",3996748769,30,"4g0d51pqr4grzoe9cx7do6pxx, awf3x41nsz8m73bhte5wlz6ui, 545o5sllzb34kosvbw3fxhc5x, 89z0ym1zvwp7rikmd0kvpcq8l, 6sejjyqssbr3olctm9nkq2v9x, 2s9ko6yxyi95jybzguru8g3bp, f1ma05bi3t1hfbflylx5d9tyh, 6ehsdxl74v0qtlbjjjbu0r0t1, 1s7qbrynbcv9uw9r5f29oyc5, 72sbeqsrvv64vwiec51r9g1k9, 8lta4w1nytggiwnaqv4e5cc0l, 2gyzpo4amzw3ibxq47dyzvmx, 4ypa8ma678embtagi427eg4id, e4cwx5r9hrvip371egldkc6ol, 9n2nm6smh0txgv2482qbwhixg, 9casrbyhvk5woencvp365fnmy, 2rdh9ggkr9iu50esnyv464dsl, cbymienvjkbbvi1rbky74vj3e, 1fsum47fkh62rer9xxe3smctm, q86iuo0cn7dlhvgwz6ix1mqy, eprihatu8znb0vq6kuaj38z1m, e05kmeeuc7x55gwhjmxl9ry3u, 1kafgt90durzi0trgasa35nqi",3996748777,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3996748781,197,14656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500967867,2,32,1,0,0,ej5er0oyngdw138yuumwqbyqt,1,0,0,2023-01-27T17:31:29.857Z,2023-01-27T23:16:31Z,3996815835,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500967865,2,32,1,0,0,4klvxyeh3xcus4ongu7c00mgc,1,0,0,2023-01-27T17:31:29.857Z,2023-01-27T17:31:30Z,3996815833,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500967895,3,1,1,0,0,4klvxyeh3xcus4ongu7c00mgc,1,50.2,49.9,2023-01-27T17:31:29.870Z,2023-01-27T23:37:23Z,3996815961,56,Back,3996815969,213,3.0,3996815965,141,52.7,3997499579,178,,3996815971,279,S,3996815963,140,37.0,3996815967,212,14.0,,,,8lta4w1nytggiwnaqv4e5cc0l,E. Gyasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500967913,4,1,1,0,1,4klvxyeh3xcus4ongu7c00mgc,1,36.1,53.9,2023-01-27T17:31:31.246Z,2023-01-27T23:37:39Z,3996816067,212,2.5,3996816063,140,34.0,3996816065,141,52.1,3996816069,213,3.6,3996816061,56,Back,3997499875,178,,,,,,,,89z0ym1zvwp7rikmd0kvpcq8l,D. Nikolaou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500967921,5,1,1,0,2,4klvxyeh3xcus4ongu7c00mgc,1,34,52.1,2023-01-27T17:31:32.515Z,2023-01-27T23:37:46Z,3996816147,213,5.6,3996816137,155,,3996816143,141,16.1,3996816145,212,37.9,3996816139,56,Right,3996816149,1,,3996816141,140,61.5,3997499897,178,,6sejjyqssbr3olctm9nkq2v9x,M. Caldara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500967923,6,1,1,0,5,4klvxyeh3xcus4ongu7c00mgc,0,61.5,16.1,2023-01-27T17:31:35.468Z,2023-01-27T23:37:59Z,3997499995,388,,3996816163,141,30.0,3996816159,56,Center,3996816167,213,1.2,3996816161,140,65.0,3996816165,212,10.1,3996816157,3,,,,,awf3x41nsz8m73bhte5wlz6ui,E. Holm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500967929,3,8,1,0,6,ej5er0oyngdw138yuumwqbyqt,1,35.2,74.7,2023-01-27T17:31:36.388Z,2023-01-27T23:38:07Z,3997500049,178,,3996816195,56,Back,3997197933,383,,,,,,,,,,,,,,,,,5lvdnoyknuoyr6kdruposgctl,J. Schouten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500967933,4,49,1,0,7,ej5er0oyngdw138yuumwqbyqt,1,35.6,74.5,2023-01-27T17:31:37.436Z,2023-01-27T23:38:16Z,,,,,,,,,,,,,,,,,,,,,,,,,5lvdnoyknuoyr6kdruposgctl,J. Schouten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
