id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/14/value
2452620677,1,34,16,0,0,bi1fxjrncd0ram0oi7ja1jyuo,1,0,0,2022-08-28T17:53:05.727Z,2022-08-28T19:00:22Z,3740957755,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3740957747,59,"30, 17, 25, 42, 5, 6, 16, 8, 77, 27, 22, 97, 93, 1, 7, 9, 11, 13, 14, 19, 24, 29, 36, 99",3741098017,197,5190,3740957745,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3740957743,30,"3nfxhugbxid6o0r92txslivh1, a9jc36ub52lh0jgq2ya56wyui, 1oszv53od5pulbhx566ht984q, 4x1tm440b5cshi5gxkx5k9m95, 8j498fkairlyk82v1qprc13op, bkz9b4cqf8f970myv8r49f561, dd7i0ps16hldpriliccyvxct0, cnexf6pdh1piheuuqzrbb1t61, cv8wgka2bmkeqajg3eo9lb4k5, 44f0q2ucrld1rwcwx63vgs7hl, cntcffa67r95rbcf1154r92zu, 90pjbz2aq8vz4qapqu1yt2ynd, 8mlps3xgwbxa7svajxfk2exud, 3iveuhunq47tg8lg0lm3d31sl, 5cjx2i2perp5vr62en4cyer1m, 46yp8iqh0qm7i75d98tfrsbxm, 6gjr3yxp34gj52xx8xfm9nt91, 44g3gj1lpougjwjpq9houab4l, 3ail949zww61xhkymcg66bca1, almqs7iwjgmimcpmegdkoh3o5, 81z0wow5khv1ciq38xsjisdex, 6e4y15kfry8fzixh99zpala6t, 8ikf00dzaqhw0pnpnbncpz2wa, 6dioxrahqm3l316lwtvqstnxm",3740957751,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3740957749,130,4,3740957753,194,4x1tm440b5cshi5gxkx5k9m95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452622699,1,34,16,0,0,8le3orkfz6iix3jns6g9ojqjg,1,0,0,2022-08-28T17:56:59.498Z,2022-08-28T18:52:53Z,3740969503,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3740969501,30,"h12c7ocq35slzrop3ltnrsnp, dmza22ad3iars2svmghrwhfit, 8dgh4fzut8khpt32d6dsrljsa, 9cy6lgb0e0cq4a7ht389qaklx, 54mmovmx3osoxgbloe9rzmx9l, 95r0jtkw03vjohzwc8os8ielm, 2l87vg4m0glbbdvnrg4zud51x, bk1gdyxtfp4drwb0yotwerbsa, ewwo2c7kw1b1okrngjl4j4dm1, c68syh6axbkqmcmvrpumqb8mi, 1lota2za1imhl3oydwa89u5l, 9jx56wcoj1htd69i749wfwkx5, an5eip4p2zmw49hh9eqksigo9, 1fdgli7rrzvlhcs1exckc0r11, 3sehm4zmy7141wm4ecfqqoxd5, 5yq6tl0qvxwespxl0npuonyzt, 4az5n8aekw6ipzu7fagqhkys4, 39504a9fwi439uhqbwc809ene, 6e9fu9o226zn6jzx02jutvi3u, anr1wukl3xezz39fwogjzatw5, f0o0jfa9hp54otpnwe09d591, doc2gnbp9db0101sf1lictono, d7xfjvw4kun7fx4j9ldr6cb11, 5vyszdd8h7l79tlwy40lgimfo",3740969509,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3741146235,197,2194,3740969507,130,23,3740969513,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3740969505,59,"13, 30, 65, 18, 34, 6, 8, 35, 7, 9, 25, 1, 3, 5, 10, 15, 17, 20, 21, 23, 24, 31, 32, 36",3740969511,194,1lota2za1imhl3oydwa89u5l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452647843,2,32,1,0,0,8le3orkfz6iix3jns6g9ojqjg,1,0,0,2022-08-28T18:45:09.633Z,2022-08-28T18:45:09Z,3741107573,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452647853,2,32,1,0,0,bi1fxjrncd0ram0oi7ja1jyuo,1,0,0,2022-08-28T18:45:09.633Z,2022-08-29T02:45:10Z,3741107607,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452647901,3,1,1,0,0,8le3orkfz6iix3jns6g9ojqjg,1,50,50,2022-08-28T18:45:09.634Z,2022-08-29T03:29:55Z,3741107827,140,32.6,3741107831,141,48.1,3742456067,178,,3741107833,212,18.3,3741107835,213,3.2,3741107823,56,Back,3741107837,279,S,,,,bk1gdyxtfp4drwb0yotwerbsa,T. Baldanzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452647915,4,1,1,0,2,8le3orkfz6iix3jns6g9ojqjg,1,32.6,48.1,2022-08-28T18:45:12.333Z,2022-08-29T03:30:00Z,3741107897,56,Back,3742456285,178,,3741107915,213,4.2,3741107903,140,26.8,3741107913,212,11.8,3741107907,141,33.3,,,,,,,9cy6lgb0e0cq4a7ht389qaklx,R. Marin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452647939,5,1,1,0,5,8le3orkfz6iix3jns6g9ojqjg,1,26.8,33.3,2022-08-28T18:45:14.954Z,2022-08-29T03:30:03Z,3741108017,213,0.9,3741108015,212,9.4,3741108009,56,Back,3741108013,141,44.5,3742456355,178,,3741108011,140,32.0,,,,,,,54mmovmx3osoxgbloe9rzmx9l,A. Ismajli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452647973,6,1,1,0,7,8le3orkfz6iix3jns6g9ojqjg,1,32.2,45.7,2022-08-28T18:45:17.043Z,2022-08-29T03:30:06Z,3741108217,213,1.7,3741108209,56,Back,3741108215,212,16.9,3742456403,178,,3741108213,141,70.2,3741108211,140,29.7,,,,,,,9cy6lgb0e0cq4a7ht389qaklx,R. Marin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452647995,7,1,1,0,10,8le3orkfz6iix3jns6g9ojqjg,1,29.6,72.1,2022-08-28T18:45:20.157Z,2022-08-29T03:30:09Z,3741108383,141,93.6,3741108381,140,34.5,3741108387,213,1.2,3741108379,56,Back,3741108385,212,15.5,3742456429,178,,,,,,,,95r0jtkw03vjohzwc8os8ielm,K. De Winter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452648001,8,1,1,0,12,8le3orkfz6iix3jns6g9ojqjg,0,34.3,97.7,2022-08-28T18:45:21.845Z,2022-08-29T03:30:13Z,3741108433,56,Back,3741108439,212,3.8,3741108441,213,6.1,3741415891,236,,3742456499,178,,3741108437,141,96.9,3741415893,286,,3741108435,140,37.9,8dgh4fzut8khpt32d6dsrljsa,F. Parisi,3741109543,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
