id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/13/value,qualifier/16/value
2527407949,1,34,16,0,0,btcy9nra9ak4m22ovr2ia6m5v,1,0,0,2023-04-02T12:04:07.385Z,2023-04-02T12:56:50Z,4157541829,197,11876,4157203385,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4157203383,130,4,4157203381,59,"94, 29, 23, 32, 15, 13, 21, 10, 7, 9, 20, 1, 3, 4, 5, 6, 11, 17, 18, 26, 31, 50, 88",4157203389,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4157203377,30,"8n4rruxbnzvjgdomxslnmcno5, 8w2rfa3vnu6t1a37510374nv9, 62uaf4amxdyz6j2fuvadp0no5, 6hlutndh6zstrpi5i0u0mxyvp, 1x10v3yh4e3f1p2ndhtxcck4p, 7nwh5uoczypmuiigzi8ylsd1, dkifo6kxxxsv1hr0rzk1q8afp, 3v6az10hxcowqkewd809cri6t, bj2ymzuyq3zxbfjs3xrt3ss7p, d02p1ldr57bkxcpmq12vtvhsl, cfzvplhlvlfvau521u6b86xud, 71p9z7bqvgzb5t115fmos6fop, d7xdtkzw3h749ngi4sobn6kmh, 3l76cgequy3tjhhudqnrejglx, 9462218yklkts6mod3cbfryz9, 5e13xwlorl1gjrnjjtfnzawa1, ho87m362sey4msdjp4n180oa, 5o80hrbyw554cetm1rbbns0k5, 6eb3jpi6t6z2ergmgzcpckdpm, bpzzhdpqxmp8bef77m7pr2r4l, b62gjcajugddud630e9b7ptjp, 3a60l8v1wpr9qpapsjcu4bztg, 7y5qwgl0xu7btfd7yxgeb2gut",4157203379,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4157203387,194,dkifo6kxxxsv1hr0rzk1q8afp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527409003,1,34,16,0,0,67z1gqyiuzpmmb15q5fy7ntc4,1,0,0,2023-04-02T12:04:50.899Z,2023-04-02T12:58:08Z,4157208795,59,"16, 84, 30, 2, 3, 4, 6, 7, 37, 12, 17, 8, 9, 10, 11, 19, 22, 26, 28, 47, 77, 80, 89, 91",4157208797,130,17,4157208799,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4157208803,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4157208791,30,"b3hr4q25jvqr7565z5ydqylt5, bcqsti42fhzap385lnfe4auhh, 4d17grk2qflzake218uz76uei, annamxplmbyakvo2akw63xxw5, erdqr6vrr5tlfypbks3og0dlh, ejgtltbsu0djglqw98gywgu6t, 79e6khfyg3rdauul0yjlixv8q, 4vonqsqrzoyye4vs6n7dud2p5, 91sgvwun5559mwe9bszj4xql1, 64z85woxiowxzod5e0g0x77x1, 6ck9f1ppvl65nui0x71q80jx1, 1muwnu7rq4feejspx7no203px, 61phh511ju65h6coren0pbkd1, 9noq0ogmqc2cwj3nowoadcdlh, ejmdm3h3oxr0fqubd5sbozq0a, 721e4tx2wrwb4kd9w80fcq19l, 2zk88fh1e5js1g2jmfkrjmxka, 1b8uwkohkevu6ltjex0liklpl, duqiler25n63ksi0fxreo50mi, dq037w5t3ht5zgd75mue4p1pl, 18yip8wsirmu6s0idhvapnaad, rblijalj0qnu455jtjoi3pjo, 6jwy293owzzhldv4i9wxntjv9, ahrgnlsku8ghrj2qc0s6p1rhm",4157546373,197,8477,4157208793,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4157208801,194,erdqr6vrr5tlfypbks3og0dlh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527475987,2,32,1,0,0,67z1gqyiuzpmmb15q5fy7ntc4,1,0,0,2023-04-02T13:01:07.155Z,2023-04-02T20:30:27Z,4157558641,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527476005,2,32,1,0,0,btcy9nra9ak4m22ovr2ia6m5v,1,0,0,2023-04-02T13:01:07.155Z,2023-04-02T13:01:07Z,4157558693,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527476149,3,1,1,0,0,67z1gqyiuzpmmb15q5fy7ntc4,1,50.1,50.3,2023-04-02T13:01:07.216Z,2023-04-02T20:34:15Z,4157559365,279,S,4159567923,178,,4157559355,56,Back,4157559363,213,3.2,4157559357,140,30.2,4157559359,141,48.5,4157559361,212,20.9,,,,64z85woxiowxzod5e0g0x77x1,S. Sensi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527476183,4,1,1,0,2,67z1gqyiuzpmmb15q5fy7ntc4,0,30.2,48.8,2023-04-02T13:01:10.120Z,2023-04-02T20:34:23Z,4157559579,141,80.7,4157559577,140,79.3,4157559581,212,55.9,4157559583,213,0.4,4157559571,155,,4159569803,178,,4157559575,56,Left,4157559585,1,,erdqr6vrr5tlfypbks3og0dlh,Pablo Marí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527476235,3,1,1,0,6,btcy9nra9ak4m22ovr2ia6m5v,0,27.3,22.8,2023-04-02T13:01:13.659Z,2023-04-02T20:34:29Z,4157559797,212,14.9,4157559781,157,,4157559799,213,0.5,4157559789,140,39.8,4159570305,388,,4157559801,1,,4157559793,141,33.3,4157559785,56,Back,dkifo6kxxxsv1hr0rzk1q8afp,S. Milinković-Savić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527476259,5,1,1,0,8,67z1gqyiuzpmmb15q5fy7ntc4,1,61.3,68.8,2023-04-02T13:01:15.683Z,2023-04-02T20:34:32Z,4157559957,141,68.8,4157559959,212,9.0,4157559961,213,0,4157559951,3,,4157559953,56,Center,4159570595,388,,4157559955,140,69.9,,,,79e6khfyg3rdauul0yjlixv8q,N. Rovella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527476265,6,1,1,0,9,67z1gqyiuzpmmb15q5fy7ntc4,0,71.9,65.4,2023-04-02T13:01:16.539Z,2023-04-02T20:34:40Z,4157559999,213,3.3,4157559997,212,8.9,4157559993,140,63.6,4157559991,56,Center,4157559989,3,,4157559995,141,62.7,4159571301,178,,,,,4vonqsqrzoyye4vs6n7dud2p5,José Machín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527476297,4,1,1,0,10,btcy9nra9ak4m22ovr2ia6m5v,1,40.8,34.1,2023-04-02T13:01:17.367Z,2023-04-02T20:34:44Z,4157560141,212,7.9,4157560135,140,34.1,4157560127,3,,4159571513,388,,4157560131,56,Back,4157560145,213,3.6,4157560137,141,28.9,,,,bj2ymzuyq3zxbfjs3xrt3ss7p,Felipe Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
