id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2541876019,1,34,16,0,0,ej5er0oyngdw138yuumwqbyqt,1,0,0,2023-04-30T17:52:47.814Z,2023-04-30T18:45:12Z,4241073785,59,"28, 3, 77, 30, 5, 26, 6, 8, 99, 7, 19, 1, 4, 11, 14, 17, 20, 22, 25, 29, 34, 50",4241073793,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4241073783,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4241199895,197,551,4241073781,30,"4hrmzpx1nt5ze55fpby71mcb9, 1po7tmdv73zfjentt0p20wdlh, 83hpavqn7r5bzcgxvjbcso3px, 5lvdnoyknuoyr6kdruposgctl, 4gmki0xpn2e9o9p7wnm0k8p1x, 3l0mj1zzhytxvm9tryvqv8kix, 6eqqtmbg35rg2stk10ic7q8k5, 38de1wbyp2ruksgffna791n8p, a46kdc4sdf7e6520s8gm9glm2, 1cu7fg8sf90isf9gp21e5fqh, bdb6j168crcrwje9k0titxv55, 46twjsjrm4ljb7bhobbpwx5h, 6xt6fnmwrs7btha4d2t7wkktm, 56bidwsegakrtx3z1qbbpnc6i, 7e11kdi7wh9tleor9w5o2fdn9, 4zn8zufrd17h9d5xl7qhahbyt, bpfg11qh1q0zj2x6sqd3srvmx, a2n9op95qyb3rkye5pxqjb7bp, 2yijk5l991mdyjprmuudq7qzu, 3cbwh4pfwae5xw072cy14gb85, 9m6yva52cmdq7uu31qrwdrund, 7ohgxs03szerp6mwiiv58ryay",4241073791,194,38de1wbyp2ruksgffna791n8p,4241073787,130,4,4241073789,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541876691,1,34,16,0,0,bqbbqm98ud8obe45ds9ohgyrd,1,0,0,2023-04-30T17:53:54.776Z,2023-04-30T18:41:09Z,4241077893,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4241077885,59,"1, 11, 12, 5, 15, 6, 44, 25, 14, 7, 17, 2, 3, 9, 10, 19, 20, 23, 24, 30, 32, 36, 43",4241190797,197,71,4241077883,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4241077881,30,"6ofu6yc2qwp5ii9cerdq1tk9h, pconfrmsdy9aikioqz9s9lg5, 2raf0uw5y2kajde0v60l4g1qt, ahz2npxe4geixkaz25f2pc82d, cv46mxj5i98p4hgtbomxlxs7o, 8yv9xuzriaecvvssfm8dlmz85, 418gw0hpjoy8dt0ywaxjgm5pm, 2nddcty9qris2mmeldon0ogd1, 35r56n0i4sbdh7n5arbt7db6d, c6nl81c1q4unq5js94s6s942x, 555z9bynvux7oruirg67r8i51, 9pe3yqjsmcjtxdx7bdne3d4ut, d196vatyvq6ycn1q7d477d2i1, 3ua8gs8tzx1dkdi9z88kjk9nt, f482w50k80zbyb2ykh84yijf9, 3nnjep6bxxb6xwhanvqvjt39x, bjob8tftnxojnytcj7juo0ga2, 8rlf5vjyddkcid5ysa3yo7hlh, bh3b7e2qzh41dltd6h2obpln9, erwh25hbq259kqdirfufnbcb8, apdtqouzo9b02ozdxk8mx4zbp, 3o573dblmfc1o3wkkt2nva8k5, 9p621hq50jdkujzy4309sagkq",4241077889,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4241077891,194,8yv9xuzriaecvvssfm8dlmz85,4241077887,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541898355,2,32,1,0,0,bqbbqm98ud8obe45ds9ohgyrd,1,0,0,2023-04-30T18:46:43.192Z,2023-04-30T18:46:47Z,4241203963,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541898345,2,32,1,0,0,ej5er0oyngdw138yuumwqbyqt,1,0,0,2023-04-30T18:46:43.192Z,2023-05-01T01:18:09Z,4241203925,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541898375,3,1,1,0,0,bqbbqm98ud8obe45ds9ohgyrd,1,49.9,49.5,2023-04-30T18:46:43.217Z,2023-05-01T01:22:02Z,4241204081,141,50.1,4242206439,178,,4241204087,279,S,4241204085,213,3.1,4241204077,56,Back,4241204083,212,15.3,4241204079,140,35.3,,,,35r56n0i4sbdh7n5arbt7db6d,A. Milik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541898395,4,1,1,0,2,bqbbqm98ud8obe45ds9ohgyrd,0,37.7,49.3,2023-04-30T18:46:45.935Z,2023-05-01T01:22:05Z,4241204175,212,43.4,4241204165,155,,4242206589,178,,4241204181,1,,4241204171,141,69.8,4241204167,56,Center,4241204177,213,0.3,4241204169,140,76.8,ahz2npxe4geixkaz25f2pc82d,M. Locatelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541898411,3,1,1,0,5,ej5er0oyngdw138yuumwqbyqt,0,24.6,35.4,2023-04-30T18:46:48.405Z,2023-05-01T01:22:11Z,4241204249,3,,4241204255,141,51.3,4241204253,140,32.8,4241204251,56,Back,4242206735,388,,4241204259,213,0.9,4241204257,212,13.8,,,,4gmki0xpn2e9o9p7wnm0k8p1x,A. Soumaoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541898433,5,61,1,0,6,bqbbqm98ud8obe45ds9ohgyrd,0,68.2,31.1,2023-04-30T18:46:50.120Z,2023-05-01T01:22:18Z,4241204359,56,Center,4242206883,178,,,,,,,,,,,,,,,,,,,,418gw0hpjoy8dt0ywaxjgm5pm,N. Fagioli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541898459,4,1,1,0,7,ej5er0oyngdw138yuumwqbyqt,1,28.9,59.3,2023-04-30T18:46:51.096Z,2023-05-01T01:22:21Z,4241204491,56,Back,4241204497,212,22.3,4241204499,213,2.2,4241204495,141,86.6,4241204493,140,17.1,4242206985,178,,,,,,,,6eqqtmbg35rg2stk10ic7q8k5,N. Moro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541898461,5,49,1,0,12,ej5er0oyngdw138yuumwqbyqt,1,17.3,87.7,2023-04-30T18:46:55.446Z,2023-05-01T01:22:30Z,,,,,,,,,,,,,,,,,,,,,,,,,83hpavqn7r5bzcgxvjbcso3px,G. Kiriakopoulos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
