id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,keyPass,qualifier/11/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/12/value,qualifier/16/value,qualifier/15/value
2483316533,1,34,16,0,0,af91jdcs6x0bqkmdb78rokod2,1,0,0,2022-11-08T18:40:25.731Z,2022-11-08T19:51:27Z,3903826767,30,"eu9b86opw6n66vftu1r5alfqh, 86nwv5baekm00h4d3z0suwhyh, d9bg5jjv8pz0f8u55x3hg0962, 7ojvhhfvbtbn60sc50y4l2ctm, ckzn72wo51pmw475t9tl6vr2t, ay6tmp6zkxtjzse2gel3rgnl6, bmmahw4ww36w4tokk3xhvvvmd, 9qrewt049r6yq88c715ymau39, 74g3ef24ctcgw1kee77d3acr8, 1t1kgb0r5ca32f54emsscfob9, a7gi41760sk45wbkpbps3njdh, 9ajh8tm9rl0i2sa09c9dfu0h5, a8ez7qv4n62b8s45pdo8u07o5, 6ldly9c02sbh2ray6u6j6jro5, 319knuftqo071luold2fqluqd, g324scl7t7h6j05g973me82y, 913rgsi93o890wc2cbuwlbqp5, 33erk8bdhefx5xnkjad2fvy8k, 1r35ds2obqkw03f7hfpfsqqui, 3jruai7zu28e8f0ooj4t16l05, a3o9x85aooe65w5r3ibs8ltk9, eu2govzm2jf93sfns50ik3e38, euv7d22ahrbpa8cs1gemtc178, enopqyya6qq64lvliw7lw0s4q, 1gnc1tbpmomiqt1sty2lktt5, 82bv9aeqvp712ut0n0kwkpskp",3903826783,194,1t1kgb0r5ca32f54emsscfob9,3903826779,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3903826775,130,12,3903826787,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3903826769,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3903826771,59,"12, 18, 3, 5, 15, 4, 32, 28, 20, 9, 19, 2, 6, 7, 10, 13, 17, 23, 33, 44, 45, 60, 62, 74, 77, 98",3903962181,197,3464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483318381,1,34,16,0,0,9dntj5dioj5ex52yrgwzxrq9l,1,0,0,2022-11-08T18:43:39.719Z,2022-11-08T19:44:01Z,3903835935,130,18,3903835939,194,cknjube5flk1r5ppqthj82c5,3903835933,59,"1, 30, 5, 23, 24, 28, 4, 8, 10, 12, 27, 7, 14, 17, 20, 22, 32, 33, 40, 46, 83, 90, 96",3903835941,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3903835931,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3903968911,197,579,3903835937,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3903835929,30,"7kph61hobc93t2c2tl8l5j105, 17au7v1ocl4zab872g59821yi, dmrj53hcw8vcffxx0lfudbob9, 3sezchmdtivxl4kusvgc6j7x1, ehztjmhg6fsddm1fqb00547o5, cfpaejad8i9p2r1fj0wx0g222, cknjube5flk1r5ppqthj82c5, 9sxg58hszjq17avxgumftdu22, 3jln1gzc0859ymphvq83i0mp5, eyra5urhrm92240e7qbll736d, 1dwwsz1i6v8zwh802ujwf7emt, 9ncagt0ezp4f41hz3b64af1t5, wr2f0yl1bf68r73hkjee2pqt, 11o903vztwpnmvgrinn208qnd, b33rlpjo3kx4477alx82si5wq, b0vrtr2ie4fyllp34g9zq1qi2, ch5rw8dgb6wh99wyhd8o3t1pl, 3v1fnp5e9pxfzgou5ebrgprrp, 72vim7cq99zdjjwivwtr773vu, enqcaecpt5hy0qv9x5pzmkjc9, 68cu39v9m8pykapkh2b97ltqt, 7ox43isyywsnrfcd56nm65be, 9rs7sa9181bsys17v0naoszfu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483348113,2,32,1,0,0,af91jdcs6x0bqkmdb78rokod2,1,0,0,2022-11-08T19:45:14.035Z,2022-11-09T00:32:42Z,3903970757,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483348103,2,32,1,0,0,9dntj5dioj5ex52yrgwzxrq9l,1,0,0,2022-11-08T19:45:14.035Z,2022-11-08T19:45:14Z,3903970723,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483348147,3,1,1,0,0,9dntj5dioj5ex52yrgwzxrq9l,1,49.9,50,2022-11-08T19:45:14.137Z,2022-11-09T01:02:23Z,3903970919,141,50.4,3903970925,279,S,3904646783,178,,3903970915,56,Center,3903970917,140,52.5,3903970923,213,0.1,3903970921,212,2.7,,,,1dwwsz1i6v8zwh802ujwf7emt,D. Origi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483348163,4,1,1,0,1,9dntj5dioj5ex52yrgwzxrq9l,1,53.2,45.2,2022-11-08T19:45:15.702Z,2022-11-09T01:02:29Z,3903970999,213,4.8,3903970995,141,13.9,3903970991,56,Right,3903970997,212,21.4,3904646845,178,,3903970993,140,55.4,,,,,,,3jln1gzc0859ymphvq83i0mp5,Brahim Díaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483348169,5,1,1,0,3,9dntj5dioj5ex52yrgwzxrq9l,1,54.8,16.3,2022-11-08T19:45:17.861Z,2022-11-09T01:02:33Z,3904646853,178,,3903971015,213,2.9,3903971009,140,35.1,3903971013,212,21.1,3903971007,56,Back,3903971011,141,22.3,,,,,,,17au7v1ocl4zab872g59821yi,Junior Messias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483348181,6,1,1,0,5,9dntj5dioj5ex52yrgwzxrq9l,1,34.4,24.4,2022-11-08T19:45:19.927Z,2022-11-09T01:02:36Z,3903971077,212,18.6,3903971071,56,Back,3903971073,140,26.7,3903971079,213,2.0,3904646893,178,,3903971075,141,49.1,,,,,,,cfpaejad8i9p2r1fj0wx0g222,M. Thiaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483348227,7,1,1,0,8,9dntj5dioj5ex52yrgwzxrq9l,1,29.3,51.5,2022-11-08T19:45:22.974Z,2022-11-09T01:02:40Z,3903971281,212,29.1,3903971275,56,Back,3903971279,141,90.5,3903971283,213,1.2,3903971277,140,40.6,3904646911,178,,,,,,,,ehztjmhg6fsddm1fqb00547o5,S. Kjær,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483348235,8,1,1,0,14,9dntj5dioj5ex52yrgwzxrq9l,1,53.2,90,2022-11-08T19:45:28.515Z,2022-11-09T01:02:45Z,3903971335,56,Back,3904646919,178,,3903971339,141,74.1,3903971341,212,13.4,3903971343,213,4.1,3903971337,140,45.6,,,,,,,3sezchmdtivxl4kusvgc6j7x1,F. Tomori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
