id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/11/value,qualifier/13/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/15/value,qualifier/17/value
2500054869,1,34,16,0,0,af91jdcs6x0bqkmdb78rokod2,1,0,0,2023-01-23T16:37:32.269Z,2023-01-23T18:34:50Z,3992116563,197,16721,3992042737,59,"12, 17, 3, 5, 21, 24, 6, 28, 77, 9, 19, 26, 4, 10, 13, 15, 18, 20, 33, 45, 62, 74, 98",3992042741,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3992042733,30,"eu9b86opw6n66vftu1r5alfqh, 913rgsi93o890wc2cbuwlbqp5, d9bg5jjv8pz0f8u55x3hg0962, 7ojvhhfvbtbn60sc50y4l2ctm, 360knvg4k1yywxnb8o1mlyggl, 5sxy1z2pz5bhlp767lyjte76d, a8ez7qv4n62b8s45pdo8u07o5, 9qrewt049r6yq88c715ymau39, 1gnc1tbpmomiqt1sty2lktt5, 1t1kgb0r5ca32f54emsscfob9, a7gi41760sk45wbkpbps3njdh, 7358y8d8v19qn6s8h0kx7tn11, ay6tmp6zkxtjzse2gel3rgnl6, 319knuftqo071luold2fqluqd, g324scl7t7h6j05g973me82y, ckzn72wo51pmw475t9tl6vr2t, 86nwv5baekm00h4d3z0suwhyh, 74g3ef24ctcgw1kee77d3acr8, 1r35ds2obqkw03f7hfpfsqqui, a3o9x85aooe65w5r3ibs8ltk9, euv7d22ahrbpa8cs1gemtc178, enopqyya6qq64lvliw7lw0s4q, 82bv9aeqvp712ut0n0kwkpskp",3992042743,194,1t1kgb0r5ca32f54emsscfob9,3992042745,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3992042735,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3992042739,130,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500055339,1,34,16,0,0,ej5er0oyngdw138yuumwqbyqt,1,0,0,2023-01-23T16:39:12.343Z,2023-01-23T17:34:06Z,3992045103,130,4,3992045109,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3992045105,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3992045099,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3992108879,197,551,3992045107,194,8wh3u8b2hz7rcygnfng8khh3p,3992045097,30,"4hrmzpx1nt5ze55fpby71mcb9, 1po7tmdv73zfjentt0p20wdlh, a2n9op95qyb3rkye5pxqjb7bp, 6eqqtmbg35rg2stk10ic7q8k5, 4gmki0xpn2e9o9p7wnm0k8p1x, 3l0mj1zzhytxvm9tryvqv8kix, bdb6j168crcrwje9k0titxv55, 38de1wbyp2ruksgffna791n8p, 8wh3u8b2hz7rcygnfng8khh3p, 1cu7fg8sf90isf9gp21e5fqh, a46kdc4sdf7e6520s8gm9glm2, 46twjsjrm4ljb7bhobbpwx5h, 6xt6fnmwrs7btha4d2t7wkktm, 56bidwsegakrtx3z1qbbpnc6i, bpfg11qh1q0zj2x6sqd3srvmx, 2yijk5l991mdyjprmuudq7qzu, 5lvdnoyknuoyr6kdruposgctl, b94d67jluhh4076wp2se5fqsq, 9m6yva52cmdq7uu31qrwdrund, 7ohgxs03szerp6mwiiv58ryay, 5tfh0jvfxlw1aqfaiiok4pwr8",3992045101,59,"28, 3, 22, 6, 5, 26, 19, 8, 21, 7, 99, 1, 4, 11, 20, 25, 30, 33, 34, 50, 66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500068607,2,32,1,0,0,af91jdcs6x0bqkmdb78rokod2,1,0,0,2023-01-23T17:32:19.502Z,2023-01-23T17:32:22Z,3992118089,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500068611,2,32,1,0,0,ej5er0oyngdw138yuumwqbyqt,1,0,0,2023-01-23T17:32:19.502Z,2023-01-23T22:27:00Z,3992118103,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500068613,3,1,1,0,0,af91jdcs6x0bqkmdb78rokod2,1,50.1,50,2023-01-23T17:32:19.658Z,2023-01-23T22:48:15Z,3992118117,279,S,3992118111,141,44.5,3992118107,56,Back,3992521499,178,,3992118115,213,3.3,3992118113,212,21.3,3992118109,140,30.1,,,,a8ez7qv4n62b8s45pdo8u07o5,C. Pickel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500068633,4,1,1,0,2,af91jdcs6x0bqkmdb78rokod2,0,30.6,46.1,2023-01-23T17:32:22.427Z,2023-01-23T22:48:20Z,3992118247,140,67.6,3992118251,212,47.0,3992118249,141,85.1,3992118245,56,Left,3992118255,1,,3992118253,213,0.6,3992521519,178,,3992118243,155,,360knvg4k1yywxnb8o1mlyggl,V. Chiricheș,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500068637,3,44,1,0,5,ej5er0oyngdw138yuumwqbyqt,1,29.3,10.8,2023-01-23T17:32:25.245Z,2023-01-24T01:40:20Z,3992118267,285,,3992118271,233,5,3992118265,56,Back,,,,,,,,,,,,,,,,1po7tmdv73zfjentt0p20wdlh,S. Posch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500068635,5,44,1,0,5,af91jdcs6x0bqkmdb78rokod2,0,70.7,89.2,2023-01-23T17:32:25.246Z,2023-01-23T22:48:26Z,3992118331,233,3,3992118263,286,,3992118261,56,Left,,,,,,,,,,,,,,,,1t1kgb0r5ca32f54emsscfob9,D. Ciofani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500068641,4,1,1,0,5,ej5er0oyngdw138yuumwqbyqt,0,26.2,6.8,2023-01-23T17:32:25.322Z,2023-01-24T01:40:21Z,3992118293,141,0.0,3992118289,56,Back,3992521633,388,,3992118295,212,7.6,3992118297,213,5.4,3992118287,3,,3992118291,140,30.9,,,,1po7tmdv73zfjentt0p20wdlh,S. Posch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500068649,5,5,1,0,9,ej5er0oyngdw138yuumwqbyqt,0,36.6,-1.6,2023-01-23T17:32:28.945Z,2023-01-23T22:48:35Z,3992118385,233,6,3992118335,56,Back,3992118337,347,,,,,,,,,,,,,,,,,1po7tmdv73zfjentt0p20wdlh,S. Posch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500068657,6,5,1,0,9,af91jdcs6x0bqkmdb78rokod2,1,63.4,101.6,2023-01-23T17:32:28.945Z,2023-01-23T22:48:35Z,3992118367,347,,3992118379,233,5,3992118365,56,Left,,,,,,,,,,,,,,,,1t1kgb0r5ca32f54emsscfob9,D. Ciofani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500068665,7,1,1,0,10,af91jdcs6x0bqkmdb78rokod2,1,73.9,100,2023-01-23T17:32:30.124Z,2023-01-23T22:48:41Z,3992118411,213,5.4,3992118401,107,,3992118407,141,75.7,3992118403,56,Center,3992118405,140,87.0,3992118409,212,22.4,3992118413,1,,,,,d9bg5jjv8pz0f8u55x3hg0962,E. Valeri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500082581,341,1,1,0,11,af91jdcs6x0bqkmdb78rokod2,0,81,80.6,2023-01-23T17:32:31.478Z,2023-01-23T22:52:33Z,3992197125,212,3.2,3992197117,168,,3992197123,141,77.3,3992523455,178,,3992197127,213,5.5,3992197119,56,Center,3992197115,3,,3992197121,140,83.2,1t1kgb0r5ca32f54emsscfob9,D. Ciofani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500068663,6,12,1,0,12,ej5er0oyngdw138yuumwqbyqt,1,15.6,23.3,2023-01-23T17:32:31.668Z,2023-01-23T22:52:51Z,3992118391,56,Back,3992118397,212,8.6,3992118425,15,,3992523535,178,,3992118395,141,33.7,3992118399,213,1.0,3992118393,140,20.3,,,,4gmki0xpn2e9o9p7wnm0k8p1x,A. Soumaoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
