id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/10/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2446315213,1,34,16,0,0,2tk2l9sgktwc9jhzqdd4mpdtb,1,0,0,2022-08-14T17:35:06.882Z,2022-08-14T18:40:45Z,3707444477,194,57bin6he6kbdo2bs4i78z2k0l,3707444469,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3707444473,130,17,3707444471,59,"1, 2, 37, 3, 6, 23, 7, 4, 9, 21, 22, 17, 8, 14, 19, 24, 25, 52, 59, 63, 64, 65, 92, 99",3707444475,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3707444479,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3707444467,30,"7gu0t0g8nej405k918fwsf8id, 8lgsqmwavspz4fv7t11rb6j9, 9ka7y81b5kst146mhq7mom5ed, ab4kuqa33849h6z77ksuqhdk9, 7o9bkf7no8wz167ingslfimdx, 6fttn5mk6n1lstqt0dl5xzn4l, 57bin6he6kbdo2bs4i78z2k0l, 1ftejgsl4hho40cceqne1hcyd, 363nsa82dww242zeo09wpcslx, 93i0gcndi2m8giqqcm4knduxh, eu4xivu8i6yla9fcnuncx1ucp, 8u46wgn2upd99tmmchxuw1gbt, c5a7z6vphv9tp9ddid5jnrnx1, a21winmltx1h9oiwqtfditkut, 1pkymw7biivk760rxhubin1ed, cddggachzf198p1yhq9owtofd, 2lyib1m8bhrkcc3ukk12fbefp, 4cu8rbv55v6f6jiq50c4xatqs, du4ciqofpkn3nei5q3huwlnje, b0b0xalrak7k5pnfnum53umtw, 74g3ef24ctcgw1kee77d3acr8, bqokrpmzy2l5xyn2rgzxotzpw, a1iz91ed6hus61yhhk2r0vkd1, el58uxf7oaqu95yx1vbgmr7it",3707617141,197,10734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446317251,1,34,16,0,0,49rkyo4do8uwj06geomw0xr4i,1,0,0,2022-08-14T17:38:17.401Z,2022-08-14T18:47:54Z,3707455483,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3707620779,197,3166,3707455481,30,"d1e3dsz9lf7g69g2l6zfurpp1, c9shobonlrg7guoyb3iwnwdsl, etryzuxz65dmn5ewmocse66l1, 3ftcqipzb86lzdztg4j1oz2s5, 2mloh2yrhs60s1uwrfycc2i8l, blo3zmhar2mujyp9z7kjnsut, drljavudmjvyj9mvyzq7gz2s5, 7j0c36u6kk97eur4virjoka8l, 53dvtfms2uxd500y87x5jf2eh, 19gglji6ai70jiu7iqpkaxbyt, 7pg1pu4ptby6hi0rp29hv4jxl, b0e6d3zgwzbzysmt9b2ycvf56, 534ubxcmct7m076gk9ct5xyad, ezpkmoz1z08da3o3g45m12lzp, 6hc1n6z8szpr8z7pdlp4k8cet, h2c4xwvt3x9gry6wqehc0445, bhu3hiq2ln2cso48ndqe17bvt, rnahabpvj34tsl9q53gt2rit, a1s1rnovgulesgj5y0l29aqc5, 9t33u7v3thjdgmskyljnosovd, 6lev0lne8w9snmho4a6hjiifp, 91dt2qi4j797auqtkydbdlel0, 488q58xm2ahxuvpeyfpgwfklw, bdifdtqh2ri7uw0l3tbwupxxw, 3coml6cxqa86px9up8yy3oz1m",3707455485,59,"33, 87, 30, 17, 23, 2, 20, 10, 11, 9, 18, 3, 5, 6, 7, 12, 14, 16, 19, 24, 28, 35, 39, 72, 98",3707455489,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3707455491,194,3ftcqipzb86lzdztg4j1oz2s5,3707455493,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3707455487,130,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446348079,2,32,1,0,0,2tk2l9sgktwc9jhzqdd4mpdtb,1,0,0,2022-08-14T18:45:25.229Z,2022-08-14T18:45:25Z,3707629913,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446348091,2,32,1,0,0,49rkyo4do8uwj06geomw0xr4i,1,0,0,2022-08-14T18:45:25.229Z,2022-08-15T03:45:04Z,3707629975,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446348125,3,1,1,0,0,2tk2l9sgktwc9jhzqdd4mpdtb,1,50.2,49,2022-08-14T18:45:25.303Z,2022-08-15T03:48:29Z,3707630203,140,41.2,3707630205,141,56.6,3707630211,279,S,3707630201,56,Back,3707630207,212,10.8,3707630209,213,2.6,3708910331,178,,,,,363nsa82dww242zeo09wpcslx,T. Abraham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446348149,4,1,1,0,2,2tk2l9sgktwc9jhzqdd4mpdtb,1,41.5,60.5,2022-08-14T18:45:27.438Z,2022-08-15T03:48:39Z,3708917229,178,,3707630323,56,Back,3707630325,140,37.5,3707630331,213,1.8,3707630329,212,17.7,3707630327,141,85.8,,,,,,,57bin6he6kbdo2bs4i78z2k0l,L. Pellegrini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446348181,5,1,1,0,6,2tk2l9sgktwc9jhzqdd4mpdtb,1,35.5,86,2022-08-14T18:45:31.952Z,2022-08-15T03:48:44Z,3707630519,212,25.3,3707630513,56,Back,3707630515,140,28.6,3708917337,178,,3707630521,213,4.4,3707630517,141,50.4,,,,,,,ab4kuqa33849h6z77ksuqhdk9,Ibañez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446348287,6,1,1,0,9,2tk2l9sgktwc9jhzqdd4mpdtb,1,28.5,50.3,2022-08-14T18:45:35.177Z,2022-08-15T03:48:49Z,3707631007,213,5.2,3707631001,140,38.5,3707631005,212,23.3,3707630999,56,Back,3708917441,178,,3707631003,141,19.7,,,,,,,7o9bkf7no8wz167ingslfimdx,C. Smalling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446348317,7,1,1,0,16,2tk2l9sgktwc9jhzqdd4mpdtb,0,44.5,7.4,2022-08-14T18:45:42.017Z,2022-08-15T03:48:53Z,3708917511,178,,3707631159,140,71.6,3707631161,141,17.6,3707631165,213,0.2,3707631163,212,29.3,3707631157,56,Right,,,,,,,1ftejgsl4hho40cceqne1hcyd,B. Cristante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446348341,3,12,1,0,17,49rkyo4do8uwj06geomw0xr4i,1,33.8,80.2,2022-08-14T18:45:43.142Z,2022-08-15T03:48:58Z,3707631263,212,19.5,3707631261,141,100.0,3707631265,213,0.8,3707631259,140,46.5,3708660701,167,,3708660699,15,,3707631257,56,Back,3708917593,388,,3ftcqipzb86lzdztg4j1oz2s5,F. Fazio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
