id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value,qualifier/12/value,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,assist,qualifier/18/value
2519319485,1,34,16,0,0,6tuibxq39fdryu8ou06wcm0q3,1,0,0,2023-03-12T16:16:47.569Z,2023-03-12T17:02:22Z,4093526731,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4093526725,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4093526733,197,17280,4093761671,194,9rzl0j9m9i30a62o1yofzvaad,4093526729,130,4,4093526727,59,"47, 22, 6, 27, 44, 13, 16, 7, 9, 10, 45, 3, 8, 11, 14, 15, 19, 20, 21, 25, 28, 42, 64, 92",4093526723,30,"1r5gn4osgwz2b2b4sefncbhed, 5oge5fhmna0oduqvjisoa1djp, 4vis4wltntxil2m9z16mi6j8p, ef4thhub6bsd2gtmltknkz8b9, cxxxfvmrslyjyi9wz9m8kwne2, 9rzl0j9m9i30a62o1yofzvaad, 4qejyummzkrfllds8ord642qx, bqer8ajqm2vibthgumtuycbu1, 153ljvbov0n176vm9fdaizoix, m030tubgf3zpgf0axzm7z26t, 27xj7me8icr5ptta7kwx0kfs9, 37kr5th62ugmy4j55i3n45k2d, 74o97lnqpku6m9svks66qbend, 14xoy6tg51xbydm69d5ybyfis, 9k1ytj3z42ggp14vkn39hiymt, 4xnll2f9tb69wrezm04ayg76y, 61c395xuimpxo2439p8mt3y6t, 3sehm4zmy7141wm4ecfqqoxd5, 42m78ny1ggvmzmjtka7exyzqi, 6k790p49tjwkhlwf9afll9jo5, e5fnoxb8f2hycjx4gnmce2wvd, cc04mat3snly9oe4bt7xaeooa, bpt2fdnjjpb6a5ehdepyedxt6, f2p5457ilcfrtzhe343whhkut",4093526735,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519319753,1,34,16,0,0,2tk2l9sgktwc9jhzqdd4mpdtb,1,0,0,2023-03-12T16:17:06.677Z,2023-03-12T17:10:13Z,4093755863,194,7o9bkf7no8wz167ingslfimdx,4093528305,59,"1, 59, 37, 24, 6, 3, 52, 8, 9, 25, 92, 2, 19, 20, 21, 23, 60, 62, 63, 68, 77, 99, 76",4093528311,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4093528303,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4093755865,197,8380,4093528301,30,"7gu0t0g8nej405k918fwsf8id, du4ciqofpkn3nei5q3huwlnje, 9ka7y81b5kst146mhq7mom5ed, cddggachzf198p1yhq9owtofd, 7o9bkf7no8wz167ingslfimdx, ab4kuqa33849h6z77ksuqhdk9, 4cu8rbv55v6f6jiq50c4xatqs, c5a7z6vphv9tp9ddid5jnrnx1, 363nsa82dww242zeo09wpcslx, 2lyib1m8bhrkcc3ukk12fbefp, a1iz91ed6hus61yhhk2r0vkd1, 8lgsqmwavspz4fv7t11rb6j9, 1pkymw7biivk760rxhubin1ed, z0nxnl93yjtz8mty3qi5542x, 93i0gcndi2m8giqqcm4knduxh, 6fttn5mk6n1lstqt0dl5xzn4l, cfdkix38vfxiwso180akwv76c, bh9jia8qgkhpm5xn82bx0hhck, b0b0xalrak7k5pnfnum53umtw, d2itdjj8bx0aztqggfgv7amay, c3mxgqtx2a7xeb84xpol050k4, el58uxf7oaqu95yx1vbgmr7it, 5kktohikuoy0a1oagcgps8mxg",4093528309,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4093528307,130,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519364699,2,32,1,0,0,6tuibxq39fdryu8ou06wcm0q3,1,0,0,2023-03-12T17:01:34.481Z,2023-03-12T17:01:38Z,4093774961,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519364693,2,32,1,0,0,2tk2l9sgktwc9jhzqdd4mpdtb,1,0,0,2023-03-12T17:01:34.481Z,2023-03-12T23:47:00Z,4093774939,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519364757,3,1,1,0,0,2tk2l9sgktwc9jhzqdd4mpdtb,1,50,50,2023-03-12T17:01:34.820Z,2023-03-13T02:26:39Z,4093775271,140,34.3,4093775273,141,36.1,4093775277,213,3.7,4093775269,56,Back,4093775279,279,S,4093775275,212,19.0,4095198217,178,,,,,2lyib1m8bhrkcc3ukk12fbefp,G. Wijnaldum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519364791,4,1,1,0,3,2tk2l9sgktwc9jhzqdd4mpdtb,0,36.5,39.2,2023-03-12T17:01:37.740Z,2023-03-13T02:26:42Z,4095198277,178,,4093775513,1,,4093775501,155,,4093775511,213,0.5,4093775503,56,Left,4093775507,141,81.8,4093775509,212,64.7,4093775505,140,91.6,ab4kuqa33849h6z77ksuqhdk9,Ibañez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519364795,3,49,1,0,9,6tuibxq39fdryu8ou06wcm0q3,1,6.7,14.6,2023-03-12T17:01:43.499Z,2023-03-13T02:26:52Z,,,,,,,,,,,,,,,,,,,,,,,,,5oge5fhmna0oduqvjisoa1djp,J. Toljan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519364879,4,1,1,0,9,6tuibxq39fdryu8ou06wcm0q3,0,8.3,15.8,2023-03-12T17:01:43.568Z,2023-03-13T02:26:55Z,4093775927,1,,4093775909,157,,4093775917,140,54.4,4093775921,141,4.4,4093775913,56,Right,4093775923,212,49.0,4095198443,178,,4093775925,213,6.1,5oge5fhmna0oduqvjisoa1djp,J. Toljan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519364939,6,1,1,0,12,2tk2l9sgktwc9jhzqdd4mpdtb,1,42.2,96,2023-03-12T17:01:47.428Z,2023-03-13T02:27:01Z,4093776285,140,26.1,4095198591,388,,4093776283,56,Back,4093776291,213,3.5,4093776289,212,17.9,4093776287,141,87.2,,,,,,,c5a7z6vphv9tp9ddid5jnrnx1,N. Matić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519364917,5,49,1,0,16,2tk2l9sgktwc9jhzqdd4mpdtb,1,28.6,84.5,2023-03-12T17:01:51.030Z,2023-03-13T02:27:06Z,,,,,,,,,,,,,,,,,,,,,,,,,7o9bkf7no8wz167ingslfimdx,C. Smalling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
