id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,keyPass,qualifier/10/value,qualifier/8/value,qualifier/12/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/14/value,assist,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/15/value
2537361295,1,34,16,0,0,4plikfte18rv8v4l89z803d4y,1,0,0,2023-04-22T17:35:57.018Z,2023-04-22T19:03:42Z,4210062673,130,18,4210062665,30,"awpcf5w245iug4znjqctuebpx, 7kbn6vt37rfgd9yszzvx9idm2, 14vhrqvqomi57x5mtsawm44b9, e8c2o47zyuqa07lcrgzusn97u, acss55nkdwdtvt9zl6p1ry09h, bf67gbxjr8fkha0e59fs6qok5, eqggzoepu1d4t13fw6ybebtn9, 5qfa3h4gut5jlnfkexq5m1djp, 6u6mobmk6lpvwebo76ddxr3s9, 1wnzwoisg4ctvcxsh2xnrkj4l, ewwo2c7kw1b1okrngjl4j4dm1, ceq2btvla862pon3xhcxogdlh, c87f30rukjnu7v3f3iqxpkxqt, 34fm990bf5wm1xkdig1pjon6y, 8vom3bt6es2kp5sdl98az6gwk, bgpoqigjsb92lt6n5vrmshwwl, 6l8t99gerta358od16upuhqz9, crqk7tlewkn3ayk042yo1bfv8, dumjj0zbq26m2ub29d86sooic, 5enlho0lp6pftf8pc2q2xewpg, rktyecx75c47pgwyt4vm3i7d, x1qsrbva1nlv7nvmk2an19ed",4210062677,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4210062667,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4210062685,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4210062681,194,1wnzwoisg4ctvcxsh2xnrkj4l,4210447385,197,587,4210062669,59,"30, 59, 3, 2, 4, 21, 8, 20, 37, 23, 10, 5, 7, 22, 26, 27, 29, 31, 32, 36, 80, 99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537365611,1,34,16,0,0,4klvxyeh3xcus4ongu7c00mgc,1,0,0,2023-04-22T17:39:50.828Z,2023-04-22T18:39:18Z,4210376767,197,14656,4210086925,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4210086923,130,4,4210086921,59,"1, 27, 20, 25, 43, 55, 8, 6, 18, 11, 30, 7, 10, 13, 14, 19, 21, 22, 24, 29, 33, 69, 72",4210086915,30,"bmqg7owjivu1f3grdigkid0b9, 2s9ko6yxyi95jybzguru8g3bp, yau2ry4oz8da3etdtf5td0id, cbymienvjkbbvi1rbky74vj3e, 89z0ym1zvwp7rikmd0kvpcq8l, e05kmeeuc7x55gwhjmxl9ry3u, 6n7sw8r0fhcoa8hfuxrtm96tx, 6ehsdxl74v0qtlbjjjbu0r0t1, 8zltxvt0rcrcv96x1wmdhlrrp, 8lta4w1nytggiwnaqv4e5cc0l, 1fsum47fkh62rer9xxe3smctm, 4ypa8ma678embtagi427eg4id, e4cwx5r9hrvip371egldkc6ol, 545o5sllzb34kosvbw3fxhc5x, a21winmltx1h9oiwqtfditkut, azph2f84zhlvg4wd8tleydkdm, 9casrbyhvk5woencvp365fnmy, 2rdh9ggkr9iu50esnyv464dsl, 1s7qbrynbcv9uw9r5f29oyc5, 6sejjyqssbr3olctm9nkq2v9x, 72sbeqsrvv64vwiec51r9g1k9, 4g0d51pqr4grzoe9cx7do6pxx, 1kafgt90durzi0trgasa35nqi",4210086919,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4210086927,194,8lta4w1nytggiwnaqv4e5cc0l,4210086929,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537424365,2,32,1,0,0,4plikfte18rv8v4l89z803d4y,1,0,0,2023-04-22T18:46:03.217Z,2023-04-23T03:21:06Z,4210410243,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537424353,2,32,1,0,0,4klvxyeh3xcus4ongu7c00mgc,1,0,0,2023-04-22T18:46:03.217Z,2023-04-22T18:46:03Z,4210410185,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537424427,3,1,1,0,0,4klvxyeh3xcus4ongu7c00mgc,1,50,50,2023-04-22T18:46:03.319Z,2023-04-23T03:28:17Z,4212017027,178,,4210410527,56,Back,4210410539,212,14.1,4210410535,141,52.1,4210410541,213,3.0,4210410543,279,S,4210410531,140,36.6,,,,6n7sw8r0fhcoa8hfuxrtm96tx,A. Ekdal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537424463,4,1,1,0,1,4klvxyeh3xcus4ongu7c00mgc,1,36.8,51.9,2023-04-22T18:46:05.194Z,2023-04-23T03:28:23Z,4210410727,141,16.4,4210410717,56,Back,4212017175,178,,4210410723,140,42.5,4210410731,212,24.9,4210410733,213,5.0,,,,,,,cbymienvjkbbvi1rbky74vj3e,S. Esposito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537424491,5,1,1,0,5,4klvxyeh3xcus4ongu7c00mgc,0,42.6,16.1,2023-04-22T18:46:08.367Z,2023-04-23T03:28:27Z,4210410847,140,72.1,4210410851,212,34.5,4210410853,213,0.5,4210410855,1,,4210410849,141,38.6,4210410845,56,Center,4210410843,155,,4212017275,178,,2s9ko6yxyi95jybzguru8g3bp,K. Amian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537424555,3,1,1,0,7,4plikfte18rv8v4l89z803d4y,1,27.6,57.5,2023-04-22T18:46:10.744Z,2023-04-23T03:28:34Z,4212017451,388,,4210411179,213,0.8,4210411169,3,,4210411177,212,6.6,4210411171,56,Back,4210411173,140,31.9,4210411175,141,64.6,,,,bf67gbxjr8fkha0e59fs6qok5,J. Murillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537424561,4,61,1,0,7,4plikfte18rv8v4l89z803d4y,1,32.1,64.6,2023-04-22T18:46:11.213Z,2023-04-23T03:28:38Z,4212017553,178,,4210411207,56,Back,,,,,,,,,,,,,,,,,,,5qfa3h4gut5jlnfkexq5m1djp,H. Winks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537424579,6,1,1,0,9,4klvxyeh3xcus4ongu7c00mgc,1,74.4,22.1,2023-04-22T18:46:13.075Z,2023-04-23T03:28:40Z,4212017607,178,,4210411297,212,10.2,4210411301,213,0.1,4210411289,155,,4210411291,56,Center,4210411293,140,84.1,4210411295,141,23.7,,,,8lta4w1nytggiwnaqv4e5cc0l,E. Gyasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
