id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/14/value,assist,qualifier/11/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/18/value
2480067279,1,34,16,0,0,ap6blbxhq9elm62vw6tutzlwg,1,0,0,2022-10-31T16:37:05.361Z,2022-10-31T17:48:06Z,3886887497,197,16329,3886823011,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3886823007,59,"1, 5, 29, 17, 21, 27, 18, 4, 9, 30, 61, 3, 6, 11, 16, 19, 22, 23, 24, 28, 32, 34, 77",3886823005,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3886823003,30,"c7fky0h6gi7wmibnv2tzf6mz9, 68etig279gs3btjb7fv6rvfth, 2q0bx5wsc6b68vpps79hosnah, 9mldc318nq0tli73wjh6ueket, acss55nkdwdtvt9zl6p1ry09h, 3tuxipzf6pqvga0a12422gatx, bsi12817nc1ul082qn48d4rft, 9l2tdbf7p325xez7wz7wzxzh1, 4mab6p97p5t3w0fipzp22nxsl, 448dubo3a0ty03v6ajxpw2k2c, 9sjt5rv156hr2llfu241r6cph, 7uf7y7xa6hy3gieetcte3td2i, 130pg17ru5fzq4igokx0k73e1, e5ccnxgbz5jmqwy6fza3gdsl, 1fd1lcymbfebccx0vhgez4oyy, dp1y9x5r6z1q120hj3sgyhxat, co1vwppy1870xm5iymj3wmp5h, m7fe173js8on94ag3htziy8l, 20f5apcbciifqyln8hp3cziwa, ea4l6vjonhtvjmq1nyfec2fvt, 5054kfjkrimomrhilbe5j3xbe, c2ezyc2fftje7rcm5ybbuytp1, 8kdamc6zz4bskby51c59uuntg",3886823015,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3886823009,130,17,3886823013,194,9l2tdbf7p325xez7wz7wzxzh1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480068145,1,34,16,0,0,2tk2l9sgktwc9jhzqdd4mpdtb,1,0,0,2022-10-31T16:41:34.116Z,2022-10-31T17:24:12Z,3886828237,59,"1, 2, 59, 3, 6, 23, 4, 20, 9, 22, 7, 8, 11, 14, 17, 19, 24, 52, 62, 63, 65, 68, 92, 99",3886879891,197,10734,3886828241,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3886828233,30,"7gu0t0g8nej405k918fwsf8id, 8lgsqmwavspz4fv7t11rb6j9, du4ciqofpkn3nei5q3huwlnje, ab4kuqa33849h6z77ksuqhdk9, 7o9bkf7no8wz167ingslfimdx, 6fttn5mk6n1lstqt0dl5xzn4l, 1ftejgsl4hho40cceqne1hcyd, z0nxnl93yjtz8mty3qi5542x, 363nsa82dww242zeo09wpcslx, eu4xivu8i6yla9fcnuncx1ucp, 57bin6he6kbdo2bs4i78z2k0l, c5a7z6vphv9tp9ddid5jnrnx1, 97mmzzi3dwdos6jtj2m05w4ph, a21winmltx1h9oiwqtfditkut, 8u46wgn2upd99tmmchxuw1gbt, 1pkymw7biivk760rxhubin1ed, cddggachzf198p1yhq9owtofd, 4cu8rbv55v6f6jiq50c4xatqs, bh9jia8qgkhpm5xn82bx0hhck, b0b0xalrak7k5pnfnum53umtw, bqokrpmzy2l5xyn2rgzxotzpw, d2itdjj8bx0aztqggfgv7amay, a1iz91ed6hus61yhhk2r0vkd1, el58uxf7oaqu95yx1vbgmr7it",3886828235,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3886828243,194,57bin6he6kbdo2bs4i78z2k0l,3886828239,130,12,3886828245,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480080237,2,32,1,0,0,ap6blbxhq9elm62vw6tutzlwg,1,0,0,2022-10-31T17:30:36.679Z,2022-10-31T22:35:28Z,3886896149,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480080219,2,32,1,0,0,2tk2l9sgktwc9jhzqdd4mpdtb,1,0,0,2022-10-31T17:30:36.679Z,2022-10-31T17:30:36Z,3886896053,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480080257,3,1,1,0,0,2tk2l9sgktwc9jhzqdd4mpdtb,1,50,50,2022-10-31T17:30:36.759Z,2022-10-31T22:51:16Z,3886896253,56,Back,3886896255,140,32.2,3886896263,279,S,3886896257,141,40.7,3887318337,178,,3886896261,213,3.5,3886896259,212,19.7,,,,57bin6he6kbdo2bs4i78z2k0l,L. Pellegrini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480080271,4,1,1,0,3,2tk2l9sgktwc9jhzqdd4mpdtb,1,34.5,40.9,2022-10-31T17:30:39.831Z,2022-10-31T22:51:29Z,3886896399,212,49.9,3887319023,178,,3886896391,155,,3886896403,1,,3886896401,213,0.8,3886896395,140,67.4,3886896393,56,Left,3886896397,141,93.9,6fttn5mk6n1lstqt0dl5xzn4l,G. Mancini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480080299,6,44,1,0,5,2tk2l9sgktwc9jhzqdd4mpdtb,1,68.6,93.9,2022-10-31T17:30:42.449Z,2022-11-01T01:19:20Z,3886896553,233,3,3886896547,56,Left,3886896549,286,,,,,,,,,,,,,,,,,du4ciqofpkn3nei5q3huwlnje,N. Zalewski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480080275,3,44,1,0,5,ap6blbxhq9elm62vw6tutzlwg,0,31.4,6.1,2022-10-31T17:30:42.450Z,2022-10-31T22:51:42Z,3886896579,233,6,3886896423,56,Back,3886896425,285,,,,,,,,,,,,,,,,,68etig279gs3btjb7fv6rvfth,M. Faraoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480080273,5,1,1,0,5,2tk2l9sgktwc9jhzqdd4mpdtb,0,68.7,94.7,2022-10-31T17:30:42.455Z,2022-11-01T01:19:21Z,3887319125,388,,3886896421,213,5.4,3886896411,3,,3886896419,212,2.4,3886896417,141,92.0,3886896413,56,Left,3886896415,140,70.1,,,,du4ciqofpkn3nei5q3huwlnje,N. Zalewski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480080283,4,61,1,0,5,ap6blbxhq9elm62vw6tutzlwg,1,30.5,7.6,2022-10-31T17:30:42.565Z,2022-10-31T22:51:59Z,3887319171,178,,3887319169,15,,3886896473,56,Back,,,,,,,,,,,,,,,,68etig279gs3btjb7fv6rvfth,M. Faraoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
