id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/17/value,qualifier/18/value,qualifier/15/value
2519022489,1,34,16,0,0,bi1fxjrncd0ram0oi7ja1jyuo,1,0,0,2023-03-12T10:19:15.439Z,2023-03-12T11:31:01Z,4091971047,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4092102601,194,4x1tm440b5cshi5gxkx5k9m95,4091971041,59,"30, 17, 25, 42, 6, 93, 29, 16, 77, 27, 11, 1, 4, 7, 9, 13, 14, 18, 21, 22, 28, 31, 32, 83, 84, 97",4092102605,197,8999,4091971045,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4091971039,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4091971037,30,"3nfxhugbxid6o0r92txslivh1, a9jc36ub52lh0jgq2ya56wyui, 1oszv53od5pulbhx566ht984q, 4x1tm440b5cshi5gxkx5k9m95, bkz9b4cqf8f970myv8r49f561, 8mlps3xgwbxa7svajxfk2exud, 6e4y15kfry8fzixh99zpala6t, dd7i0ps16hldpriliccyvxct0, cv8wgka2bmkeqajg3eo9lb4k5, 44f0q2ucrld1rwcwx63vgs7hl, 6gjr3yxp34gj52xx8xfm9nt91, 3iveuhunq47tg8lg0lm3d31sl, 9h01w81t6g5f5owrtipn9ybpx, 5cjx2i2perp5vr62en4cyer1m, 46yp8iqh0qm7i75d98tfrsbxm, 44g3gj1lpougjwjpq9houab4l, 3ail949zww61xhkymcg66bca1, 9tsvcw4xthhtoqgdowmhef7bp, 9t753r5hnyq6qe5o7csuurw15, cntcffa67r95rbcf1154r92zu, 9ik51limpi4f3blp1r60hb27d, a6jwnrv86cly1ti085c9dnn6c, d9sakxlp96siw0z1jltszdlgp, 40g1jre7l8d2efvx9961kyqga, e3o8o5b5sxbjd2s17w14rmga, 90pjbz2aq8vz4qapqu1yt2ynd",4091971043,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519023555,1,34,16,0,0,7gnly6999wao1xarwct4p8fe9,1,0,0,2023-03-12T10:23:56.952Z,2023-03-12T11:28:02Z,4091977377,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4091977371,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4091977379,194,9ak3zczupeken1itsmkherbh1,4091977369,30,"5syage212151fcixahbq3k8ut, f065kc6qn2cpxjxcm6i08rz3e, 9ak3zczupeken1itsmkherbh1, 22x1ucwwak58wi6r5x1j6ohk9, 2j09251upkf2aid3lfyyos0dl, 9p5jc07qnxrzpcmnh1cp6b3l5, 6ol411t0mogw6m83heiqd0m39, 7hwj9pf9roe74jifvuhiu6n6x, e7tz6hxliohn3gkj4cgl3j1ed, 5wdqva17qr5j2kqbmfi9o91x, 1tztnrv51q99ewl193qk526z9, 21p37y6mra4u9kcg35z5dm4q2, ds0ka65ypjubtgp60kupc7dnt, 43rid94d7jz7u5ba4xzb8bbe2, a2rjxibqk9d2yatzz2dx04nx0, 8z1ukxgc8mxiyw9udbpwr4ct1, 16kv5p8we3pwqpt5ktwrb7mj9, e2oeysariwd866ksilu3t4m7e, 7zokstl625tj96c64ow4uvjyt, 6egg2gwvxxqv2i9hrr0zg4yz8, dnqd5s61ssjofdtgrcfiii8lw, c4x02yr9yedl9xi27r2l4jkes, 7p19t0mn8cq7xum09nv2u2lt5, 71bvjduiimaomxmjznjxwdfys",4091977381,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4091977375,130,17,4092103425,197,593,4091977373,59,"32, 17, 13, 4, 3, 5, 77, 8, 9, 59, 49, 2, 11, 21, 23, 26, 27, 28, 34, 66, 73, 81, 89, 94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519050303,2,32,1,0,0,7gnly6999wao1xarwct4p8fe9,1,0,0,2023-03-12T11:33:22.232Z,2023-03-12T11:33:22Z,4092117863,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519050311,2,32,1,0,0,bi1fxjrncd0ram0oi7ja1jyuo,1,0,0,2023-03-12T11:33:22.232Z,2023-03-12T19:44:50Z,4092117883,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519050355,3,1,1,0,0,7gnly6999wao1xarwct4p8fe9,1,49.7,50.1,2023-03-12T11:33:22.292Z,2023-03-12T19:50:33Z,4092118065,213,3.0,4092118059,140,36.5,4094533093,178,,4092118057,56,Back,4092118063,212,13.9,4092118067,279,S,4092118061,141,52.4,,,,e7tz6hxliohn3gkj4cgl3j1ed,A. Sanabria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519050375,4,1,1,0,1,7gnly6999wao1xarwct4p8fe9,1,36.2,56.4,2023-03-12T11:33:24.115Z,2023-03-12T19:50:38Z,4092118165,140,25.0,4094533317,178,,4092118167,141,47.6,4092118171,213,3.6,4092118169,212,13.2,4092118163,56,Back,,,,,,,7hwj9pf9roe74jifvuhiu6n6x,I. Ilić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519050411,5,1,1,0,5,7gnly6999wao1xarwct4p8fe9,1,25,47.5,2023-03-12T11:33:27.575Z,2023-03-12T19:50:43Z,4092118355,212,13.9,4092118353,141,67.9,4092118349,56,Back,4092118357,213,1.6,4094533555,178,,4092118351,140,25.1,,,,,,,2j09251upkf2aid3lfyyos0dl,P. Schuurs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519050415,6,1,1,0,10,7gnly6999wao1xarwct4p8fe9,1,22.4,70.6,2023-03-12T11:33:32.359Z,2023-03-12T19:50:45Z,4092118373,140,32.6,4092118375,141,69.3,4092118371,56,Back,4094533731,178,,4092118379,213,6.2,4092118377,212,10.7,,,,,,,22x1ucwwak58wi6r5x1j6ohk9,A. Buongiorno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519050449,7,1,1,0,10,7gnly6999wao1xarwct4p8fe9,1,32.6,69.3,2023-03-12T11:33:32.965Z,2023-03-12T19:50:48Z,4094533787,178,,4092118549,56,Back,4092118553,141,93.6,4092118555,212,16.6,4092118551,140,31.1,4092118557,213,1.7,,,,,,,7hwj9pf9roe74jifvuhiu6n6x,I. Ilić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519050475,8,1,1,0,14,7gnly6999wao1xarwct4p8fe9,1,31.5,95,2023-03-12T11:33:36.419Z,2023-03-12T19:50:50Z,4092118693,141,88.3,4094533885,178,,4092118695,212,13.9,4092118691,140,19.0,4092118697,213,3.5,4092118689,56,Back,,,,,,,9ak3zczupeken1itsmkherbh1,R. Rodríguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
