id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,keyPass,qualifier/9/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/8/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/18/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,assist
2515395737,1,34,16,0,0,4raiad4l2j5lkfaz92pk4osb,1,0,0,2023-03-04T18:42:53.995Z,2023-03-04T20:32:26Z,4072735489,59,"1, 2, 3, 34, 28, 98, 5, 38, 9, 11, 22, 4, 7, 8, 10, 16, 23, 31, 32, 33, 42, 56, 72, 77, 99",4072735485,30,"2udciji4n7tr07ft7twe2r9w5, 9e3t2wyjqzxsn690aysao8cfd, 66at96kfhvigkny465lkmrnbp, 4kfx8fzf54bli2a2o0i3fvhed, eq7q971ebxu7ipqbyvj5n4c15, acg898oezqn7590ue8x8aik89, euibd75fsyggns1w3xerzzrh1, dpnp9rguhhs04of6vmlw5spg5, 4mk6bbc9a8rhtmk8f4jj6onvt, b5cqy1xamdj38bh87gvz4iac5, eh1ul4duphy1iz4odwx9tkjjd, bhi4ivjgojkot4d7za72gu2nd, 21pztrby95djexvw3m9hhzgt1, 6gab9bfl0kj0hy1z0u75pl42d, f0d8cjxx5cw5i22m0yy6azb2t, 476nfumr6aadvufrqk72tq5be, i4yzdkusjs6qn4v06oxj6qxh, f8kcf2l4h2qzdww1vof5x9t5, 6mit9txkiacrr2dq1i27rm76d, b7vmywgydbcs4m9pcjcoabt62, 5bi4t2dob5mo0okdbv6sna6fo, 8ud1kq9mdgukhlbda5vcn0s0l, 963czsr3yecwk4s3p1wby5x3p, ec04djw7dspowrm7h7wr6e5ed, 6gjn7pt0i34q45g4porckuj8p",4072735497,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4073014573,197,563,4072735495,194,66at96kfhvigkny465lkmrnbp,4072735491,130,4,4072735487,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4072735493,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515402609,1,34,16,0,0,9dntj5dioj5ex52yrgwzxrq9l,1,0,0,2023-03-04T18:52:23.175Z,2023-03-04T19:45:07Z,4072774283,30,"3fpnfgoy4lbpapv2th6g60cet, 17au7v1ocl4zab872g59821yi, 3tpmw6tlijytn0ahwztvedkut, 3sezchmdtivxl4kusvgc6j7x1, cfpaejad8i9p2r1fj0wx0g222, b33rlpjo3kx4477alx82si5wq, cknjube5flk1r5ppqthj82c5, 9sxg58hszjq17avxgumftdu22, 5awkzgwwh48prwgvxwewuc5hx, 7ox43isyywsnrfcd56nm65be, eyra5urhrm92240e7qbll736d, 7kph61hobc93t2c2tl8l5j105, e2vtm1318mm61db2wtj4m5p79, dmrj53hcw8vcffxx0lfudbob9, 9ncagt0ezp4f41hz3b64af1t5, 9sbx7dlressy910i8uuztf93p, wr2f0yl1bf68r73hkjee2pqt, b0me6l44boibnwpbtasxoy02x, ehztjmhg6fsddm1fqb00547o5, ad1n9czqhmfe1saleourqmzth, 1dwwsz1i6v8zwh802ujwf7emt, ch5rw8dgb6wh99wyhd8o3t1pl, 72vim7cq99zdjjwivwtr773vu, 9vnr9uog5fmggich2i4vjxwbt, 68cu39v9m8pykapkh2b97ltqt",4072774289,130,17,4072774301,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4072774285,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4072774291,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4072774287,59,"16, 30, 19, 23, 28, 20, 4, 8, 9, 90, 12, 1, 2, 5, 7, 11, 14, 21, 24, 25, 27, 32, 40, 56, 83",4073028091,197,579,4072774295,194,3tpmw6tlijytn0ahwztvedkut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515452361,2,32,1,0,0,9dntj5dioj5ex52yrgwzxrq9l,1,0,0,2023-03-04T19:47:02.756Z,2023-03-04T19:47:05Z,4073036831,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515452355,2,32,1,0,0,4raiad4l2j5lkfaz92pk4osb,1,0,0,2023-03-04T19:47:02.756Z,2023-03-05T01:37:56Z,4073036785,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515452391,3,1,1,0,0,4raiad4l2j5lkfaz92pk4osb,1,50,50.3,2023-03-04T19:47:02.838Z,2023-03-05T01:52:53Z,4074003203,178,,4073037037,212,7.7,4073037035,141,51.8,4073037039,213,3.0,4073037033,140,42.7,4073037041,279,S,4073037031,56,Back,4073037043,278,,4mk6bbc9a8rhtmk8f4jj6onvt,Arthur Cabral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515452423,4,1,1,0,1,4raiad4l2j5lkfaz92pk4osb,1,42.8,48.7,2023-03-04T19:47:04.502Z,2023-03-05T01:52:58Z,4073037231,56,Back,4073037233,140,38.6,4074003855,178,,4073037235,141,7.1,4073037239,213,4.6,4073037237,212,28.6,,,,,,,4kfx8fzf54bli2a2o0i3fvhed,S. Amrabat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515452491,5,1,1,0,6,4raiad4l2j5lkfaz92pk4osb,1,30.2,19.7,2023-03-04T19:47:08.851Z,2023-03-05T01:53:01Z,4073037565,212,13.8,4074004049,178,,4073037563,141,29.4,4073037567,213,2.6,4073037561,140,18.7,4073037559,56,Back,,,,,,,9e3t2wyjqzxsn690aysao8cfd,Dodô,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515452533,6,1,1,0,10,4raiad4l2j5lkfaz92pk4osb,1,20,37.4,2023-03-04T19:47:13.404Z,2023-03-05T01:53:03Z,4074004215,178,,4073037757,56,Back,4073037763,212,25.9,4073037759,140,36.7,4073037761,141,65.4,4073037765,213,0.8,,,,,,,eq7q971ebxu7ipqbyvj5n4c15,L. Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515452551,7,1,1,0,12,4raiad4l2j5lkfaz92pk4osb,1,36.7,65.4,2023-03-04T19:47:14.794Z,2023-03-05T01:53:07Z,4073037839,212,17.2,4073037835,140,25.0,4073037833,56,Back,4073037841,213,2.4,4074004425,178,,4073037837,141,83.2,4073037865,156,,,,,dpnp9rguhhs04of6vmlw5spg5,R. Mandragora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515452641,8,1,1,0,15,4raiad4l2j5lkfaz92pk4osb,1,25.6,87.7,2023-03-04T19:47:18.111Z,2023-03-05T01:53:10Z,4073038345,213,0.5,4073038339,140,35.8,4073038343,212,12.2,4073038341,141,96.3,4074004623,178,,4073038337,56,Back,,,,,,,acg898oezqn7590ue8x8aik89,Igor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
