id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/8/value,keyPass,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2527756765,1,34,16,0,0,gi0l1habji5hpgar77dl5jqe,1,0,0,2023-04-02T17:43:10.133Z,2023-04-02T17:43:10Z,4159024631,197,545,4159024625,130,4,4159024633,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4159024619,30,"af58rhtg8ck7c8g7nwfs67d91, 5d9i8ubibyiecxecr9jjvxexh, ypfascbq81vkjbe57108cpn9, 9y8fnvazj02vy31ljx3du0d79, 2kfkjjqh7vrfcfbgr4aa85dqt, 2p1pns6j6id4nx3nbi7fv0wrt, 3bhy6x04rbwzk0nh1fm59dmnd, dpcws493fepch23sk26m1a8yd, cp13vthbds3tl1wtfelfx2evp, 9bba1hgnx5mzpkzeazsoikn9x, 4zy4d60v2qmaplm9xbe51y1gp, cv0p6dzx3res3affivdwcpolx, 8n0c5t5wzfkoauryyzy8be0gl, 72im0m7d8rqpsclo4f5crqmsp, cen5nxf8sb8binjr7apt9nb2t, copo8qsmvy2fhpi1aev6f46i1, 7knk2xsg4690hgq9us9us8ull, 9c9g2havtsf29fpt5582y8ne2, 40msbo4o5bwx0oeuz4743w161, 1ct0gujao4wvj1ff3aebqgqnd, abq67eup8kd31w8da2i0eftgp, bcqutyzafpahp2ni41u2xt4gl, u60zu48a4zqnupyxp2d0mqqd",4159024621,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4159024629,194,5d9i8ubibyiecxecr9jjvxexh,4159024627,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4159024623,59,"1, 22, 6, 68, 13, 3, 99, 20, 18, 21, 77, 4, 5, 7, 11, 12, 23, 31, 55, 70, 81, 91, 95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527758611,1,34,16,0,0,9dntj5dioj5ex52yrgwzxrq9l,1,0,0,2023-04-02T17:45:14.515Z,2023-04-02T19:17:05Z,4159033875,30,"3fpnfgoy4lbpapv2th6g60cet, e2vtm1318mm61db2wtj4m5p79, 3tpmw6tlijytn0ahwztvedkut, 9sxg58hszjq17avxgumftdu22, ehztjmhg6fsddm1fqb00547o5, 3sezchmdtivxl4kusvgc6j7x1, 3jln1gzc0859ymphvq83i0mp5, 3v1fnp5e9pxfzgou5ebrgprrp, 5awkzgwwh48prwgvxwewuc5hx, cknjube5flk1r5ppqthj82c5, 11o903vztwpnmvgrinn208qnd, 7kph61hobc93t2c2tl8l5j105, dmrj53hcw8vcffxx0lfudbob9, 9ncagt0ezp4f41hz3b64af1t5, eyra5urhrm92240e7qbll736d, wr2f0yl1bf68r73hkjee2pqt, ad1n9czqhmfe1saleourqmzth, 1dwwsz1i6v8zwh802ujwf7emt, cfpaejad8i9p2r1fj0wx0g222, ch5rw8dgb6wh99wyhd8o3t1pl, 72vim7cq99zdjjwivwtr773vu, enqcaecpt5hy0qv9x5pzmkjc9, 9vnr9uog5fmggich2i4vjxwbt, 68cu39v9m8pykapkh2b97ltqt, 7ox43isyywsnrfcd56nm65be",4159033877,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4159033879,59,"16, 2, 19, 8, 24, 23, 10, 33, 9, 4, 17, 1, 5, 7, 12, 14, 25, 27, 28, 32, 40, 46, 56, 83, 90",4159033889,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4159033883,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4159033887,197,578,4159033881,130,8,4159033885,194,e2vtm1318mm61db2wtj4m5p79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527791965,2,32,1,0,0,gi0l1habji5hpgar77dl5jqe,1,0,0,2023-04-02T18:45:56.943Z,2023-04-03T01:05:49Z,4159213679,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527791971,2,32,1,0,0,9dntj5dioj5ex52yrgwzxrq9l,1,0,0,2023-04-02T18:45:56.943Z,2023-04-02T18:45:59Z,4159213703,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527792005,3,1,1,0,0,gi0l1habji5hpgar77dl5jqe,1,49.9,49.4,2023-04-02T18:45:56.994Z,2023-04-03T01:50:23Z,4160123657,178,,4159213895,279,S,4159213885,56,Back,4159213891,212,15.3,4159213893,213,3.2,4159213889,141,47.2,4159213887,140,35.4,,,,9y8fnvazj02vy31ljx3du0d79,S. Lobotka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527792017,4,1,1,0,1,gi0l1habji5hpgar77dl5jqe,1,35.2,47.2,2023-04-02T18:45:57.965Z,2023-04-03T01:50:47Z,4159213951,56,Back,4159213959,213,1.3,4159213957,212,4.6,4159213953,140,36.5,4160123779,178,,4159213955,141,53.7,,,,,,,2kfkjjqh7vrfcfbgr4aa85dqt,A. Rrahmani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527792027,5,1,1,0,1,gi0l1habji5hpgar77dl5jqe,1,36.3,53.2,2023-04-02T18:45:58.712Z,2023-04-03T01:50:52Z,4159214011,213,5.7,4159214005,140,46.0,4160124503,178,,4159214007,141,42.9,4159214003,56,Back,4159214009,212,12.4,,,,,,,2p1pns6j6id4nx3nbi7fv0wrt,Kim Min-Jae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527792037,6,1,1,0,3,gi0l1habji5hpgar77dl5jqe,1,39.5,43.7,2023-04-02T18:46:00.531Z,2023-04-03T01:50:56Z,4159214057,56,Back,4159214059,140,38.2,4160124629,178,,4159214065,213,1.7,4159214063,212,11.5,4159214061,141,60.5,,,,,,,dpcws493fepch23sk26m1a8yd,P. Zieliński,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527792081,7,1,1,0,5,gi0l1habji5hpgar77dl5jqe,1,40.8,60.6,2023-04-02T18:46:02.794Z,2023-04-03T01:50:59Z,4159214325,212,18.9,4159214321,140,46.1,4159214319,56,Back,4159214327,213,1.3,4159214323,141,87.2,4160124711,178,,,,,,,,2p1pns6j6id4nx3nbi7fv0wrt,Kim Min-Jae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527792107,8,1,1,0,8,gi0l1habji5hpgar77dl5jqe,1,45.4,87.2,2023-04-02T18:46:05.897Z,2023-04-03T01:51:02Z,4159214485,141,50.3,4160124817,178,,4159214487,212,25.1,4159214483,140,43.9,4159214489,213,4.6,4159214481,56,Back,,,,,,,ypfascbq81vkjbe57108cpn9,Mário Rui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
