id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/8/value,qualifier/9/value,assist,qualifier/10/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/13/value,qualifier/14/value,qualifier/16/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/17/value,qualifier/15/value
2466409501,1,34,16,0,0,6tuibxq39fdryu8ou06wcm0q3,1,0,0,2022-10-02T12:26:57.169Z,2022-10-02T12:57:30Z,3814373369,197,590,3814236109,130,4,3814236105,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3814236103,30,"1r5gn4osgwz2b2b4sefncbhed, 5oge5fhmna0oduqvjisoa1djp, 4vis4wltntxil2m9z16mi6j8p, ef4thhub6bsd2gtmltknkz8b9, e5fnoxb8f2hycjx4gnmce2wvd, 9rzl0j9m9i30a62o1yofzvaad, 4qejyummzkrfllds8ord642qx, cc04mat3snly9oe4bt7xaeooa, 153ljvbov0n176vm9fdaizoix, 4xnll2f9tb69wrezm04ayg76y, 27xj7me8icr5ptta7kwx0kfs9, 37kr5th62ugmy4j55i3n45k2d, 7km4xkzmx7pytxxzcu7ugm0np, bqer8ajqm2vibthgumtuycbu1, 74o97lnqpku6m9svks66qbend, 14xoy6tg51xbydm69d5ybyfis, 9k1ytj3z42ggp14vkn39hiymt, elnhkklafq2cwl0hit66b5vmy, 6k790p49tjwkhlwf9afll9jo5, 9tah9hvep4bqppokmuw720qvo, cxxxfvmrslyjyi9wz9m8kwne2, bpt2fdnjjpb6a5ehdepyedxt6, 83hpavqn7r5bzcgxvjbcso3px",3814236115,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3814236111,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3814236107,59,"47, 22, 6, 27, 28, 13, 16, 42, 9, 15, 45, 3, 5, 7, 8, 11, 14, 18, 25, 35, 44, 64, 77",3814236113,194,9rzl0j9m9i30a62o1yofzvaad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466410459,1,34,16,0,0,49rkyo4do8uwj06geomw0xr4i,1,0,0,2022-10-02T12:28:03.276Z,2022-10-02T12:58:19Z,3814241079,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3814241083,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3814241081,194,etryzuxz65dmn5ewmocse66l1,3814241077,130,12,3814375783,197,9006,3814241075,59,"33, 87, 30, 66, 5, 2, 18, 10, 29, 99, 25, 1, 3, 6, 9, 11, 14, 16, 20, 23, 28, 35, 39, 71, 98",3814241071,30,"d1e3dsz9lf7g69g2l6zfurpp1, c9shobonlrg7guoyb3iwnwdsl, etryzuxz65dmn5ewmocse66l1, 4b7yhrh526hzn4vj8bh395v8q, 4u281v53ges3kimtgac0tidm2, blo3zmhar2mujyp9z7kjnsut, 7pg1pu4ptby6hi0rp29hv4jxl, 7j0c36u6kk97eur4virjoka8l, 3mqhkh4iz4kesvmqui3hupgmi, 240qnsj5nj6l6s3cc618691at, q281ehu1acmc9v96sv9g8bmx, 68jk3onf54kl1mdfz8zuicvkl, b0e6d3zgwzbzysmt9b2ycvf56, ezpkmoz1z08da3o3g45m12lzp, 19gglji6ai70jiu7iqpkaxbyt, 53dvtfms2uxd500y87x5jf2eh, bhu3hiq2ln2cso48ndqe17bvt, rnahabpvj34tsl9q53gt2rit, drljavudmjvyj9mvyzq7gz2s5, 2mloh2yrhs60s1uwrfycc2i8l, 6lev0lne8w9snmho4a6hjiifp, 91dt2qi4j797auqtkydbdlel0, 488q58xm2ahxuvpeyfpgwfklw, 635lkjxjnrk1ytgjmz5qcr4a2, 3coml6cxqa86px9up8yy3oz1m",3814241073,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466436063,2,32,1,0,0,49rkyo4do8uwj06geomw0xr4i,1,0,0,2022-10-02T13:00:23.933Z,2022-10-02T13:00:27Z,3814382335,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466436045,2,32,1,0,0,6tuibxq39fdryu8ou06wcm0q3,1,0,0,2022-10-02T13:00:23.933Z,2022-10-02T19:39:22Z,3814382261,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466436109,3,1,1,0,0,6tuibxq39fdryu8ou06wcm0q3,1,50.1,50.4,2022-10-02T13:00:24.053Z,2022-10-02T19:45:32Z,3814382609,213,3.2,3816124145,178,,3814382607,212,13.6,3814382611,279,S,3814382605,141,49.0,3814382603,140,37.2,3814382601,56,Back,,,,153ljvbov0n176vm9fdaizoix,A. Pinamonti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466436171,4,1,1,0,2,6tuibxq39fdryu8ou06wcm0q3,1,37.8,45.2,2022-10-02T13:00:26.463Z,2022-10-02T19:45:35Z,3814382879,56,Back,3814382883,141,7.9,3814382881,140,35.0,3814382885,212,25.5,3816124353,178,,3814382887,213,4.6,,,,,,,ef4thhub6bsd2gtmltknkz8b9,M. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466436275,5,1,1,0,6,6tuibxq39fdryu8ou06wcm0q3,1,39,6.8,2022-10-02T13:00:30.014Z,2022-10-02T19:45:38Z,3814383397,56,Center,3814383395,155,,3814383399,140,78.2,3814383407,1,,3816124547,178,,3814383405,213,0.3,3814383401,141,26.8,3814383403,212,43.3,5oge5fhmna0oduqvjisoa1djp,J. Toljan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466436281,6,50,1,0,10,6tuibxq39fdryu8ou06wcm0q3,1,79.4,18.2,2022-10-02T13:00:34.711Z,2022-10-02T19:45:46Z,3814383427,56,Right,3814383739,233,3,3814383431,286,,,,,,,,,,,,,,,,,153ljvbov0n176vm9fdaizoix,A. Pinamonti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466436317,3,7,1,0,11,49rkyo4do8uwj06geomw0xr4i,1,20.6,81.8,2022-10-02T13:00:35.271Z,2022-10-02T19:45:49Z,3814383633,167,,3814383635,56,Back,3814383637,285,,3816125051,178,,3815331307,385,,3814383679,233,6,,,,,,,4u281v53ges3kimtgac0tidm2,F. Daniliuc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466436347,4,5,1,0,13,49rkyo4do8uwj06geomw0xr4i,0,27.4,101.4,2022-10-02T13:00:37.412Z,2022-10-02T19:45:53Z,3814383815,347,,3814384169,233,7,3814383811,56,Back,,,,,,,,,,,,,,,,4u281v53ges3kimtgac0tidm2,F. Daniliuc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
