id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,assist,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/8/value,keyPass,qualifier/10/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2529767707,5,1,1,0,12,49rkyo4do8uwj06geomw0xr4i,1,19.8,84.9,2023-04-07T15:01:05.079Z,2023-04-07T22:36:49Z,4169756485,56,Back,4171163043,178,,4169756491,212,7.7,4169756487,140,22.6,4169756493,213,1.2,4169756489,141,95.3,,,,,,,3coml6cxqa86px9up8yy3oz1m,L. Pirola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529767719,6,1,1,0,13,49rkyo4do8uwj06geomw0xr4i,1,23.2,95.1,2023-04-07T15:01:06.549Z,2023-04-07T22:36:52Z,4169756575,141,81.2,4169756571,56,Back,4169756579,213,4.7,4171163067,178,,4169756573,140,23.0,4169756577,212,9.5,,,,,,,b0e6d3zgwzbzysmt9b2ycvf56,D. Bradarić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529767743,7,1,1,0,14,49rkyo4do8uwj06geomw0xr4i,1,23,81.2,2023-04-07T15:01:07.506Z,2023-04-07T22:36:56Z,4169756701,56,Back,4169756707,212,7.1,4171163121,178,,4169756703,140,27.4,4169756709,213,0.9,4169756705,141,89.1,,,,,,,7pg1pu4ptby6hi0rp29hv4jxl,L. Coulibaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530027683,881,67,1,0,15,49rkyo4do8uwj06geomw0xr4i,1,28.1,92.6,2023-04-07T15:01:08.448Z,2023-04-08T01:29:38Z,4171178647,233,980,,,,,,,,,,,,,,,,,,,,,,c9shobonlrg7guoyb3iwnwdsl,A. Candreva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530027681,980,67,1,0,15,3vo5mpj7catp66nrwwqiuhuup,0,71.9,7.4,2023-04-07T15:01:08.449Z,2023-04-07T23:08:47Z,4171178657,233,881,,,,,,,,,,,,,,,,,,,,,,asyzhp3qu95vmzdbau6nmoic5,M. Darmian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529767767,8,1,1,0,15,49rkyo4do8uwj06geomw0xr4i,1,27.9,89.3,2023-04-07T15:01:08.454Z,2023-04-08T01:29:38Z,4169756817,213,5.4,4169756813,141,71.6,4171163213,178,,4169756809,56,Back,4169756811,140,38.3,4170074283,155,,4169756815,212,16.3,,,,c9shobonlrg7guoyb3iwnwdsl,A. Candreva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530027571,872,43,1,0,15,49rkyo4do8uwj06geomw0xr4i,1,0,0,2023-04-07T15:01:08.455Z,2023-04-07T23:08:01Z,4171178271,144,67,4171178195,233,973,,,,,,,,,,,,,,,,,,,drljavudmjvyj9mvyzq7gz2s5,G. Kastanos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530027565,973,43,1,0,15,3vo5mpj7catp66nrwwqiuhuup,1,0,0,2023-04-07T15:01:08.456Z,2023-04-07T23:08:00Z,4171178199,233,872,4171178257,144,67,,,,,,,,,,,,,,,,,,,asyzhp3qu95vmzdbau6nmoic5,M. Darmian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529767797,9,1,1,0,24,49rkyo4do8uwj06geomw0xr4i,1,60.5,72.6,2023-04-07T15:01:17.330Z,2023-04-07T22:37:15Z,4169756995,212,8.8,4169756991,140,56.2,4169756993,141,61.5,4171163377,178,,4169756997,213,4.2,4169756989,56,Center,,,,,,,drljavudmjvyj9mvyzq7gz2s5,G. Kastanos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529767805,10,1,1,0,27,49rkyo4do8uwj06geomw0xr4i,1,52.8,43.1,2023-04-07T15:01:20.433Z,2023-04-07T22:37:19Z,4169757035,140,60.9,4171163453,178,,4169757039,212,27.7,4169757041,213,5.0,4169757033,56,Right,4169757037,141,4.4,,,,,,,7pg1pu4ptby6hi0rp29hv4jxl,L. Coulibaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529767817,11,1,1,0,30,49rkyo4do8uwj06geomw0xr4i,1,60.9,4.4,2023-04-07T15:01:22.915Z,2023-04-07T22:37:45Z,4169757089,56,Right,4169757097,213,2.0,4169757093,141,14.9,4169757091,140,58.1,4171163805,178,,4169757095,212,7.7,,,,,,,blo3zmhar2mujyp9z7kjnsut,D. Bronn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529767821,12,1,1,0,31,49rkyo4do8uwj06geomw0xr4i,1,58.1,15.2,2023-04-07T15:01:24.455Z,2023-04-07T22:37:48Z,4169757125,212,6.0,4169757119,56,Right,4169757121,140,52.5,4169757123,141,16.9,4171163839,178,,4169757127,213,2.9,,,,,,,7j0c36u6kk97eur4virjoka8l,T. Vilhena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529767831,13,1,1,0,33,49rkyo4do8uwj06geomw0xr4i,1,52.5,16.9,2023-04-07T15:01:25.859Z,2023-04-07T22:37:55Z,4169757207,213,5.9,4169757199,56,Right,4169757203,141,12.5,4171163901,178,,4169757205,212,8.9,4169757201,140,60.5,,,,,,,4u281v53ges3kimtgac0tidm2,F. Daniliuc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529767857,14,1,1,0,36,49rkyo4do8uwj06geomw0xr4i,1,63.3,14.5,2023-04-07T15:01:29.307Z,2023-04-07T22:38:01Z,4169757353,212,7.1,4169757351,141,4.4,4169757349,140,65.1,4169757347,56,Right,4169757355,213,5.0,4171163977,178,,,,,,,,7j0c36u6kk97eur4virjoka8l,T. Vilhena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
