id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/8/value,qualifier/10/value,assist,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/15/value,qualifier/16/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2451792857,1,34,16,0,0,4klvxyeh3xcus4ongu7c00mgc,1,0,0,2022-08-27T17:51:42.256Z,2022-08-27T18:45:13Z,3736490617,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3736490619,59,"69, 11, 13, 43, 14, 15, 20, 33, 18, 44, 6, 1, 2, 7, 8, 10, 16, 17, 24, 28, 29, 40, 89",3736490625,194,8lta4w1nytggiwnaqv4e5cc0l,3736490621,130,12,3736735227,197,14656,3736490615,30,"4g0d51pqr4grzoe9cx7do6pxx, 8lta4w1nytggiwnaqv4e5cc0l, 545o5sllzb34kosvbw3fxhc5x, 89z0ym1zvwp7rikmd0kvpcq8l, 8585juruxxi6z8ih6kfqvrj6x, 399j815r2akyfreynjrouwbmx, yau2ry4oz8da3etdtf5td0id, 72sbeqsrvv64vwiec51r9g1k9, 8zltxvt0rcrcv96x1wmdhlrrp, eprihatu8znb0vq6kuaj38z1m, 6ehsdxl74v0qtlbjjjbu0r0t1, bmqg7owjivu1f3grdigkid0b9, awf3x41nsz8m73bhte5wlz6ui, 4ypa8ma678embtagi427eg4id, 6n7sw8r0fhcoa8hfuxrtm96tx, e4cwx5r9hrvip371egldkc6ol, 9n2nm6smh0txgv2482qbwhixg, 7mog0f7cncmy6airdy3akurfu, 1s7qbrynbcv9uw9r5f29oyc5, 7u9bpiajlgr3zibj89pub7wbu, 6sejjyqssbr3olctm9nkq2v9x, q86iuo0cn7dlhvgwz6ix1mqy, 9wek84cn7z0ou46623nlo876y",3736490623,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3736490627,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451795777,1,34,16,0,0,6tuibxq39fdryu8ou06wcm0q3,1,0,0,2022-08-27T17:55:52.581Z,2022-08-27T18:41:28Z,3736506867,130,4,3736506863,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3736506871,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3736747785,197,590,3736506875,194,9rzl0j9m9i30a62o1yofzvaad,3736506865,59,"47, 22, 6, 27, 28, 13, 16, 7, 9, 10, 77, 3, 5, 8, 11, 14, 15, 25, 42, 44, 64, 92",3736506861,30,"1r5gn4osgwz2b2b4sefncbhed, 5oge5fhmna0oduqvjisoa1djp, 4vis4wltntxil2m9z16mi6j8p, ef4thhub6bsd2gtmltknkz8b9, e5fnoxb8f2hycjx4gnmce2wvd, 9rzl0j9m9i30a62o1yofzvaad, 4qejyummzkrfllds8ord642qx, bqer8ajqm2vibthgumtuycbu1, 153ljvbov0n176vm9fdaizoix, m030tubgf3zpgf0axzm7z26t, 83hpavqn7r5bzcgxvjbcso3px, 37kr5th62ugmy4j55i3n45k2d, 7km4xkzmx7pytxxzcu7ugm0np, 74o97lnqpku6m9svks66qbend, 14xoy6tg51xbydm69d5ybyfis, 9k1ytj3z42ggp14vkn39hiymt, 4xnll2f9tb69wrezm04ayg76y, 6k790p49tjwkhlwf9afll9jo5, cc04mat3snly9oe4bt7xaeooa, cxxxfvmrslyjyi9wz9m8kwne2, bpt2fdnjjpb6a5ehdepyedxt6, f2p5457ilcfrtzhe343whhkut",3736506879,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451843949,2,32,1,0,0,6tuibxq39fdryu8ou06wcm0q3,1,0,0,2022-08-27T18:45:15.307Z,2022-08-27T18:45:15Z,3736770861,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451843985,2,32,1,0,0,4klvxyeh3xcus4ongu7c00mgc,1,0,0,2022-08-27T18:45:15.307Z,2022-08-28T02:30:03Z,3736771033,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451844005,3,1,1,0,0,6tuibxq39fdryu8ou06wcm0q3,1,50,50,2022-08-27T18:45:15.345Z,2022-08-28T02:41:20Z,3736771167,56,Back,3736771169,140,39.9,3736771175,213,3.4,3738542927,178,,3736771171,141,45.7,3736771173,212,11.0,3736771177,279,S,,,,153ljvbov0n176vm9fdaizoix,A. Pinamonti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451844047,4,1,1,0,3,6tuibxq39fdryu8ou06wcm0q3,1,38.9,44.9,2022-08-27T18:45:18.893Z,2022-08-28T02:41:27Z,3738543221,178,,3736771445,140,28.6,3736771451,213,3.9,3736771443,56,Back,3736771449,212,14.5,3736771447,141,30.6,,,,,,,ef4thhub6bsd2gtmltknkz8b9,M. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451844089,5,1,1,0,5,6tuibxq39fdryu8ou06wcm0q3,1,26.9,32.9,2022-08-27T18:45:20.865Z,2022-08-28T02:41:36Z,3736771723,212,17.5,3738543749,178,,3736771725,213,1.6,3736771721,141,58.6,3736771717,56,Back,3736771719,140,25.9,,,,,,,e5fnoxb8f2hycjx4gnmce2wvd,M. Erlić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451844135,6,1,1,0,7,6tuibxq39fdryu8ou06wcm0q3,1,28.3,55.5,2022-08-27T18:45:23.100Z,2022-08-28T02:41:40Z,3738543909,178,,3736772037,1,,3736772029,141,5.7,3736772023,56,Back,3736772031,212,34.9,3736772035,213,5.0,3736772025,140,36.4,,,,9rzl0j9m9i30a62o1yofzvaad,G. Ferrari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451844187,7,1,1,0,10,6tuibxq39fdryu8ou06wcm0q3,1,36.4,5.7,2022-08-27T18:45:26.155Z,2022-08-28T02:41:47Z,3736772321,212,8.0,3736772319,141,4.8,3738544227,178,,3736772317,140,44.0,3736772323,213,6.2,3736772315,56,Back,,,,,,,5oge5fhmna0oduqvjisoa1djp,J. Toljan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451844207,8,1,1,0,11,6tuibxq39fdryu8ou06wcm0q3,0,44,4.8,2022-08-27T18:45:27.233Z,2022-08-28T02:41:53Z,3736772415,56,Right,3736772419,141,18.3,3736772417,140,59.1,3736772423,213,0.5,3738544533,178,,3736772421,212,18.3,,,,,,,4qejyummzkrfllds8ord642qx,D. Frattesi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
