id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/12/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/16/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,assist,qualifier/21/id,qualifier/21/qualifierId,qualifier/22/id,qualifier/22/qualifierId,qualifier/22/value
2536659395,1,34,16,0,0,ej5er0oyngdw138yuumwqbyqt,1,0,0,2023-04-21T17:42:58.249Z,2023-04-21T18:36:08Z,4206374481,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4206374479,30,"4hrmzpx1nt5ze55fpby71mcb9, 1po7tmdv73zfjentt0p20wdlh, 83hpavqn7r5bzcgxvjbcso3px, 5lvdnoyknuoyr6kdruposgctl, 4gmki0xpn2e9o9p7wnm0k8p1x, 3l0mj1zzhytxvm9tryvqv8kix, bdb6j168crcrwje9k0titxv55, 38de1wbyp2ruksgffna791n8p, 56bidwsegakrtx3z1qbbpnc6i, bpfg11qh1q0zj2x6sqd3srvmx, a46kdc4sdf7e6520s8gm9glm2, 46twjsjrm4ljb7bhobbpwx5h, 6xt6fnmwrs7btha4d2t7wkktm, 6eqqtmbg35rg2stk10ic7q8k5, 1cu7fg8sf90isf9gp21e5fqh, 5j7hbe94ewys7hkd04ay5bpw5, 7e11kdi7wh9tleor9w5o2fdn9, 4zn8zufrd17h9d5xl7qhahbyt, a2n9op95qyb3rkye5pxqjb7bp, 2yijk5l991mdyjprmuudq7qzu, 3cbwh4pfwae5xw072cy14gb85, 9m6yva52cmdq7uu31qrwdrund",4206374483,59,"28, 3, 77, 30, 5, 26, 19, 8, 11, 20, 99, 1, 4, 6, 7, 10, 14, 17, 22, 25, 29, 34",4206374485,130,4,4206374491,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4206374487,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4206561455,197,17289,4206374489,194,38de1wbyp2ruksgffna791n8p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536661497,1,34,16,0,0,ap6blbxhq9elm62vw6tutzlwg,1,0,0,2023-04-21T17:46:26.197Z,2023-04-21T18:55:44Z,4206385721,130,8,4206385715,30,"c7fky0h6gi7wmibnv2tzf6mz9, 68etig279gs3btjb7fv6rvfth, 3tuxipzf6pqvga0a12422gatx, kc4qkj63uqu3wnkydxtvmwh5, m7fe173js8on94ag3htziy8l, 130pg17ru5fzq4igokx0k73e1, e5ccnxgbz5jmqwy6fza3gdsl, 9sjt5rv156hr2llfu241r6cph, 83kdacraf2mcnbg038ld68ne2, c39nv7jn5c3qzglosgzigif2t, 2q0bx5wsc6b68vpps79hosnah, 7uf7y7xa6hy3gieetcte3td2i, 9l2tdbf7p325xez7wz7wzxzh1, bo98qzo4gu0npm4pewc25ovyt, dp1y9x5r6z1q120hj3sgyhxat, co1vwppy1870xm5iymj3wmp5h, 6mybntbgl188coqd2dl6ulhm2, a9z0jsjwfteq974bxwucvc4ix, 448dubo3a0ty03v6ajxpw2k2c, 5054kfjkrimomrhilbe5j3xbe, g64b8x11ndowv2zj29r9i311, c2ezyc2fftje7rcm5ybbuytp1, 8o8o4rxbdhv002pj0q21l0f84, 8kdamc6zz4bskby51c59uuntg",4206387457,194,68etig279gs3btjb7fv6rvfth,4206385719,59,"1, 5, 27, 28, 23, 6, 11, 61, 38, 7, 29, 3, 4, 8, 19, 22, 25, 26, 30, 32, 33, 34, 42, 77",4206385723,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4206385717,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4206385725,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4206560195,197,16329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536702659,2,32,1,0,0,ap6blbxhq9elm62vw6tutzlwg,1,0,0,2023-04-21T18:45:10.011Z,2023-04-21T23:31:22Z,4206604405,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536702669,2,32,1,0,0,ej5er0oyngdw138yuumwqbyqt,1,0,0,2023-04-21T18:45:10.011Z,2023-04-21T18:45:12Z,4206604469,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536702701,3,1,1,0,0,ap6blbxhq9elm62vw6tutzlwg,1,49.9,50,2023-04-21T18:45:10.111Z,2023-04-22T01:02:02Z,4206604649,141,49.1,4207310299,178,,4206604657,213,3.2,4206604645,140,35.3,4206604653,212,15.3,4206604661,279,S,4206604641,56,Back,,,,c39nv7jn5c3qzglosgzigif2t,S. Verdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536702731,4,1,1,0,2,ap6blbxhq9elm62vw6tutzlwg,0,35.2,49.1,2023-04-21T18:45:12.696Z,2023-04-22T01:02:06Z,4206604859,212,36.0,4206604857,141,75.0,4206604855,140,65.1,4207310355,178,,4206604853,56,Center,4206604861,213,0.5,4206604851,155,,4206604863,1,,130pg17ru5fzq4igokx0k73e1,I. Hien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536702729,3,44,1,0,5,ej5er0oyngdw138yuumwqbyqt,1,31.2,22.6,2023-04-21T18:45:15.324Z,2023-04-22T02:36:12Z,4206605059,233,5,4206604833,56,Back,4206604837,285,,,,,,,,,,,,,,,,,4gmki0xpn2e9o9p7wnm0k8p1x,A. Soumaoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536702761,5,44,1,0,5,ap6blbxhq9elm62vw6tutzlwg,0,68.8,77.4,2023-04-21T18:45:15.325Z,2023-04-22T01:02:10Z,4206604997,56,Center,4206605001,286,,4206605077,233,3,,,,,,,,,,,,,,,,kc4qkj63uqu3wnkydxtvmwh5,O. Abildgaard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536702741,4,1,1,0,5,ej5er0oyngdw138yuumwqbyqt,0,26.6,20.5,2023-04-21T18:45:15.401Z,2023-04-22T02:36:12Z,4207310461,388,,4206604925,213,6.0,4206604919,140,41.1,4206604923,212,15.7,4206604917,56,Back,4206604915,3,,4206604921,141,15.1,,,,4gmki0xpn2e9o9p7wnm0k8p1x,A. Soumaoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536702801,6,1,1,0,7,ap6blbxhq9elm62vw6tutzlwg,0,60.5,82.1,2023-04-21T18:45:17.130Z,2023-04-22T01:02:19Z,4206605235,56,Left,4206605243,213,0.3,4206605241,212,15.9,4206605237,140,75.1,4206605239,141,88.4,4206605233,3,,4207310547,178,,,,,3tuxipzf6pqvga0a12422gatx,P. Dawidowicz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
