id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/12/value,qualifier/10/value,qualifier/15/value,qualifier/13/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist
2461867513,1,34,16,0,0,67z1gqyiuzpmmb15q5fy7ntc4,1,0,0,2022-09-18T12:17:34.161Z,2022-09-18T13:10:50Z,3790137183,194,2qdgfxqyh0bjn3alkz97py8k5,3790137171,30,"b3hr4q25jvqr7565z5ydqylt5, bcqsti42fhzap385lnfe4auhh, 4d17grk2qflzake218uz76uei, thnje2i2s96fcbuscj57053p, erdqr6vrr5tlfypbks3og0dlh, ejgtltbsu0djglqw98gywgu6t, 79e6khfyg3rdauul0yjlixv8q, 64z85woxiowxzod5e0g0x77x1, dq037w5t3ht5zgd75mue4p1pl, 2qdgfxqyh0bjn3alkz97py8k5, 6ck9f1ppvl65nui0x71q80jx1, av8588qp8e5wz3s7cg1n2qgnp, 4vonqsqrzoyye4vs6n7dud2p5, 1muwnu7rq4feejspx7no203px, 61phh511ju65h6coren0pbkd1, 9noq0ogmqc2cwj3nowoadcdlh, 721e4tx2wrwb4kd9w80fcq19l, 2zk88fh1e5js1g2jmfkrjmxka, 1b8uwkohkevu6ltjex0liklpl, duqiler25n63ksi0fxreo50mi, aqihfinmho5z4o2r2umpddsyd, 98x5xrku2jffo0in2u2htazca, chjjcy789cuwlsik2ibmubtyi, 42kcyb3d0nlrld251epht6lsl, 6jwy293owzzhldv4i9wxntjv9, ahrgnlsku8ghrj2qc0s6p1rhm",3790320031,197,8477,3790137175,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3790137179,130,17,3790137185,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3790137177,59,"16, 84, 30, 55, 3, 4, 6, 12, 47, 32, 17, 5, 7, 8, 9, 10, 19, 22, 26, 28, 34, 38, 44, 79, 89, 91",3790137181,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461870713,1,34,16,0,0,bqbbqm98ud8obe45ds9ohgyrd,1,0,0,2022-09-18T12:21:23.776Z,2022-09-18T13:06:43Z,3790155919,194,8yv9xuzriaecvvssfm8dlmz85,3790155909,30,"3o573dblmfc1o3wkkt2nva8k5, 9pe3yqjsmcjtxdx7bdne3d4ut, 8yv9xuzriaecvvssfm8dlmz85, apdtqouzo9b02ozdxk8mx4zbp, cv46mxj5i98p4hgtbomxlxs7o, d196vatyvq6ycn1q7d477d2i1, 288nn7pbq5ewriiyb9o7da86h, bjob8tftnxojnytcj7juo0ga2, 3ua8gs8tzx1dkdi9z88kjk9nt, 7glxasv2ed6ey82dknto1y66t, 555z9bynvux7oruirg67r8i51, 6ofu6yc2qwp5ii9cerdq1tk9h, 3zqpvn7r1c779l9vwwh7yukfd, 3nnjep6bxxb6xwhanvqvjt39x, 8rlf5vjyddkcid5ysa3yo7hlh, bh3b7e2qzh41dltd6h2obpln9, erwh25hbq259kqdirfufnbcb8, 342zbrh4dy6y3ohsew14b2ulm, 9p621hq50jdkujzy4309sagkq, 418gw0hpjoy8dt0ywaxjgm5pm, 5f5e6wufz0x041bvqzor10k16",3790155913,59,"36, 2, 6, 32, 15, 3, 8, 20, 9, 22, 17, 1, 18, 19, 23, 24, 30, 42, 43, 44, 45",3790155917,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3790155911,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3790155921,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3790326439,197,16153,3790155915,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461908941,2,32,1,0,0,bqbbqm98ud8obe45ds9ohgyrd,1,0,0,2022-09-18T13:02:43.946Z,2022-09-18T13:02:44Z,3790342959,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461908969,2,32,1,0,0,67z1gqyiuzpmmb15q5fy7ntc4,1,0,0,2022-09-18T13:02:43.946Z,2022-09-18T18:17:24Z,3790343115,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461909017,3,1,1,0,0,bqbbqm98ud8obe45ds9ohgyrd,1,49.8,50,2022-09-18T13:02:43.993Z,2022-09-18T18:26:45Z,3790343369,141,45.8,3790343367,140,31.2,3790343373,213,3.3,3791936893,178,,3790343371,212,19.7,3790343375,279,S,3790343365,56,Back,,,,bjob8tftnxojnytcj7juo0ga2,F. Miretti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461909117,4,1,1,0,2,bqbbqm98ud8obe45ds9ohgyrd,0,31.2,45.5,2022-09-18T13:02:46.430Z,2022-09-18T18:26:51Z,3790343823,213,0.4,3790343819,141,71.1,3790343817,140,66.1,3790343813,155,,3791937209,178,,3790343825,1,,3790343815,56,Center,3790343821,212,40.6,cv46mxj5i98p4hgtbomxlxs7o,F. Gatti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461909105,3,44,1,0,5,67z1gqyiuzpmmb15q5fy7ntc4,1,32.7,29.4,2022-09-18T13:02:49.032Z,2022-09-18T20:52:13Z,3790343745,56,Back,3790343747,285,,3790343967,233,5,,,,,,,,,,,,,,,,ejgtltbsu0djglqw98gywgu6t,Marlon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461909135,5,44,1,0,5,bqbbqm98ud8obe45ds9ohgyrd,0,67.3,70.6,2022-09-18T13:02:49.033Z,2022-09-18T18:27:12Z,3790343919,286,,3790344015,233,3,3790343917,56,Center,,,,,,,,,,,,,,,,8yv9xuzriaecvvssfm8dlmz85,Danilo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461909127,4,12,1,0,5,67z1gqyiuzpmmb15q5fy7ntc4,1,31.5,30,2022-09-18T13:02:49.193Z,2022-09-18T20:52:13Z,3790343871,213,4.7,3790343947,167,,3790343865,140,30.7,3791938347,388,,3790343869,212,21.6,3790344019,15,,3790343867,141,0.0,3790343863,56,Back,ejgtltbsu0djglqw98gywgu6t,Marlon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461909131,5,5,1,0,8,67z1gqyiuzpmmb15q5fy7ntc4,0,34.6,-1.4,2022-09-18T13:02:52.449Z,2022-09-18T18:27:49Z,3790343897,347,,3790344793,233,6,3790343895,56,Back,,,,,,,,,,,,,,,,ejgtltbsu0djglqw98gywgu6t,Marlon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
