id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,assist,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,keyPass,qualifier/10/value,qualifier/14/value,qualifier/17/value,qualifier/11/value,qualifier/12/value,qualifier/15/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value
2500344655,5,49,1,0,6,9dntj5dioj5ex52yrgwzxrq9l,1,22.3,72.4,2023-01-24T19:47:06.812Z,2023-01-25T02:26:04Z,,,,,,,,,,,,,,,,,,,,,,,,,3sezchmdtivxl4kusvgc6j7x1,F. Tomori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500344687,6,1,1,0,7,9dntj5dioj5ex52yrgwzxrq9l,0,22.3,72.4,2023-01-24T19:47:07.770Z,2023-01-25T02:26:08Z,3993556497,213,0.1,3994047867,178,,3993556499,1,,3993556491,140,67.0,3993556493,141,78.2,3993556495,212,47.1,3993556489,56,Center,3993556487,157,,3sezchmdtivxl4kusvgc6j7x1,F. Tomori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500344727,7,1,1,0,11,btcy9nra9ak4m22ovr2ia6m5v,1,35,21.2,2023-01-24T19:47:11.380Z,2023-01-25T02:27:30Z,3993556675,56,Back,3993556679,141,8.8,3993556683,213,5.1,3994048435,388,,3993556673,3,,3993556677,140,38.7,3993556681,212,9.3,,,,7nwh5uoczypmuiigzi8ylsd1,A. Romagnoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500344731,8,49,1,0,12,btcy9nra9ak4m22ovr2ia6m5v,1,38.6,8.5,2023-01-24T19:47:12.714Z,2023-01-25T02:27:35Z,,,,,,,,,,,,,,,,,,,,,,,,,1x10v3yh4e3f1p2ndhtxcck4p,N. Casale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500344813,9,1,1,0,13,btcy9nra9ak4m22ovr2ia6m5v,1,31.1,9.8,2023-01-24T19:47:13.907Z,2023-01-25T02:27:41Z,3993557127,213,2.5,3993557117,140,6.7,3993557115,56,Back,3993557125,212,31.0,3993557121,141,35.4,3994048517,178,,,,,,,,1x10v3yh4e3f1p2ndhtxcck4p,N. Casale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500344837,10,1,1,0,17,btcy9nra9ak4m22ovr2ia6m5v,1,6.7,35.4,2023-01-24T19:47:17.345Z,2023-01-25T02:27:46Z,3993557259,1,,3993557249,56,Back,3994048557,178,,3993557251,140,14.3,3993557255,212,32.7,3993557257,213,1.3,3993557253,141,82.0,,,,8n4rruxbnzvjgdomxslnmcno5,I. Provedel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500344885,11,1,1,0,20,btcy9nra9ak4m22ovr2ia6m5v,1,14.3,82,2023-01-24T19:47:20.677Z,2023-01-25T02:27:51Z,3993557493,212,25.2,3993557487,56,Back,3994048573,178,,3993557489,140,37.7,3993557495,213,0.2,3993557491,141,90.2,,,,,,,62uaf4amxdyz6j2fuvadp0no5,E. Hysaj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500344913,12,1,1,0,23,btcy9nra9ak4m22ovr2ia6m5v,1,41,87.7,2023-01-24T19:47:23.872Z,2023-01-25T02:27:56Z,3993557591,212,19.8,3993557589,141,98.6,3993557585,56,Left,3994048603,178,,3993557587,140,58.5,3993557593,213,0.4,,,,,,,cfzvplhlvlfvau521u6b86xud,M. Zaccagni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500344949,13,1,1,0,27,btcy9nra9ak4m22ovr2ia6m5v,0,58.5,98.6,2023-01-24T19:47:27.392Z,2023-01-25T02:28:00Z,3993557727,213,5.2,3993557723,141,57.0,3994048629,178,,3993557729,1,,3993557721,140,73.1,3993557725,212,32.2,3993557719,56,Center,,,,3v6az10hxcowqkewd809cri6t,Luis Alberto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500344955,7,49,1,0,29,9dntj5dioj5ex52yrgwzxrq9l,1,26.2,49,2023-01-24T19:47:29.978Z,2023-01-25T02:28:03Z,,,,,,,,,,,,,,,,,,,,,,,,,b0me6l44boibnwpbtasxoy02x,S. Dest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
