id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/9/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/12/value,qualifier/15/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,assist,qualifier/14/value,qualifier/20/value,qualifier/19/value
2452558647,69,1,1,0,13,49rkyo4do8uwj06geomw0xr4i,1,15.3,33.1,2022-08-28T16:30:46.886Z,2022-08-29T01:08:37Z,3740610705,212,17.5,3740610703,141,58.8,3742285679,178,,3740610701,140,15.7,3740610707,213,1.5,3740610699,56,Back,,,,,,,2mloh2yrhs60s1uwrfycc2i8l,N. Gyömbér,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452558831,70,1,1,0,17,49rkyo4do8uwj06geomw0xr4i,1,19.3,52.7,2022-08-28T16:30:50.898Z,2022-08-29T01:08:42Z,3740611677,140,27.2,3740611679,141,93.3,3740611681,212,28.8,3740611675,56,Back,3740611683,213,1.3,3742285849,178,,,,,,,,3ftcqipzb86lzdztg4j1oz2s5,F. Fazio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452579445,245,1,1,0,21,49rkyo4do8uwj06geomw0xr4i,1,26.4,94.4,2022-08-28T16:30:54.867Z,2022-08-29T01:08:47Z,3740723869,213,4.4,3740723867,212,14.5,3742285981,178,,3740723863,140,21.6,3740723861,56,Back,3740723865,141,74.4,,,,,,,etryzuxz65dmn5ewmocse66l1,P. Mazzocchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452579717,246,1,1,0,24,49rkyo4do8uwj06geomw0xr4i,1,18.9,68.5,2022-08-28T16:30:57.930Z,2022-08-29T01:08:51Z,3740725421,212,31.7,3740725423,213,4.8,3740725419,141,22.1,3740725417,140,21.4,3740725415,56,Back,3742286117,178,,,,,,,,3ftcqipzb86lzdztg4j1oz2s5,F. Fazio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452587815,305,1,1,0,27,49rkyo4do8uwj06geomw0xr4i,1,24.5,17.9,2022-08-28T16:31:00.911Z,2022-08-29T01:08:58Z,3742286351,178,,3740770315,56,Back,3740770319,141,4.7,3740770317,140,28.0,3740770323,213,5.1,3740770321,212,9.7,,,,,,,blo3zmhar2mujyp9z7kjnsut,D. Bronn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452588053,306,1,1,0,30,49rkyo4do8uwj06geomw0xr4i,1,28.8,3.7,2022-08-28T16:31:03.594Z,2022-08-29T01:09:01Z,3742286471,178,,3740771667,213,2.8,3740771659,56,Back,3740771665,212,9.8,3740771661,140,20.0,3740771663,141,8.6,,,,,,,c9shobonlrg7guoyb3iwnwdsl,A. Candreva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452751337,765,1,1,0,32,49rkyo4do8uwj06geomw0xr4i,1,17.7,16.1,2022-08-28T16:31:06.146Z,2022-08-29T01:09:05Z,3741680781,212,25.2,3741680783,213,1.9,3741680775,56,Back,3741680779,141,50.7,3742286569,178,,3741680777,140,9.0,,,,,,,blo3zmhar2mujyp9z7kjnsut,D. Bronn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452590081,328,43,1,0,34,49rkyo4do8uwj06geomw0xr4i,1,0,0,2022-08-28T16:31:08.365Z,2022-08-28T17:13:16Z,3740782879,56,Back,3740783083,144,1,3740782887,213,2.1,3740782885,212,21.7,3740782883,141,44.9,3740782881,140,9.0,,,,,,,c9shobonlrg7guoyb3iwnwdsl,A. Candreva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452550337,4,1,1,0,43,49rkyo4do8uwj06geomw0xr4i,1,19,61.7,2022-08-28T16:31:17.093Z,2022-08-29T01:09:11Z,3740564827,1,,3742286733,178,,3740564823,212,45.0,3740564821,141,97.5,3740564817,56,Left,3740564819,140,55.1,3740564825,213,0.6,,,,d1e3dsz9lf7g69g2l6zfurpp1,L. Sepe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452550339,5,3,1,0,48,49rkyo4do8uwj06geomw0xr4i,0,63.3,89.2,2022-08-28T16:31:21.993Z,2022-08-29T01:09:18Z,3740564831,56,Left,3740564833,286,,3741683273,233,7,3742287015,178,,3741683227,465,,,,,,,,,,,etryzuxz65dmn5ewmocse66l1,P. Mazzocchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452550349,7,7,1,0,49,4plikfte18rv8v4l89z803d4y,1,36.7,10.8,2022-08-28T16:31:22.879Z,2022-08-29T01:09:23Z,3740564875,56,Back,3741682015,384,,3740564901,233,5,3740564877,285,,3742287179,178,,,,,,,,,,,2q0bx5wsc6b68vpps79hosnah,F. Depaoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452550353,8,49,1,0,50,4plikfte18rv8v4l89z803d4y,1,34.3,18.4,2022-08-28T16:31:23.989Z,2022-08-29T01:09:30Z,,,,,,,,,,,,,,,,,,,,,,,,,eqggzoepu1d4t13fw6ybebtn9,T. Rincón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452550385,9,1,1,0,50,4plikfte18rv8v4l89z803d4y,1,34.7,18.4,2022-08-28T16:31:24.051Z,2022-08-29T01:09:35Z,3740565067,213,5.3,3740565059,56,Back,3740565063,141,9.6,3740565061,140,38.8,3740565065,212,7.4,3742287545,178,,,,,,,,eqggzoepu1d4t13fw6ybebtn9,T. Rincón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452550449,10,1,1,0,52,4plikfte18rv8v4l89z803d4y,1,38.1,9.2,2022-08-28T16:31:26.022Z,2022-08-29T01:09:40Z,3740565435,140,71.5,3742287773,178,,3740565433,56,Right,3740565441,213,6.2,3740565443,1,,3740565437,141,7.4,3740565439,212,35.1,,,,2q0bx5wsc6b68vpps79hosnah,F. Depaoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452550455,11,4,1,0,57,4plikfte18rv8v4l89z803d4y,1,68.9,4.9,2022-08-28T16:31:31.221Z,2022-08-29T01:09:44Z,3740565479,265,,3740565477,152,,3740565475,56,Right,3740565481,286,,3740565641,233,6,3740565473,13,,,,,,,,mh8eevw5lj4i9c7ue5n9j845,F. Caputo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
