id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/14/value,qualifier/19/id,qualifier/19/qualifierId,assist
2521124053,5,1,1,0,11,8le3orkfz6iix3jns6g9ojqjg,0,25.3,4.6,2023-03-17T19:45:23.218Z,2023-03-18T04:00:38Z,4103123865,286,,4103123797,56,Back,4103123801,141,4.6,4103123859,236,,4103123805,213,0,4103123799,140,27.0,4103123861,233,6,4103123803,212,1.8,cxjuod6b1ro67656dxwhpqqc5,J. Akpa Akpro,4103821911,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521124061,6,74,1,0,11,e75syeuawg3ql8nwpi3vr2btz,1,66.8,95.8,2023-03-17T19:45:23.219Z,2023-03-18T04:00:35Z,4103123889,233,5,4103123837,56,Left,4103821949,389,,4103123839,285,,,,,,,,,,,,,,4aqkgskbra4wsoo7a8uw7xl9l,Éderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521124145,6,5,1,0,13,8le3orkfz6iix3jns6g9ojqjg,1,26.4,-1,2023-03-17T19:45:24.542Z,2023-03-18T04:00:41Z,4103124305,347,,4103124303,56,Back,4103124333,233,7,,,,,,,,,,,,,,,,cxjuod6b1ro67656dxwhpqqc5,J. Akpa Akpro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521124073,7,5,1,0,13,e75syeuawg3ql8nwpi3vr2btz,0,73.6,101,2023-03-17T19:45:24.542Z,2023-03-18T04:00:42Z,4103124363,233,6,4103123905,56,Left,4103123907,347,,,,,,,,,,,,,,,,,4aqkgskbra4wsoo7a8uw7xl9l,Éderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521124245,7,1,1,0,24,8le3orkfz6iix3jns6g9ojqjg,0,25.3,0,2023-03-17T19:45:36.395Z,2023-03-18T04:00:45Z,4103124811,141,3.9,4103124805,107,,4103124807,56,Back,4103124809,140,39.9,4103124813,212,15.6,4103124815,213,0.2,,,,,,,f0o0jfa9hp54otpnwe09d591,T. Ebuehi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521124249,8,44,1,0,26,e75syeuawg3ql8nwpi3vr2btz,1,59,96,2023-03-17T19:45:38.001Z,2023-03-18T05:07:37Z,4103124833,286,,4103124831,56,Left,4103124917,233,8,,,,,,,,,,,,,,,,4cejhrr3ji36591xf54jue3ca,G. Scalvini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521124255,8,44,1,0,26,8le3orkfz6iix3jns6g9ojqjg,0,41,4,2023-03-17T19:45:38.002Z,2023-03-18T04:00:49Z,4103125013,233,8,4103124853,285,,4103124851,56,Back,,,,,,,,,,,,,,,,c68syh6axbkqmcmvrpumqb8mi,M. Satriano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521124261,9,1,1,0,26,e75syeuawg3ql8nwpi3vr2btz,0,57.8,96,2023-03-17T19:45:38.055Z,2023-03-18T05:07:38Z,4103124911,213,1.0,4103124905,140,60.1,4103822147,388,,4103124903,56,Left,4103124907,141,100.0,4103124909,212,4.5,4103124899,3,,,,,4cejhrr3ji36591xf54jue3ca,G. Scalvini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521124423,9,5,1,0,28,8le3orkfz6iix3jns6g9ojqjg,1,40.8,-1.6,2023-03-17T19:45:40.425Z,2023-03-18T04:01:33Z,4103125759,233,10,4103125725,347,,4103125723,56,Back,,,,,,,,,,,,,,,,c68syh6axbkqmcmvrpumqb8mi,M. Satriano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521124269,10,5,1,0,28,e75syeuawg3ql8nwpi3vr2btz,0,59.2,101.6,2023-03-17T19:45:40.425Z,2023-03-18T04:01:33Z,4103125789,233,9,4103124963,347,,4103124961,56,Left,,,,,,,,,,,,,,,,4cejhrr3ji36591xf54jue3ca,G. Scalvini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
