id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2537019683,1,34,16,0,0,ahm0t06rup1bkd9z0mxl2lmph,1,0,0,2023-04-22T13:15:04.796Z,2023-04-22T14:06:38Z,4208265663,130,8,4208265667,194,bsrhtxhpnlxho2o4zvli5qmeh,4208265669,197,18076,4208265665,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4208265659,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4208265657,30,"3oyhjrd1ohnwf1x3d65997xzp, 50c2v0l2cmkh82vso5tnjv3yt, 987r1vdgx95x30elzrisjrzs9, 3jzhwh7lq7xzcz7clm28h0mvp, bsrhtxhpnlxho2o4zvli5qmeh, cqfbp8me2n00cve66v797omvp, uluqgj69z6yunsl8m505lyi, 50flg4aoq4l0glnh61yzngc7p, 3cy13tw0tdconbwzlwteg6xas, 5rmk7be4cd9cg1c9re06r1r3e, 33ci88veciqvd4w5y145dyooa, 7cznyew8xg3fxfqeexid7pxt6, dq21r0ge09ug4d2crb9j6q6dx, 8g19rw3eni5p8jt5v1j9skwdl, exrh01dw52b651aet2am7v015, 4z5onwcaou5pjcz3kxncn8wl, 1lu7wsceoivdbsvqanykrr07p, cz30ywnq6p6dig7x3hu6h7cnp",4208265671,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4208265661,59,"13, 2, 16, 8, 5, 4, 27, 18, 39, 25, 22, 3, 7, 11, 21, 23, 30, 33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537019783,1,34,16,0,0,9db4t34qy4owglhvvgwf5l22i,1,0,0,2023-04-22T13:15:09.822Z,2023-04-22T13:15:09Z,4208266221,59,"1, 2, 26, 5, 6, 12, 30, 8, 31, 44, 48, 3, 9, 10, 16, 24, 40, 47",4208266223,130,12,4208266231,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4208266217,30,"eirc5i9gcpe0ap6gntxoomcix, 4nm1tx8buxym4bf9f2pti2fhl, i1bzoqwi1u382l4yx3n864x6, dwrnys3htjlb3asfou6425g16, 49ca952ot1c3ytut2s281ds6h, 5raent8a0bdt01n7769n3dw16, cruhiz25b3bbd4unocpu9bvf9, 1iy0goeaf5btyw09tr2ywbe8l, ddjh4t18kk75bz9sgga2g2f3d, 32crcj18u4qnf8f07fbsopvpx, canpue729cozt0cw6a1dpi7ai, 9gfxdw176mc8yn7dowedmvtgp, 1r9aj50371x6f0xf7mmvldz9x, 4nph9aqyr2kz1gmdh7v9n3w89, 7fwprbpdcdb7qcgaoe2humwo9, d25ilw75uqbnk15v383e1kxrd, c3nbdw1440h1uwwmixrjxwclx, acvgu9prqaeucmvi9fx070i22",4208266219,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4208266227,194,49ca952ot1c3ytut2s281ds6h,4208266229,197,16169,4208266225,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537057939,2,32,1,0,0,9db4t34qy4owglhvvgwf5l22i,1,0,0,2023-04-22T14:02:08.511Z,2023-04-24T19:55:16Z,4208458911,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537057903,2,32,1,0,0,ahm0t06rup1bkd9z0mxl2lmph,1,0,0,2023-04-22T14:02:08.511Z,2023-04-22T14:02:08Z,4208458747,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537057973,3,1,1,0,0,9db4t34qy4owglhvvgwf5l22i,1,50,49.5,2023-04-22T14:02:08.608Z,2023-04-25T03:28:23Z,4208459027,141,49.9,4208459029,212,12.0,4208459025,140,38.6,4208459023,56,Back,4208459031,213,3.1,4208459033,279,S,4218724275,178,,,,,1iy0goeaf5btyw09tr2ywbe8l,H. Kane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537058135,4,1,1,0,2,9db4t34qy4owglhvvgwf5l22i,0,32.1,51.5,2023-04-22T14:02:11.284Z,2023-04-25T03:28:26Z,4208459689,56,Right,4208459687,155,,4208459691,140,76.1,4218724335,178,,4208459693,141,15.3,4208459699,1,,4208459697,213,5.8,4208459695,212,52.3,canpue729cozt0cw6a1dpi7ai,L. Connell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537058179,3,1,1,0,5,ahm0t06rup1bkd9z0mxl2lmph,0,28.5,85.3,2023-04-22T14:02:13.947Z,2023-04-25T03:28:29Z,4208459889,212,27.1,4208459885,141,82.4,4208459883,140,54.2,4208459877,157,,4208459891,213,6.2,4208459881,56,Left,4208459893,1,,4218724375,178,,cqfbp8me2n00cve66v797omvp,S. Findlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537058327,5,1,1,0,7,9db4t34qy4owglhvvgwf5l22i,0,43.8,22.5,2023-04-22T14:02:16.104Z,2023-04-25T03:28:33Z,4218724441,178,,4208460593,140,87.1,4208460595,141,50.9,4208460597,212,49.4,4208460599,213,0.4,4208460589,155,,4208460601,1,,4208460591,56,Center,5raent8a0bdt01n7769n3dw16,B. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537058333,4,52,1,0,11,ahm0t06rup1bkd9z0mxl2lmph,1,12.6,48.2,2023-04-22T14:02:19.631Z,2023-04-25T03:28:36Z,4218724463,178,,4216877711,377,,,,,,,,,,,,,,,,,,,,3oyhjrd1ohnwf1x3d65997xzp,S. Eastwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537058557,5,1,1,0,11,ahm0t06rup1bkd9z0mxl2lmph,1,12.9,44,2023-04-22T14:02:20.495Z,2023-04-25T03:28:38Z,4208461711,141,14.1,4208461707,56,Back,4208461709,140,26.0,4208461705,123,,4218724505,178,,4208461713,212,24.5,4208461715,213,5.3,,,,3oyhjrd1ohnwf1x3d65997xzp,S. Eastwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
