id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/8/value,qualifier/11/value,qualifier/15/value,qualifier/14/value,qualifier/16/value,assist,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2493222415,1,34,16,0,0,5jjqm8h6qm1w4s5f93uubhdrj,1,0,0,2022-12-26T14:15:07.878Z,2022-12-26T15:05:30Z,3956022399,130,17,3956022403,194,dxndu5lwom3srja7xhiadmdw5,3956022393,30,"45i2fz3wya2x8gsa1hn8yd65m, kxfjnow9ky2mxefjujv392ol, czsjz7u9u01z5a4pyue7tu5wq, cee3wxxx7lrluzh7kog7g07ah, em0i6q0h6q80melaxwx2nvz3e, 6cfr9qa1khqzv5oxsi8d3ug9h, 9iwkidg6lykej8vrhfz6z4ct1, 4y9ghbncgfgpv4qd604g8jw15, dxndu5lwom3srja7xhiadmdw5, 37ea7qzvbzt3zr4y2q4o5boq, 6ictgtdi9ogl7n8dqh4dm1fxl, 2f49etxdi4l2tsobpmsg5i5pm, 2k02tiy3x2a7o11h0kxw33fmd, azp9bk80ozwjy2xx7tvqot5gp, 3e79d5436l57bfj3ywbjvfr6y, ewtroels9b5fc9hv9c2laj90q, 1zpxu396rz1b3gymuheg69h3p, ap6krbqlids3m29zd4j8ick16",3956022401,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3956022395,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3956022407,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3956022397,59,"28, 23, 16, 2, 4, 6, 7, 8, 9, 11, 10, 1, 3, 5, 17, 22, 24, 27",3956022405,197,16178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493222443,1,34,16,0,0,2ezfenuwk3y65p8jdbj55xqt0,1,0,0,2022-12-26T14:15:09.987Z,2022-12-26T15:05:56Z,3956022553,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3956022549,59,"31, 28, 2, 34, 5, 24, 4, 21, 19, 35, 33, 9, 13, 14, 17, 23, 32, 48",3956022559,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3956022557,197,4825,3956022545,30,"4s0yf91l8xqodeuv473hmp5ka, 9z75i0zrgtuumyixz8dl9ysbt, 56g3fffeygobuei72gnkm9a09, am14op2bc5krnoxpj6w9n5sk, 2kecmwyt730pi8z3pnsqs1l1x, 2r6gxw9yjxvaplv70ftq7wout, egr5n9jynbg3llc2tn2g5ncnp, 6a08s0d0sgt7iw37spmo4bro5, evb6gpvuutmnisv9d12gs0xcl, 2vw0m5bib6bnr5n1hsxkxe904, ebsl5dh99nsoun0lksywr31n8, 74p53a79q1tlis3a3gladqor9, biwjsmk8ytz2k4d9f141jw15h, 1uqgky0sxqjs8bqd2h75rnmjt, ald5oocxwh4pip8fw6v3ym8h6, 4qrvri86m93wpyugq0zq4aaqx, 91alifyhplzo2de1tooerpgfe, 68jyn13uu405w4npr317v5las",3956022551,130,18,3956022555,194,egr5n9jynbg3llc2tn2g5ncnp,3956022547,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493237577,2,32,1,0,0,5jjqm8h6qm1w4s5f93uubhdrj,1,0,0,2022-12-26T15:02:24.253Z,2022-12-26T15:02:27Z,3956104513,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493237567,2,32,1,0,0,2ezfenuwk3y65p8jdbj55xqt0,1,0,0,2022-12-26T15:02:24.253Z,2022-12-27T19:34:15Z,3956104465,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493237629,3,1,1,0,0,5jjqm8h6qm1w4s5f93uubhdrj,1,49.1,49.9,2022-12-26T15:02:24.275Z,2022-12-27T22:53:21Z,3956104719,56,Back,3958067337,178,,3956104721,140,31.2,3956104727,213,2.9,3956104725,212,19.5,3956104723,141,57.3,3956104729,279,S,,,,4y9ghbncgfgpv4qd604g8jw15,J. Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493237787,4,1,1,0,3,5jjqm8h6qm1w4s5f93uubhdrj,1,28.5,68.2,2022-12-26T15:02:27.726Z,2022-12-27T21:32:12Z,3956105551,1,,3956105545,141,23.0,3956105539,157,,3956105541,56,Center,3956105547,212,50.4,3958067377,178,,3956105549,213,5.6,3956105543,140,66.6,cee3wxxx7lrluzh7kog7g07ah,K. Watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493237793,5,1,1,0,6,5jjqm8h6qm1w4s5f93uubhdrj,0,69.1,23.1,2022-12-26T15:02:30.892Z,2022-12-27T21:32:23Z,3956105593,56,Center,3958067459,178,,3956105599,212,10.3,3956105597,141,34.8,3956105591,3,,3956105595,140,75.4,3956105601,213,0.9,,,,dxndu5lwom3srja7xhiadmdw5,J. Clarke-Harris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493237837,3,1,1,0,8,2ezfenuwk3y65p8jdbj55xqt0,0,23.6,52.2,2022-12-26T15:02:32.738Z,2022-12-27T22:53:33Z,3958067489,178,,3956105787,3,,3956105799,212,20.2,3956105801,213,0.8,3956105795,140,36.8,3956105797,141,73.9,3956105791,56,Back,,,,2kecmwyt730pi8z3pnsqs1l1x,S. Lavelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493237857,6,1,1,0,10,5jjqm8h6qm1w4s5f93uubhdrj,0,64.6,25,2022-12-26T15:02:34.803Z,2022-12-27T21:32:28Z,3956105885,56,Center,3956105893,213,0.4,3956105887,140,78.9,3956105891,212,16.6,3958067511,388,,3956105889,141,35.5,3956105883,3,,,,,kxfjnow9ky2mxefjujv392ol,J. Ward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493237885,4,1,1,0,12,2ezfenuwk3y65p8jdbj55xqt0,0,24.2,64.9,2022-12-26T15:02:36.464Z,2022-12-27T21:32:32Z,3956106023,213,0.5,3956106015,56,Back,3958067549,178,,3956106017,140,37.3,3956106019,141,76.1,3956106021,212,15.7,3956106013,3,,,,,2kecmwyt730pi8z3pnsqs1l1x,S. Lavelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
