id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/11/value,keyPass,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2504850811,1,34,16,0,0,ahm0t06rup1bkd9z0mxl2lmph,1,0,0,2023-02-06T11:14:32.151Z,2023-02-06T11:20:12Z,4017121499,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4017121507,194,bsrhtxhpnlxho2o4zvli5qmeh,4017121511,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4017121497,30,"3oyhjrd1ohnwf1x3d65997xzp, 50c2v0l2cmkh82vso5tnjv3yt, 7cznyew8xg3fxfqeexid7pxt6, 8olbkp9lqy3em5s9h7a4aod4a, bsrhtxhpnlxho2o4zvli5qmeh, 987r1vdgx95x30elzrisjrzs9, uluqgj69z6yunsl8m505lyi, 50flg4aoq4l0glnh61yzngc7p, 33ci88veciqvd4w5y145dyooa, dq21r0ge09ug4d2crb9j6q6dx, 1lu7wsceoivdbsvqanykrr07p, cqfbp8me2n00cve66v797omvp, d5yupvahq6bf4nde1nmgro6lm, 2nqvzywi67fy7tx5p7d4kgo6i, exrh01dw52b651aet2am7v015, 4z5onwcaou5pjcz3kxncn8wl, cz30ywnq6p6dig7x3hu6h7cnp, 3cy13tw0tdconbwzlwteg6xas",4017121509,197,18076,4017121505,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4017121501,59,"13, 2, 3, 14, 5, 16, 27, 18, 22, 7, 30, 4, 19, 20, 21, 23, 33, 39",4017121503,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504850813,1,34,16,0,0,82kapkjwonlv9j1ui0ytv5sii,1,0,0,2023-02-06T11:14:36.673Z,2023-02-06T11:14:36Z,4017121527,194,62azuux8vuk6956cuyjjtped,4017121531,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4017121519,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5",4017121525,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",4017121529,197,17783,4017121521,59,"1, 15, 26, 33, 22, 6, 7, 3, 8, 20, 24, 9, 13, 14, 17, 18, 30",4017121523,130,18,4017121517,30,"ezg39hlg3h14utboy2h3lijmd, dovxfzsqb5e7by2q6kq0j2z1l, bydla0otire1a58193o1buqjt, dbe9gwg6ggyqh9fvdruelz8wl, 1tkhk7k78uqvkegtn5i9r132t, diw7je3i5mkvwf0kj898yi0gl, ap3mja91coq7mbr6xkqvbss7p, 62azuux8vuk6956cuyjjtped, 6t0n68hbpi4fa6lzt815gyc5w, 7joniozhpy10veujjibxmbu2, cmq9t6wadet4rrj3cvkjst7ca, 79a7csp3rppvt5e5q02zmolhx, 4qris4sdzvtlkw5i3cmhhowrt, 6hkzb4vehsx4wwm9y98euwacq, 31xl77lt8tax7bta6s45p9fpx, 1g9uh6aokaevbg7s6v2jh8h78, 3mudv2ein3iuv9smhmkk9vod0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504851465,2,32,1,0,0,82kapkjwonlv9j1ui0ytv5sii,1,0,0,2023-02-06T11:21:18.983Z,2023-02-06T11:21:20Z,4017123997,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504851459,2,32,1,0,0,ahm0t06rup1bkd9z0mxl2lmph,1,0,0,2023-02-06T11:21:18.983Z,2023-02-07T03:56:22Z,4017123991,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504851487,3,1,1,0,0,82kapkjwonlv9j1ui0ytv5sii,0,50,50,2023-02-06T11:21:18.990Z,2023-02-07T08:29:24Z,4018432767,178,,4017124087,213,3.2,4017124079,56,Back,4017124083,141,49.0,4017124081,140,31.5,4017124085,212,19.4,4017124089,279,S,,,,ap3mja91coq7mbr6xkqvbss7p,C. Winchester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504851501,4,1,1,0,3,82kapkjwonlv9j1ui0ytv5sii,0,31.5,49,2023-02-06T11:21:22.077Z,2023-02-07T08:29:28Z,4017124149,56,Right,4017124157,213,5.7,4018432809,178,,4017124153,141,5.6,4017124147,157,,4017124155,212,57.5,4017124159,1,,4017124151,140,78.5,62azuux8vuk6956cuyjjtped,L. Leahy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504851489,3,44,1,0,5,ahm0t06rup1bkd9z0mxl2lmph,1,25,94.8,2023-02-06T11:21:24.831Z,2023-02-07T10:44:20Z,4017124095,285,,4017124171,233,5,4017124093,56,Back,,,,,,,,,,,,,,,,7cznyew8xg3fxfqeexid7pxt6,B. Fleming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504851503,5,44,1,0,5,82kapkjwonlv9j1ui0ytv5sii,0,75,5.2,2023-02-06T11:21:24.832Z,2023-02-07T08:29:32Z,4017124175,233,3,4017124163,56,Right,4017124165,286,,,,,,,,,,,,,,,,,6t0n68hbpi4fa6lzt815gyc5w,K. Phillips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504851497,4,1,1,0,5,ahm0t06rup1bkd9z0mxl2lmph,0,28.4,95.3,2023-02-06T11:21:24.863Z,2023-02-07T10:44:21Z,4017124125,213,2.7,4017124121,141,100.0,4017124123,212,9.6,4017124117,56,Back,4017124115,3,,4017124119,140,20.2,4018432847,388,,,,,7cznyew8xg3fxfqeexid7pxt6,B. Fleming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504851499,5,5,1,0,7,ahm0t06rup1bkd9z0mxl2lmph,0,20,101.8,2023-02-06T11:21:26.106Z,2023-02-07T08:29:41Z,4017124265,233,6,4017124135,56,Back,4017124137,347,,,,,,,,,,,,,,,,,7cznyew8xg3fxfqeexid7pxt6,B. Fleming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504851527,6,5,1,0,7,82kapkjwonlv9j1ui0ytv5sii,1,80,-1.8,2023-02-06T11:21:26.106Z,2023-02-07T08:29:40Z,4017124253,347,,4017124261,233,5,4017124251,56,Right,,,,,,,,,,,,,,,,6t0n68hbpi4fa6lzt815gyc5w,K. Phillips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504851537,7,1,1,0,17,82kapkjwonlv9j1ui0ytv5sii,1,80.2,0,2023-02-06T11:21:36.286Z,2023-02-07T08:29:42Z,4017124301,212,11.9,4017124293,107,,4017124303,213,0.8,4017124299,141,10.7,4017124295,56,Right,4017124297,140,88.0,,,,,,,dovxfzsqb5e7by2q6kq0j2z1l,R. Pyke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504888659,787,3,1,0,19,82kapkjwonlv9j1ui0ytv5sii,1,91,12.4,2023-02-06T11:21:38.054Z,2023-02-07T08:29:47Z,4017318741,464,,4018432989,178,,4017318643,286,,4017319569,233,869,4017318641,56,Right,,,,,,,,,,cmq9t6wadet4rrj3cvkjst7ca,C. Saydee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504888661,869,45,1,0,19,ahm0t06rup1bkd9z0mxl2lmph,0,9,87.6,2023-02-06T11:21:38.054Z,2023-02-07T08:29:47Z,4017318647,285,,4017319577,233,787,4017318645,56,Back,,,,,,,,,,,,,,,,1lu7wsceoivdbsvqanykrr07p,Y. Wildschut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504851547,8,1,1,0,21,82kapkjwonlv9j1ui0ytv5sii,1,88.5,8.6,2023-02-06T11:21:40.523Z,2023-02-07T08:29:53Z,4017124343,212,4.7,4018433035,178,,4017124337,56,Right,4017124345,213,5.3,4017124341,141,2.8,4017124339,140,91.0,,,,,,,cmq9t6wadet4rrj3cvkjst7ca,C. Saydee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505106827,893,83,1,0,22,ahm0t06rup1bkd9z0mxl2lmph,1,9.6,93.9,2023-02-06T11:21:41.685Z,2023-02-07T08:54:26Z,4018449193,399,181297,,,,,,,,,,,,,,,,,,,,,,1lu7wsceoivdbsvqanykrr07p,Y. Wildschut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
