id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/9/value,qualifier/11/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/17/value,assist,qualifier/18/value
2499132533,1,34,16,0,0,dv9l02o316cd9hbkxaho2u12f,1,0,0,2023-01-21T14:15:52.816Z,2023-01-21T15:02:39Z,3987198205,194,4qg1mpymeaajx8gu7jycw5wph,3987198201,130,18,3987198199,59,"18, 2, 12, 5, 39, 26, 15, 16, 11, 20, 10, 3, 4, 6, 8, 9, 22, 27",3987198207,197,16181,3987198203,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3987198195,30,"3swij7ntrn9x9voc9clilgmvp, 7qnu4sb2a2vj7nw8gkvv1pxw5, 56zd7s72x7izgeiybmmgc8acq, eg2xijdgtcaa44x57pjezy3ft, 1dzmlop3jwm8aeqxkmihjl7xm, 4qg1mpymeaajx8gu7jycw5wph, 2nvu4o5lbowvig5ddb4563n8q, enfxh6b65c9hx1rs0scszi2y2, awx668jrec0gnqk5gyg7o0oyy, a65axspsu3w38f0dob3aibk5x, 81d38h08s97e8kl7kxew6si5l, c1hj1hth3xj2f0ax3x6fdwj8q, ei7qu2h9y32f07m3zjk87xxwp, ev42016zwnwiow3lbefukrbvt, 3j78tgfptah530cydckvfsauh, adfgsbp3tv9wgatujcr9mfuju, rqdgj7y5b0qjaxpz1i7k3a50, f4p7kokn0a6epac4icy01l9lh",3987198209,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3987198197,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499132541,1,34,16,0,0,80jtkz2echk6yyyb9e2595cxr,1,0,0,2023-01-21T14:15:53.986Z,2023-01-21T14:15:54Z,3987198241,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3987198245,194,dypefa5ubw9m9xefxdd4365lh,3987198247,197,16220,3987198233,59,"1, 2, 6, 7, 20, 34, 8, 16, 9, 15, 24, 3, 10, 11, 18, 19, 21, 23",3987198237,130,4,3987198231,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3987198249,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3987198227,30,"21hyrpedxxu2ilkspxq4uril1, dfpogkmamlohb4ta3q5ehecq1, 541yhibvfn0fv2izdfudm7651, dypefa5ubw9m9xefxdd4365lh, cn988bjn09tb806b05wgp7ys5, 9kacd96xriqrc23e0a8vzov3e, f4l762ob8j0izfocnmofytcyd, dlfoufhh8dc14s10vnbjrfvmd, 6d9maq3oecwobp2t2220vf4r9, eswokn90i34kdbfvax0y7365l, dgl4fbdrmolqgg0xzejl7ve8l, 89wk8a6aqw64nub8dgdj7zjl5, 41cihaqh4lxje5nx17g0rbgt1, 6m5uypsr6dj6l74khrez38355, 2iy84h1v8wt8l6prv701uohk9, 33h8s55zcj0j535g2dyz9tnqi, c23tcl4dl40wu4i8vntbv0tm1, 3zmb22ct3lkf04kbpuxr22hud",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499167855,2,32,1,0,0,dv9l02o316cd9hbkxaho2u12f,1,0,0,2023-01-21T15:01:23.347Z,2023-01-21T15:01:23Z,3987374325,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499167873,2,32,1,0,0,80jtkz2echk6yyyb9e2595cxr,1,0,0,2023-01-21T15:01:23.347Z,2023-01-23T21:04:53Z,3987374415,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499167937,3,1,1,0,0,dv9l02o316cd9hbkxaho2u12f,1,49.9,49.9,2023-01-21T15:01:23.427Z,2023-01-23T21:12:16Z,3987374763,140,30.3,3992440257,178,,3987374767,212,20.7,3987374761,56,Back,3987374771,279,S,3987374765,141,53.7,3987374769,213,3.0,,,,a65axspsu3w38f0dob3aibk5x,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499168033,4,1,1,0,3,dv9l02o316cd9hbkxaho2u12f,1,29.7,56,2023-01-21T15:01:26.575Z,2023-01-23T21:12:20Z,3987375233,157,,3987375237,140,65.6,3987375235,56,Right,3987375241,212,46.9,3987375245,1,,3987375239,141,14.9,3987375243,213,5.6,3992440289,178,,eg2xijdgtcaa44x57pjezy3ft,A. Hartridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499168041,5,44,1,0,5,dv9l02o316cd9hbkxaho2u12f,1,66,17.2,2023-01-21T15:01:29.256Z,2023-01-24T10:28:32Z,3987375291,56,Right,3987375293,286,,3987375315,233,3,,,,,,,,,,,,,,,,81d38h08s97e8kl7kxew6si5l,S. Nombe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499168023,3,44,1,0,5,80jtkz2echk6yyyb9e2595cxr,0,34,82.8,2023-01-21T15:01:29.257Z,2023-01-23T21:12:28Z,3987375345,233,5,3987375177,56,Back,3987375179,285,,,,,,,,,,,,,,,,,541yhibvfn0fv2izdfudm7651,C. Ogilvie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499168059,6,1,1,0,5,dv9l02o316cd9hbkxaho2u12f,0,65.6,14.9,2023-01-21T15:01:29.309Z,2023-01-24T10:28:32Z,3987375383,3,,3987375387,56,Right,3987375385,168,,3987375397,213,5.9,3987375389,140,71.4,3992440397,388,,3987375393,212,6.6,3987375391,141,11.0,81d38h08s97e8kl7kxew6si5l,S. Nombe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499168141,6,49,1,0,7,80jtkz2echk6yyyb9e2595cxr,1,25.2,82.3,2023-01-21T15:01:30.589Z,2023-01-23T21:12:46Z,,,,,,,,,,,,,,,,,,,,,,,,,9kacd96xriqrc23e0a8vzov3e,R. Towler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
