id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/9/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/12/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/16/value,assist,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId
2484557861,1,34,16,0,0,5pfqedkme2kabtqhkln35pf3l,1,0,0,2022-11-12T14:15:06.873Z,2022-11-14T09:12:29Z,3910239205,197,4819,3910239187,130,4,3910239211,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3910239193,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3910239173,30,"byo7r7emgxz5oiauh2z75vpp1, c651trgr0pihuppxxd31z6go9, f0sa0skucdf742t06hsmi8ne2, 6q5iqhaxdzqhj3jt0eptjvbv9, 5raent8a0bdt01n7769n3dw16, 6hq92cx2829wfuzxmfhg1xpm1, aa68kvv9c3of0a8cgbx8ppm1h, 4n37rih2qtphgtjxzo2id5f55, 5pafzbbuucga9ut20l6ckj7u2, 9s6ec1a12gozqwjlsyo7y8gr9, bdquc37ytagmw19zgrehnryz9, 6wax1hh875vpvfi1fbetwmtey, dz04k2zt87y78ku9g14sxm21h, 4u9s6b4ngktakouqhze3sdoet, ax2mraa85fs9ihyhk7qnmm489, ct9ifm9mk702lkhhmlf12nlxx, ejmi6qqszz1509excckyj3n1m, ah31ge07jvte4y161aut0uthx",3910239181,59,"1, 28, 3, 6, 37, 17, 14, 21, 40, 7, 10, 2, 9, 20, 22, 23, 30, 32",3910239179,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3910239199,194,6q5iqhaxdzqhj3jt0eptjvbv9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484557977,1,34,16,0,0,8rfydplrc9ki0sirqi0drcybk,1,0,0,2022-11-12T14:15:13.225Z,2022-11-12T14:31:20Z,3910239879,30,"4e1c6yk50fl8hnwv6u1132j85, 5q6s3r5ychv1d3r1tch4sot05, czwcateaukr5r9yibdem642qd, 2eu3cz65piv0j91gi396p9ega, b5j2ib54sum2pmzthjmfmr55h, 430ffnfs8g98t6tkctdqhhd78, 6tqiy5a5cfpfm90j8r5udl8bu, 71or1ne6d9zuo038qdt6vcvoq, 3je74tc5emuou6ckwdbscsbu, 7ht3grz484ru1bcgp9gn7d2i1, f1rmwe24zg4697bqpc3z0y40l, bg9aayv3d1y0qxgqrdohnrcdm, a70y8ayeh05hzo5yc8gotsbh0, 555ikrgh0veemzf7reasmqok5, emuuuhvah1jtq2fqs9ybfovvu, 8d6o15wvepi7do7e0ubjeoga2, 8bhf6lrrabp5tw5m8krirsm7e, 74fouzsgp25muot2pp6as5otl",3910239887,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3910239893,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3910239881,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3910239891,197,4826,3910239883,59,"13, 26, 3, 32, 22, 37, 4, 16, 7, 10, 8, 1, 11, 14, 18, 19, 20, 24",3910239885,130,12,3910239889,194,f1rmwe24zg4697bqpc3z0y40l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484597875,2,32,1,0,0,5pfqedkme2kabtqhkln35pf3l,1,0,0,2022-11-12T15:01:48.211Z,2022-11-14T22:12:19Z,3910444629,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484597889,2,32,1,0,0,8rfydplrc9ki0sirqi0drcybk,1,0,0,2022-11-12T15:01:48.211Z,2022-11-12T15:01:52Z,3910444683,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484597923,3,1,1,0,0,8rfydplrc9ki0sirqi0drcybk,1,49.9,49.5,2022-11-12T15:01:48.239Z,2022-11-15T04:05:46Z,3910444825,56,Back,3910444829,140,33.0,3910444835,141,52.6,3910444849,279,S,3910444845,212,17.9,3917272461,178,,3910444847,213,3.0,,,,3je74tc5emuou6ckwdbscsbu,Carlos Gomes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484598095,4,1,1,0,3,8rfydplrc9ki0sirqi0drcybk,1,29.1,47.6,2022-11-12T15:01:51.457Z,2022-11-15T04:05:50Z,3910445677,1,,3910445669,140,71.7,3917272479,178,,3910445665,155,,3910445671,141,11.1,3910445667,56,Right,3910445673,212,51.2,3910445675,213,5.8,2eu3cz65piv0j91gi396p9ega,J. Earl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484598905,8,44,1,0,5,8rfydplrc9ki0sirqi0drcybk,1,72.1,12.4,2022-11-12T15:01:54.159Z,2022-11-15T05:00:07Z,3910449849,233,12,3910449329,56,Right,3910449331,286,,,,,,,,,,,,,,,,,6tqiy5a5cfpfm90j8r5udl8bu,B. Sarpong-Wiredu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484598853,12,44,1,0,5,5pfqedkme2kabtqhkln35pf3l,0,27.9,87.6,2022-11-12T15:01:54.160Z,2022-11-15T04:05:56Z,3910449125,285,,3910449123,56,Back,3910449915,233,8,,,,,,,,,,,,,,,,6hq92cx2829wfuzxmfhg1xpm1,L. Gibson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484598105,5,1,1,0,5,8rfydplrc9ki0sirqi0drcybk,0,71.5,10.3,2022-11-12T15:01:54.200Z,2022-11-15T05:00:08Z,3910445721,168,,3910445731,213,5.7,3910445719,3,,3910445729,212,15.2,3910445723,56,Right,3910445725,140,84.0,3910445727,141,0.0,3917272537,388,,6tqiy5a5cfpfm90j8r5udl8bu,B. Sarpong-Wiredu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484598473,4,5,1,0,7,5pfqedkme2kabtqhkln35pf3l,1,16.4,101.6,2022-11-12T15:01:56.208Z,2022-11-15T04:06:24Z,3910447329,347,,3910447377,233,6,3910447327,56,Back,,,,,,,,,,,,,,,,6hq92cx2829wfuzxmfhg1xpm1,L. Gibson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
