id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,keyPass,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/9/value,qualifier/11/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value,assist
2488724225,1,34,16,0,0,b3vbyitzi3nrw9ehj1eoko219,1,0,0,2022-12-03T11:45:00.942Z,2022-12-03T12:30:19Z,3932136467,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3932136473,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3932136463,59,"1, 2, 17, 16, 15, 22, 26, 6, 18, 7, 27, 9, 21, 24, 25, 29, 34, 38",3932136469,194,5mx96hmn7ophhuvmybmf1esid,3932136465,130,13,3932136459,30,"9tlowuu89l3fnv5iowela1ca2, 5mx96hmn7ophhuvmybmf1esid, 5j1eftktnca9eso1vvhu2hf55, 292fas4iqplshrbyvtj5ins9h, dwp8bqc4rdleti92n0s6q9rdh, 94pt7ikxi5cdjhbqf7vi9xg4p, 5dsht0mnmpm2asallpju46ms5, 76j19abwcie5w5hptkewlh0bt, 43dtg3eg858i3agncnpq3p1wp, dz4jeb7rhr5jt3grs4evbs5bd, 6dhwu4p5uu6oiada4q13g5tk9, 15ri1d5n53wa7195gjbhhtbkl, 6g8w8yuvkuayxcegsvzcjmmzt, 1y7e8a23pc4xlc6ori1o1b8tm, 5pshrpttu61ita4x91q6t2fop, 8mxu20zdh9wrguq79ib8y5m21, eydnlstoc5zlgqj650v05oums, 4orq7s3rm9gy45jjbfwcehlp0",3932136471,197,12149,3932136461,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488724235,1,34,16,0,0,82kapkjwonlv9j1ui0ytv5sii,1,0,0,2022-12-03T11:45:02.620Z,2022-12-03T11:45:02Z,3932136533,194,62azuux8vuk6956cuyjjtped,3932136537,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3932136529,130,18,3932136525,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5",3932136523,30,"ezg39hlg3h14utboy2h3lijmd, diw7je3i5mkvwf0kj898yi0gl, bydla0otire1a58193o1buqjt, dbe9gwg6ggyqh9fvdruelz8wl, 1tkhk7k78uqvkegtn5i9r132t, cjroc2z4lnw58m804ihu8tm1h, ap3mja91coq7mbr6xkqvbss7p, 62azuux8vuk6956cuyjjtped, 7joniozhpy10veujjibxmbu2, 6hkzb4vehsx4wwm9y98euwacq, cmq9t6wadet4rrj3cvkjst7ca, 79a7csp3rppvt5e5q02zmolhx, 4qris4sdzvtlkw5i3cmhhowrt, dovxfzsqb5e7by2q6kq0j2z1l, 1g9uh6aokaevbg7s6v2jh8h78, 3mudv2ein3iuv9smhmkk9vod0, ev5cd97tl1gpgy4e7lrljenmc",3932136531,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",3932136527,59,"1, 6, 26, 33, 22, 5, 7, 3, 20, 14, 24, 9, 13, 15, 18, 30, 36",3932136535,197,4206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488741119,2,32,1,0,0,b3vbyitzi3nrw9ehj1eoko219,1,0,0,2022-12-03T12:30:48.757Z,2022-12-03T12:30:51Z,3932227623,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488741115,2,32,1,0,0,82kapkjwonlv9j1ui0ytv5sii,1,0,0,2022-12-03T12:30:48.757Z,2022-12-05T23:55:25Z,3932227599,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488741123,3,1,1,0,0,b3vbyitzi3nrw9ehj1eoko219,1,50,49.7,2022-12-03T12:30:48.771Z,2022-12-06T05:46:30Z,3932227651,140,31.9,3935717953,178,,3932227659,279,S,3932227649,56,Back,3932227655,212,19.4,3932227653,141,55.7,3932227657,213,2.9,,,,6dhwu4p5uu6oiada4q13g5tk9,J. Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488741159,4,1,1,0,3,b3vbyitzi3nrw9ehj1eoko219,1,28.6,59.7,2022-12-03T12:30:51.817Z,2022-12-06T05:46:35Z,3932227825,213,5.5,3932227821,141,13.4,3932227817,56,Right,3935717997,178,,3932227827,1,,3932227815,155,,3932227823,212,45.9,3932227819,140,60.4,292fas4iqplshrbyvtj5ins9h,J. Walsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488741169,5,1,1,0,5,b3vbyitzi3nrw9ehj1eoko219,0,60.4,13.4,2022-12-03T12:30:54.160Z,2022-12-06T05:46:40Z,3932227867,140,72.4,3935718023,388,,3932227873,213,0.1,3932227863,3,,3932227869,141,15.5,3932227865,56,Right,3932227871,212,12.7,,,,5mx96hmn7ophhuvmybmf1esid,R. Poole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488741179,3,49,1,0,6,82kapkjwonlv9j1ui0ytv5sii,1,28.3,79.1,2022-12-03T12:30:55.343Z,2022-12-06T05:46:46Z,,,,,,,,,,,,,,,,,,,,,,,,,62azuux8vuk6956cuyjjtped,L. Leahy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488741207,6,43,1,0,7,82kapkjwonlv9j1ui0ytv5sii,1,0,0,2022-12-03T12:30:56.067Z,2022-12-05T11:33:37Z,3932228085,56,Back,3935114617,144,8,,,,,,,,,,,,,,,,,,,62azuux8vuk6956cuyjjtped,L. Leahy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488741195,4,1,1,0,7,82kapkjwonlv9j1ui0ytv5sii,0,27.9,92.3,2022-12-03T12:30:56.703Z,2022-12-06T05:46:50Z,3932228025,141,100.0,3932228029,213,0.1,3935718075,178,,3932228021,56,Left,3932228027,212,44.8,3932228031,1,,3932228023,140,70.2,3932228019,155,,62azuux8vuk6956cuyjjtped,L. Leahy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
