id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/11/value,qualifier/15/value,qualifier/14/value,qualifier/13/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2516962513,1,34,16,0,0,b3vbyitzi3nrw9ehj1eoko219,1,0,0,2023-03-07T19:00:54.415Z,2023-03-07T19:45:21Z,4081076013,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4081075999,30,"9tlowuu89l3fnv5iowela1ca2, 6g8w8yuvkuayxcegsvzcjmmzt, 91mshvbc4rk9cf0chhgukakiy, 5mx96hmn7ophhuvmybmf1esid, dwp8bqc4rdleti92n0s6q9rdh, 8q4vt9778kxds17wm6e9hdoiy, 2sqsqi4h0d982a171bfuqnd91, cz9jf3ozld7o0hns2xmn54b56, 43dtg3eg858i3agncnpq3p1wp, 6dhwu4p5uu6oiada4q13g5tk9, 33eqc4ye34v5r0ix9cqg9fo4p, 76j19abwcie5w5hptkewlh0bt, dz4jeb7rhr5jt3grs4evbs5bd, 4wzaq9gqohygfo22tjibldfjd, 5dsht0mnmpm2asallpju46ms5, 8mxu20zdh9wrguq79ib8y5m21",4081076001,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5",4081076007,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0",4081076009,194,5mx96hmn7ophhuvmybmf1esid,4081076005,130,13,4081076003,59,"1, 21, 3, 2, 15, 4, 10, 12, 18, 27, 11, 6, 7, 19, 26, 29",4081076011,197,12149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516962573,1,34,16,0,0,fvr504m6gaxsfmtx4fwm7iq1,1,0,0,2023-03-07T19:01:07.537Z,2023-03-07T19:01:07Z,4081076309,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4081076307,130,18,4081076315,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4081076301,30,"dtl2jirk97xct4idsoj2vxbs9, 9em8141j1bdvykowhmoyeob85, 4i81y9jhkouk3zmd03gjp1gx5, 6n2iaeukutepfiee2nvfpvofe, 552cgdv8qya776at130r2d0mi, 75c432elegprf4f6hn72icset, btlomqnhw2ft72iwg7xbaoh2i, 4kg1zi1c92yxf23t15hvpl2hh, cjwflve6ukph4h2az1irm099l, 4hcjk936uj5hm4bmnnin5nsh5, 7617zihboc2wywyoyou6nhuqd, ea28jq8w3nc9koizvgffy5a7d, 9fdbjgbp780ql3ugygbuhie3t, 75lptyj9mjvb2zyupi4fnnox5, 1nvaqc5633cmmgqu2bpvly5ex, 8ceatyytb6gk5odzls21u2w2x, eslpks0nl5y4vnn6xi13iuqqx, 61allnul4qlvl9s6wf0nehped",4081076313,197,4843,4081076305,59,"1, 22, 15, 4, 14, 2, 23, 34, 32, 27, 10, 7, 20, 28, 30, 36, 3, 8",4081076311,194,75c432elegprf4f6hn72icset,4081076303,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516970397,2,32,1,0,0,fvr504m6gaxsfmtx4fwm7iq1,1,0,0,2023-03-07T19:45:17.206Z,2023-03-09T19:09:20Z,4081118763,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516970401,2,32,1,0,0,b3vbyitzi3nrw9ehj1eoko219,1,0,0,2023-03-07T19:45:17.206Z,2023-03-07T19:45:20Z,4081118775,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516970427,3,1,1,0,0,fvr504m6gaxsfmtx4fwm7iq1,1,50.2,50,2023-03-07T19:45:17.240Z,2023-03-09T19:15:21Z,4081118893,279,S,4081118889,212,22.7,4081118887,141,50.6,4081118883,56,Back,4081118891,213,3.1,4081118885,140,28.6,4084402045,178,,,,,4kg1zi1c92yxf23t15hvpl2hh,G. Rea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516970457,4,1,1,0,4,fvr504m6gaxsfmtx4fwm7iq1,0,26.4,50.6,2023-03-07T19:45:21.381Z,2023-03-09T19:15:23Z,4081119065,157,,4081119071,141,60.8,4081119077,1,,4081119075,213,0.1,4081119073,212,51.9,4081119067,56,Center,4081119069,140,75.4,4084402143,178,,dtl2jirk97xct4idsoj2vxbs9,L. Southwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516970467,3,1,1,0,7,b3vbyitzi3nrw9ehj1eoko219,0,29.7,36.6,2023-03-07T19:45:24.688Z,2023-03-09T19:15:25Z,4081119135,141,39.2,4081119133,140,49.2,4081119129,3,,4084402189,388,,4081119131,56,Back,4081119139,213,0.1,4081119137,212,20.6,,,,dwp8bqc4rdleti92n0s6q9rdh,P. O'Connor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516970483,5,1,1,0,8,fvr504m6gaxsfmtx4fwm7iq1,0,64.7,65.8,2023-03-07T19:45:26.134Z,2023-03-09T19:15:27Z,4081119231,213,0.1,4081119229,212,18.7,4081119227,141,68.1,4081119225,140,82.4,4081119223,56,Center,4084402251,178,,,,,,,,552cgdv8qya776at130r2d0mi,C. Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516970501,4,49,1,0,9,b3vbyitzi3nrw9ehj1eoko219,1,35.6,36.6,2023-03-07T19:45:27.017Z,2023-03-09T19:15:31Z,,,,,,,,,,,,,,,,,,,,,,,,,2sqsqi4h0d982a171bfuqnd91,E. Bishop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516970513,5,1,1,0,10,b3vbyitzi3nrw9ehj1eoko219,0,35.6,36.6,2023-03-07T19:45:28.152Z,2023-03-09T19:15:34Z,4081119333,141,43.1,4081119335,212,29.7,4081119337,213,0.1,4081119331,140,63.6,4084402465,178,,4081119329,56,Center,4081119327,155,,,,,2sqsqi4h0d982a171bfuqnd91,E. Bishop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
