id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/9/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/12/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/17/value,assist,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/18/value
2504863899,1,34,16,0,0,jv3jh5m5t7qy5t37vwwmnj16,1,0,0,2023-02-06T12:38:44.571Z,2023-02-06T17:09:41Z,4017189825,197,16168,4017189815,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4017189821,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4017189823,194,5bkjye9thnohmdgzwsrsy1n9,4017189827,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4017189813,30,"1sw0ywyl0cgn97mu65tnzv0t1, bbrx2s4fcp7uplly4hpbt3xed, 1kw6qz2pi7wlam068oeirztud, 4uywqjm0i2ik5cwhulbmzxi39, f5zei3x0mg1i5q3soziuy579, 5bkjye9thnohmdgzwsrsy1n9, 40wbrqny2ekenyy37ver8dyol, 7pia2vfewavgyc8d7pvgr7owl, am0ggkrw8rzw5shdvaceyr3kl, 99uiqjteov3qby19bs8kozill, 93kxb8ch3auv9li22mh1aidey, 5j5rrfad842t1nebfc4lwmket, 4oogur7f8tfx3z011ap58ao5x, dbev6jhnro87n6ghueorfz27d, 7fvj3ev8ov0cnalck9x48z3kl, dez3rm7q89xk157fwnc3tgqcq, cxfq8o3k68x1acwci3wx812w9, 5knn6bkjba6eh0torsnwrkl0q",4017189819,130,19,4017189817,59,"1, 7, 23, 6, 2, 3, 22, 28, 9, 18, 10, 8, 12, 19, 26, 27, 29, 38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504863901,1,34,16,0,0,ejm092fnt9zoxbpuklzd52ji8,1,0,0,2023-02-06T12:38:44.817Z,2023-02-06T12:59:43Z,4017189841,197,4680,4017189829,30,"1etperk4v88ohoddjdb5dj2l1, 6ln898p7stih8l7ikzloet0b9, 5ozfcga88glwzazkg65ahwa8l, 89agv6797txmlw6m4nyhhsa2, 5yfb390wjjfdjhdf0jzaf1kgl, 6xjftfuwhkbs39xfc3phdbyl1, aclrl318d420oqe1fjgl1m3xm, agvyoqarq5zhflge7bm1hn36d, 1yzyn48jb8yd8bc0xywrhg0r9, 4m9vn1q30f1c8ksiyxtei63ft, 1788amerrk9fg3f9qddyxz8x5, 41lv87i23sxmdyrs4xxh96m3u, a1muz32ocg2650ll5kjc02u39, 71pv32h5sxhopm6aetxjm50ph, 5n4s7vdp0dx0ndkph7oyg7v1l, bybpo6v76mntngcl9xwpil7u1, ef2y32lrxfsagikwuhjrovy3u, 8nzkkwhmox9lgbmwomq1rruju",4017189837,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4017189833,59,"25, 7, 11, 5, 3, 6, 8, 14, 19, 26, 33, 1, 10, 13, 15, 17, 21, 27",4017189839,194,6xjftfuwhkbs39xfc3phdbyl1,4017189831,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4017189835,130,17,4017189843,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504865021,2,32,1,0,0,jv3jh5m5t7qy5t37vwwmnj16,1,0,0,2023-02-06T12:47:34.032Z,2023-02-06T12:47:34Z,4017194275,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504865025,3,32,1,0,0,ejm092fnt9zoxbpuklzd52ji8,1,0,0,2023-02-06T12:47:34.032Z,2023-02-06T19:33:02Z,4017194283,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504865031,4,1,1,0,0,ejm092fnt9zoxbpuklzd52ji8,1,50,50,2023-02-06T12:47:34.202Z,2023-02-07T02:50:59Z,4017194311,212,21.9,4017194315,279,S,4018248033,178,,4017194305,56,Back,4017194307,140,29.1,4017194313,213,3.2,4017194309,141,49.4,,,,4m9vn1q30f1c8ksiyxtei63ft,D. Butterworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504865037,5,1,1,0,1,ejm092fnt9zoxbpuklzd52ji8,1,29.1,49.4,2023-02-06T12:47:35.608Z,2023-02-07T02:51:10Z,4017194341,213,5.5,4017194337,141,45.7,4017194333,56,Back,4017194339,212,3.4,4018248139,178,,4017194335,140,31.3,,,,,,,6xjftfuwhkbs39xfc3phdbyl1,N. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504865061,6,1,1,0,2,ejm092fnt9zoxbpuklzd52ji8,1,31.3,45.7,2023-02-06T12:47:36.713Z,2023-02-07T02:51:13Z,4017194407,213,0.6,4017401685,155,,4017194409,1,,4017194403,141,88.3,4017194401,140,70.3,4017194405,212,50.2,4017194399,56,Left,4018248175,178,,5yfb390wjjfdjhdf0jzaf1kgl,D. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504865063,7,44,1,0,5,ejm092fnt9zoxbpuklzd52ji8,1,69.3,91,2023-02-06T12:47:39.694Z,2023-02-07T08:58:51Z,4017194413,56,Left,4017194415,286,,4017194461,233,3,,,,,,,,,,,,,,,,aclrl318d420oqe1fjgl1m3xm,B. Garrity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504865069,3,44,1,0,5,jv3jh5m5t7qy5t37vwwmnj16,0,30.7,9,2023-02-06T12:47:39.695Z,2023-02-07T02:51:18Z,4017194425,56,Back,4017194427,285,,4017194469,233,7,,,,,,,,,,,,,,,,bbrx2s4fcp7uplly4hpbt3xed,D. Wheeler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504865073,8,1,1,0,5,ejm092fnt9zoxbpuklzd52ji8,1,70.3,88.3,2023-02-06T12:47:39.727Z,2023-02-07T08:58:51Z,4017194451,212,16.9,4017194443,56,Left,4017194447,141,92.6,4018248281,388,,4017194441,168,,4017194445,140,86.2,4017194439,3,,4017194453,213,0.2,aclrl318d420oqe1fjgl1m3xm,B. Garrity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
